Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.184510,0.512571,0.381227,0.213831,0.467642,0.356591,0.196659,0.476835,0.415304
0.010000,0.184505,0.512583,0.381233,0.213821,0.467660,0.356603,0.196642,0.476836,0.415313
0.020000,0.184487,0.512593,0.381247,0.213794,0.467681,0.356617,0.196634,0.476843,0.415320
0.030000,0.184458,0.512605,0.381257,0.213768,0.467698,0.356619,0.196612,0.476856,0.415324
0.040000,0.184430,0.512600,0.381267,0.213749,0.467717,0.356630,0.196587,0.476858,0.415332
0.050000,0.184404,0.512614,0.381274,0.213727,0.467733,0.356640,0.196567,0.476874,0.415341
0.060000,0.184381,0.512625,0.381285,0.213709,0.467743,0.356649,0.196549,0.476888,0.415345
0.070000,0.184361,0.512631,0.381293,0.213695,0.467743,0.356663,0.196526,0.476896,0.415357
0.080000,0.184339,0.512636,0.381304,0.213654,0.467773,0.356683,0.196513,0.476901,0.415364
0.090000,0.184320,0.512649,0.381318,0.213631,0.467770,0.356688,0.196495,0.476905,0.415375
0.100000,0.184305,0.512662,0.381325,0.213622,0.467787,0.356700,0.196475,0.476909,0.415385
0.110000,0.184293,0.512667,0.381338,0.213603,0.467793,0.356708,0.196455,0.476916,0.415392
0.120000,0.184271,0.512662,0.381338,0.213590,0.467794,0.356712,0.196442,0.476912,0.415394
0.130000,0.184262,0.512670,0.381343,0.213580,0.467803,0.356713,0.196435,0.476917,0.415394
0.140000,0.184249,0.512663,0.381340,0.213568,0.467814,0.356717,0.196422,0.476919,0.415399
0.150000,0.184234,0.512678,0.381340,0.213565,0.467806,0.356710,0.196414,0.476914,0.415395
0.160000,0.184246,0.512669,0.381328,0.213568,0.467803,0.356702,0.196415,0.476917,0.415387
0.170000,0.184234,0.512682,0.381315,0.213556,0.467809,0.356692,0.196417,0.476920,0.415375
0.180000,0.184245,0.512672,0.381291,0.213551,0.467811,0.356677,0.196414,0.476931,0.415355
0.190000,0.184244,0.512688,0.381271,0.213547,0.467809,0.356660,0.196413,0.476939,0.415340
0.200000,0.184232,0.512713,0.381250,0.213559,0.467818,0.356628,0.196411,0.476944,0.415318
0.210000,0.184224,0.512711,0.381222,0.213545,0.467832,0.356609,0.196411,0.476952,0.415298
0.220000,0.184209,0.512720,0.381199,0.213532,0.467851,0.356582,0.196403,0.476983,0.415272
0.230000,0.184205,0.512730,0.381176,0.213523,0.467855,0.356569,0.196395,0.476981,0.415255
0.240000,0.184195,0.512738,0.381149,0.213516,0.467872,0.356544,0.196391,0.477003,0.415232
0.250000,0.184186,0.512754,0.381122,0.213507,0.467870,0.356510,0.196386,0.477020,0.415209
0.260000,0.184179,0.512764,0.381095,0.213494,0.467881,0.356486,0.196376,0.477033,0.415182
0.270000,0.184167,0.512775,0.381071,0.213489,0.467896,0.356457,0.196371,0.477045,0.415163
0.280000,0.184146,0.512801,0.381033,0.213472,0.467908,0.356439,0.196353,0.477067,0.415136
0.290000,0.184120,0.512822,0.381005,0.213457,0.467924,0.356412,0.196343,0.477088,0.415112
0.300000,0.184105,0.512840,0.380977,0.213437,0.467950,0.356395,0.196327,0.477107,0.415091
0.310000,0.184092,0.512850,0.380956,0.213421,0.467971,0.356367,0.196311,0.477128,0.415065
0.320000,0.184068,0.512873,0.380924,0.213401,0.467976,0.356346,0.196296,0.477146,0.415041
0.330000,0.184041,0.512877,0.380898,0.213383,0.467989,0.356317,0.196277,0.477165,0.415016
0.340000,0.184010,0.512903,0.380866,0.213371,0.468003,0.356285,0.196271,0.477183,0.414985
0.350000,0.183995,0.512911,0.380832,0.213366,0.468016,0.356251,0.196256,0.477190,0.414961
0.360000,0.183989,0.512920,0.380801,0.213356,0.468024,0.356225,0.196251,0.477208,0.414926
0.370000,0.183984,0.512927,0.380773,0.213345,0.468020,0.356198,0.196255,0.477224,0.414896
0.380000,0.184043,0.512789,0.380605,0.213360,0.468030,0.356169,0.196275,0.477241,0.414864
0.390000,0.184065,0.512781,0.380574,0.213370,0.468034,0.356138,0.196290,0.477243,0.414844
0.400000,0.184090,0.512796,0.380563,0.213385,0.468026,0.356124,0.196318,0.477247,0.414830
0.410000,0.184116,0.512791,0.380548,0.213432,0.468022,0.356100,0.196340,0.477236,0.414813
0.420000,0.184154,0.512774,0.380539,0.213419,0.468023,0.356093,0.196363,0.477246,0.414803
0.430000,0.184120,0.512939,0.380670,0.213434,0.468021,0.356074,0.196387,0.477246,0.414793
0.440000,0.184190,0.512799,0.380516,0.213473,0.468016,0.356061,0.196399,0.477260,0.414785
0.450000,0.184206,0.512805,0.380514,0.213481,0.468020,0.356054,0.196417,0.477265,0.414777
0.460000,0.184216,0.512799,0.380513,0.213485,0.468028,0.356051,0.196417,0.477262,0.414776
0.470000,0.184199,0.512817,0.380513,0.213484,0.468035,0.356053,0.196411,0.477270,0.414777
0.480000,0.184195,0.512818,0.380517,0.213470,0.468033,0.356056,0.196402,0.477273,0.414782
0.490000,0.184119,0.512973,0.380671,0.213449,0.468035,0.356071,0.196381,0.477273,0.414788
0.500000,0.184090,0.512972,0.380681,0.213396,0.468053,0.356087,0.196350,0.477264,0.414803
0.510000,0.184045,0.512981,0.380699,0.213369,0.468058,0.356104,0.196312,0.477273,0.414815
0.520000,0.184000,0.512992,0.380713,0.213324,0.468074,0.356115,0.196271,0.477280,0.414824
0.530000,0.183942,0.512994,0.380726,0.213275,0.468096,0.356128,0.196217,0.477282,0.414841
0.540000,0.183881,0.513003,0.380746,0.213222,0.468104,0.356149,0.196170,0.477290,0.414853
0.550000,0.183822,0.513024,0.380760,0.213170,0.468127,0.356166,0.196113,0.477315,0.414873
0.560000,0.183753,0.513041,0.380772,0.213110,0.468148,0.356179,0.196048,0.477353,0.414885
0.570000,0.183684,0.513077,0.380794,0.213057,0.468196,0.356190,0.195975,0.477399,0.414901
0.580000,0.183603,0.513130,0.380813,0.212989,0.468238,0.356208,0.195914,0.477433,0.414912
0.590000,0.183528,0.513160,0.380828,0.212927,0.468271,0.356224,0.195843,0.477478,0.414928
0.600000,0.183447,0.513196,0.380848,0.212857,0.468325,0.356235,0.195783,0.477520,0.414940
0.610000,0.183363,0.513231,0.380861,0.212802,0.468359,0.356240,0.195701,0.477564,0.414951
0.620000,0.183288,0.513258,0.380866,0.212751,0.468400,0.356248,0.195642,0.477592,0.414953
0.630000,0.183227,0.513281,0.380876,0.212691,0.468423,0.356261,0.195587,0.477626,0.414964
0.640000,0.183143,0.513291,0.380879,0.212648,0.468457,0.356267,0.195531,0.477653,0.414971
0.650000,0.183091,0.513311,0.380896,0.212595,0.468477,0.356290,0.195484,0.477671,0.414990
0.660000,0.183040,0.513316,0.380922,0.212558,0.468501,0.356304,0.195433,0.477671,0.415007
0.670000,0.182986,0.513330,0.380943,0.212525,0.468514,0.356332,0.195394,0.477677,0.415028
0.680000,0.182951,0.513331,0.380968,0.212489,0.468525,0.356356,0.195351,0.477680,0.415059
0.690000,0.182928,0.513330,0.381009,0.212471,0.468537,0.356384,0.195325,0.477677,0.415082
0.700000,0.182887,0.513344,0.381029,0.212448,0.468537,0.356403,0.195296,0.477674,0.415107
0.710000,0.182867,0.513335,0.381068,0.212430,0.468552,0.356432,0.195272,0.477672,0.415130
0.720000,0.182836,0.513337,0.381084,0.212413,0.468555,0.356458,0.195239,0.477686,0.415159
0.730000,0.182824,0.513348,0.381124,0.212389,0.468552,0.356506,0.195220,0.477690,0.415184
0.740000,0.182790,0.513356,0.381144,0.212363,0.468558,0.356529,0.195199,0.477684,0.415206
0.750000,0.182774,0.513357,0.381183,0.212339,0.468576,0.356561,0.195177,0.477695,0.415227
0.760000,0.182744,0.513366,0.381199,0.212314,0.468600,0.356586,0.195132,0.477695,0.415266
0.770000,0.182717,0.513381,0.381234,0.212283,0.468590,0.356623,0.195100,0.477713,0.415288
0.780000,0.182679,0.513391,0.381268,0.212252,0.468620,0.356646,0.195067,0.477708,0.415322
0.790000,0.182690,0.513267,0.381155,0.212219,0.468629,0.356666,0.195038,0.477723,0.415351
0.800000,0.182648,0.513285,0.381192,0.212187,0.468654,0.356704,0.195001,0.477727,0.415380
0.810000,0.182602,0.513293,0.381232,0.212149,0.468672,0.356742,0.194959,0.477731,0.415410
0.820000,0.182563,0.513307,0.381277,0.212122,0.468690,0.356777,0.194923,0.477717,0.415461
0.830000,0.182534,0.513311,0.381338,0.212087,0.468710,0.356819,0.194888,0.477735,0.415500
0.840000,0.182488,0.513319,0.381379,0.212061,0.468722,0.356869,0.194854,0.477733,0.415548
0.850000,0.182458,0.513331,0.381451,0.212028,0.468750,0.356935,0.194814,0.477743,0.415602
0.860000,0.182427,0.513338,0.381503,0.212013,0.468774,0.356982,0.194799,0.477749,0.415658
0.870000,0.182403,0.513343,0.381567,0.211984,0.468806,0.357029,0.194752,0.477755,0.415717
0.880000,0.182381,0.513341,0.381625,0.211976,0.468812,0.357088,0.194736,0.477756,0.415770
0.890000,0.182362,0.513357,0.381702,0.211960,0.468832,0.357150,0.194719,0.477746,0.415823
0.900000,0.182300,0.513510,0.381902,0.211958,0.468844,0.357204,0.194702,0.477757,0.415890
0.910000,0.182289,0.513496,0.381953,0.211966,0.468836,0.357258,0.194686,0.477751,0.415946
0.920000,0.182281,0.513492,0.381998,0.211957,0.468847,0.357309,0.194683,0.477731,0.415990
0.930000,0.182283,0.513489,0.382036,0.211965,0.468846,0.357347,0.194675,0.477734,0.416034
0.940000,0.182279,0.513490,0.382076,0.211975,0.468845,0.357379,0.194678,0.477724,0.416063
0.950000,0.182287,0.513478,0.382096,0.211982,0.468837,0.357414,0.194680,0.477721,0.416094
0.960000,0.182308,0.513476,0.382125,0.211994,0.468825,0.357433,0.194700,0.477704,0.416112
0.970000,0.182311,0.513472,0.382144,0.212004,0.468826,0.357451,0.194709,0.477692,0.416128
0.980000,0.182328,0.513466,0.382155,0.212009,0.468817,0.357461,0.194711,0.477705,0.416141
