Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.150757,0.521716,0.328747,0.169190,0.475320,0.302513,0.157140,0.483887,0.361954
0.010000,0.150760,0.521710,0.328722,0.169179,0.475308,0.302486,0.157123,0.483913,0.361930
0.020000,0.150760,0.521701,0.328694,0.169175,0.475293,0.302460,0.157123,0.483896,0.361905
0.030000,0.150757,0.521696,0.328671,0.169175,0.475289,0.302446,0.157124,0.483903,0.361888
0.040000,0.150757,0.521684,0.328649,0.169162,0.475274,0.302434,0.157129,0.483877,0.361872
0.050000,0.150746,0.521682,0.328635,0.169158,0.475284,0.302422,0.157107,0.483897,0.361864
0.060000,0.150745,0.521685,0.328625,0.169156,0.475265,0.302415,0.157095,0.483898,0.361856
0.070000,0.150746,0.521673,0.328616,0.169160,0.475260,0.302412,0.157102,0.483892,0.361857
0.080000,0.150753,0.521659,0.328611,0.169162,0.475248,0.302408,0.157112,0.483853,0.361854
0.090000,0.150757,0.521649,0.328604,0.169169,0.475231,0.302407,0.157104,0.483862,0.361842
0.100000,0.150773,0.521638,0.328608,0.169179,0.475213,0.302411,0.157118,0.483829,0.361852
0.110000,0.150780,0.521623,0.328611,0.169186,0.475203,0.302409,0.157132,0.483811,0.361852
0.120000,0.150805,0.521600,0.328613,0.169199,0.475187,0.302418,0.157143,0.483808,0.361854
0.130000,0.150821,0.521577,0.328621,0.169213,0.475175,0.302423,0.157154,0.483794,0.361859
0.140000,0.150847,0.521567,0.328632,0.169222,0.475158,0.302427,0.157167,0.483783,0.361862
0.150000,0.150866,0.521558,0.328640,0.169240,0.475138,0.302431,0.157181,0.483771,0.361871
0.160000,0.150897,0.521525,0.328644,0.169253,0.475118,0.302437,0.157191,0.483749,0.361874
0.170000,0.150918,0.521516,0.328647,0.169277,0.475096,0.302436,0.157210,0.483741,0.361879
0.180000,0.150954,0.521495,0.328636,0.169297,0.475084,0.302438,0.157238,0.483731,0.361875
0.190000,0.150993,0.521472,0.328635,0.169337,0.475051,0.302438,0.157263,0.483702,0.361879
0.200000,0.151033,0.521444,0.328621,0.169361,0.475023,0.302440,0.157297,0.483687,0.361870
0.210000,0.151071,0.521418,0.328619,0.169398,0.474993,0.302439,0.157321,0.483655,0.361873
0.220000,0.151100,0.521395,0.328601,0.169420,0.474960,0.302425,0.157353,0.483625,0.361860
0.230000,0.151138,0.521360,0.328589,0.169444,0.474929,0.302411,0.157382,0.483615,0.361857
0.240000,0.151170,0.521338,0.328563,0.169472,0.474902,0.302400,0.157405,0.483588,0.361840
0.250000,0.151202,0.521327,0.328543,0.169487,0.474883,0.302382,0.157432,0.483579,0.361821
0.260000,0.151220,0.521317,0.328522,0.169511,0.474875,0.302355,0.157456,0.483570,0.361808
0.270000,0.151242,0.521320,0.328494,0.169532,0.474857,0.302339,0.157485,0.483575,0.361784
0.280000,0.151274,0.521303,0.328480,0.169545,0.474856,0.302318,0.157507,0.483566,0.361768
0.290000,0.151308,0.521296,0.328468,0.169569,0.474850,0.302309,0.157536,0.483556,0.361758
0.300000,0.151341,0.521282,0.328460,0.169602,0.474826,0.302295,0.157569,0.483538,0.361746
0.310000,0.151393,0.521260,0.328452,0.169633,0.474814,0.302284,0.157606,0.483530,0.361739
0.320000,0.151442,0.521245,0.328438,0.169649,0.474791,0.302278,0.157648,0.483507,0.361732
0.330000,0.151489,0.521233,0.328427,0.169686,0.474766,0.302267,0.157677,0.483487,0.361723
0.340000,0.151525,0.521217,0.328412,0.169718,0.474755,0.302255,0.157707,0.483476,0.361713
