Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.095938,0.524591,0.369045,0.124600,0.481865,0.342870,0.107431,0.489205,0.401285
0.010000,0.095956,0.524587,0.369040,0.124616,0.481853,0.342854,0.107458,0.489188,0.401279
0.020000,0.095986,0.524574,0.369033,0.124645,0.481861,0.342842,0.107479,0.489184,0.401271
0.030000,0.096010,0.524580,0.369022,0.124653,0.481838,0.342835,0.107517,0.489159,0.401266
0.040000,0.096034,0.524575,0.369019,0.124660,0.481818,0.342824,0.107533,0.489150,0.401260
0.050000,0.096066,0.524562,0.369026,0.124689,0.481818,0.342824,0.107566,0.489148,0.401265
0.060000,0.096087,0.524555,0.369030,0.124703,0.481804,0.342825,0.107590,0.489145,0.401273
0.070000,0.096110,0.524551,0.369042,0.124721,0.481801,0.342834,0.107606,0.489138,0.401278
0.080000,0.096131,0.524550,0.369049,0.124738,0.481803,0.342836,0.107634,0.489134,0.401287
0.090000,0.096151,0.524560,0.369045,0.124752,0.481797,0.342843,0.107644,0.489136,0.401281
0.100000,0.096154,0.524547,0.369048,0.124750,0.481783,0.342842,0.107646,0.489130,0.401296
0.110000,0.096144,0.524557,0.369051,0.124752,0.481803,0.342852,0.107642,0.489139,0.401294
0.120000,0.096130,0.524559,0.369055,0.124740,0.481801,0.342860,0.107615,0.489149,0.401298
0.130000,0.096097,0.524576,0.369055,0.124724,0.481824,0.342869,0.107583,0.489164,0.401298
0.140000,0.096051,0.524587,0.369053,0.124695,0.481856,0.342869,0.107537,0.489170,0.401296
0.150000,0.095977,0.524591,0.369053,0.124647,0.481876,0.342875,0.107481,0.489190,0.401297
0.160000,0.095883,0.524595,0.369050,0.124596,0.481911,0.342872,0.107408,0.489224,0.401293
0.170000,0.095804,0.524623,0.369050,0.124507,0.481959,0.342868,0.107369,0.489541,0.401458
0.180000,0.095722,0.524649,0.369038,0.124438,0.481998,0.342864,0.107283,0.489580,0.401450
0.190000,0.095604,0.524739,0.369079,0.124343,0.482039,0.342845,0.107211,0.489620,0.401449
0.200000,0.095523,0.524773,0.369073,0.124257,0.482073,0.342845,0.107137,0.489651,0.401441
0.210000,0.095429,0.524812,0.369076,0.124157,0.482104,0.342837,0.107057,0.489692,0.401440
0.220000,0.095331,0.524865,0.369076,0.124082,0.482145,0.342836,0.106969,0.489730,0.401438
0.230000,0.095243,0.524894,0.369067,0.124012,0.482181,0.342825,0.106890,0.489769,0.401439
0.240000,0.095167,0.524920,0.369066,0.123931,0.482197,0.342824,0.106820,0.489788,0.401441
0.250000,0.095088,0.524951,0.369073,0.123859,0.482232,0.342834,0.106745,0.489814,0.401437
0.260000,0.095016,0.524987,0.369078,0.123787,0.482254,0.342834,0.106679,0.489826,0.401446
0.270000,0.094971,0.524965,0.369026,0.123717,0.482281,0.342856,0.106526,0.489630,0.401318
0.280000,0.094910,0.524970,0.369037,0.123660,0.482307,0.342869,0.106469,0.489640,0.401335
0.290000,0.094852,0.524995,0.369063,0.123607,0.482349,0.342877,0.106417,0.489654,0.401365
0.300000,0.094816,0.525005,0.369097,0.123585,0.482367,0.342916,0.106381,0.489658,0.401386
0.310000,0.094798,0.525002,0.369130,0.123583,0.482394,0.342952,0.106355,0.489659,0.401424
0.320000,0.094788,0.525002,0.369170,0.123584,0.482399,0.343005,0.106349,0.489652,0.401458
0.330000,0.094789,0.524997,0.369203,0.123592,0.482406,0.343031,0.106346,0.489654,0.401494
0.340000,0.094804,0.524981,0.369236,0.123606,0.482410,0.343069,0.106352,0.489638,0.401518
0.350000,0.094828,0.524968,0.369269,0.123627,0.482393,0.343095,0.106368,0.489623,0.401546
0.360000,0.094864,0.524954,0.369301,0.123662,0.482386,0.343116,0.106385,0.489612,0.401582
0.370000,0.094892,0.524935,0.369327,0.123699,0.482344,0.343152,0.106427,0.489598,0.401612
0.380000,0.094936,0.524933,0.369351,0.123742,0.482341,0.343178,0.106459,0.489576,0.401641
0.390000,0.094986,0.524896,0.369376,0.123774,0.482327,0.343198,0.106496,0.489560,0.401660
0.400000,0.095039,0.524868,0.369392,0.123827,0.482315,0.343212,0.106535,0.489532,0.401678
0.410000,0.095098,0.524875,0.369419,0.123889,0.482309,0.343232,0.106589,0.489525,0.401702
0.420000,0.095153,0.524855,0.369440,0.123930,0.482277,0.343239,0.106635,0.489510,0.401713
0.430000,0.095217,0.524813,0.369447,0.123979,0.482263,0.343256,0.106691,0.489492,0.401720
0.440000,0.095276,0.524800,0.369458,0.124070,0.482247,0.343263,0.106755,0.489464,0.401731
0.450000,0.095329,0.524775,0.369466,0.124109,0.482216,0.343262,0.106807,0.489449,0.401743
0.460000,0.095393,0.524755,0.369478,0.124181,0.482219,0.343274,0.106877,0.489425,0.401752
0.470000,0.095428,0.524802,0.369548,0.124221,0.482192,0.343274,0.107008,0.489607,0.401860
0.480000,0.095507,0.524720,0.369486,0.124268,0.482154,0.343271,0.106979,0.489382,0.401750
