Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.032100,0.524870,0.329572,0.042104,0.478618,0.297555,0.048979,0.487844,0.357580
0.010000,0.032080,0.524875,0.329579,0.042092,0.478642,0.297558,0.048959,0.487867,0.357585
0.020000,0.032056,0.524889,0.329576,0.042068,0.478643,0.297560,0.048951,0.487874,0.357588
0.030000,0.032036,0.524888,0.329572,0.042055,0.478655,0.297557,0.048932,0.487883,0.357581
0.040000,0.032013,0.524893,0.329565,0.042034,0.478666,0.297545,0.048909,0.487895,0.357574
0.050000,0.031994,0.524912,0.329549,0.042008,0.478686,0.297532,0.048899,0.487895,0.357564
0.060000,0.031969,0.524924,0.329532,0.041968,0.478698,0.297519,0.048889,0.487914,0.357549
0.070000,0.031946,0.524923,0.329509,0.041951,0.478706,0.297508,0.048858,0.487922,0.357525
0.080000,0.031917,0.524924,0.329483,0.041912,0.478720,0.297488,0.048843,0.487939,0.357507
0.090000,0.031872,0.524925,0.329452,0.041887,0.478737,0.297475,0.048817,0.487977,0.357494
0.100000,0.031847,0.524916,0.329439,0.041850,0.478725,0.297448,0.048806,0.487947,0.357475
0.110000,0.031820,0.524924,0.329420,0.041830,0.478720,0.297431,0.048770,0.488020,0.357450
0.120000,0.031790,0.524928,0.329401,0.041803,0.478738,0.297404,0.048765,0.488033,0.357441
0.130000,0.031766,0.524945,0.329385,0.041783,0.478752,0.297390,0.048746,0.488035,0.357424
0.140000,0.031736,0.524953,0.329373,0.041752,0.478782,0.297383,0.048734,0.488094,0.357393
0.150000,0.031710,0.524972,0.329360,0.041740,0.478792,0.297377,0.048715,0.488065,0.357381
0.160000,0.031683,0.524982,0.329358,0.041717,0.478808,0.297372,0.048701,0.488149,0.357386
0.170000,0.031650,0.524996,0.329368,0.041704,0.478842,0.297372,0.048686,0.488172,0.357383
0.180000,0.031633,0.525013,0.329376,0.041685,0.478859,0.297377,0.048674,0.488199,0.357389
0.190000,0.031617,0.525046,0.329385,0.041678,0.478895,0.297386,0.048650,0.488202,0.357399
0.200000,0.031604,0.525055,0.329407,0.041684,0.478948,0.297392,0.048646,0.488216,0.357406
0.210000,0.031592,0.525084,0.329431,0.041671,0.478925,0.297416,0.048637,0.488235,0.357426
0.220000,0.031585,0.525100,0.329453,0.041674,0.478963,0.297418,0.048637,0.488245,0.357439
0.230000,0.031585,0.525103,0.329479,0.041675,0.478972,0.297439,0.048634,0.488265,0.357453
0.240000,0.031572,0.525103,0.329505,0.041673,0.478986,0.297465,0.048627,0.488252,0.357464
0.250000,0.031569,0.525107,0.329518,0.041681,0.478977,0.297477,0.048638,0.488251,0.357485
