Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.305080,0.086036,0.279090,0.331098,0.038609,0.258207,0.288804,0.045804,0.302061
0.010000,0.305174,0.086005,0.279286,0.331201,0.038577,0.258435,0.288844,0.045810,0.302217
0.020000,0.305236,0.086022,0.279463,0.331704,0.038668,0.258777,0.288913,0.045831,0.302402
0.030000,0.305334,0.086013,0.279627,0.331856,0.038670,0.258991,0.288988,0.045806,0.302527
0.040000,0.305483,0.085964,0.279818,0.332033,0.038758,0.259154,0.289071,0.045729,0.302599
0.050000,0.305624,0.085964,0.279950,0.332235,0.038777,0.259311,0.289215,0.045689,0.302709
0.060000,0.305756,0.085912,0.280049,0.332431,0.038822,0.259439,0.289357,0.045697,0.302845
0.070000,0.305909,0.085829,0.280146,0.332632,0.038822,0.259542,0.289510,0.045641,0.302914
0.080000,0.306068,0.085748,0.280215,0.332802,0.038778,0.259631,0.289656,0.045527,0.302964
0.090000,0.306215,0.085648,0.280275,0.332986,0.038722,0.259703,0.289816,0.045393,0.303012
0.100000,0.306384,0.085589,0.280356,0.333165,0.038635,0.259755,0.290013,0.045354,0.303104
0.110000,0.306553,0.085486,0.280407,0.333357,0.038579,0.259810,0.290193,0.045151,0.303161
0.120000,0.306750,0.085376,0.280474,0.333516,0.038428,0.259850,0.290391,0.045069,0.303258
0.130000,0.306921,0.085262,0.280542,0.333682,0.038300,0.259859,0.290622,0.044966,0.303332
0.140000,0.307111,0.085162,0.280617,0.333815,0.038144,0.259842,0.290819,0.044774,0.303349
0.150000,0.307285,0.084996,0.280647,0.333987,0.038012,0.259810,0.291034,0.044574,0.303388
0.160000,0.307519,0.084736,0.280648,0.334125,0.037824,0.259766,0.291257,0.044405,0.303423
0.170000,0.307716,0.084550,0.280688,0.334242,0.037623,0.259686,0.291485,0.044239,0.303474
0.180000,0.307894,0.084323,0.280678,0.334334,0.037436,0.259607,0.291732,0.043974,0.303473
0.190000,0.308029,0.084170,0.280686,0.334410,0.037227,0.259516,0.291902,0.043765,0.303464
0.200000,0.308124,0.083968,0.280678,0.334444,0.036976,0.259465,0.292041,0.043595,0.303493
0.210000,0.308177,0.083780,0.280698,0.334475,0.036846,0.259430,0.292156,0.043430,0.303539
0.220000,0.308242,0.083620,0.280728,0.334480,0.036671,0.259381,0.292266,0.043311,0.303594
0.230000,0.308251,0.083442,0.280742,0.334446,0.036484,0.259361,0.292337,0.043171,0.303644
0.240000,0.308264,0.083317,0.280751,0.334421,0.036326,0.259311,0.292388,0.043051,0.303671
0.250000,0.308260,0.083207,0.280743,0.334401,0.036223,0.259255,0.292449,0.042940,0.303686
0.260000,0.308242,0.083120,0.280739,0.334352,0.036146,0.259185,0.292481,0.042825,0.303701
0.270000,0.308185,0.083014,0.280727,0.334278,0.036078,0.259107,0.292470,0.042715,0.303705
0.280000,0.308089,0.082940,0.280722,0.334166,0.036058,0.259036,0.292418,0.042628,0.303699
0.290000,0.307929,0.082880,0.280730,0.333995,0.035974,0.258961,0.292312,0.042537,0.303679
0.300000,0.307724,0.082865,0.280749,0.333846,0.036005,0.258956,0.292139,0.042466,0.303660
0.310000,0.307451,0.082847,0.280792,0.333645,0.036029,0.258971,0.291907,0.042399,0.303660
0.320000,0.307123,0.082879,0.280855,0.333444,0.036118,0.259010,0.291628,0.042358,0.303638
0.330000,0.306779,0.082863,0.280877,0.333166,0.036195,0.259053,0.291292,0.042312,0.303643
0.340000,0.306339,0.082906,0.280894,0.332864,0.036228,0.259093,0.290930,0.042276,0.303636
0.350000,0.305899,0.082932,0.280922,0.332557,0.036343,0.259155,0.290507,0.042280,0.303680
0.360000,0.305401,0.082840,0.280883,0.332247,0.036479,0.259181,0.290088,0.042278,0.303662
0.370000,0.304940,0.082841,0.280860,0.331853,0.036487,0.259193,0.289747,0.042477,0.303850
0.380000,0.304492,0.082878,0.280880,0.331440,0.036471,0.259197,0.289345,0.042455,0.303852
0.390000,0.304045,0.082911,0.280876,0.331033,0.036498,0.259194,0.288905,0.042399,0.303802
0.400000,0.303538,0.082948,0.280861,0.330675,0.036575,0.259201,0.288458,0.042331,0.303734
0.410000,0.302999,0.082846,0.280827,0.330273,0.036611,0.259155,0.287989,0.042291,0.303669
0.420000,0.302384,0.082678,0.280763,0.329878,0.036642,0.259097,0.287466,0.042179,0.303576
0.430000,0.301893,0.082648,0.280724,0.329432,0.036596,0.259039,0.287006,0.042069,0.303514
0.440000,0.301376,0.082632,0.280712,0.328944,0.036540,0.259010,0.286509,0.041933,0.303421
0.450000,0.300778,0.082638,0.280685,0.328443,0.036515,0.258980,0.285970,0.041853,0.303400
0.460000,0.300125,0.082579,0.280654,0.327995,0.036585,0.258979,0.285398,0.041771,0.303336
0.470000,0.299464,0.082476,0.280608,0.327497,0.036682,0.258995,0.284809,0.041708,0.303270
0.480000,0.298891,0.082442,0.280564,0.326963,0.036639,0.259005,0.284210,0.041643,0.303193
0.490000,0.298319,0.082510,0.280548,0.326483,0.036696,0.259027,0.283680,0.041598,0.303127
0.500000,0.297675,0.082548,0.280495,0.325996,0.036742,0.259026,0.283150,0.041645,0.303084
0.510000,0.297108,0.082558,0.280480,0.325533,0.036796,0.259039,0.282644,0.041664,0.303022
0.520000,0.296600,0.082560,0.280437,0.325100,0.036921,0.259016,0.282130,0.041674,0.302941
0.530000,0.296141,0.082635,0.280381,0.324762,0.037086,0.259011,0.281674,0.041790,0.302851
0.540000,0.295776,0.082749,0.280303,0.324479,0.037275,0.258962,0.281325,0.041877,0.302785
0.550000,0.295506,0.082861,0.280220,0.324267,0.037464,0.258891,0.281078,0.041954,0.302668
0.560000,0.295323,0.082992,0.280086,0.324161,0.037732,0.258791,0.280919,0.042087,0.302588
0.570000,0.295230,0.083129,0.279967,0.324028,0.037821,0.258647,0.280848,0.042222,0.302498
0.580000,0.295184,0.083283,0.279851,0.324011,0.037944,0.258515,0.280856,0.042355,0.302380
0.590000,0.295206,0.083381,0.279686,0.324039,0.038041,0.258346,0.280882,0.042456,0.302247
0.600000,0.295256,0.083473,0.279526,0.324095,0.038140,0.258182,0.280999,0.042602,0.302135
0.610000,0.295347,0.083548,0.279375,0.324172,0.038250,0.258007,0.281122,0.042713,0.302010
0.620000,0.295469,0.083697,0.279193,0.324268,0.038311,0.257832,0.281295,0.042859,0.301940
0.630000,0.295608,0.083780,0.279053,0.324424,0.038444,0.257658,0.281370,0.042748,0.301605
0.640000,0.295774,0.083840,0.278902,0.324508,0.038477,0.257508,0.281549,0.042839,0.301506
0.650000,0.295941,0.083924,0.278771,0.324593,0.038466,0.257347,0.281726,0.042876,0.301365
0.660000,0.296104,0.083992,0.278635,0.324698,0.038502,0.257195,0.281890,0.042949,0.301285
0.670000,0.296254,0.084018,0.278515,0.324780,0.038516,0.257042,0.282111,0.043017,0.301135
0.680000,0.296390,0.084055,0.278399,0.324857,0.038494,0.256894,0.282303,0.043092,0.301104
0.690000,0.296512,0.084117,0.278293,0.324938,0.038525,0.256739,0.282492,0.043110,0.301037
0.700000,0.296634,0.084142,0.278188,0.325010,0.038525,0.256595,0.282649,0.043134,0.300962
0.710000,0.296739,0.084150,0.278077,0.325080,0.038591,0.256435,0.282831,0.043222,0.300918
0.720000,0.296846,0.084184,0.277970,0.325139,0.038685,0.256244,0.283002,0.043222,0.300858
0.730000,0.296928,0.084237,0.277860,0.325176,0.038707,0.256058,0.283144,0.043299,0.300808
0.740000,0.296964,0.084318,0.277751,0.325180,0.038784,0.255875,0.283325,0.043400,0.300799
0.750000,0.297023,0.084396,0.277660,0.325185,0.038926,0.255662,0.283443,0.043475,0.300747
0.760000,0.297028,0.084496,0.277543,0.325154,0.039046,0.255492,0.283562,0.043613,0.300728
0.770000,0.297035,0.084665,0.277430,0.325108,0.039188,0.255331,0.283627,0.043729,0.300668
0.780000,0.296999,0.084815,0.277339,0.325014,0.039352,0.255192,0.283650,0.043846,0.300597
0.790000,0.296908,0.085043,0.277276,0.324878,0.039519,0.255060,0.283677,0.044070,0.300559
0.800000,0.296807,0.085211,0.277193,0.324746,0.039737,0.254979,0.283642,0.044233,0.300541
0.810000,0.296713,0.085423,0.277176,0.324560,0.039924,0.254902,0.283592,0.044395,0.300525
0.820000,0.296594,0.085645,0.277155,0.324419,0.040095,0.254828,0.283520,0.044633,0.300536
