Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.075974,0.522390,0.330802,0.091549,0.473505,0.305814,0.085358,0.488288,0.365192
0.010000,0.075972,0.522385,0.330789,0.091545,0.473501,0.305797,0.085360,0.488280,0.365176
0.020000,0.075964,0.522377,0.330773,0.091532,0.473487,0.305784,0.085350,0.488280,0.365170
0.030000,0.075956,0.522372,0.330752,0.091529,0.473481,0.305776,0.085354,0.488270,0.365158
0.040000,0.075955,0.522367,0.330739,0.091521,0.473478,0.305767,0.085349,0.488275,0.365148
0.050000,0.075950,0.522369,0.330738,0.091519,0.473469,0.305766,0.085344,0.488272,0.365137
0.060000,0.075949,0.522366,0.330735,0.091524,0.473471,0.305762,0.085353,0.488243,0.365138
0.070000,0.075947,0.522355,0.330730,0.091516,0.473455,0.305765,0.085334,0.488267,0.365143
0.080000,0.075951,0.522356,0.330741,0.091520,0.473475,0.305772,0.085337,0.488262,0.365148
0.090000,0.075954,0.522364,0.330752,0.091527,0.473474,0.305794,0.085336,0.488288,0.365164
0.100000,0.075950,0.522378,0.330777,0.091537,0.473499,0.305812,0.085335,0.488283,0.365186
0.110000,0.075956,0.522377,0.330804,0.091541,0.473506,0.305829,0.085333,0.488278,0.365205
0.120000,0.075971,0.522387,0.330838,0.091554,0.473506,0.305863,0.085337,0.488275,0.365230
0.130000,0.075972,0.522380,0.330863,0.091565,0.473507,0.305880,0.085343,0.488263,0.365253
0.140000,0.075995,0.522377,0.330891,0.091558,0.473493,0.305901,0.085346,0.488254,0.365274
0.150000,0.076010,0.522366,0.330913,0.091568,0.473470,0.305924,0.085363,0.488213,0.365292
0.160000,0.076031,0.522349,0.330922,0.091573,0.473460,0.305929,0.085373,0.488196,0.365304
0.170000,0.076040,0.522328,0.330940,0.091596,0.473432,0.305957,0.085391,0.488167,0.365324
0.180000,0.076063,0.522311,0.330952,0.091602,0.473412,0.305957,0.085394,0.488150,0.365338
0.190000,0.076081,0.522295,0.330958,0.091605,0.473391,0.305970,0.085412,0.488146,0.365348
0.200000,0.076097,0.522283,0.330968,0.091623,0.473374,0.305983,0.085422,0.488115,0.365352
0.210000,0.076114,0.522268,0.330976,0.091638,0.473373,0.305989,0.085434,0.488116,0.365369
0.220000,0.076125,0.522262,0.330978,0.091637,0.473349,0.305995,0.085445,0.488105,0.365367
0.230000,0.076128,0.522248,0.330980,0.091643,0.473339,0.305989,0.085448,0.488105,0.365375
0.240000,0.076135,0.522253,0.330987,0.091640,0.473341,0.306007,0.085459,0.488084,0.365375
0.250000,0.076138,0.522245,0.330987,0.091643,0.473332,0.306009,0.085461,0.488079,0.365380
0.260000,0.076137,0.522248,0.330992,0.091052,0.472748,0.306424,0.085474,0.488068,0.365370
0.270000,0.076140,0.522246,0.330999,0.091636,0.473326,0.306014,0.085466,0.488072,0.365388
0.280000,0.076137,0.522239,0.331003,0.091639,0.473333,0.306013,0.085486,0.488065,0.365387
0.290000,0.076147,0.522239,0.331010,0.091063,0.472751,0.306428,0.085492,0.488062,0.365385
0.300000,0.076153,0.522240,0.331013,0.091060,0.472746,0.306438,0.085503,0.488062,0.365396
0.310000,0.076158,0.522236,0.331012,0.091649,0.473323,0.306025,0.085506,0.488063,0.365394
0.320000,0.076163,0.522229,0.331016,0.091663,0.473314,0.306034,0.085519,0.488057,0.365406
0.330000,0.076175,0.522226,0.331030,0.091672,0.473318,0.306042,0.085526,0.488052,0.365414
0.340000,0.076180,0.522222,0.331043,0.091683,0.473312,0.306058,0.085526,0.488039,0.365430
0.350000,0.076188,0.522214,0.331059,0.091686,0.473310,0.306073,0.085528,0.488036,0.365443
0.360000,0.076192,0.522208,0.331089,0.091690,0.473298,0.306092,0.085528,0.488026,0.365466
0.370000,0.076208,0.522205,0.331118,0.091700,0.473290,0.306129,0.085511,0.488033,0.365501
0.380000,0.076212,0.522203,0.331141,0.091696,0.473271,0.306154,0.085526,0.488023,0.365517
0.390000,0.076216,0.522194,0.331171,0.091700,0.473265,0.306178,0.085525,0.488008,0.365545
0.400000,0.076224,0.522203,0.331204,0.091707,0.473268,0.306214,0.085526,0.488010,0.365579
0.410000,0.076228,0.522170,0.331240,0.091737,0.473293,0.306247,0.085513,0.488007,0.365620
0.420000,0.076233,0.522173,0.331278,0.091739,0.473285,0.306279,0.085506,0.487995,0.365653
0.430000,0.076237,0.522159,0.331312,0.091749,0.473269,0.306307,0.085507,0.488002,0.365692
0.440000,0.076245,0.522159,0.331340,0.091755,0.473258,0.306341,0.085508,0.487996,0.365751
0.450000,0.076249,0.522148,0.331382,0.091753,0.473270,0.306363,0.085506,0.487987,0.365785
0.460000,0.076256,0.522126,0.331417,0.091757,0.473263,0.306381,0.085501,0.487967,0.365810
0.470000,0.076259,0.522117,0.331451,0.091747,0.473250,0.306409,0.085344,0.487937,0.365912
0.480000,0.076255,0.522117,0.331482,0.091745,0.473255,0.306435,0.085485,0.487945,0.365866
0.490000,0.076247,0.522108,0.331510,0.091742,0.473252,0.306450,0.085450,0.488115,0.366053
0.500000,0.076246,0.522107,0.331537,0.091727,0.473248,0.306479,0.085319,0.487905,0.365988
0.510000,0.076234,0.522102,0.331564,0.091725,0.472940,0.306254,0.085428,0.488102,0.366100
0.520000,0.076224,0.522101,0.331588,0.091708,0.472945,0.306280,0.085410,0.488095,0.366118
0.530000,0.076209,0.522110,0.331611,0.091703,0.472958,0.306304,0.085396,0.488106,0.366150
0.540000,0.076191,0.522127,0.331638,0.091696,0.472965,0.306321,0.085369,0.488103,0.366182
0.550000,0.076172,0.522138,0.331650,0.091682,0.472968,0.306337,0.085354,0.488117,0.366197
0.560000,0.076141,0.522152,0.331672,0.091653,0.472974,0.306364,0.085326,0.488117,0.366214
0.570000,0.076116,0.522163,0.331697,0.091646,0.472999,0.306377,0.085304,0.488123,0.366237
0.580000,0.076074,0.522165,0.331714,0.091617,0.472997,0.306395,0.085277,0.488133,0.366243
0.590000,0.076045,0.522167,0.331731,0.091597,0.473001,0.306405,0.085244,0.488133,0.366258
0.600000,0.076009,0.522170,0.331742,0.091585,0.473022,0.306421,0.085219,0.488138,0.366271
0.610000,0.075986,0.522181,0.331760,0.091558,0.473034,0.306428,0.085190,0.488133,0.366282
0.620000,0.075950,0.522186,0.331767,0.091513,0.473009,0.306467,0.085160,0.488150,0.366287
0.630000,0.075920,0.522197,0.331767,0.091496,0.473013,0.306474,0.085136,0.488154,0.366289
0.640000,0.075885,0.522209,0.331773,0.091507,0.473058,0.306446,0.085109,0.488171,0.366293
0.650000,0.075863,0.522212,0.331774,0.091474,0.473073,0.306446,0.085080,0.488178,0.366303
0.660000,0.075827,0.522226,0.331777,0.091438,0.473041,0.306483,0.085051,0.488203,0.366295
0.670000,0.075799,0.522243,0.331788,0.091417,0.473053,0.306488,0.085007,0.488231,0.366304
0.680000,0.075763,0.522262,0.331791,0.091403,0.473093,0.306499,0.084981,0.488243,0.366303
0.690000,0.075730,0.522283,0.331818,0.091382,0.473119,0.306508,0.084954,0.488268,0.366310
0.700000,0.075713,0.522312,0.331827,0.091373,0.473145,0.306526,0.084938,0.488286,0.366322
0.710000,0.075674,0.522339,0.331849,0.091364,0.473173,0.306547,0.084920,0.488305,0.366334
0.720000,0.075663,0.522348,0.331865,0.091361,0.473200,0.306545,0.084921,0.488325,0.366340
0.730000,0.075653,0.522355,0.331869,0.091349,0.473211,0.306558,0.084899,0.488321,0.366343
0.740000,0.075661,0.522377,0.331867,0.091352,0.473224,0.306552,0.084914,0.488334,0.366343
0.750000,0.075655,0.522381,0.331863,0.091355,0.473234,0.306551,0.084903,0.488337,0.366337
0.760000,0.075665,0.522392,0.331853,0.091353,0.473223,0.306537,0.084926,0.488361,0.366331
0.770000,0.075680,0.522387,0.331835,0.091371,0.473227,0.306527,0.084924,0.488351,0.366316
0.780000,0.075697,0.522386,0.331807,0.091383,0.473216,0.306506,0.084940,0.488354,0.366302
0.790000,0.075714,0.522365,0.331786,0.091391,0.473223,0.306491,0.084955,0.488349,0.366277
0.800000,0.075733,0.522381,0.331756,0.091397,0.473203,0.306463,0.084967,0.488353,0.366256
0.810000,0.075749,0.522366,0.331713,0.091423,0.473219,0.306400,0.084974,0.488339,0.366229
0.820000,0.075768,0.522359,0.331675,0.091430,0.473171,0.306397,0.085005,0.488354,0.366192
0.830000,0.075789,0.522354,0.331626,0.091447,0.473199,0.306327,0.085017,0.488362,0.366163
0.840000,0.075814,0.522352,0.331577,0.091459,0.473199,0.306292,0.085046,0.488355,0.366122
0.850000,0.075827,0.522369,0.331526,0.091469,0.473194,0.306257,0.085062,0.488354,0.366090
0.860000,0.075853,0.522372,0.331482,0.091486,0.473194,0.306224,0.085088,0.488356,0.366042
0.870000,0.075880,0.522387,0.331436,0.091503,0.473201,0.306185,0.085120,0.488376,0.366003
0.880000,0.075900,0.522385,0.331404,0.091517,0.473198,0.306153,0.085148,0.488384,0.365971
0.890000,0.075932,0.522393,0.331363,0.091537,0.473192,0.306120,0.085177,0.488401,0.365935
0.900000,0.075959,0.522397,0.331325,0.091571,0.473496,0.306329,0.085208,0.488403,0.365896
0.910000,0.075983,0.522396,0.331291,0.091608,0.473518,0.306309,0.085238,0.488418,0.365855
0.920000,0.076009,0.522398,0.331259,0.091614,0.473494,0.306274,0.085151,0.488228,0.365739
0.930000,0.076035,0.522393,0.331235,0.091657,0.473523,0.306260,0.085337,0.488220,0.365646
0.940000,0.076060,0.522392,0.331212,0.091684,0.473515,0.306244,0.085362,0.488201,0.365611
0.950000,0.076087,0.522384,0.331193,0.091709,0.473507,0.306226,0.085385,0.488203,0.365580
0.960000,0.076122,0.522378,0.331176,0.091741,0.473502,0.306218,0.085418,0.488206,0.365575
0.970000,0.076151,0.522374,0.331154,0.091771,0.473493,0.306200,0.085445,0.488212,0.365559
0.980000,0.076187,0.522362,0.331136,0.091799,0.473485,0.306184,0.085481,0.488208,0.365541
0.990000,0.076216,0.522348,0.331112,0.091832,0.473464,0.306165,0.085510,0.488209,0.365526
1.000000,0.076263,0.522344,0.331104,0.091869,0.473458,0.306165,0.085553,0.488192,0.365518
1.010000,0.076286,0.522330,0.331093,0.091904,0.473443,0.306150,0.085590,0.488182,0.365506
1.020000,0.076329,0.522320,0.331082,0.091922,0.473416,0.306134,0.085641,0.488175,0.365487
1.030000,0.076367,0.522318,0.331070,0.091953,0.473401,0.306129,0.085675,0.488169,0.365483
1.040000,0.076400,0.522295,0.331070,0.091982,0.473392,0.306123,0.085705,0.488150,0.365472
1.050000,0.076437,0.522284,0.331068,0.092012,0.473384,0.306112,0.085734,0.488140,0.365474
1.060000,0.076462,0.522276,0.331069,0.092028,0.473372,0.306111,0.085760,0.488131,0.365465
1.070000,0.076488,0.522254,0.331066,0.092048,0.473356,0.306103,0.085795,0.488117,0.365474
1.080000,0.076524,0.522230,0.331068,0.092075,0.473339,0.306104,0.085820,0.488111,0.365462
1.090000,0.076547,0.522222,0.331070,0.092090,0.473338,0.306096,0.085847,0.488101,0.365474
1.100000,0.076574,0.522200,0.331069,0.092101,0.473311,0.306092,0.085871,0.488098,0.365471
1.110000,0.076591,0.522192,0.331065,0.092114,0.473311,0.306095,0.085880,0.488080,0.365473
