Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.761156,0.029368,0.138963,0.730211,0.040149,0.092531,0.789953,0.030779,0.099087
0.010000,0.761140,0.029377,0.138943,0.730181,0.040125,0.092494,0.789936,0.030775,0.099065
0.020000,0.761113,0.029384,0.138921,0.730174,0.040164,0.092491,0.789921,0.030775,0.099043
0.030000,0.761112,0.029421,0.138930,0.730173,0.040189,0.092487,0.789922,0.030810,0.099032
0.040000,0.761129,0.029438,0.138920,0.730170,0.040185,0.092486,0.789934,0.030859,0.099013
0.050000,0.761153,0.029456,0.138936,0.730175,0.040183,0.092486,0.789932,0.030858,0.099033
0.060000,0.761168,0.029459,0.138960,0.730201,0.040168,0.092503,0.789967,0.030864,0.099059
0.070000,0.761197,0.029464,0.138980,0.730214,0.040179,0.092544,0.790003,0.030903,0.099074
0.080000,0.761220,0.029484,0.139009,0.729953,0.038882,0.092375,0.789994,0.030881,0.099106
0.090000,0.761250,0.029500,0.139034,0.729979,0.038930,0.092445,0.790030,0.030959,0.099142
0.100000,0.761282,0.029509,0.139069,0.729988,0.038940,0.092480,0.790051,0.030976,0.099177
0.110000,0.761263,0.029585,0.139181,0.730031,0.038933,0.092517,0.790096,0.030986,0.099224
0.120000,0.761281,0.029603,0.139237,0.730043,0.038935,0.092569,0.790136,0.030953,0.099252
0.130000,0.761364,0.029547,0.139270,0.730088,0.038901,0.092623,0.790158,0.030943,0.099302
0.140000,0.761371,0.029527,0.139328,0.730111,0.038861,0.092685,0.790171,0.030919,0.099353
0.150000,0.761445,0.029437,0.139387,0.730141,0.038819,0.092715,0.790210,0.030915,0.099420
0.160000,0.761459,0.029392,0.139430,0.730183,0.038775,0.092746,0.790245,0.030878,0.099476
0.170000,0.761471,0.029392,0.139490,0.730236,0.038785,0.092762,0.790281,0.030837,0.099527
0.180000,0.761492,0.029337,0.139517,0.730258,0.038710,0.092802,0.790308,0.030775,0.099562
0.190000,0.761505,0.029290,0.139543,0.730295,0.038670,0.092827,0.790345,0.030732,0.099612
0.200000,0.761512,0.029249,0.139576,0.730311,0.038619,0.092863,0.790357,0.030682,0.099659
0.210000,0.761528,0.029187,0.139618,0.730335,0.038568,0.092877,0.790376,0.030605,0.099703
0.220000,0.761532,0.029165,0.139653,0.730356,0.038517,0.092919,0.790372,0.030494,0.099750
0.230000,0.761543,0.029114,0.139692,0.730379,0.038482,0.092947,0.790374,0.030423,0.099791
0.240000,0.761549,0.029055,0.139706,0.730392,0.038459,0.092988,0.790385,0.030370,0.099841
0.250000,0.761551,0.029003,0.139772,0.730394,0.038415,0.093022,0.790388,0.030299,0.099897
0.260000,0.761552,0.028963,0.139803,0.730422,0.038859,0.092916,0.790650,0.030503,0.099984
0.270000,0.761552,0.028900,0.139824,0.730405,0.038360,0.093076,0.790394,0.030209,0.099971
0.280000,0.761569,0.028877,0.139893,0.730409,0.038340,0.093093,0.790413,0.030126,0.099990
