Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.074122,0.543764,0.294592,-0.049239,0.500449,0.261290,-0.060103,0.505173,0.321945
0.010000,-0.074207,0.543730,0.294642,-0.049214,0.500438,0.261303,-0.060090,0.505164,0.321952
0.020000,-0.074188,0.543715,0.294651,-0.049192,0.500412,0.261316,-0.060067,0.505150,0.321962
0.030000,-0.074157,0.543701,0.294661,-0.049166,0.500399,0.261325,-0.060032,0.505129,0.321979
0.040000,-0.074121,0.543684,0.294668,-0.049144,0.500366,0.261328,-0.060003,0.505107,0.321975
0.050000,-0.074088,0.543664,0.294667,-0.049111,0.500353,0.261328,-0.059982,0.505089,0.321973
0.060000,-0.074049,0.543654,0.294656,-0.049091,0.500298,0.261309,-0.059948,0.505035,0.321967
0.070000,-0.074013,0.543616,0.294647,-0.049058,0.500269,0.261288,-0.059909,0.505032,0.321961
0.080000,-0.073970,0.543595,0.294630,-0.049021,0.500236,0.261264,-0.059873,0.504994,0.321933
0.090000,-0.073936,0.543575,0.294607,-0.049005,0.500201,0.261242,-0.059831,0.504987,0.321917
0.100000,-0.073908,0.543554,0.294583,-0.048979,0.500173,0.261214,-0.059799,0.504962,0.321892
0.110000,-0.073863,0.543549,0.294560,-0.048970,0.500149,0.261188,-0.059772,0.504956,0.321869
0.120000,-0.073697,0.543601,0.294507,-0.048954,0.500135,0.261167,-0.059738,0.504944,0.321854
0.130000,-0.073676,0.543594,0.294495,-0.048942,0.500132,0.261142,-0.059720,0.504936,0.321839
0.140000,-0.073648,0.543576,0.294472,-0.048732,0.500124,0.260991,-0.059679,0.504920,0.321818
0.150000,-0.073660,0.543544,0.294446,-0.048935,0.500089,0.261093,-0.059629,0.504891,0.321789
0.160000,-0.073626,0.543562,0.294435,-0.048706,0.500114,0.260936,-0.059618,0.504892,0.321767
0.170000,-0.073619,0.543567,0.294419,-0.048719,0.500092,0.260920,-0.059630,0.504861,0.321732
