Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.081057,0.542072,0.343956,-0.046938,0.500831,0.316016,-0.073765,0.502265,0.372181
0.010000,-0.081054,0.542069,0.343941,-0.046922,0.500822,0.316008,-0.073756,0.502262,0.372172
0.020000,-0.081021,0.542064,0.343939,-0.046909,0.500819,0.315999,-0.073738,0.502255,0.372167
0.030000,-0.080991,0.542075,0.343940,-0.046899,0.500810,0.315996,-0.073732,0.502255,0.372166
0.040000,-0.080997,0.542060,0.343918,-0.046894,0.500796,0.315999,-0.073722,0.502262,0.372159
0.050000,-0.080968,0.542075,0.343927,-0.046877,0.500794,0.315998,-0.073722,0.502254,0.372166
0.060000,-0.080947,0.542081,0.343925,-0.046878,0.500781,0.316009,-0.073722,0.502256,0.372162
0.070000,-0.080941,0.542082,0.343924,-0.046868,0.500780,0.316018,-0.073712,0.502260,0.372174
0.080000,-0.080931,0.542086,0.343916,-0.046858,0.500793,0.316020,-0.073714,0.502264,0.372180
0.090000,-0.080925,0.542095,0.343913,-0.046856,0.500772,0.316026,-0.073720,0.502268,0.372184
0.100000,-0.080928,0.542088,0.343912,-0.046864,0.500770,0.316039,-0.073723,0.502276,0.372187
0.110000,-0.080930,0.542116,0.343911,-0.046854,0.500779,0.316040,-0.073727,0.502292,0.372189
0.120000,-0.080932,0.542120,0.343905,-0.046861,0.500770,0.316050,-0.073736,0.502304,0.372198
0.130000,-0.080940,0.542127,0.343906,-0.046863,0.500790,0.316071,-0.073747,0.502328,0.372218
0.140000,-0.080956,0.542144,0.343921,-0.046876,0.500799,0.316093,-0.073751,0.502347,0.372232
0.150000,-0.080967,0.542163,0.343943,-0.046882,0.500814,0.316116,-0.073778,0.502374,0.372262
0.160000,-0.080976,0.542170,0.343980,-0.046882,0.500826,0.316160,-0.073795,0.502383,0.372313
0.170000,-0.080990,0.542173,0.344038,-0.046894,0.500837,0.316203,-0.073806,0.502389,0.372359
0.180000,-0.080998,0.542179,0.344101,-0.046897,0.500855,0.316257,-0.073805,0.502423,0.372411
0.190000,-0.081005,0.542190,0.344144,-0.046909,0.500852,0.316295,-0.073822,0.502423,0.372459
0.200000,-0.081012,0.542179,0.344182,-0.046925,0.500843,0.316329,-0.073845,0.502417,0.372508
0.210000,-0.081031,0.542178,0.344212,-0.046941,0.500839,0.316347,-0.073866,0.502412,0.372533
0.220000,-0.081077,0.542157,0.344230,-0.046968,0.500816,0.316375,-0.073899,0.502402,0.372556
0.230000,-0.081107,0.542150,0.344247,-0.047004,0.500813,0.316397,-0.073934,0.502397,0.372568
0.240000,-0.081168,0.542148,0.344276,-0.047040,0.500787,0.316419,-0.073975,0.502410,0.372608
0.250000,-0.081219,0.542141,0.344299,-0.047081,0.500778,0.316444,-0.074030,0.502406,0.372631
0.260000,-0.081274,0.542133,0.344325,-0.047125,0.500765,0.316475,-0.074093,0.502408,0.372657
0.270000,-0.081331,0.542129,0.344337,-0.047188,0.500748,0.316499,-0.074155,0.502403,0.372680
0.280000,-0.081399,0.542124,0.344354,-0.047258,0.500731,0.316533,-0.074225,0.502409,0.372698
0.290000,-0.081472,0.542118,0.344365,-0.047319,0.500725,0.316554,-0.074304,0.502410,0.372724
0.300000,-0.081547,0.542120,0.344379,-0.047380,0.500694,0.316590,-0.074384,0.502398,0.372744
0.310000,-0.081614,0.542126,0.344385,-0.047443,0.500675,0.316626,-0.074470,0.502410,0.372766
0.320000,-0.081704,0.542115,0.344391,-0.047522,0.500668,0.316663,-0.074563,0.502405,0.372787
0.330000,-0.081793,0.542130,0.344407,-0.047594,0.500669,0.316699,-0.074696,0.502433,0.372842
0.340000,-0.081885,0.542128,0.344427,-0.047668,0.500678,0.316753,-0.074802,0.502437,0.372864
0.350000,-0.081973,0.542139,0.344457,-0.047762,0.500681,0.316814,-0.074909,0.502452,0.372900
0.360000,-0.082073,0.542160,0.344489,-0.047851,0.500715,0.316850,-0.075021,0.502462,0.372925
0.370000,-0.082186,0.542204,0.344525,-0.047950,0.500726,0.316898,-0.075165,0.502477,0.372938
0.380000,-0.082296,0.542220,0.344548,-0.048038,0.500765,0.316921,-0.075276,0.502491,0.372953
0.390000,-0.082405,0.542246,0.344566,-0.048133,0.500821,0.316958,-0.075375,0.502512,0.372967
0.400000,-0.082505,0.542294,0.344590,-0.048217,0.500860,0.316973,-0.075477,0.502520,0.372969
0.410000,-0.082605,0.542325,0.344602,-0.048299,0.500906,0.316985,-0.075577,0.502555,0.372971
0.420000,-0.082683,0.542360,0.344602,-0.048384,0.500968,0.316981,-0.075660,0.502584,0.372973
0.430000,-0.082784,0.542398,0.344603,-0.048471,0.501042,0.316969,-0.075736,0.502598,0.372963
0.440000,-0.082857,0.542435,0.344588,-0.048564,0.501078,0.316947,-0.075803,0.502633,0.372939
