Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.171806,0.530461,0.212917,0.194640,0.483320,0.190029,0.173384,0.494345,0.246297
0.010000,0.171802,0.530466,0.212919,0.194637,0.483320,0.190031,0.173379,0.494349,0.246309
0.020000,0.171812,0.530471,0.212930,0.194641,0.483331,0.190039,0.173387,0.494347,0.246307
0.030000,0.171819,0.530479,0.212941,0.194651,0.483345,0.190048,0.173396,0.494347,0.246312
0.040000,0.171838,0.530465,0.212945,0.194664,0.483324,0.190054,0.173406,0.494341,0.246317
0.050000,0.171865,0.530473,0.212946,0.194681,0.483327,0.190049,0.173426,0.494336,0.246315
0.060000,0.171896,0.530465,0.212947,0.194697,0.483328,0.190050,0.173443,0.494329,0.246317
0.070000,0.171925,0.530456,0.212945,0.194710,0.483299,0.190045,0.173461,0.494313,0.246320
0.080000,0.171943,0.530451,0.212942,0.194735,0.483281,0.190044,0.173471,0.494300,0.246312
0.090000,0.171966,0.530440,0.212940,0.194735,0.483264,0.190039,0.173482,0.494304,0.246311
0.100000,0.171968,0.530440,0.212936,0.194745,0.483267,0.190029,0.173492,0.494299,0.246304
0.110000,0.171971,0.530443,0.212924,0.194740,0.483278,0.190024,0.173498,0.494308,0.246300
0.120000,0.171964,0.530441,0.212903,0.194749,0.483292,0.189994,0.173488,0.494309,0.246280
0.130000,0.171954,0.530452,0.212882,0.194726,0.483299,0.189969,0.173480,0.494327,0.246254
0.140000,0.171941,0.530456,0.212848,0.194715,0.483306,0.189941,0.173474,0.494322,0.246221
0.150000,0.171928,0.530458,0.212785,0.193783,0.482238,0.189372,0.173467,0.494321,0.246182
0.160000,0.171898,0.530485,0.212738,0.193766,0.482248,0.189333,0.173458,0.494354,0.246150
0.170000,0.171873,0.530495,0.212691,0.193753,0.482268,0.189297,0.173450,0.494363,0.246100
0.180000,0.171858,0.530508,0.212640,0.193721,0.482260,0.189240,0.173437,0.494396,0.246055
0.190000,0.171815,0.530522,0.212598,0.193699,0.482274,0.189188,0.173416,0.494401,0.245997
