Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.182271,0.527404,0.218642,0.204445,0.480396,0.194799,0.185011,0.491283,0.251877
0.010000,0.182294,0.527397,0.218638,0.204468,0.480380,0.194793,0.185019,0.491259,0.251873
0.020000,0.182301,0.527370,0.218630,0.204472,0.480363,0.194784,0.185034,0.491240,0.251860
0.030000,0.182315,0.527359,0.218617,0.204480,0.480341,0.194780,0.185037,0.491228,0.251851
0.040000,0.182321,0.527349,0.218605,0.204475,0.480326,0.194760,0.185041,0.491218,0.251838
0.050000,0.182317,0.527353,0.218588,0.204476,0.480320,0.194747,0.185035,0.491217,0.251825
0.060000,0.182307,0.527350,0.218565,0.204461,0.480310,0.194729,0.185025,0.491213,0.251813
0.070000,0.182291,0.527351,0.218543,0.204451,0.480324,0.194713,0.185005,0.491229,0.251790
0.080000,0.182265,0.527370,0.218517,0.204410,0.480321,0.194693,0.184988,0.491231,0.251764
0.090000,0.182227,0.527380,0.218502,0.204397,0.480400,0.194665,0.184961,0.491256,0.251747
0.100000,0.182189,0.527399,0.218475,0.204358,0.480416,0.194645,0.184929,0.491279,0.251736
0.110000,0.182143,0.527423,0.218454,0.204310,0.480461,0.194627,0.184890,0.491313,0.251717
0.120000,0.182093,0.527451,0.218438,0.204265,0.480490,0.194619,0.184846,0.491339,0.251701
0.130000,0.182037,0.527484,0.218416,0.204218,0.480508,0.194594,0.184807,0.491360,0.251690
0.140000,0.181964,0.527530,0.218394,0.204172,0.480537,0.194579,0.184763,0.491381,0.251669
0.150000,0.181911,0.527548,0.218380,0.204134,0.480576,0.194567,0.184715,0.491444,0.251668
0.160000,0.181859,0.527575,0.218378,0.204106,0.480609,0.194569,0.184675,0.491475,0.251667
0.170000,0.181806,0.527588,0.218388,0.204064,0.480649,0.194571,0.184640,0.491487,0.251671
0.180000,0.181762,0.527604,0.218394,0.204044,0.480652,0.194581,0.184622,0.491509,0.251685
0.190000,0.181752,0.527609,0.218418,0.204040,0.480670,0.194605,0.184611,0.491507,0.251701
0.200000,0.181753,0.527603,0.218461,0.204043,0.480685,0.194632,0.184606,0.491501,0.251728
0.210000,0.181765,0.527605,0.218500,0.204058,0.480678,0.194667,0.184623,0.491496,0.251757
0.220000,0.181786,0.527588,0.218536,0.204076,0.480672,0.194698,0.184646,0.491464,0.251789
0.230000,0.181824,0.527576,0.218577,0.204110,0.480644,0.194728,0.184681,0.491454,0.251829
0.240000,0.181882,0.527537,0.218633,0.204142,0.480631,0.194768,0.184723,0.491393,0.251863
0.250000,0.181933,0.527512,0.218679,0.204182,0.480599,0.194808,0.184758,0.491370,0.251914
0.260000,0.181984,0.527464,0.218727,0.204222,0.480529,0.194863,0.184794,0.491332,0.251950
0.270000,0.182028,0.527444,0.218771,0.204253,0.480488,0.194909,0.184823,0.491302,0.252001
0.280000,0.182081,0.527407,0.218808,0.204286,0.480454,0.194942,0.184848,0.491290,0.252041
0.290000,0.182120,0.527379,0.218837,0.204335,0.480399,0.194977,0.184867,0.491242,0.252067
0.300000,0.182149,0.527355,0.218863,0.204359,0.480371,0.195000,0.184891,0.491207,0.252086
0.310000,0.182187,0.527315,0.218866,0.204376,0.480352,0.195018,0.184911,0.491196,0.252105
0.320000,0.182204,0.527310,0.218869,0.204398,0.480331,0.195018,0.184916,0.491170,0.252106
0.330000,0.182210,0.527302,0.218864,0.204401,0.480289,0.195028,0.184925,0.491167,0.252105
0.340000,0.182209,0.527285,0.218865,0.204401,0.480276,0.195024,0.184933,0.491159,0.252119
0.350000,0.182207,0.527286,0.218847,0.204398,0.480297,0.195008,0.184924,0.491150,0.252090
0.360000,0.182195,0.527279,0.218836,0.204386,0.480282,0.194980,0.184920,0.491136,0.252066
0.370000,0.182184,0.527283,0.218810,0.204376,0.480289,0.194969,0.184913,0.491159,0.252059
0.380000,0.182175,0.527289,0.218794,0.204356,0.480276,0.194939,0.184903,0.491159,0.252036
0.390000,0.182166,0.527279,0.218757,0.204339,0.480284,0.194913,0.184896,0.491155,0.252009
0.400000,0.182145,0.527280,0.218735,0.204319,0.480275,0.194885,0.184892,0.491160,0.251983
0.410000,0.182128,0.527288,0.218709,0.204305,0.480287,0.194855,0.184886,0.491159,0.251950
0.420000,0.182117,0.527288,0.218688,0.204298,0.480292,0.194833,0.184876,0.491157,0.251929
0.430000,0.182099,0.527312,0.218673,0.204291,0.480307,0.194815,0.184873,0.491177,0.251915
