Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.303959,0.063875,0.310820,0.331546,0.014516,0.300144,0.276979,0.026155,0.326965
0.010000,0.304017,0.063939,0.310774,0.331572,0.014523,0.300119,0.277019,0.026119,0.326919
0.020000,0.304030,0.063877,0.310790,0.331593,0.014530,0.300109,0.277027,0.026128,0.326958
0.030000,0.303994,0.063974,0.310754,0.331580,0.014491,0.300090,0.277029,0.026114,0.326913
0.040000,0.303796,0.064364,0.310791,0.331563,0.014488,0.300082,0.277003,0.026103,0.326934
0.050000,0.303972,0.063777,0.310758,0.331553,0.014471,0.300072,0.276987,0.026100,0.326912
0.060000,0.303937,0.063833,0.310752,0.331511,0.014442,0.300054,0.276964,0.026045,0.326860
0.070000,0.303897,0.063791,0.310744,0.331484,0.014436,0.300054,0.276910,0.026048,0.326849
0.080000,0.303857,0.063868,0.310709,0.331432,0.014414,0.300042,0.276868,0.026021,0.326828
0.090000,0.303753,0.063789,0.310759,0.331386,0.014375,0.300040,0.276813,0.026006,0.326811
0.100000,0.303672,0.063775,0.310706,0.331335,0.014344,0.300024,0.276755,0.025996,0.326838
0.110000,0.303637,0.063680,0.310715,0.331294,0.014297,0.300007,0.276719,0.025931,0.326773
0.120000,0.303607,0.063636,0.310688,0.331236,0.014228,0.299962,0.276677,0.025887,0.326749
0.130000,0.303581,0.063600,0.310666,0.331230,0.014236,0.299967,0.276631,0.025870,0.326751
0.140000,0.303551,0.063628,0.310608,0.331179,0.014161,0.299897,0.276606,0.025808,0.326669
0.150000,0.303545,0.063541,0.310601,0.331173,0.014144,0.299853,0.276590,0.025746,0.326609
0.160000,0.303529,0.063560,0.310541,0.331186,0.014160,0.299787,0.276576,0.025696,0.326559
0.170000,0.303524,0.063524,0.310501,0.331217,0.014240,0.299720,0.276572,0.025656,0.326505
0.180000,0.303550,0.063467,0.310440,0.331205,0.014188,0.299662,0.276575,0.025613,0.326448
0.190000,0.303601,0.063450,0.310384,0.331190,0.014116,0.299574,0.276582,0.025584,0.326378
0.200000,0.303605,0.063411,0.310355,0.331190,0.014057,0.299508,0.276591,0.025545,0.326338
0.210000,0.303625,0.063402,0.310305,0.331188,0.014016,0.299454,0.276616,0.025511,0.326287
0.220000,0.303638,0.063343,0.310246,0.331193,0.013967,0.299397,0.276631,0.025468,0.326247
0.230000,0.303652,0.063297,0.310211,0.331192,0.013925,0.299344,0.276636,0.025425,0.326210
0.240000,0.303654,0.063291,0.310179,0.331183,0.013894,0.299298,0.276642,0.025417,0.326174
0.250000,0.303654,0.063264,0.310151,0.331176,0.013855,0.299258,0.276644,0.025401,0.326133
0.260000,0.303649,0.063227,0.310130,0.331172,0.013792,0.299216,0.276629,0.025374,0.326109
0.270000,0.303622,0.063219,0.310111,0.331141,0.013791,0.299201,0.276606,0.025342,0.326080
0.280000,0.303610,0.063189,0.310090,0.331095,0.013747,0.299191,0.276573,0.025322,0.326056
0.290000,0.303567,0.063182,0.310074,0.331061,0.013726,0.299182,0.276523,0.025308,0.326031
0.300000,0.303537,0.063145,0.310039,0.331041,0.013719,0.299171,0.276478,0.025274,0.326009
0.310000,0.303521,0.063134,0.310041,0.331014,0.013723,0.299161,0.276453,0.025277,0.325987
0.320000,0.303496,0.063122,0.310017,0.330989,0.013721,0.299159,0.276413,0.025261,0.325961
0.330000,0.303490,0.063126,0.310012,0.330963,0.013710,0.299152,0.276397,0.025284,0.325953
0.340000,0.303477,0.063148,0.310012,0.330966,0.013728,0.299152,0.276390,0.025275,0.325945
0.350000,0.303484,0.063151,0.309996,0.330974,0.013733,0.299144,0.276393,0.025293,0.325939
0.360000,0.303499,0.063172,0.309999,0.330970,0.013742,0.299145,0.276400,0.025332,0.325952
0.370000,0.303514,0.063199,0.310003,0.330975,0.013746,0.299134,0.276420,0.025356,0.325957
0.380000,0.303539,0.063223,0.310007,0.331000,0.013784,0.299135,0.276449,0.025381,0.325962
0.390000,0.303549,0.063268,0.310016,0.331019,0.013812,0.299141,0.276467,0.025428,0.325984
0.400000,0.303587,0.063264,0.310021,0.331041,0.013831,0.299162,0.276517,0.025435,0.325997
0.410000,0.303616,0.063300,0.310052,0.331063,0.013840,0.299167,0.276527,0.025469,0.326026
0.420000,0.303644,0.063305,0.310056,0.331096,0.013867,0.299179,0.276572,0.025474,0.326052
0.430000,0.303659,0.063334,0.310062,0.331111,0.013876,0.299191,0.276597,0.025496,0.326067
0.440000,0.303682,0.063315,0.310063,0.331129,0.013855,0.299198,0.276629,0.025486,0.326071
0.450000,0.303701,0.063318,0.310059,0.331146,0.013857,0.299193,0.276640,0.025487,0.326085
0.460000,0.303697,0.063282,0.310058,0.331137,0.013812,0.299190,0.276643,0.025473,0.326092
0.470000,0.303690,0.063271,0.310063,0.331127,0.013798,0.299186,0.276641,0.025452,0.326099
0.480000,0.303666,0.063258,0.310060,0.331113,0.013756,0.299180,0.276607,0.025414,0.326095
0.490000,0.303635,0.063215,0.310058,0.331082,0.013751,0.299184,0.276570,0.025395,0.326076
0.500000,0.303598,0.063173,0.310037,0.331045,0.013728,0.299180,0.276529,0.025360,0.326060
0.510000,0.303555,0.063149,0.310035,0.330987,0.013689,0.299170,0.276465,0.025338,0.326048
0.520000,0.303515,0.063155,0.310038,0.330926,0.013658,0.299178,0.276401,0.025312,0.326039
0.530000,0.303449,0.063072,0.310047,0.330891,0.013646,0.299200,0.276338,0.025268,0.326017
0.540000,0.303398,0.063031,0.310051,0.330847,0.013611,0.299217,0.276252,0.025270,0.326032
0.550000,0.303333,0.063020,0.310073,0.330773,0.013534,0.299223,0.276198,0.025226,0.326028
0.560000,0.303303,0.063002,0.310093,0.330749,0.013529,0.299240,0.276159,0.025185,0.326030
0.570000,0.303287,0.062970,0.310105,0.330725,0.013491,0.299264,0.276124,0.025170,0.326036
0.580000,0.303289,0.062944,0.310126,0.330732,0.013490,0.299286,0.276116,0.025152,0.326041
0.590000,0.303298,0.062940,0.310127,0.330709,0.013388,0.299299,0.276125,0.025154,0.326063
0.600000,0.303315,0.062951,0.310136,0.330742,0.013466,0.299290,0.276158,0.025149,0.326080
0.610000,0.303342,0.062889,0.310154,0.330711,0.013313,0.299289,0.276177,0.025152,0.326096
0.620000,0.303350,0.062922,0.310136,0.330724,0.013335,0.299272,0.276191,0.025133,0.326114
0.630000,0.303371,0.062859,0.310151,0.330722,0.013300,0.299256,0.276205,0.025120,0.326111
0.640000,0.303368,0.062894,0.310144,0.330696,0.013251,0.299255,0.276224,0.025101,0.326114
0.650000,0.303370,0.062801,0.310160,0.330706,0.013221,0.299246,0.276208,0.025066,0.326117
0.660000,0.303360,0.062790,0.310171,0.330691,0.013196,0.299256,0.276194,0.025040,0.326116
0.670000,0.303352,0.062753,0.310174,0.330660,0.013156,0.299261,0.276168,0.025028,0.326127
0.680000,0.303311,0.062703,0.310178,0.330650,0.013139,0.299278,0.276134,0.024973,0.326133
0.690000,0.303284,0.062631,0.310200,0.330622,0.013113,0.299287,0.276109,0.024947,0.326133
0.700000,0.303269,0.062634,0.310183,0.330586,0.013059,0.299278,0.276071,0.024905,0.326131
0.710000,0.303237,0.062558,0.310199,0.330544,0.013004,0.299281,0.276038,0.024847,0.326126
0.720000,0.303222,0.062474,0.310195,0.330481,0.012921,0.299280,0.275996,0.024812,0.326144
0.730000,0.303166,0.062463,0.310195,0.330457,0.012923,0.299290,0.275956,0.024787,0.326139
0.740000,0.303141,0.062429,0.310189,0.330416,0.012849,0.299277,0.275921,0.024745,0.326134
0.750000,0.303115,0.062384,0.310211,0.330404,0.012868,0.299287,0.275903,0.024711,0.326135
0.760000,0.303094,0.062395,0.310198,0.330360,0.012815,0.299286,0.275872,0.024704,0.326135
0.770000,0.303078,0.062422,0.310221,0.330376,0.012834,0.299292,0.275856,0.024705,0.326123
0.780000,0.303062,0.062413,0.310216,0.330341,0.012810,0.299279,0.275845,0.024700,0.326121
0.790000,0.303072,0.062418,0.310214,0.330352,0.012857,0.299299,0.275829,0.024700,0.326110
0.800000,0.303070,0.062441,0.310220,0.330355,0.012869,0.299300,0.275834,0.024732,0.326121
0.810000,0.303073,0.062465,0.310220,0.330355,0.012885,0.299300,0.275849,0.024753,0.326123
0.820000,0.303091,0.062480,0.310233,0.330360,0.012882,0.299318,0.275855,0.024779,0.326140
0.830000,0.303115,0.062522,0.310278,0.330379,0.012913,0.299335,0.275884,0.024829,0.326167
0.840000,0.303141,0.062570,0.310299,0.330419,0.012961,0.299348,0.275925,0.024881,0.326199
0.850000,0.303208,0.062567,0.310314,0.330457,0.012999,0.299379,0.275953,0.024907,0.326241
0.860000,0.303039,0.063036,0.310399,0.330498,0.013012,0.299405,0.276018,0.024927,0.326271
0.870000,0.303073,0.063069,0.310447,0.330515,0.013005,0.299435,0.276046,0.024950,0.326314
0.880000,0.303101,0.063084,0.310459,0.330553,0.013037,0.299468,0.276080,0.024989,0.326377
0.890000,0.303130,0.063098,0.310481,0.330573,0.013038,0.299485,0.276103,0.024998,0.326401
0.900000,0.303386,0.062613,0.310404,0.330620,0.013082,0.299506,0.276126,0.025009,0.326429
0.910000,0.303159,0.063108,0.310502,0.330634,0.013058,0.299514,0.276131,0.025011,0.326437
0.920000,0.303180,0.063103,0.310498,0.330641,0.013051,0.299513,0.276142,0.024991,0.326430
0.930000,0.303426,0.062611,0.310419,0.330646,0.013050,0.299525,0.276161,0.025014,0.326433
0.940000,0.303437,0.062620,0.310410,0.330685,0.013056,0.299532,0.276167,0.025010,0.326426
0.950000,0.303201,0.063106,0.310491,0.330689,0.013076,0.299520,0.276181,0.024991,0.326414
0.960000,0.303455,0.062622,0.310391,0.330696,0.013040,0.299506,0.276202,0.024979,0.326360
0.970000,0.303448,0.062641,0.310350,0.330726,0.013082,0.299496,0.276224,0.024996,0.326324
0.980000,0.303498,0.062603,0.310333,0.330736,0.013059,0.299477,0.276255,0.025002,0.326306
0.990000,0.303565,0.062606,0.310291,0.330770,0.013074,0.299445,0.276294,0.025018,0.326290
1.000000,0.303608,0.062643,0.310282,0.330776,0.013052,0.299422,0.276349,0.025002,0.326253
1.010000,0.303623,0.062687,0.310257,0.330851,0.013124,0.299385,0.276400,0.025035,0.326244
1.020000,0.303683,0.062656,0.310229,0.330883,0.013134,0.299349,0.276444,0.025048,0.326216
1.030000,0.303720,0.062687,0.310214,0.330918,0.013154,0.299321,0.276490,0.025071,0.326202
1.040000,0.303747,0.062755,0.310198,0.330941,0.013189,0.299300,0.276539,0.025102,0.326204
1.050000,0.303787,0.062773,0.310168,0.330977,0.013195,0.299266,0.276565,0.025141,0.326186
1.060000,0.303801,0.062795,0.310158,0.330980,0.013180,0.299244,0.276585,0.025149,0.326158
1.070000,0.303791,0.062880,0.310137,0.330997,0.013221,0.299215,0.276581,0.025177,0.326145
1.080000,0.303790,0.062856,0.310117,0.330963,0.013195,0.299209,0.276572,0.025176,0.326133
1.090000,0.303512,0.063371,0.310177,0.330968,0.013218,0.299194,0.276546,0.025166,0.326113
1.100000,0.303737,0.062839,0.310064,0.330932,0.013201,0.299167,0.276518,0.025148,0.326084
1.110000,0.303451,0.063341,0.310123,0.330894,0.013195,0.299155,0.276482,0.025142,0.326057
1.120000,0.303411,0.063319,0.310112,0.330869,0.013184,0.299149,0.276438,0.025135,0.326045
1.130000,0.303380,0.063313,0.310112,0.330872,0.013285,0.299141,0.276380,0.025116,0.326024
1.140000,0.303545,0.062878,0.310050,0.330793,0.013185,0.299151,0.276344,0.025112,0.326004
1.150000,0.303311,0.063296,0.310109,0.330787,0.013236,0.299180,0.276311,0.025097,0.325997
1.160000,0.303511,0.062889,0.310068,0.330788,0.013325,0.299176,0.276261,0.025151,0.326012
1.170000,0.303496,0.062929,0.310076,0.330769,0.013295,0.299214,0.276258,0.025184,0.326029
1.180000,0.303491,0.062970,0.310110,0.330772,0.013342,0.299257,0.276251,0.025231,0.326047
1.190000,0.303494,0.063016,0.310140,0.330814,0.013518,0.299286,0.276256,0.025272,0.326091
1.200000,0.303462,0.063090,0.310211,0.330757,0.013395,0.299349,0.276251,0.025320,0.326148
1.210000,0.303471,0.063133,0.310252,0.330765,0.013431,0.299403,0.276249,0.025359,0.326218
1.220000,0.303485,0.063178,0.310327,0.330756,0.013434,0.299491,0.276266,0.025416,0.326280
1.230000,0.303304,0.063574,0.310477,0.330791,0.013504,0.299551,0.276277,0.025448,0.326356
1.240000,0.303527,0.063177,0.310442,0.330804,0.013548,0.299614,0.276308,0.025494,0.326427
1.250000,0.303337,0.063576,0.310585,0.330865,0.013596,0.299699,0.276346,0.025534,0.326479
1.260000,0.303580,0.063234,0.310527,0.330883,0.013628,0.299742,0.276377,0.025547,0.326539
1.270000,0.303375,0.063605,0.310658,0.330910,0.013661,0.299788,0.276400,0.025552,0.326578
1.280000,0.303392,0.063598,0.310683,0.330935,0.013675,0.299823,0.276404,0.025570,0.326655
1.290000,0.303408,0.063592,0.310700,0.330936,0.013668,0.299844,0.276419,0.025578,0.326687
1.300000,0.303415,0.063588,0.310719,0.330959,0.013667,0.299869,0.276433,0.025568,0.326711
1.310000,0.303654,0.063105,0.310651,0.330964,0.013659,0.299878,0.276426,0.025582,0.326733
1.320000,0.303414,0.063606,0.310743,0.330963,0.013661,0.299896,0.276433,0.025563,0.326730
1.330000,0.303417,0.063618,0.310754,0.330983,0.013701,0.299907,0.276442,0.025579,0.326728
1.340000,0.303414,0.063622,0.310756,0.330992,0.013715,0.299920,0.276433,0.025600,0.326754
1.350000,0.303418,0.063636,0.310762,0.330991,0.013744,0.299926,0.276439,0.025623,0.326736
1.360000,0.303608,0.063254,0.310714,0.331000,0.013766,0.299951,0.276428,0.025627,0.326774
1.370000,0.303595,0.063246,0.310718,0.330993,0.013802,0.299977,0.276421,0.025671,0.326789
1.380000,0.303585,0.063256,0.310743,0.330976,0.013801,0.299998,0.276393,0.025671,0.326793
1.390000,0.303564,0.063260,0.310749,0.330957,0.013830,0.300023,0.276381,0.025680,0.326817
1.400000,0.303527,0.063333,0.310778,0.330941,0.013852,0.300055,0.276352,0.025691,0.326849
1.410000,0.303507,0.063340,0.310799,0.330916,0.013851,0.300092,0.276328,0.025703,0.326876
1.420000,0.303510,0.063325,0.310823,0.330907,0.013887,0.300135,0.276307,0.025738,0.326892
1.430000,0.303482,0.063391,0.310844,0.330899,0.013904,0.300174,0.276286,0.025764,0.326898
1.440000,0.303477,0.063382,0.310861,0.330896,0.013953,0.300204,0.276264,0.025801,0.326912
1.450000,0.303454,0.063432,0.310892,0.330890,0.013964,0.300224,0.276268,0.025814,0.326923
1.460000,0.303478,0.063408,0.310899,0.330912,0.013997,0.300244,0.276270,0.025831,0.326935
1.470000,0.303497,0.063406,0.310911,0.330942,0.014043,0.300267,0.276281,0.025851,0.326943
1.480000,0.303497,0.063467,0.310930,0.330937,0.014019,0.300263,0.276301,0.025851,0.326954
1.490000,0.303548,0.063432,0.310934,0.330956,0.014022,0.300283,0.276338,0.025869,0.326969
1.500000,0.303572,0.063434,0.310951,0.330988,0.014025,0.300287,0.276365,0.025889,0.326984
1.510000,0.303608,0.063391,0.310954,0.331001,0.014028,0.300291,0.276390,0.025882,0.326988
1.520000,0.303650,0.063406,0.310977,0.331038,0.014041,0.300307,0.276420,0.025891,0.327015
1.530000,0.303670,0.063412,0.310994,0.331062,0.014041,0.300317,0.276428,0.025912,0.327032
1.540000,0.303724,0.063467,0.311036,0.331065,0.014037,0.300338,0.276442,0.025918,0.327060
1.550000,0.303726,0.063449,0.311043,0.331065,0.014023,0.300360,0.276438,0.025892,0.327063
1.560000,0.303721,0.063463,0.311068,0.331047,0.014006,0.300385,0.276432,0.025904,0.327081
1.570000,0.303832,0.062979,0.310882,0.331054,0.014030,0.300411,0.276412,0.025898,0.327098
1.580000,0.303866,0.063027,0.310925,0.331001,0.013992,0.300436,0.276393,0.025910,0.327115
1.590000,0.303794,0.062973,0.310902,0.331009,0.014034,0.300476,0.276366,0.025909,0.327130
1.600000,0.303776,0.062966,0.310924,0.330975,0.014030,0.300503,0.276323,0.025900,0.327131
1.610000,0.303750,0.062953,0.310925,0.330951,0.014036,0.300518,0.276285,0.025911,0.327146
1.620000,0.303731,0.062945,0.310937,0.330924,0.014021,0.300538,0.276246,0.025891,0.327135
1.630000,0.303686,0.062922,0.310932,0.330889,0.014055,0.300568,0.276205,0.025866,0.327144
1.640000,0.303654,0.062909,0.310940,0.330837,0.014016,0.300555,0.276157,0.025882,0.327144
1.650000,0.303589,0.062956,0.310944,0.330821,0.014045,0.300581,0.276116,0.025870,0.327141
1.660000,0.303596,0.062869,0.310961,0.330781,0.014046,0.300596,0.276074,0.025846,0.327139
1.670000,0.303494,0.063006,0.310960,0.330729,0.014001,0.300569,0.276026,0.025813,0.327122
1.680000,0.303453,0.062923,0.310974,0.330688,0.013983,0.300574,0.275961,0.025822,0.327136
1.690000,0.303377,0.062984,0.310978,0.330665,0.014019,0.300603,0.275906,0.025802,0.327130
1.700000,0.303336,0.062955,0.310996,0.330603,0.013998,0.300614,0.275855,0.025774,0.327114
1.710000,0.303282,0.062882,0.311007,0.330539,0.013974,0.300613,0.275786,0.025768,0.327113
1.720000,0.303234,0.062864,0.311000,0.330466,0.013921,0.300618,0.275713,0.025739,0.327103
1.730000,0.303195,0.062819,0.310997,0.330429,0.013929,0.300615,0.275648,0.025714,0.327088
