Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.769778,0.055449,0.205344,0.750858,0.046672,0.152199,0.807557,0.042407,0.175697
0.010000,0.769798,0.055408,0.205342,0.750859,0.046631,0.152207,0.807542,0.042411,0.175712
0.020000,0.769773,0.055387,0.205370,0.750867,0.046657,0.152205,0.807551,0.042363,0.175715
0.030000,0.769768,0.055385,0.205352,0.750872,0.046617,0.152190,0.807270,0.042149,0.175642
0.040000,0.769786,0.055362,0.205347,0.750877,0.046609,0.152200,0.807264,0.042124,0.175643
0.050000,0.769785,0.055343,0.205311,0.750878,0.046571,0.152172,0.807555,0.042312,0.175708
0.060000,0.769787,0.055347,0.205314,0.750876,0.046555,0.152160,0.807536,0.042326,0.175708
0.070000,0.769773,0.055342,0.205299,0.750868,0.046542,0.152158,0.807265,0.042099,0.175640
0.080000,0.769795,0.055320,0.205327,0.750868,0.046516,0.152166,0.807552,0.042267,0.175703
0.090000,0.769769,0.055319,0.205352,0.750861,0.046506,0.152180,0.807552,0.042252,0.175710
0.100000,0.769790,0.055307,0.205323,0.750867,0.046516,0.152186,0.807256,0.042076,0.175653
0.110000,0.769796,0.055293,0.205330,0.750869,0.046501,0.152194,0.807564,0.042243,0.175710
0.120000,0.769794,0.055281,0.205332,0.750856,0.046512,0.152191,0.807275,0.042044,0.175647
0.130000,0.769792,0.055250,0.205346,0.750885,0.046504,0.152189,0.807564,0.042251,0.175728
0.140000,0.769801,0.055243,0.205348,0.750882,0.046521,0.152200,0.807282,0.042034,0.175644
0.150000,0.769801,0.055239,0.205364,0.750888,0.046499,0.152201,0.807587,0.042208,0.175727
0.160000,0.769791,0.055224,0.205389,0.750894,0.046490,0.152214,0.807301,0.042029,0.175659
0.170000,0.769797,0.055223,0.205410,0.750900,0.046512,0.152228,0.807315,0.042036,0.175685
0.180000,0.769829,0.055243,0.205412,0.750912,0.046543,0.152239,0.807607,0.042213,0.175776
0.190000,0.769838,0.055193,0.205438,0.750930,0.046538,0.152257,0.807334,0.042032,0.175719
0.200000,0.769847,0.055198,0.205455,0.750947,0.046556,0.152279,0.807354,0.042013,0.175727
0.210000,0.769845,0.055198,0.205474,0.750947,0.046565,0.152279,0.807378,0.042016,0.175747
0.220000,0.769860,0.055195,0.205480,0.750972,0.046546,0.152288,0.807371,0.042035,0.175764
0.230000,0.769865,0.055211,0.205494,0.750972,0.046580,0.152317,0.807384,0.042048,0.175770
0.240000,0.769888,0.055203,0.205510,0.750990,0.046581,0.152318,0.807407,0.042063,0.175808
0.250000,0.769881,0.055251,0.205547,0.751000,0.046596,0.152348,0.807431,0.042078,0.175816
0.260000,0.769925,0.055236,0.205545,0.751010,0.046602,0.152362,0.807457,0.042063,0.175819
0.270000,0.769940,0.055242,0.205565,0.751042,0.046607,0.152358,0.807471,0.042086,0.175841
