Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.220603,0.455105,0.626111,-0.209379,0.407556,0.596532,-0.203564,0.410234,0.655107
0.010000,-0.220589,0.455091,0.626099,-0.209366,0.407538,0.596526,-0.203546,0.410219,0.655107
0.020000,-0.220559,0.455076,0.626087,-0.209346,0.407525,0.596520,-0.203535,0.410200,0.655101
0.030000,-0.220540,0.455059,0.626086,-0.209326,0.407497,0.596520,-0.203525,0.410161,0.655113
0.040000,-0.220526,0.455042,0.626084,-0.209304,0.407477,0.596524,-0.203511,0.410137,0.655120
0.050000,-0.220499,0.454994,0.626092,-0.209288,0.407460,0.596521,-0.203502,0.410108,0.655118
0.060000,-0.220479,0.454975,0.626090,-0.209269,0.407452,0.596522,-0.203480,0.410115,0.655118
0.070000,-0.220459,0.454968,0.626081,-0.209258,0.407436,0.596516,-0.203482,0.410084,0.655122
0.080000,-0.220440,0.454952,0.626080,-0.209253,0.407429,0.596516,-0.203466,0.410080,0.655119
0.090000,-0.220432,0.454952,0.626073,-0.209235,0.407422,0.596508,-0.203456,0.410061,0.655112
0.100000,-0.220423,0.454934,0.626072,-0.209229,0.407392,0.596507,-0.203441,0.410062,0.655118
0.110000,-0.220407,0.454926,0.626062,-0.209217,0.407382,0.596503,-0.203440,0.410050,0.655110
0.120000,-0.220400,0.454910,0.626052,-0.209212,0.407370,0.596498,-0.203428,0.410041,0.655104
0.130000,-0.220397,0.454908,0.626050,-0.209202,0.407364,0.596495,-0.203428,0.410033,0.655104
0.140000,-0.220391,0.454905,0.626048,-0.209197,0.407363,0.596496,-0.203415,0.410051,0.655096
0.150000,-0.220390,0.454918,0.626059,-0.209193,0.407387,0.596502,-0.203408,0.410055,0.655107
0.160000,-0.220383,0.454929,0.626065,-0.209187,0.407401,0.596508,-0.203403,0.410048,0.655112
0.170000,-0.220370,0.454937,0.626074,-0.209169,0.407397,0.596509,-0.203390,0.410058,0.655120
0.180000,-0.220369,0.454938,0.626075,-0.209166,0.407399,0.596516,-0.203388,0.410071,0.655120
0.190000,-0.220359,0.454943,0.626078,-0.209158,0.407432,0.596516,-0.203372,0.410081,0.655121
0.200000,-0.220339,0.454957,0.626082,-0.209143,0.407413,0.596527,-0.203370,0.410076,0.655119
0.210000,-0.220320,0.454958,0.626080,-0.209142,0.407421,0.596524,-0.203364,0.410071,0.655134
0.220000,-0.220320,0.454959,0.626089,-0.209132,0.407406,0.596527,-0.203354,0.410087,0.655126
0.230000,-0.220314,0.454958,0.626094,-0.209128,0.407399,0.596535,-0.203353,0.410069,0.655139
0.240000,-0.220308,0.454949,0.626101,-0.209126,0.407404,0.596541,-0.203354,0.410071,0.655150
0.250000,-0.220300,0.454945,0.626106,-0.209125,0.407399,0.596544,-0.203349,0.410066,0.655148
0.260000,-0.220303,0.454932,0.626117,-0.209119,0.407389,0.596552,-0.203348,0.410058,0.655153
0.270000,-0.220287,0.454927,0.626120,-0.209123,0.407376,0.596564,-0.203343,0.410042,0.655162
0.280000,-0.220298,0.454913,0.626143,-0.209123,0.407363,0.596566,-0.203347,0.410029,0.655173
0.290000,-0.220291,0.454901,0.626154,-0.209127,0.407376,0.596583,-0.203345,0.410015,0.655188
0.300000,-0.220284,0.454890,0.626176,-0.209126,0.407346,0.596599,-0.203350,0.409994,0.655199
0.310000,-0.220284,0.454880,0.626201,-0.209132,0.407338,0.596617,-0.203352,0.409972,0.655217
0.320000,-0.220284,0.454882,0.626227,-0.209136,0.407340,0.596640,-0.203355,0.409968,0.655240
0.330000,-0.220288,0.454895,0.626271,-0.209141,0.407327,0.596666,-0.203369,0.409953,0.655265
0.340000,-0.220281,0.454898,0.626300,-0.209147,0.407347,0.596692,-0.203374,0.409954,0.655296
0.350000,-0.220303,0.454903,0.626348,-0.209149,0.407362,0.596723,-0.203392,0.409953,0.655316
0.360000,-0.220309,0.454909,0.626378,-0.209158,0.407362,0.596751,-0.203408,0.409942,0.655344
0.370000,-0.220324,0.454908,0.626403,-0.209157,0.407392,0.596795,-0.203426,0.409938,0.655376
0.380000,-0.220342,0.454911,0.626424,-0.209178,0.407403,0.596812,-0.203451,0.409950,0.655398
0.390000,-0.220369,0.454924,0.626442,-0.209194,0.407407,0.596828,-0.203474,0.409942,0.655425
0.400000,-0.220391,0.454940,0.626457,-0.209219,0.407418,0.596845,-0.203497,0.409963,0.655438
0.410000,-0.220426,0.454957,0.626473,-0.209231,0.407446,0.596861,-0.203514,0.409977,0.655445
0.420000,-0.220456,0.454962,0.626490,-0.209250,0.407464,0.596870,-0.203540,0.409982,0.655453
0.430000,-0.220486,0.454985,0.626496,-0.209269,0.407488,0.596881,-0.203557,0.409998,0.655467
0.440000,-0.220511,0.454996,0.626496,-0.209304,0.407509,0.596868,-0.203577,0.410022,0.655466
0.450000,-0.220544,0.455021,0.626499,-0.209320,0.407509,0.596880,-0.203598,0.410046,0.655463
0.460000,-0.220570,0.455030,0.626491,-0.209340,0.407543,0.596875,-0.203609,0.410069,0.655464
0.470000,-0.220601,0.455063,0.626490,-0.209370,0.407553,0.596874,-0.203636,0.410091,0.655456
0.480000,-0.220621,0.455088,0.626483,-0.209389,0.407575,0.596866,-0.203649,0.410115,0.655447
0.490000,-0.220642,0.455099,0.626484,-0.209402,0.407611,0.596860,-0.203664,0.410136,0.655450
0.500000,-0.220657,0.455121,0.626469,-0.209422,0.407626,0.596852,-0.203670,0.410168,0.655443
0.510000,-0.220671,0.455143,0.626455,-0.209419,0.407643,0.596853,-0.203670,0.410176,0.655439
0.520000,-0.220674,0.455147,0.626465,-0.209429,0.407653,0.596846,-0.203675,0.410193,0.655432
0.530000,-0.220674,0.455160,0.626453,-0.209436,0.407642,0.596841,-0.203673,0.410198,0.655428
0.540000,-0.220677,0.455152,0.626448,-0.209426,0.407657,0.596844,-0.203663,0.410189,0.655428
0.550000,-0.220662,0.455149,0.626458,-0.209425,0.407621,0.596843,-0.203647,0.410202,0.655420
0.560000,-0.220652,0.455120,0.626470,-0.209402,0.407638,0.596842,-0.203633,0.410182,0.655421
0.570000,-0.220633,0.455121,0.626458,-0.209389,0.407626,0.596845,-0.203619,0.410161,0.655426
0.580000,-0.220605,0.455100,0.626470,-0.209360,0.407605,0.596848,-0.203599,0.410146,0.655427
0.590000,-0.220576,0.455077,0.626478,-0.209332,0.407596,0.596855,-0.203574,0.410125,0.655443
0.600000,-0.220540,0.455056,0.626484,-0.209305,0.407563,0.596868,-0.203553,0.410095,0.655447
0.610000,-0.220506,0.455031,0.626492,-0.209270,0.407551,0.596874,-0.203530,0.410080,0.655457
0.620000,-0.220462,0.455020,0.626505,-0.209238,0.407525,0.596877,-0.203505,0.410053,0.655469
0.630000,-0.220422,0.455001,0.626506,-0.209207,0.407494,0.596890,-0.203474,0.410021,0.655482
0.640000,-0.220376,0.454976,0.626514,-0.209166,0.407470,0.596904,-0.203448,0.410006,0.655493
0.650000,-0.220331,0.454964,0.626516,-0.209123,0.407441,0.596916,-0.203417,0.409973,0.655500
0.660000,-0.220287,0.454930,0.626523,-0.209093,0.407414,0.596913,-0.203384,0.409949,0.655503
0.670000,-0.220247,0.454902,0.626522,-0.209060,0.407404,0.596914,-0.203351,0.409909,0.655511
0.680000,-0.220208,0.454883,0.626518,-0.209022,0.407366,0.596911,-0.203317,0.409890,0.655511
0.690000,-0.220174,0.454870,0.626518,-0.208989,0.407346,0.596911,-0.203295,0.409864,0.655515
0.700000,-0.220143,0.454863,0.626518,-0.208952,0.407317,0.596911,-0.203271,0.409852,0.655510
0.710000,-0.220101,0.454851,0.626515,-0.208934,0.407307,0.596910,-0.203238,0.409839,0.655506
0.720000,-0.220092,0.454838,0.626512,-0.208913,0.407302,0.596911,-0.203215,0.409833,0.655489
0.730000,-0.220056,0.454841,0.626516,-0.208893,0.407294,0.596907,-0.203193,0.409831,0.655493
0.740000,-0.220023,0.454833,0.626503,-0.208879,0.407292,0.596907,-0.203176,0.409819,0.655483
0.750000,-0.220005,0.454829,0.626509,-0.208869,0.407283,0.596907,-0.203157,0.409818,0.655489
0.760000,-0.219995,0.454829,0.626510,-0.208852,0.407295,0.596893,-0.203148,0.409821,0.655478
0.770000,-0.219987,0.454824,0.626509,-0.208840,0.407306,0.596894,-0.203134,0.409820,0.655479
0.780000,-0.219978,0.454826,0.626509,-0.208832,0.407294,0.596892,-0.203113,0.409837,0.655482
0.790000,-0.219971,0.454831,0.626509,-0.208825,0.407315,0.596895,-0.203103,0.409841,0.655479
0.800000,-0.219964,0.454836,0.626505,-0.208814,0.407313,0.596892,-0.203098,0.409839,0.655480
0.810000,-0.219956,0.454835,0.626503,-0.208806,0.407314,0.596888,-0.203096,0.409840,0.655481
0.820000,-0.219953,0.454840,0.626496,-0.208803,0.407332,0.596885,-0.203084,0.409856,0.655472
