Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.217499,0.456339,0.641533,-0.207480,0.410833,0.607515,-0.201415,0.408710,0.666589
0.010000,-0.217476,0.456338,0.641536,-0.207461,0.410827,0.607518,-0.201401,0.408703,0.666585
0.020000,-0.217455,0.456339,0.641533,-0.207445,0.410822,0.607515,-0.201387,0.408704,0.666581
0.030000,-0.217416,0.456358,0.641526,-0.207431,0.410819,0.607514,-0.201362,0.408698,0.666567
0.040000,-0.217395,0.456343,0.641517,-0.207410,0.410803,0.607504,-0.201343,0.408698,0.666557
0.050000,-0.217367,0.456328,0.641509,-0.207393,0.410786,0.607497,-0.201321,0.408682,0.666553
0.060000,-0.217336,0.456309,0.641501,-0.207369,0.410764,0.607494,-0.201301,0.408671,0.666551
0.070000,-0.217319,0.456283,0.641503,-0.207352,0.410758,0.607471,-0.201273,0.408646,0.666547
0.080000,-0.217287,0.456286,0.641495,-0.207331,0.410751,0.607471,-0.201248,0.408643,0.666543
0.090000,-0.217260,0.456280,0.641505,-0.207307,0.410753,0.607462,-0.201234,0.408629,0.666540
0.100000,-0.217235,0.456269,0.641501,-0.207283,0.410736,0.607465,-0.201208,0.408626,0.666539
0.110000,-0.217207,0.456272,0.641496,-0.207261,0.410732,0.607460,-0.201180,0.408614,0.666537
0.120000,-0.217177,0.456249,0.641486,-0.207237,0.410726,0.607450,-0.201158,0.408613,0.666530
0.130000,-0.217150,0.456242,0.641479,-0.207199,0.410733,0.607442,-0.201137,0.408608,0.666519
0.140000,-0.217120,0.456230,0.641470,-0.207181,0.410721,0.607429,-0.201116,0.408595,0.666511
0.150000,-0.217096,0.456221,0.641452,-0.207168,0.410704,0.607422,-0.201099,0.408601,0.666498
0.160000,-0.217086,0.456212,0.641436,-0.207153,0.410686,0.607405,-0.201085,0.408589,0.666483
0.170000,-0.217070,0.456204,0.641415,-0.207112,0.410677,0.607385,-0.201072,0.408582,0.666471
0.180000,-0.217062,0.456194,0.641397,-0.207117,0.410668,0.607367,-0.201062,0.408579,0.666457
0.190000,-0.217054,0.456175,0.641380,-0.207112,0.410654,0.607343,-0.201054,0.408564,0.666434
0.200000,-0.217060,0.456168,0.641354,-0.207111,0.410641,0.607322,-0.201045,0.408558,0.666411
0.210000,-0.217050,0.456166,0.641336,-0.207122,0.410629,0.607296,-0.201029,0.408541,0.666388
0.220000,-0.217055,0.456146,0.641321,-0.207125,0.410625,0.607273,-0.201040,0.408528,0.666355
0.230000,-0.217047,0.456140,0.641298,-0.207128,0.410615,0.607253,-0.201038,0.408525,0.666331
0.240000,-0.217051,0.456135,0.641275,-0.207133,0.410606,0.607234,-0.201028,0.408516,0.666314
0.250000,-0.217051,0.456121,0.641258,-0.207137,0.410595,0.607220,-0.201033,0.408499,0.666303
0.260000,-0.217049,0.456112,0.641239,-0.207142,0.410590,0.607199,-0.201031,0.408510,0.666283
0.270000,-0.217056,0.456108,0.641222,-0.207148,0.410586,0.607182,-0.201039,0.408510,0.666268
0.280000,-0.217059,0.456116,0.641208,-0.207154,0.410591,0.607167,-0.201041,0.408511,0.666254
0.290000,-0.217072,0.456114,0.641191,-0.207166,0.410586,0.607159,-0.201057,0.408508,0.666234
0.300000,-0.217075,0.456120,0.641178,-0.207184,0.410577,0.607145,-0.201070,0.408509,0.666224
0.310000,-0.217093,0.456120,0.641157,-0.207194,0.410588,0.607129,-0.201088,0.408507,0.666217
0.320000,-0.217114,0.456138,0.641144,-0.207201,0.410582,0.607096,-0.201106,0.408516,0.666193
