Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.214377,0.453062,0.639338,-0.206994,0.407023,0.605095,-0.199719,0.404646,0.663960
0.010000,-0.214383,0.453068,0.639337,-0.207000,0.407022,0.605091,-0.199716,0.404646,0.663955
0.020000,-0.214381,0.453048,0.639325,-0.207006,0.407011,0.605084,-0.199714,0.404637,0.663948
0.030000,-0.214380,0.453063,0.639328,-0.207012,0.407000,0.605079,-0.199713,0.404633,0.663947
0.040000,-0.214389,0.453063,0.639321,-0.207020,0.407004,0.605076,-0.199712,0.404640,0.663935
0.050000,-0.214390,0.453054,0.639317,-0.207020,0.407006,0.605069,-0.199718,0.404647,0.663929
0.060000,-0.214385,0.453066,0.639314,-0.207034,0.407000,0.605064,-0.199709,0.404629,0.663925
0.070000,-0.214394,0.453050,0.639312,-0.207028,0.407002,0.605057,-0.199710,0.404634,0.663919
0.080000,-0.214389,0.453051,0.639304,-0.207032,0.407003,0.605048,-0.199709,0.404639,0.663918
0.090000,-0.214392,0.453056,0.639306,-0.207028,0.406998,0.605051,-0.199706,0.404634,0.663911
0.100000,-0.214390,0.453055,0.639302,-0.207032,0.407007,0.605048,-0.199710,0.404636,0.663907
0.110000,-0.214376,0.453061,0.639297,-0.207024,0.407007,0.605048,-0.199695,0.404642,0.663906
0.120000,-0.214375,0.453063,0.639292,-0.207024,0.406999,0.605050,-0.199693,0.404628,0.663914
0.130000,-0.214373,0.453055,0.639294,-0.207018,0.406996,0.605053,-0.199689,0.404642,0.663911
0.140000,-0.214372,0.453050,0.639289,-0.207017,0.406996,0.605049,-0.199688,0.404632,0.663916
0.150000,-0.214363,0.453045,0.639293,-0.207006,0.406989,0.605052,-0.199681,0.404623,0.663912
0.160000,-0.214329,0.453053,0.639287,-0.206993,0.406977,0.605054,-0.199674,0.404616,0.663915
0.170000,-0.214322,0.453045,0.639282,-0.206985,0.406967,0.605054,-0.199667,0.404606,0.663910
0.180000,-0.214305,0.453035,0.639278,-0.206973,0.406959,0.605047,-0.199658,0.404601,0.663909
0.190000,-0.214291,0.453027,0.639274,-0.206959,0.406954,0.605042,-0.199644,0.404587,0.663906
0.200000,-0.214265,0.453030,0.639266,-0.206942,0.406943,0.605038,-0.199633,0.404581,0.663898
0.210000,-0.214253,0.453004,0.639260,-0.206931,0.406940,0.605030,-0.199617,0.404571,0.663896
0.220000,-0.214232,0.452997,0.639243,-0.206914,0.406913,0.605031,-0.199600,0.404555,0.663891
0.230000,-0.214198,0.452987,0.639234,-0.206902,0.406896,0.605017,-0.199575,0.404546,0.663867
0.240000,-0.214179,0.452966,0.639219,-0.206896,0.406871,0.605004,-0.199559,0.404533,0.663847
0.250000,-0.214156,0.452961,0.639204,-0.206873,0.406858,0.604991,-0.199534,0.404507,0.663840
0.260000,-0.214136,0.452956,0.639188,-0.206861,0.406851,0.604982,-0.199521,0.404493,0.663834
0.270000,-0.214113,0.452953,0.639180,-0.206840,0.406856,0.604968,-0.199503,0.404500,0.663819
0.280000,-0.214092,0.452951,0.639172,-0.206820,0.406859,0.604966,-0.199473,0.404504,0.663809
0.290000,-0.214059,0.452964,0.639170,-0.206803,0.406853,0.604964,-0.199450,0.404495,0.663807
0.300000,-0.214048,0.452952,0.639172,-0.206771,0.406857,0.604953,-0.199438,0.404492,0.663808
0.310000,-0.214009,0.452967,0.639169,-0.206753,0.406856,0.604949,-0.199407,0.404478,0.663805
0.320000,-0.213988,0.452954,0.639156,-0.206723,0.406855,0.604944,-0.199391,0.404490,0.663793
0.330000,-0.213972,0.452946,0.639150,-0.206713,0.406843,0.604939,-0.199372,0.404481,0.663788
0.340000,-0.213933,0.452935,0.639154,-0.206691,0.406833,0.604934,-0.199359,0.404475,0.663785
0.350000,-0.213919,0.452931,0.639131,-0.206674,0.406830,0.604919,-0.199323,0.404436,0.663778
0.360000,-0.213876,0.452923,0.639133,-0.206661,0.406816,0.604910,-0.199308,0.404429,0.663769
0.370000,-0.213870,0.452915,0.639093,-0.206642,0.406814,0.604898,-0.199278,0.404415,0.663752
0.380000,-0.213855,0.452904,0.639085,-0.206627,0.406803,0.604883,-0.199265,0.404400,0.663725
0.390000,-0.213826,0.452892,0.639084,-0.206628,0.406790,0.604865,-0.199251,0.404394,0.663708
0.400000,-0.213838,0.452880,0.639039,-0.206618,0.406778,0.604844,-0.199234,0.404377,0.663693
0.410000,-0.213824,0.452864,0.639014,-0.206605,0.406761,0.604831,-0.199231,0.404371,0.663676
0.420000,-0.213810,0.452855,0.638998,-0.206607,0.406743,0.604809,-0.199215,0.404369,0.663659
0.430000,-0.213809,0.452843,0.638987,-0.206598,0.406746,0.604792,-0.199218,0.404348,0.663642
0.440000,-0.213791,0.452838,0.638967,-0.206597,0.406725,0.604769,-0.199210,0.404344,0.663625
0.450000,-0.213786,0.452832,0.638946,-0.206587,0.406716,0.604759,-0.199194,0.404327,0.663612
0.460000,-0.213780,0.452827,0.638932,-0.206585,0.406702,0.604743,-0.199198,0.404320,0.663602
