Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.151895,0.444480,0.639745,-0.139587,0.396847,0.609862,-0.145381,0.396756,0.668769
0.010000,-0.151862,0.444465,0.639754,-0.139532,0.396843,0.609857,-0.145356,0.396745,0.668774
0.020000,-0.151824,0.444446,0.639766,-0.139496,0.396850,0.609875,-0.145327,0.396731,0.668791
0.030000,-0.151792,0.444437,0.639779,-0.139464,0.396820,0.609885,-0.145297,0.396711,0.668802
0.040000,-0.151752,0.444392,0.639815,-0.139416,0.396807,0.609910,-0.145257,0.396699,0.668819
0.050000,-0.151715,0.444383,0.639848,-0.139380,0.396797,0.609929,-0.145232,0.396692,0.668848
0.060000,-0.151681,0.444371,0.639869,-0.139342,0.396798,0.609961,-0.145195,0.396664,0.668864
0.070000,-0.151642,0.444355,0.639893,-0.139302,0.396783,0.609978,-0.145159,0.396658,0.668895
0.080000,-0.151612,0.444333,0.639922,-0.139256,0.396786,0.610006,-0.145135,0.396627,0.668918
0.090000,-0.151561,0.444322,0.639957,-0.139224,0.396756,0.610018,-0.145098,0.396619,0.668941
0.100000,-0.151526,0.444303,0.639980,-0.139186,0.396756,0.610046,-0.145073,0.396603,0.668965
0.110000,-0.151487,0.444290,0.639996,-0.139157,0.396738,0.610060,-0.145043,0.396580,0.668978
0.120000,-0.151460,0.444273,0.640014,-0.139116,0.396728,0.610075,-0.145018,0.396566,0.668992
0.130000,-0.151431,0.444256,0.640023,-0.139104,0.396664,0.610103,-0.144988,0.396550,0.669003
0.140000,-0.151396,0.444249,0.640031,-0.139075,0.396649,0.610109,-0.144967,0.396527,0.669010
0.150000,-0.151373,0.444220,0.640029,-0.139056,0.396623,0.610122,-0.144940,0.396510,0.669016
0.160000,-0.151347,0.444205,0.640036,-0.139032,0.396584,0.610125,-0.144914,0.396490,0.669024
0.170000,-0.151328,0.444184,0.640035,-0.139007,0.396584,0.610127,-0.144900,0.396478,0.669028
0.180000,-0.151315,0.444196,0.640041,-0.138994,0.396584,0.610127,-0.144885,0.396477,0.669037
0.190000,-0.151299,0.444194,0.640058,-0.138978,0.396589,0.610146,-0.144862,0.396483,0.669045
