Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.429608,0.003656,0.402350,0.400176,0.003471,0.352669,0.455109,-0.016672,0.357093
0.010000,0.429609,0.003640,0.402370,0.400182,0.003445,0.352697,0.455103,-0.016711,0.357128
0.020000,0.429606,0.003628,0.402391,0.400204,0.003449,0.352721,0.455109,-0.016732,0.357150
0.030000,0.429615,0.003621,0.402415,0.400214,0.003442,0.352752,0.455116,-0.016792,0.357168
0.040000,0.429623,0.003601,0.402435,0.400231,0.003431,0.352766,0.455123,-0.016792,0.357190
0.050000,0.429628,0.003598,0.402448,0.400238,0.003437,0.352783,0.455137,-0.016790,0.357210
0.060000,0.429636,0.003592,0.402474,0.400240,0.003423,0.352802,0.455139,-0.016809,0.357244
0.070000,0.429630,0.003602,0.402490,0.400244,0.003410,0.352820,0.455142,-0.016818,0.357261
0.080000,0.429626,0.003578,0.402514,0.400250,0.003407,0.352840,0.455133,-0.016843,0.357280
0.090000,0.429633,0.003603,0.402528,0.400257,0.003391,0.352848,0.455140,-0.016832,0.357296
0.100000,0.429637,0.003572,0.402539,0.400259,0.003387,0.352862,0.455143,-0.016863,0.357314
0.110000,0.429633,0.003574,0.402563,0.400262,0.003427,0.352888,0.455162,-0.016857,0.357331
0.120000,0.429637,0.003549,0.402570,0.400277,0.003421,0.352900,0.455163,-0.016848,0.357344
0.130000,0.429643,0.003568,0.402579,0.400283,0.003428,0.352903,0.455182,-0.016864,0.357353
0.140000,0.429641,0.003566,0.402590,0.400283,0.003415,0.352911,0.455181,-0.016866,0.357363
0.150000,0.429646,0.003558,0.402591,0.400287,0.003437,0.352922,0.455180,-0.016827,0.357370
0.160000,0.429648,0.003540,0.402596,0.400290,0.003435,0.352923,0.455165,-0.016874,0.357372
0.170000,0.429632,0.003550,0.402602,0.400284,0.003440,0.352922,0.455171,-0.016861,0.357374
0.180000,0.429628,0.003549,0.402596,0.400279,0.003440,0.352923,0.455160,-0.016843,0.357373
0.190000,0.429623,0.003555,0.402604,0.400270,0.003407,0.352937,0.455164,-0.016827,0.357379
0.200000,0.429617,0.003552,0.402596,0.400255,0.003461,0.352930,0.455143,-0.016838,0.357377
0.210000,0.429611,0.003551,0.402596,0.400254,0.003455,0.352925,0.455143,-0.016808,0.357372
0.220000,0.429604,0.003569,0.402595,0.400253,0.003480,0.352923,0.455130,-0.016799,0.357357
0.230000,0.429608,0.003591,0.402584,0.400251,0.003479,0.352913,0.455134,-0.016792,0.357356
0.240000,0.429607,0.003590,0.402580,0.400256,0.003507,0.352910,0.455138,-0.016764,0.357345
0.250000,0.429607,0.003616,0.402575,0.400249,0.003512,0.352892,0.455131,-0.016767,0.357331
0.260000,0.429614,0.003624,0.402552,0.400241,0.003531,0.352885,0.455138,-0.016731,0.357304
