Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.127685,0.012818,0.524627,0.168889,-0.026743,0.513811,0.113366,-0.042690,0.534744
0.010000,0.127702,0.012833,0.524637,0.168900,-0.026754,0.513826,0.113383,-0.042629,0.534757
0.020000,0.127713,0.012861,0.524648,0.168912,-0.026715,0.513829,0.113380,-0.042634,0.534765
0.030000,0.127729,0.012851,0.524658,0.168938,-0.026686,0.513831,0.113410,-0.042628,0.534762
0.040000,0.127749,0.012871,0.524668,0.168965,-0.026675,0.513846,0.113432,-0.042608,0.534770
0.050000,0.127773,0.012903,0.524680,0.168268,-0.028740,0.513972,0.113482,-0.042666,0.534782
0.060000,0.127807,0.012922,0.524684,0.169061,-0.026568,0.513848,0.113510,-0.042666,0.534781
0.070000,0.127823,0.012925,0.524691,0.168320,-0.028678,0.513987,0.113535,-0.042642,0.534795
0.080000,0.127844,0.012948,0.524700,0.169102,-0.026522,0.513865,0.113556,-0.042611,0.534799
0.090000,0.127868,0.012995,0.524706,0.169139,-0.026533,0.513879,0.113582,-0.042580,0.534800
0.100000,0.127873,0.012990,0.524710,0.169160,-0.026499,0.513883,0.113594,-0.042560,0.534791
0.110000,0.127897,0.013023,0.524719,0.169176,-0.026505,0.513892,0.113606,-0.042560,0.534802
0.120000,0.127913,0.013045,0.524730,0.169189,-0.026487,0.513896,0.113604,-0.042502,0.534818
0.130000,0.127924,0.013043,0.524731,0.169201,-0.026466,0.513906,0.113631,-0.042489,0.534831
0.140000,0.127941,0.013071,0.524742,0.169231,-0.026443,0.513916,0.113647,-0.042473,0.534826
0.150000,0.127981,0.013069,0.524752,0.168516,-0.028617,0.514055,0.113666,-0.042485,0.534841
0.160000,0.127967,0.013103,0.524771,0.168518,-0.028545,0.514050,0.113675,-0.042429,0.534862
0.170000,0.127978,0.013125,0.524784,0.168518,-0.028540,0.514064,0.113687,-0.042437,0.534861
0.180000,0.127987,0.013132,0.524787,0.168534,-0.028522,0.514086,0.113697,-0.042419,0.534864
0.190000,0.127990,0.013132,0.524793,0.168536,-0.028509,0.514088,0.113701,-0.042424,0.534873
0.200000,0.127993,0.013150,0.524798,0.168559,-0.028527,0.514117,0.113701,-0.042401,0.534877
0.210000,0.128040,0.013164,0.524826,0.168527,-0.028479,0.514121,0.113700,-0.042367,0.534896
0.220000,0.128008,0.013197,0.524821,0.168541,-0.028472,0.514126,0.113702,-0.042369,0.534887
0.230000,0.128028,0.013209,0.524843,0.168529,-0.028467,0.514159,0.113678,-0.042346,0.534938
0.240000,0.127995,0.013222,0.524841,0.168532,-0.028472,0.514158,0.113689,-0.042346,0.534899
0.250000,0.128010,0.013238,0.524850,0.168565,-0.028477,0.514187,0.113700,-0.042351,0.534918
0.260000,0.128006,0.013216,0.524879,0.168562,-0.028463,0.514201,0.113703,-0.042315,0.534925
0.270000,0.128019,0.013253,0.524891,0.168580,-0.028445,0.514218,0.113717,-0.042333,0.534925
0.280000,0.128021,0.013287,0.524903,0.169314,-0.026275,0.514100,0.113728,-0.042312,0.534921
0.290000,0.128041,0.013278,0.524924,0.168602,-0.028411,0.514243,0.113741,-0.042280,0.534960
0.300000,0.128067,0.013262,0.524931,0.168618,-0.028430,0.514251,0.113747,-0.042290,0.534960
0.310000,0.128078,0.013270,0.524954,0.168632,-0.028418,0.514249,0.113753,-0.042262,0.534973
0.320000,0.128109,0.013327,0.524969,0.168637,-0.028424,0.514263,0.113772,-0.042272,0.534976
0.330000,0.128107,0.013279,0.524996,0.168652,-0.028428,0.514273,0.113779,-0.042281,0.534977
0.340000,0.128128,0.013300,0.524975,0.168668,-0.028420,0.514284,0.113796,-0.042252,0.534994
0.350000,0.128142,0.013323,0.525001,0.168688,-0.028407,0.514287,0.113813,-0.042250,0.534997
0.360000,0.128153,0.013298,0.525017,0.168703,-0.028387,0.514295,0.113834,-0.042243,0.535006
0.370000,0.128163,0.013306,0.525021,0.168714,-0.028378,0.514304,0.113839,-0.042230,0.535006
0.380000,0.128183,0.013352,0.525019,0.168726,-0.028389,0.514314,0.113848,-0.042219,0.535014
0.390000,0.128201,0.013376,0.525020,0.168741,-0.028357,0.514312,0.113857,-0.042178,0.535020
0.400000,0.128214,0.013381,0.525017,0.168757,-0.028312,0.514344,0.113872,-0.042142,0.535018
0.410000,0.128241,0.013413,0.525015,0.168779,-0.028321,0.514315,0.113922,-0.042113,0.535022
0.420000,0.128286,0.013439,0.524990,0.168804,-0.028332,0.514294,0.113945,-0.042116,0.535010
0.430000,0.128350,0.013491,0.524976,0.168853,-0.028287,0.514294,0.113977,-0.042086,0.535001
0.440000,0.128377,0.013494,0.524983,0.168863,-0.028296,0.514283,0.114009,-0.042066,0.534995
0.450000,0.128491,0.013574,0.524981,0.168901,-0.028304,0.514259,0.114072,-0.042050,0.534974
0.460000,0.128528,0.013570,0.524965,0.168931,-0.028306,0.514260,0.114091,-0.042029,0.535008
0.470000,0.128545,0.013551,0.524973,0.168947,-0.028308,0.514252,0.114111,-0.042043,0.534999
0.480000,0.128561,0.013565,0.524971,0.168960,-0.028285,0.514256,0.114126,-0.042031,0.535025
0.490000,0.128559,0.013532,0.524957,0.168957,-0.028334,0.514239,0.114135,-0.042046,0.534998
0.500000,0.128560,0.013558,0.524952,0.168930,-0.028323,0.514238,0.114114,-0.042040,0.534987
0.510000,0.128544,0.013555,0.524933,0.168920,-0.028321,0.514226,0.114081,-0.042044,0.534974
0.520000,0.128497,0.013539,0.524905,0.168888,-0.028311,0.514222,0.114049,-0.042045,0.534951
0.530000,0.128459,0.013532,0.524897,0.168848,-0.028335,0.514221,0.113974,-0.042112,0.534942
0.540000,0.128355,0.013438,0.524867,0.168811,-0.028338,0.514218,0.113950,-0.042089,0.534932
0.550000,0.128280,0.013423,0.524864,0.168772,-0.028362,0.514225,0.113904,-0.042126,0.534916
0.560000,0.128249,0.013396,0.524853,0.168730,-0.028369,0.514217,0.113861,-0.042151,0.534901
0.570000,0.128196,0.013360,0.524833,0.168710,-0.028367,0.514209,0.113834,-0.042188,0.534873
0.580000,0.128157,0.013337,0.524819,0.168672,-0.028389,0.514195,0.113778,-0.042184,0.534868
0.590000,0.128120,0.013328,0.524806,0.168621,-0.028411,0.514185,0.113703,-0.042143,0.534856
0.600000,0.128079,0.013290,0.524796,0.168570,-0.028457,0.514179,0.113673,-0.042146,0.534854
0.610000,0.128010,0.013287,0.524771,0.168515,-0.028413,0.514154,0.113616,-0.042176,0.534841
0.620000,0.127977,0.013280,0.524766,0.168448,-0.028485,0.514158,0.113573,-0.042212,0.534825
0.630000,0.127940,0.013226,0.524749,0.168415,-0.028510,0.514144,0.113541,-0.042223,0.534836
0.640000,0.127897,0.013211,0.524741,0.169094,-0.026410,0.514019,0.113498,-0.042227,0.534828
0.650000,0.127869,0.013222,0.524738,0.169059,-0.026423,0.514021,0.113461,-0.042276,0.534806
0.660000,0.127842,0.013193,0.524723,0.168286,-0.028515,0.514162,0.113422,-0.042300,0.534798
0.670000,0.127822,0.013223,0.524699,0.168992,-0.026486,0.514003,0.113394,-0.042299,0.534777
0.680000,0.127793,0.013171,0.524703,0.168987,-0.026493,0.513991,0.113380,-0.042313,0.534788
0.690000,0.127794,0.013217,0.524685,0.168965,-0.026495,0.513990,0.113367,-0.042313,0.534777
0.700000,0.127773,0.013149,0.524684,0.168939,-0.026526,0.513983,0.113345,-0.042322,0.534762
0.710000,0.127766,0.013209,0.524658,0.168912,-0.026495,0.513983,0.113341,-0.042331,0.534743
0.720000,0.127749,0.013191,0.524655,0.168902,-0.026515,0.513977,0.113322,-0.042332,0.534757
0.730000,0.127735,0.013176,0.524644,0.168869,-0.026562,0.513978,0.113311,-0.042376,0.534726
0.740000,0.127726,0.013113,0.524638,0.168873,-0.026530,0.513969,0.113285,-0.042374,0.534730
0.750000,0.127709,0.013157,0.524618,0.168108,-0.028675,0.514084,0.113255,-0.042348,0.534731
0.760000,0.127703,0.013139,0.524594,0.168852,-0.026543,0.513948,0.113237,-0.042336,0.534724
0.770000,0.127709,0.013151,0.524597,0.168866,-0.026562,0.513912,0.113232,-0.042331,0.534732
0.780000,0.127695,0.013129,0.524582,0.168857,-0.026590,0.513901,0.113258,-0.042407,0.534706
0.790000,0.127694,0.013118,0.524577,0.168841,-0.026616,0.513878,0.113254,-0.042407,0.534696
0.800000,0.127687,0.013109,0.524550,0.168831,-0.026621,0.513868,0.113235,-0.042395,0.534688
0.810000,0.127681,0.013097,0.524533,0.168800,-0.026671,0.513851,0.113231,-0.042424,0.534670
0.820000,0.127657,0.013063,0.524518,0.168809,-0.026643,0.513846,0.113199,-0.042400,0.534654
0.830000,0.127659,0.013071,0.524503,0.168799,-0.026659,0.513831,0.113175,-0.042385,0.534656
0.840000,0.127639,0.013044,0.524495,0.168794,-0.026661,0.513815,0.113166,-0.042426,0.534638
0.850000,0.127630,0.013043,0.524477,0.168774,-0.026666,0.513806,0.113143,-0.042444,0.534617
0.860000,0.127625,0.013045,0.524467,0.168761,-0.026705,0.513795,0.113155,-0.042414,0.534627
0.870000,0.127614,0.013043,0.524457,0.168750,-0.026702,0.513791,0.113120,-0.042434,0.534622
0.880000,0.127603,0.013018,0.524452,0.168753,-0.026692,0.513777,0.113133,-0.042428,0.534607
0.890000,0.127594,0.013002,0.524428,0.168725,-0.026738,0.513754,0.113089,-0.042488,0.534573
0.900000,0.127569,0.012990,0.524421,0.168733,-0.026717,0.513748,0.113063,-0.042514,0.534553
0.910000,0.127549,0.012979,0.524407,0.168699,-0.026738,0.513735,0.113046,-0.042505,0.534548
0.920000,0.127547,0.012965,0.524403,0.168696,-0.026743,0.513732,0.113038,-0.042529,0.534542
0.930000,0.127538,0.012975,0.524394,0.168678,-0.026761,0.513731,0.113016,-0.042527,0.534541
0.940000,0.127529,0.012971,0.524398,0.168672,-0.026752,0.513722,0.113002,-0.042564,0.534514
0.950000,0.127513,0.012960,0.524393,0.168655,-0.026763,0.513725,0.112997,-0.042548,0.534527
0.960000,0.127501,0.012957,0.524376,0.168638,-0.026795,0.513712,0.112990,-0.042541,0.534520
0.970000,0.127493,0.012929,0.524370,0.168639,-0.026773,0.513705,0.112983,-0.042549,0.534520
0.980000,0.127489,0.012927,0.524361,0.168635,-0.026783,0.513705,0.112984,-0.042581,0.534515
0.990000,0.127480,0.012942,0.524365,0.168629,-0.026792,0.513699,0.112968,-0.042573,0.534498
1.000000,0.127470,0.012945,0.524348,0.168627,-0.026787,0.513700,0.112954,-0.042569,0.534505
