Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.122563,0.007011,0.534178,0.147103,-0.043698,0.518725,0.098736,-0.042050,0.553488
0.010000,0.122574,0.007016,0.534167,0.147121,-0.043717,0.518722,0.098743,-0.042080,0.553497
0.020000,0.122577,0.007008,0.534166,0.147134,-0.043711,0.518720,0.098746,-0.042047,0.553489
0.030000,0.122592,0.006999,0.534161,0.147111,-0.043708,0.518707,0.098764,-0.042071,0.553475
0.040000,0.122608,0.007016,0.534150,0.147166,-0.043661,0.518698,0.098777,-0.042072,0.553464
0.050000,0.122611,0.007021,0.534147,0.147165,-0.043664,0.518682,0.098770,-0.042044,0.553466
0.060000,0.122613,0.007014,0.534136,0.147148,-0.043713,0.518688,0.098780,-0.042050,0.553459
0.070000,0.122606,0.007016,0.534133,0.147166,-0.043665,0.518683,0.098773,-0.042041,0.553464
0.080000,0.122607,0.007027,0.534126,0.147208,-0.043498,0.518656,0.098772,-0.042052,0.553465
0.090000,0.122586,0.007003,0.534131,0.147160,-0.043650,0.518675,0.098776,-0.042040,0.553465
0.100000,0.122582,0.007024,0.534124,0.147148,-0.043644,0.518682,0.098757,-0.042038,0.553456
0.110000,0.122593,0.007044,0.534124,0.147141,-0.043644,0.518677,0.098756,-0.042048,0.553461
0.120000,0.122576,0.007033,0.534135,0.147151,-0.043544,0.518663,0.098753,-0.042037,0.553459
0.130000,0.122585,0.007054,0.534118,0.147107,-0.043681,0.518680,0.098754,-0.042020,0.553466
0.140000,0.122592,0.007042,0.534122,0.147152,-0.043647,0.518674,0.098764,-0.042042,0.553467
0.150000,0.122602,0.007029,0.534119,0.147157,-0.043628,0.518669,0.098779,-0.042011,0.553473
0.160000,0.122623,0.007067,0.534112,0.147169,-0.043657,0.518665,0.098790,-0.042014,0.553470
0.170000,0.122635,0.007064,0.534110,0.147179,-0.043663,0.518648,0.098811,-0.042034,0.553465
0.180000,0.122640,0.007031,0.534114,0.147227,-0.043510,0.518635,0.098824,-0.042007,0.553473
0.190000,0.122666,0.007040,0.534130,0.147226,-0.043630,0.518650,0.098854,-0.042008,0.553461
0.200000,0.122666,0.007021,0.534111,0.147216,-0.043645,0.518656,0.098877,-0.042031,0.553462
0.210000,0.122685,0.007039,0.534129,0.147241,-0.043664,0.518641,0.098888,-0.042003,0.553476
0.220000,0.122687,0.007054,0.534122,0.147307,-0.043444,0.518642,0.098908,-0.042021,0.553478
0.230000,0.122708,0.007062,0.534129,0.147262,-0.043608,0.518658,0.098915,-0.042026,0.553482
0.240000,0.122708,0.007046,0.534110,0.147266,-0.043626,0.518656,0.098939,-0.041999,0.553477
0.250000,0.122722,0.007068,0.534125,0.147274,-0.043601,0.518647,0.098928,-0.041970,0.553493
0.260000,0.122730,0.007071,0.534122,0.147290,-0.043635,0.518641,0.098940,-0.041987,0.553487
0.270000,0.122731,0.007066,0.534122,0.147295,-0.043598,0.518645,0.098956,-0.041994,0.553485
0.280000,0.122738,0.007065,0.534123,0.147296,-0.043620,0.518631,0.098998,-0.042089,0.553479
0.290000,0.122742,0.007099,0.534105,0.147342,-0.043474,0.518616,0.098963,-0.041976,0.553493
0.300000,0.122729,0.007064,0.534112,0.147343,-0.043459,0.518624,0.098944,-0.041980,0.553490
0.310000,0.122724,0.007071,0.534123,0.147282,-0.043580,0.518657,0.098932,-0.041964,0.553498
0.320000,0.122711,0.007082,0.534124,0.147259,-0.043596,0.518671,0.098929,-0.041949,0.553508
0.330000,0.122708,0.007093,0.534119,0.147260,-0.043596,0.518669,0.098929,-0.041967,0.553501
0.340000,0.122713,0.007087,0.534113,0.147268,-0.043587,0.518669,0.098931,-0.041965,0.553504
0.350000,0.122722,0.007113,0.534103,0.147310,-0.043428,0.518637,0.098985,-0.042049,0.553489
0.360000,0.122723,0.007102,0.534093,0.147265,-0.043605,0.518640,0.098935,-0.041956,0.553500
0.370000,0.122724,0.007094,0.534102,0.147280,-0.043579,0.518640,0.098946,-0.041946,0.553493
0.380000,0.122734,0.007102,0.534087,0.147343,-0.043442,0.518601,0.098969,-0.041949,0.553490
0.390000,0.122739,0.007110,0.534075,0.147347,-0.043460,0.518594,0.098957,-0.041964,0.553474
0.400000,0.122757,0.007125,0.534066,0.147346,-0.043459,0.518596,0.098972,-0.041967,0.553477
0.410000,0.122746,0.007124,0.534073,0.147308,-0.043611,0.518613,0.098971,-0.041947,0.553470
0.420000,0.122761,0.007145,0.534069,0.147292,-0.043618,0.518601,0.098968,-0.041934,0.553475
0.430000,0.122750,0.007135,0.534072,0.147343,-0.043457,0.518594,0.098959,-0.041935,0.553466
0.440000,0.122752,0.007159,0.534069,0.147283,-0.043597,0.518613,0.098956,-0.041923,0.553468
0.450000,0.122736,0.007140,0.534065,0.147327,-0.043420,0.518600,0.098944,-0.041920,0.553468
0.460000,0.122741,0.007168,0.534055,0.147303,-0.043405,0.518597,0.098939,-0.041910,0.553479
0.470000,0.122708,0.007157,0.534061,0.147299,-0.043426,0.518590,0.098942,-0.041909,0.553477
0.480000,0.122703,0.007177,0.534071,0.147277,-0.043393,0.518608,0.098907,-0.041868,0.553478
0.490000,0.122693,0.007177,0.534076,0.147283,-0.043363,0.518617,0.098881,-0.041890,0.553474
0.500000,0.122677,0.007165,0.534076,0.147240,-0.043412,0.518620,0.098867,-0.041866,0.553496
0.510000,0.122661,0.007175,0.534080,0.147240,-0.043392,0.518629,0.098853,-0.041877,0.553498
0.520000,0.122663,0.007163,0.534086,0.147191,-0.043543,0.518660,0.098830,-0.041882,0.553505
0.530000,0.122656,0.007166,0.534094,0.147211,-0.043411,0.518660,0.098840,-0.041896,0.553512
0.540000,0.122643,0.007146,0.534099,0.147224,-0.043408,0.518655,0.098828,-0.041903,0.553520
0.550000,0.122648,0.007155,0.534101,0.147215,-0.043411,0.518674,0.098825,-0.041870,0.553532
0.560000,0.122648,0.007148,0.534115,0.147216,-0.043407,0.518665,0.098835,-0.041893,0.553538
0.570000,0.122659,0.007166,0.534113,0.147170,-0.043450,0.518669,0.098842,-0.041879,0.553552
0.580000,0.122666,0.007160,0.534116,0.147220,-0.043391,0.518670,0.098839,-0.041865,0.553558
0.590000,0.122660,0.007168,0.534132,0.147168,-0.043458,0.518683,0.098833,-0.041866,0.553566
0.600000,0.122662,0.007142,0.534140,0.147180,-0.043423,0.518692,0.098850,-0.041839,0.553568
0.610000,0.122668,0.007172,0.534139,0.147182,-0.043436,0.518694,0.098855,-0.041870,0.553577
0.620000,0.122650,0.007139,0.534139,0.147164,-0.043463,0.518692,0.098850,-0.041837,0.553593
0.630000,0.122673,0.007191,0.534142,0.147176,-0.043437,0.518700,0.098860,-0.041840,0.553589
0.640000,0.122673,0.007205,0.534143,0.147227,-0.043376,0.518689,0.098860,-0.041823,0.553596
0.650000,0.122662,0.007196,0.534136,0.147179,-0.043410,0.518685,0.098860,-0.041837,0.553589
0.660000,0.122661,0.007180,0.534134,0.147171,-0.043428,0.518683,0.098863,-0.041806,0.553594
0.670000,0.122666,0.007222,0.534141,0.147180,-0.043409,0.518687,0.098859,-0.041802,0.553593
0.680000,0.122657,0.007215,0.534140,0.147167,-0.043404,0.518678,0.098864,-0.041816,0.553601
0.690000,0.122648,0.007214,0.534133,0.147198,-0.043366,0.518687,0.098861,-0.041799,0.553602
0.700000,0.122631,0.007188,0.534136,0.147151,-0.043397,0.518694,0.098846,-0.041819,0.553607
0.710000,0.122625,0.007208,0.534134,0.147141,-0.043412,0.518685,0.098838,-0.041794,0.553607
0.720000,0.122614,0.007231,0.534131,0.147141,-0.043369,0.518704,0.098826,-0.041804,0.553605
0.730000,0.122608,0.007239,0.534136,0.147130,-0.043387,0.518699,0.098818,-0.041800,0.553598
0.740000,0.122596,0.007254,0.534120,0.147118,-0.043369,0.518691,0.098813,-0.041788,0.553595
0.750000,0.122602,0.007267,0.534132,0.147128,-0.043342,0.518693,0.098813,-0.041761,0.553613
0.760000,0.122599,0.007256,0.534124,0.147109,-0.043357,0.518697,0.098812,-0.041762,0.553603
0.770000,0.122589,0.007278,0.534122,0.147125,-0.043343,0.518696,0.098815,-0.041753,0.553602
0.780000,0.122599,0.007274,0.534127,0.147117,-0.043368,0.518707,0.098814,-0.041748,0.553607
0.790000,0.122579,0.007247,0.534115,0.147127,-0.043339,0.518704,0.098818,-0.041759,0.553598
0.800000,0.122593,0.007278,0.534132,0.147119,-0.043355,0.518699,0.098807,-0.041754,0.553607
0.810000,0.122585,0.007273,0.534122,0.147120,-0.043358,0.518709,0.098794,-0.041760,0.553597
0.820000,0.122587,0.007254,0.534120,0.147104,-0.043370,0.518707,0.098807,-0.041763,0.553606
0.830000,0.122602,0.007251,0.534128,0.147110,-0.043367,0.518706,0.098799,-0.041756,0.553607
0.840000,0.122592,0.007239,0.534119,0.147117,-0.043379,0.518701,0.098808,-0.041781,0.553600
0.850000,0.122606,0.007238,0.534122,0.147109,-0.043377,0.518688,0.098812,-0.041780,0.553603
0.860000,0.122595,0.007249,0.534105,0.147130,-0.043371,0.518681,0.098815,-0.041796,0.553594
0.870000,0.122602,0.007227,0.534104,0.147113,-0.043393,0.518670,0.098819,-0.041801,0.553578
0.880000,0.122599,0.007215,0.534108,0.147121,-0.043392,0.518671,0.098820,-0.041795,0.553584
0.890000,0.122589,0.007219,0.534105,0.147109,-0.043398,0.518675,0.098801,-0.041820,0.553575
0.900000,0.122585,0.007220,0.534103,0.147093,-0.043400,0.518679,0.098797,-0.041806,0.553578
0.910000,0.122571,0.007210,0.534111,0.147082,-0.043397,0.518679,0.098772,-0.041818,0.553576
0.920000,0.122562,0.007214,0.534110,0.147079,-0.043394,0.518674,0.098771,-0.041796,0.553593
0.930000,0.122557,0.007235,0.534108,0.147074,-0.043393,0.518685,0.098756,-0.041807,0.553588
0.940000,0.122546,0.007226,0.534115,0.147050,-0.043376,0.518679,0.098738,-0.041811,0.553586
0.950000,0.122537,0.007235,0.534121,0.147045,-0.043388,0.518680,0.098735,-0.041822,0.553586
0.960000,0.122515,0.007214,0.534117,0.147027,-0.043392,0.518696,0.098702,-0.041822,0.553580
0.970000,0.122505,0.007233,0.534113,0.147028,-0.043385,0.518689,0.098706,-0.041829,0.553576
0.980000,0.122497,0.007231,0.534104,0.147015,-0.043395,0.518677,0.098688,-0.041829,0.553560
0.990000,0.122502,0.007205,0.534092,0.147019,-0.043407,0.518665,0.098692,-0.041852,0.553548
1.000000,0.122495,0.007194,0.534088,0.147033,-0.043401,0.518649,0.098697,-0.041849,0.553547
1.010000,0.122511,0.007188,0.534082,0.147035,-0.043415,0.518632,0.098694,-0.041847,0.553519
1.020000,0.122511,0.007179,0.534082,0.147032,-0.043427,0.518626,0.098707,-0.041863,0.553521
1.030000,0.122530,0.007207,0.534077,0.147037,-0.043419,0.518628,0.098712,-0.041867,0.553523
1.040000,0.122524,0.007189,0.534070,0.147035,-0.043422,0.518624,0.098703,-0.041859,0.553519
1.050000,0.122522,0.007191,0.534071,0.147031,-0.043428,0.518613,0.098717,-0.041889,0.553509
1.060000,0.122520,0.007170,0.534073,0.147042,-0.043431,0.518610,0.098714,-0.041865,0.553504
1.070000,0.122527,0.007182,0.534051,0.147044,-0.043435,0.518604,0.098717,-0.041876,0.553496
1.080000,0.122533,0.007171,0.534046,0.147073,-0.043418,0.518596,0.098752,-0.041903,0.553478
1.090000,0.122557,0.007164,0.534048,0.147076,-0.043438,0.518575,0.098754,-0.041905,0.553469
1.100000,0.122570,0.007153,0.534032,0.147088,-0.043457,0.518571,0.098776,-0.041883,0.553469
1.110000,0.122585,0.007144,0.534040,0.147153,-0.043387,0.518552,0.098800,-0.041919,0.553464
1.120000,0.122587,0.007125,0.534021,0.147102,-0.043466,0.518542,0.098813,-0.041916,0.553456
1.130000,0.122591,0.007120,0.534025,0.147126,-0.043485,0.518553,0.098816,-0.041942,0.553452
1.140000,0.122603,0.007115,0.534029,0.147145,-0.043467,0.518553,0.098817,-0.041929,0.553456
1.150000,0.122616,0.007100,0.534032,0.147189,-0.043429,0.518545,0.098843,-0.041946,0.553447
1.160000,0.122625,0.007091,0.534025,0.147223,-0.043405,0.518544,0.098843,-0.041929,0.553453
1.170000,0.122660,0.007105,0.534024,0.147230,-0.043445,0.518531,0.098895,-0.041983,0.553439
1.180000,0.122677,0.007096,0.534021,0.147253,-0.043444,0.518533,0.098907,-0.041953,0.553434
1.190000,0.122690,0.007104,0.534016,0.147295,-0.043454,0.518509,0.098943,-0.041977,0.553435
1.200000,0.122718,0.007116,0.534006,0.147307,-0.043464,0.518497,0.098973,-0.041968,0.553427
1.210000,0.122748,0.007143,0.534016,0.147342,-0.043411,0.518500,0.098995,-0.041922,0.553430
1.220000,0.122760,0.007156,0.534015,0.147351,-0.043424,0.518491,0.099022,-0.041956,0.553423
1.230000,0.122775,0.007154,0.534010,0.147382,-0.043398,0.518500,0.099058,-0.041921,0.553437
1.240000,0.122790,0.007144,0.534008,0.147403,-0.043395,0.518492,0.099070,-0.041924,0.553427
1.250000,0.122800,0.007153,0.534011,0.147409,-0.043406,0.518504,0.099087,-0.041901,0.553439
1.260000,0.122818,0.007139,0.534011,0.147441,-0.043395,0.518494,0.099119,-0.041924,0.553430
1.270000,0.122849,0.007133,0.534005,0.147450,-0.043393,0.518485,0.099127,-0.041894,0.553434
1.280000,0.122856,0.007115,0.533987,0.147464,-0.043378,0.518499,0.099185,-0.041976,0.553416
1.290000,0.122867,0.007123,0.533997,0.147482,-0.043386,0.518501,0.099204,-0.041996,0.553427
1.300000,0.122874,0.007122,0.534009,0.147498,-0.043375,0.518512,0.099209,-0.041952,0.553447
1.310000,0.122889,0.007136,0.534020,0.147567,-0.043293,0.518520,0.099241,-0.041967,0.553445
1.320000,0.122905,0.007141,0.534029,0.147580,-0.043262,0.518534,0.099246,-0.041981,0.553453
1.330000,0.122920,0.007127,0.534036,0.147514,-0.043502,0.518552,0.099267,-0.041971,0.553460
1.340000,0.122926,0.007137,0.534041,0.147562,-0.043459,0.518540,0.099287,-0.041983,0.553457
1.350000,0.122930,0.007115,0.534039,0.147576,-0.043437,0.518553,0.099286,-0.041994,0.553462
1.360000,0.122948,0.007121,0.534041,0.147654,-0.043284,0.518538,0.099306,-0.041990,0.553463
1.370000,0.122964,0.007116,0.534040,0.147614,-0.043444,0.518561,0.099332,-0.041999,0.553452
1.380000,0.122978,0.007120,0.534045,0.147641,-0.043418,0.518558,0.099358,-0.041991,0.553471
