Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.163250,0.492134,0.828715,-0.154244,0.441168,0.802250,-0.155678,0.444770,0.861100
0.010000,-0.163225,0.492115,0.828738,-0.154237,0.441159,0.802252,-0.155670,0.444741,0.861107
0.020000,-0.163208,0.492109,0.828752,-0.154230,0.441145,0.802267,-0.155650,0.444724,0.861128
0.030000,-0.163191,0.492119,0.828795,-0.154226,0.441134,0.802297,-0.155647,0.444701,0.861151
0.040000,-0.163211,0.492088,0.828847,-0.154232,0.441142,0.802331,-0.155653,0.444711,0.861194
0.050000,-0.163205,0.492132,0.828908,-0.154236,0.441171,0.802366,-0.155671,0.444706,0.861227
0.060000,-0.163234,0.492136,0.828965,-0.154255,0.441178,0.802417,-0.155685,0.444711,0.861281
0.070000,-0.163262,0.492167,0.829016,-0.154263,0.441219,0.802457,-0.155721,0.444721,0.861317
0.080000,-0.163303,0.492169,0.829069,-0.154280,0.441258,0.802507,-0.155759,0.444748,0.861367
0.090000,-0.163380,0.492163,0.829132,-0.154317,0.441265,0.802546,-0.155785,0.444765,0.861416
0.100000,-0.163432,0.492177,0.829179,-0.154349,0.441297,0.802591,-0.155821,0.444783,0.861457
0.110000,-0.163486,0.492190,0.829239,-0.154376,0.441330,0.802637,-0.155862,0.444791,0.861499
0.120000,-0.163540,0.492223,0.829280,-0.154432,0.441352,0.802675,-0.155924,0.444813,0.861532
0.130000,-0.163598,0.492247,0.829309,-0.154476,0.441380,0.802705,-0.155967,0.444846,0.861566
0.140000,-0.163659,0.492267,0.829347,-0.154523,0.441402,0.802745,-0.156010,0.444861,0.861598
0.150000,-0.163714,0.492287,0.829376,-0.154569,0.441434,0.802768,-0.156072,0.444883,0.861625
0.160000,-0.163771,0.492295,0.829406,-0.154619,0.441445,0.802792,-0.156107,0.444899,0.861650
0.170000,-0.163818,0.492325,0.829451,-0.154668,0.441479,0.802816,-0.156179,0.444900,0.861691
0.180000,-0.163877,0.492351,0.829464,-0.154719,0.441506,0.802836,-0.156228,0.444925,0.861720
0.190000,-0.163929,0.492366,0.829485,-0.154759,0.441519,0.802860,-0.156283,0.444936,0.861752
0.200000,-0.163951,0.492392,0.829529,-0.154801,0.441546,0.802884,-0.156306,0.444979,0.861800
0.210000,-0.164000,0.492413,0.829562,-0.154852,0.441562,0.802916,-0.156339,0.445012,0.861829
0.220000,-0.164032,0.492439,0.829600,-0.154887,0.441592,0.802949,-0.156385,0.445002,0.861862
0.230000,-0.164067,0.492447,0.829628,-0.154922,0.441605,0.802982,-0.156414,0.445010,0.861890
0.240000,-0.164092,0.492455,0.829656,-0.154956,0.441618,0.803014,-0.156441,0.445017,0.861919
0.250000,-0.164110,0.492475,0.829694,-0.155011,0.441615,0.803058,-0.156474,0.445021,0.861962
0.260000,-0.164137,0.492480,0.829727,-0.155036,0.441636,0.803087,-0.156498,0.445007,0.861983
0.270000,-0.164178,0.492477,0.829768,-0.155081,0.441611,0.803137,-0.156516,0.445010,0.862008
