Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.538820,0.088298,0.405517,0.525261,0.096544,0.349608,0.581285,0.093477,0.366765
0.010000,0.538807,0.088360,0.405543,0.525217,0.096627,0.349638,0.581429,0.093743,0.366848
0.020000,0.538799,0.088409,0.405568,0.525169,0.096697,0.349658,0.581225,0.093636,0.366791
0.030000,0.538775,0.088457,0.405574,0.525138,0.096760,0.349683,0.581377,0.093882,0.366876
0.040000,0.538762,0.088500,0.405578,0.525106,0.096800,0.349685,0.581173,0.093749,0.366799
0.050000,0.538732,0.088547,0.405568,0.525084,0.096876,0.349699,0.581324,0.093973,0.366847
0.060000,0.538704,0.088578,0.405523,0.525063,0.096928,0.349692,0.581306,0.094008,0.366831
0.070000,0.538683,0.088593,0.405524,0.525003,0.097004,0.349667,0.581104,0.093871,0.366728
0.080000,0.538652,0.088615,0.405478,0.524983,0.097053,0.349638,0.581079,0.093932,0.366696
0.090000,0.538631,0.088625,0.405438,0.524956,0.097057,0.349589,0.581050,0.093978,0.366658
0.100000,0.538608,0.088626,0.405379,0.524934,0.097127,0.349552,0.581023,0.093995,0.366613
0.110000,0.538572,0.088635,0.405331,0.524902,0.097165,0.349497,0.580980,0.094028,0.366557
0.120000,0.538553,0.088620,0.405271,0.524851,0.097196,0.349440,0.580936,0.094042,0.366508
0.130000,0.538497,0.088641,0.405179,0.524813,0.097221,0.349376,0.580892,0.094075,0.366439
0.140000,0.538441,0.088602,0.405059,0.524753,0.097223,0.349282,0.580837,0.094100,0.366355
0.150000,0.538391,0.088563,0.404942,0.524723,0.097236,0.349193,0.580796,0.094103,0.366244
0.160000,0.538362,0.088547,0.404839,0.524678,0.097248,0.349095,0.580759,0.094116,0.366128
0.170000,0.538354,0.088624,0.404686,0.524622,0.097287,0.348986,0.580728,0.094127,0.366009
0.180000,0.538320,0.088606,0.404573,0.524585,0.097294,0.348869,0.580681,0.094158,0.365863
0.190000,0.538320,0.088619,0.404419,0.524537,0.097297,0.348732,0.580642,0.094176,0.365718
