Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.143694,0.489804,0.750319,-0.134989,0.438785,0.723327,-0.135322,0.442302,0.782263
0.010000,-0.143689,0.489814,0.750322,-0.134984,0.438788,0.723325,-0.135323,0.442296,0.782264
0.020000,-0.143686,0.489820,0.750321,-0.134955,0.438794,0.723320,-0.135322,0.442309,0.782258
0.030000,-0.143680,0.489824,0.750315,-0.134939,0.438803,0.723315,-0.135321,0.442323,0.782252
0.040000,-0.143670,0.489829,0.750307,-0.134921,0.438807,0.723302,-0.135325,0.442316,0.782247
0.050000,-0.143661,0.489830,0.750295,-0.134896,0.438823,0.723293,-0.135309,0.442320,0.782239
0.060000,-0.143647,0.489838,0.750280,-0.134871,0.438816,0.723277,-0.135307,0.442317,0.782223
0.070000,-0.143633,0.489830,0.750241,-0.134801,0.438832,0.723245,-0.135291,0.442313,0.782202
0.080000,-0.143591,0.489824,0.750223,-0.134770,0.438820,0.723221,-0.135275,0.442316,0.782173
0.090000,-0.143562,0.489802,0.750182,-0.134734,0.438804,0.723194,-0.135254,0.442297,0.782150
0.100000,-0.143540,0.489780,0.750126,-0.134696,0.438769,0.723154,-0.135234,0.442284,0.782107
0.110000,-0.143486,0.489754,0.750075,-0.134659,0.438741,0.723114,-0.135189,0.442249,0.782064
0.120000,-0.143440,0.489718,0.750025,-0.134622,0.438697,0.723072,-0.135155,0.442234,0.782013
0.130000,-0.143379,0.489696,0.749968,-0.134573,0.438666,0.723017,-0.135099,0.442211,0.781948
0.140000,-0.143320,0.489654,0.749902,-0.134532,0.438617,0.722962,-0.135059,0.442171,0.781893
0.150000,-0.143248,0.489574,0.749805,-0.134486,0.438582,0.722890,-0.134994,0.442155,0.781816
0.160000,-0.143178,0.489518,0.749725,-0.134436,0.438554,0.722833,-0.134949,0.442122,0.781751
0.170000,-0.143126,0.489484,0.749662,-0.134400,0.438488,0.722779,-0.134896,0.442085,0.781697
0.180000,-0.143059,0.489442,0.749595,-0.134354,0.438459,0.722714,-0.134850,0.442036,0.781638
0.190000,-0.142991,0.489403,0.749530,-0.134309,0.438426,0.722653,-0.134799,0.441994,0.781577
0.200000,-0.142936,0.489371,0.749465,-0.134242,0.438404,0.722581,-0.134758,0.441953,0.781522
0.210000,-0.142870,0.489344,0.749399,-0.134205,0.438367,0.722524,-0.134717,0.441918,0.781457
0.220000,-0.142812,0.489300,0.749333,-0.134162,0.438334,0.722460,-0.134672,0.441872,0.781394
0.230000,-0.142747,0.489280,0.749249,-0.134125,0.438287,0.722412,-0.134630,0.441857,0.781337
0.240000,-0.142697,0.489260,0.749175,-0.134085,0.438237,0.722349,-0.134597,0.441812,0.781276
0.250000,-0.142659,0.489210,0.749094,-0.134048,0.438204,0.722284,-0.134562,0.441783,0.781213
0.260000,-0.142605,0.489188,0.748989,-0.134020,0.438187,0.722226,-0.134525,0.441770,0.781144
0.270000,-0.142562,0.489184,0.748911,-0.133982,0.438174,0.722151,-0.134504,0.441746,0.781078
