Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.091798,0.080869,0.553493,0.131757,0.038228,0.553125,0.073545,0.025776,0.552478
0.010000,0.091859,0.081149,0.553493,0.131791,0.038480,0.553149,0.073572,0.026090,0.552538
0.020000,0.091954,0.081439,0.553490,0.131864,0.038764,0.553168,0.073633,0.026393,0.552595
0.030000,0.092038,0.081688,0.553523,0.131967,0.039084,0.553174,0.073699,0.026713,0.552672
0.040000,0.092268,0.082179,0.553563,0.132027,0.039289,0.553207,0.073758,0.026975,0.552742
0.050000,0.092355,0.082402,0.553591,0.132107,0.039508,0.553241,0.073842,0.027269,0.552808
0.060000,0.092435,0.082629,0.553609,0.132177,0.039704,0.553263,0.073906,0.027521,0.552871
0.070000,0.092499,0.082802,0.553594,0.132230,0.039884,0.553292,0.073980,0.027748,0.552929
0.080000,0.092584,0.083055,0.553576,0.132298,0.040080,0.553340,0.074060,0.028001,0.552990
0.090000,0.092648,0.083212,0.553555,0.132335,0.040210,0.553376,0.074086,0.028260,0.553058
0.100000,0.092700,0.083398,0.553537,0.132375,0.040350,0.553415,0.074130,0.028450,0.553084
0.110000,0.092727,0.083474,0.553530,0.132418,0.040488,0.553461,0.074179,0.028576,0.553114
0.120000,0.092762,0.083604,0.553524,0.132440,0.040591,0.553501,0.074218,0.028720,0.553153
0.130000,0.092779,0.083700,0.553528,0.132461,0.040681,0.553545,0.074236,0.028829,0.553169
0.140000,0.092774,0.083764,0.553533,0.132491,0.040780,0.553614,0.074241,0.028914,0.553211
0.150000,0.092784,0.083862,0.553521,0.132481,0.040855,0.553660,0.074229,0.029003,0.553221
0.160000,0.092769,0.083934,0.553508,0.132461,0.040939,0.553681,0.074229,0.029096,0.553231
0.170000,0.092760,0.084009,0.553504,0.132466,0.041008,0.553742,0.074209,0.029164,0.553239
0.180000,0.092746,0.084066,0.553506,0.132466,0.041059,0.553796,0.074206,0.029231,0.553259
0.190000,0.092729,0.084124,0.553524,0.132452,0.041124,0.553852,0.074216,0.029272,0.553279
0.200000,0.092750,0.084110,0.553541,0.132453,0.041144,0.553869,0.074217,0.029291,0.553302
0.210000,0.092733,0.084164,0.553565,0.132469,0.041181,0.553907,0.074227,0.029286,0.553319
0.220000,0.092720,0.084141,0.553591,0.132462,0.041217,0.553939,0.074238,0.029288,0.553316
0.230000,0.092698,0.084193,0.553591,0.132461,0.041223,0.553971,0.074223,0.029278,0.553323
0.240000,0.092659,0.084192,0.553596,0.132428,0.041224,0.553981,0.074183,0.029292,0.553326
0.250000,0.092599,0.084174,0.553595,0.132375,0.041236,0.554009,0.074147,0.029247,0.553310
0.260000,0.092515,0.084177,0.553601,0.132315,0.041232,0.554023,0.074091,0.029242,0.553298
0.270000,0.092458,0.084168,0.553596,0.132235,0.041215,0.554042,0.074023,0.029173,0.553283
0.280000,0.092352,0.084161,0.553602,0.132170,0.041218,0.554078,0.073949,0.029136,0.553255
0.290000,0.092294,0.084138,0.553590,0.132087,0.041185,0.554077,0.073876,0.029036,0.553226
0.300000,0.092222,0.084111,0.553582,0.131971,0.041171,0.554065,0.073787,0.029015,0.553191
0.310000,0.092157,0.084054,0.553592,0.131895,0.041105,0.554075,0.073718,0.028938,0.553169
0.320000,0.092091,0.084000,0.553599,0.131840,0.041072,0.554076,0.073656,0.028871,0.553143
0.330000,0.092047,0.083966,0.553602,0.131782,0.041036,0.554088,0.073614,0.028803,0.553107
0.340000,0.092011,0.083958,0.553604,0.131726,0.040999,0.554087,0.073551,0.028782,0.553096
0.350000,0.091976,0.083947,0.553601,0.131686,0.040981,0.554087,0.073489,0.028736,0.553064
0.360000,0.091942,0.083944,0.553605,0.131653,0.040951,0.554084,0.073440,0.028699,0.553041
0.370000,0.091913,0.083896,0.553620,0.131606,0.040920,0.554088,0.073395,0.028666,0.552998
0.380000,0.091872,0.083888,0.553642,0.131553,0.040892,0.554103,0.073347,0.028649,0.553010
0.390000,0.091801,0.083814,0.553683,0.131484,0.040860,0.554131,0.073274,0.028634,0.553004
0.400000,0.091740,0.083825,0.553729,0.131417,0.040855,0.554174,0.073196,0.028614,0.552990
0.410000,0.091676,0.083834,0.553771,0.131322,0.040834,0.554221,0.073097,0.028622,0.552998
0.420000,0.091441,0.083578,0.553757,0.131213,0.040796,0.554267,0.072981,0.028595,0.552974
0.430000,0.091357,0.083577,0.553795,0.131079,0.040751,0.554332,0.072858,0.028605,0.552959
0.440000,0.091276,0.083569,0.553836,0.130953,0.040673,0.554396,0.072723,0.028570,0.552959
0.450000,0.091170,0.083547,0.553906,0.130843,0.040625,0.554453,0.072609,0.028544,0.552969
0.460000,0.091086,0.083526,0.553957,0.130715,0.040597,0.554515,0.072479,0.028570,0.552976
0.470000,0.090987,0.083533,0.554014,0.130601,0.040574,0.554597,0.072359,0.028541,0.552991
0.480000,0.090897,0.083523,0.554067,0.130452,0.040486,0.554651,0.072237,0.028510,0.553008
0.490000,0.090764,0.083781,0.554013,0.130330,0.040434,0.554739,0.072139,0.028480,0.553041
0.500000,0.090707,0.083469,0.554210,0.130235,0.040382,0.554802,0.072032,0.028459,0.553065
0.510000,0.090592,0.083452,0.554262,0.130164,0.040376,0.554859,0.071955,0.028432,0.553093
0.520000,0.090555,0.083480,0.554311,0.130105,0.040372,0.554918,0.071900,0.028428,0.553116
0.530000,0.090508,0.083454,0.554369,0.130052,0.040366,0.554950,0.071830,0.028447,0.553155
0.540000,0.090484,0.083478,0.554401,0.130033,0.040385,0.554990,0.071818,0.028453,0.553183
0.550000,0.090486,0.083499,0.554456,0.130016,0.040386,0.555018,0.071801,0.028475,0.553219
0.560000,0.090519,0.083562,0.554506,0.129999,0.040398,0.555054,0.071802,0.028512,0.553258
0.570000,0.090528,0.083566,0.554545,0.130014,0.040437,0.555093,0.071809,0.028522,0.553311
0.580000,0.090527,0.083635,0.554594,0.130020,0.040474,0.555127,0.071815,0.028542,0.553351
0.590000,0.090525,0.083647,0.554629,0.130005,0.040496,0.555175,0.071802,0.028585,0.553385
0.600000,0.090480,0.083668,0.554673,0.130005,0.040562,0.555220,0.071797,0.028660,0.553434
0.610000,0.090488,0.083747,0.554716,0.129991,0.040617,0.555273,0.071796,0.028702,0.553497
0.620000,0.090423,0.083756,0.554745,0.129975,0.040657,0.555333,0.071763,0.028749,0.553545
0.630000,0.090383,0.083763,0.554794,0.129953,0.040693,0.555391,0.071754,0.028752,0.553600
0.640000,0.090389,0.083835,0.554839,0.129943,0.040730,0.555452,0.071756,0.028775,0.553648
0.650000,0.090341,0.083803,0.554885,0.129940,0.040766,0.555504,0.071750,0.028789,0.553711
0.660000,0.090333,0.083813,0.554933,0.129933,0.040781,0.555559,0.071766,0.028799,0.553769
0.670000,0.090325,0.083830,0.554984,0.129951,0.040806,0.555614,0.071766,0.028821,0.553830
0.680000,0.090332,0.083830,0.555033,0.129968,0.040854,0.555673,0.071805,0.028813,0.553872
0.690000,0.090346,0.083841,0.555078,0.130014,0.040862,0.555727,0.071851,0.028793,0.553949
0.700000,0.090363,0.083824,0.555133,0.130055,0.040823,0.555794,0.071894,0.028765,0.554015
0.710000,0.090416,0.083869,0.555169,0.130091,0.040838,0.555845,0.071940,0.028764,0.554072
0.720000,0.090400,0.083807,0.555214,0.130145,0.040854,0.555912,0.071975,0.028744,0.554113
0.730000,0.090496,0.083885,0.555267,0.130194,0.040894,0.555975,0.072027,0.028724,0.554182
0.740000,0.090529,0.083879,0.555322,0.130249,0.040874,0.556006,0.072086,0.028723,0.554236
0.750000,0.090563,0.083873,0.555354,0.130360,0.040969,0.556053,0.072131,0.028724,0.554284
0.760000,0.090606,0.083869,0.555383,0.130415,0.040983,0.556094,0.072190,0.028715,0.554318
0.770000,0.090630,0.083862,0.555426,0.130470,0.040978,0.556122,0.072242,0.028718,0.554353
0.780000,0.090669,0.083851,0.555448,0.130506,0.040967,0.556152,0.072299,0.028677,0.554391
0.790000,0.090719,0.083827,0.555487,0.130574,0.040973,0.556187,0.072343,0.028655,0.554420
0.800000,0.090760,0.083822,0.555526,0.130621,0.040985,0.556211,0.072383,0.028654,0.554450
0.810000,0.090800,0.083816,0.555551,0.130666,0.040962,0.556240,0.072434,0.028644,0.554483
0.820000,0.090839,0.083792,0.555578,0.130729,0.040944,0.556270,0.072494,0.028599,0.554514
0.830000,0.090885,0.083782,0.555597,0.130774,0.040921,0.556284,0.072555,0.028586,0.554529
0.840000,0.090934,0.083730,0.555619,0.130838,0.040931,0.556294,0.072616,0.028551,0.554550
0.850000,0.090980,0.083695,0.555623,0.130894,0.040887,0.556298,0.072672,0.028516,0.554561
0.860000,0.091004,0.083665,0.555625,0.130941,0.040865,0.556276,0.072716,0.028507,0.554581
0.870000,0.091054,0.083636,0.555626,0.130987,0.040861,0.556264,0.072765,0.028485,0.554578
0.880000,0.091087,0.083627,0.555620,0.131018,0.040828,0.556247,0.072800,0.028456,0.554571
0.890000,0.091114,0.083592,0.555611,0.131066,0.040826,0.556229,0.072846,0.028442,0.554572
0.900000,0.091170,0.083584,0.555600,0.131093,0.040815,0.556217,0.072863,0.028435,0.554571
0.910000,0.091204,0.083565,0.555618,0.131113,0.040795,0.556212,0.072892,0.028442,0.554572
0.920000,0.091222,0.083569,0.555602,0.131137,0.040790,0.556207,0.072910,0.028430,0.554567
0.930000,0.091246,0.083539,0.555623,0.131142,0.040747,0.556183,0.072930,0.028398,0.554552
0.940000,0.091266,0.083516,0.555605,0.131176,0.040751,0.556157,0.072941,0.028378,0.554551
0.950000,0.091273,0.083479,0.555596,0.131173,0.040709,0.556138,0.072943,0.028381,0.554540
0.960000,0.091279,0.083445,0.555580,0.131160,0.040633,0.556097,0.072948,0.028321,0.554524
0.970000,0.091270,0.083401,0.555557,0.131165,0.040614,0.556053,0.072950,0.028277,0.554482
0.980000,0.091245,0.083389,0.555517,0.131133,0.040585,0.556023,0.072907,0.028263,0.554446
0.990000,0.091200,0.083369,0.555485,0.131097,0.040558,0.555989,0.072875,0.028228,0.554416
1.000000,0.091141,0.083333,0.555448,0.131028,0.040543,0.555961,0.072806,0.028210,0.554369
1.010000,0.091066,0.083315,0.555409,0.130939,0.040511,0.555926,0.072727,0.028196,0.554334
1.020000,0.090947,0.083307,0.555391,0.130848,0.040505,0.555910,0.072635,0.028194,0.554288
1.030000,0.090845,0.083336,0.555349,0.130728,0.040488,0.555880,0.072510,0.028185,0.554227
1.040000,0.090728,0.083394,0.555283,0.130584,0.040470,0.555845,0.072378,0.028178,0.554164
1.050000,0.090592,0.083364,0.555234,0.130410,0.040421,0.555770,0.072262,0.028185,0.554101
1.060000,0.090439,0.083340,0.555158,0.130273,0.040415,0.555720,0.072118,0.028197,0.554025
1.070000,0.090316,0.083354,0.555122,0.130129,0.040418,0.555673,0.071988,0.028203,0.553952
1.080000,0.090169,0.083367,0.555069,0.129951,0.040393,0.555596,0.071816,0.028174,0.553864
1.090000,0.090016,0.083384,0.555022,0.129757,0.040445,0.555550,0.071647,0.028120,0.553755
1.100000,0.089752,0.083347,0.554956,0.129557,0.040410,0.555528,0.071455,0.028078,0.553656
1.110000,0.089548,0.083337,0.554896,0.129340,0.040389,0.555534,0.071246,0.028040,0.553584
1.120000,0.089188,0.083120,0.554798,0.129148,0.040368,0.555513,0.071029,0.028027,0.553482
1.130000,0.088952,0.083105,0.554748,0.128935,0.040327,0.555490,0.070812,0.027990,0.553399
1.140000,0.088750,0.083084,0.554674,0.128735,0.040298,0.555471,0.070560,0.028018,0.553318
1.150000,0.088580,0.083053,0.554618,0.128524,0.040308,0.555446,0.070346,0.027994,0.553231
1.160000,0.088419,0.083036,0.554569,0.128352,0.040269,0.555406,0.070173,0.027962,0.553168
1.170000,0.088273,0.083012,0.554513,0.128185,0.040250,0.555382,0.069997,0.027957,0.553132
1.180000,0.088148,0.083007,0.554497,0.128041,0.040208,0.555370,0.069846,0.027919,0.553095
1.190000,0.088028,0.082975,0.554480,0.127887,0.040164,0.555350,0.069683,0.027879,0.553067
1.200000,0.087901,0.082944,0.554463,0.127746,0.040116,0.555342,0.069544,0.027843,0.553034
