Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.565296,0.063741,0.416816,0.540253,0.076356,0.365646,0.591326,0.047747,0.369480
0.010000,0.565214,0.063739,0.416954,0.540162,0.076282,0.365773,0.591264,0.047731,0.369645
0.020000,0.565159,0.063749,0.417105,0.540104,0.076271,0.365910,0.591206,0.047751,0.369818
0.030000,0.565098,0.063798,0.417267,0.540040,0.076301,0.366050,0.591164,0.047778,0.369994
0.040000,0.565027,0.063883,0.417449,0.540010,0.076342,0.366222,0.591139,0.047826,0.370167
0.050000,0.564989,0.063934,0.417594,0.539981,0.076353,0.366342,0.591122,0.047890,0.370354
0.060000,0.564967,0.064030,0.417753,0.539989,0.076385,0.366467,0.591129,0.047950,0.370510
0.070000,0.564966,0.064097,0.417886,0.540003,0.076407,0.366568,0.591144,0.047982,0.370649
0.080000,0.564986,0.064178,0.417997,0.540043,0.076448,0.366660,0.591180,0.048028,0.370802
0.090000,0.565000,0.064243,0.418122,0.540098,0.076502,0.366765,0.591214,0.048072,0.370917
0.100000,0.565040,0.064298,0.418223,0.540148,0.076523,0.366845,0.591256,0.048079,0.371028
0.110000,0.565070,0.064350,0.418316,0.540203,0.076544,0.366913,0.591311,0.048104,0.371114
0.120000,0.565102,0.064435,0.418404,0.540260,0.076567,0.366965,0.591358,0.048143,0.371210
0.130000,0.565128,0.064488,0.418457,0.540325,0.076587,0.367009,0.591407,0.048170,0.371289
0.140000,0.565171,0.064533,0.418501,0.540381,0.076590,0.367066,0.591447,0.048182,0.371341
0.150000,0.565183,0.064548,0.418552,0.540414,0.076575,0.367079,0.591483,0.048201,0.371400
0.160000,0.565181,0.064530,0.418584,0.540442,0.076570,0.367102,0.591513,0.048201,0.371449
0.170000,0.565172,0.064522,0.418616,0.540455,0.076560,0.367116,0.591513,0.048151,0.371479
0.180000,0.565140,0.064480,0.418644,0.540452,0.076541,0.367137,0.591478,0.048106,0.371511
0.190000,0.565076,0.064416,0.418676,0.540429,0.076487,0.367162,0.591467,0.048086,0.371557
0.200000,0.565006,0.064316,0.418708,0.540397,0.076442,0.367180,0.591420,0.047845,0.371648
0.210000,0.564929,0.064222,0.418732,0.540349,0.076400,0.367211,0.591368,0.047744,0.371682
0.220000,0.564854,0.064094,0.418757,0.540280,0.076324,0.367228,0.591309,0.047671,0.371706
0.230000,0.564781,0.063964,0.418767,0.540216,0.076254,0.367254,0.591252,0.047564,0.371715
0.240000,0.564699,0.063848,0.418772,0.540155,0.076184,0.367262,0.591165,0.047462,0.371723
0.250000,0.564623,0.063715,0.418763,0.540071,0.076086,0.367261,0.591099,0.047409,0.371717
0.260000,0.564542,0.063620,0.418753,0.539973,0.076011,0.367263,0.591017,0.047325,0.371711
0.270000,0.564448,0.063522,0.418727,0.539879,0.075940,0.367259,0.590934,0.047249,0.371669
0.280000,0.564378,0.063430,0.418684,0.539781,0.075863,0.367227,0.590837,0.047182,0.371638
