Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.570065,0.059629,0.368964,0.556385,0.057318,0.312326,0.608914,0.039893,0.332221
0.010000,0.569976,0.059661,0.368911,0.556279,0.057354,0.312260,0.608827,0.039908,0.332197
0.020000,0.569873,0.059694,0.368854,0.556197,0.057328,0.312195,0.608736,0.039905,0.332158
0.030000,0.569786,0.059694,0.368766,0.556115,0.057313,0.312133,0.608634,0.039894,0.332101
0.040000,0.569661,0.059749,0.368695,0.556013,0.057308,0.312073,0.608515,0.039879,0.332019
0.050000,0.569565,0.059817,0.368623,0.555892,0.057294,0.312013,0.608400,0.039823,0.331931
0.060000,0.569455,0.059866,0.368530,0.555759,0.057257,0.311939,0.608290,0.039812,0.331844
0.070000,0.569351,0.059871,0.368432,0.555633,0.057242,0.311871,0.608171,0.039819,0.331741
0.080000,0.569272,0.059893,0.368353,0.555493,0.057286,0.311780,0.608055,0.039839,0.331648
0.090000,0.569171,0.059887,0.368256,0.555358,0.057257,0.311682,0.607949,0.039861,0.331576
0.100000,0.569073,0.059929,0.368177,0.555254,0.057234,0.311595,0.607857,0.039884,0.331481
0.110000,0.568999,0.059930,0.368089,0.555128,0.057239,0.311488,0.607755,0.039883,0.331390
0.120000,0.568918,0.059939,0.367995,0.555008,0.057244,0.311428,0.607664,0.039897,0.331300
0.130000,0.568860,0.059932,0.367918,0.554892,0.057246,0.311374,0.607581,0.039937,0.331239
0.140000,0.568779,0.059965,0.367859,0.554817,0.057241,0.311316,0.607511,0.039893,0.331110
0.150000,0.568730,0.059954,0.367803,0.554753,0.057240,0.311256,0.607450,0.039934,0.331068
0.160000,0.568673,0.059999,0.367756,0.554702,0.057248,0.311202,0.607409,0.039943,0.330968
0.170000,0.568675,0.060015,0.367668,0.554672,0.057197,0.311125,0.607382,0.039980,0.330912
0.180000,0.568666,0.060033,0.367604,0.554655,0.057201,0.311066,0.607373,0.039972,0.330844
0.190000,0.568663,0.060027,0.367534,0.554679,0.057177,0.310990,0.607352,0.040013,0.330801
0.200000,0.568662,0.060019,0.367480,0.554671,0.057176,0.310949,0.607360,0.039998,0.330750
0.210000,0.568668,0.060033,0.367451,0.554685,0.057183,0.310898,0.607374,0.039996,0.330701
0.220000,0.568649,0.060062,0.367397,0.554699,0.057180,0.310859,0.607390,0.040001,0.330668
0.230000,0.568665,0.060081,0.367374,0.554718,0.057164,0.310794,0.607387,0.040039,0.330637
0.240000,0.568659,0.060135,0.367336,0.554724,0.057190,0.310760,0.607404,0.040059,0.330588
0.250000,0.568660,0.060174,0.367283,0.554737,0.057226,0.310717,0.607428,0.040082,0.330548
0.260000,0.568688,0.060208,0.367242,0.554757,0.057238,0.310669,0.607458,0.040120,0.330511
0.270000,0.568697,0.060263,0.367196,0.554784,0.057284,0.310626,0.607471,0.040134,0.330439
0.280000,0.568719,0.060313,0.367152,0.554811,0.057314,0.310581,0.607511,0.040223,0.330416
0.290000,0.568765,0.060311,0.367102,0.554838,0.057360,0.310537,0.607554,0.040286,0.330353
0.300000,0.568801,0.060368,0.367062,0.554873,0.057402,0.310494,0.607591,0.040345,0.330304
0.310000,0.568837,0.060456,0.366973,0.554901,0.057453,0.310425,0.607623,0.040406,0.330246
0.320000,0.568891,0.060470,0.366895,0.554924,0.057513,0.310343,0.607661,0.040451,0.330167
0.330000,0.568925,0.060498,0.366798,0.554975,0.057569,0.310276,0.607700,0.040496,0.330102
0.340000,0.568956,0.060551,0.366738,0.555011,0.057582,0.310195,0.607726,0.040555,0.330020
0.350000,0.568981,0.060546,0.366657,0.555028,0.057628,0.310124,0.607758,0.040609,0.329966
0.360000,0.568995,0.060545,0.366591,0.555043,0.057646,0.310052,0.607784,0.040641,0.329884
0.370000,0.569026,0.060555,0.366531,0.555067,0.057716,0.309990,0.607791,0.040695,0.329832
0.380000,0.569073,0.060603,0.366462,0.555090,0.057740,0.309941,0.607826,0.040700,0.329770
0.390000,0.569090,0.060574,0.366421,0.555110,0.057749,0.309885,0.607856,0.040686,0.329716
0.400000,0.569120,0.060561,0.366363,0.555139,0.057764,0.309847,0.607869,0.040691,0.329667
0.410000,0.569141,0.060540,0.366332,0.555175,0.057758,0.309806,0.607904,0.040669,0.329633
0.420000,0.569169,0.060495,0.366306,0.555198,0.057745,0.309780,0.607905,0.040685,0.329615
0.430000,0.569161,0.060470,0.366287,0.555219,0.057753,0.309759,0.607928,0.040596,0.329556
0.440000,0.569159,0.060441,0.366265,0.555229,0.057734,0.309744,0.607929,0.040623,0.329558
0.450000,0.569172,0.060363,0.366250,0.555261,0.057706,0.309732,0.607951,0.040556,0.329538
0.460000,0.569171,0.060329,0.366243,0.555275,0.057684,0.309721,0.607953,0.040514,0.329546
0.470000,0.569173,0.060283,0.366227,0.555289,0.057652,0.309714,0.607951,0.040470,0.329532
0.480000,0.569167,0.060228,0.366229,0.555303,0.057631,0.309716,0.607949,0.040421,0.329533
0.490000,0.569143,0.060185,0.366242,0.555306,0.057592,0.309721,0.607943,0.040373,0.329573
0.500000,0.569124,0.060099,0.366253,0.555316,0.057563,0.309733,0.607930,0.040311,0.329568
0.510000,0.569112,0.060054,0.366243,0.555308,0.057548,0.309748,0.607929,0.040248,0.329590
0.520000,0.569117,0.060023,0.366257,0.555325,0.057477,0.309744,0.607932,0.040195,0.329596
0.530000,0.569124,0.059989,0.366249,0.555343,0.057444,0.309757,0.607953,0.040146,0.329592
0.540000,0.569164,0.059934,0.366247,0.555385,0.057373,0.309762,0.607985,0.040066,0.329585
0.550000,0.569218,0.059896,0.366248,0.555428,0.057318,0.309784,0.608022,0.040035,0.329598
0.560000,0.569241,0.059842,0.366230,0.555511,0.057211,0.309778,0.608061,0.039993,0.329594
0.570000,0.569317,0.059836,0.366224,0.555563,0.057154,0.309788,0.608121,0.039963,0.329587
0.580000,0.569366,0.059829,0.366237,0.555624,0.057145,0.309806,0.608192,0.039888,0.329576
0.590000,0.569425,0.059809,0.366236,0.555699,0.057091,0.309819,0.608255,0.039856,0.329564
0.600000,0.569510,0.059805,0.366255,0.555766,0.057056,0.309832,0.608335,0.039833,0.329583
0.610000,0.569587,0.059788,0.366284,0.555861,0.057047,0.309862,0.608425,0.039799,0.329593
0.620000,0.569684,0.059855,0.366319,0.555952,0.057060,0.309899,0.608520,0.039773,0.329641
0.630000,0.569753,0.059861,0.366361,0.556040,0.057047,0.309936,0.608601,0.039752,0.329680
0.640000,0.569830,0.059879,0.366421,0.556140,0.057062,0.309998,0.608711,0.039706,0.329737
0.650000,0.569902,0.059910,0.366487,0.556137,0.056795,0.309918,0.608802,0.039697,0.329812
0.660000,0.570008,0.059905,0.366536,0.556221,0.056800,0.309962,0.608899,0.039713,0.329893
0.670000,0.570100,0.059888,0.366561,0.556306,0.056773,0.309992,0.609003,0.039733,0.329976
0.680000,0.570155,0.059920,0.366594,0.556405,0.056795,0.310026,0.609075,0.039730,0.330040
0.690000,0.570211,0.059939,0.366624,0.556473,0.056771,0.310039,0.609166,0.039741,0.330083
0.700000,0.570264,0.059929,0.366633,0.556558,0.056755,0.310043,0.609219,0.039719,0.330131
0.710000,0.570315,0.059916,0.366656,0.556620,0.056701,0.310054,0.609300,0.039757,0.330240
0.720000,0.570358,0.059886,0.366684,0.556693,0.056684,0.310074,0.609354,0.039716,0.330286
0.730000,0.570391,0.059848,0.366695,0.556751,0.056607,0.310080,0.609412,0.039650,0.330304
0.740000,0.570406,0.059799,0.366697,0.556799,0.056547,0.310089,0.609445,0.039607,0.330343
0.750000,0.570412,0.059717,0.366712,0.556832,0.056468,0.310092,0.609455,0.039521,0.330364
0.760000,0.570407,0.059609,0.366735,0.556836,0.056381,0.310093,0.609456,0.039440,0.330385
0.770000,0.570372,0.059500,0.366735,0.556830,0.056288,0.310100,0.609441,0.039316,0.330389
0.780000,0.570328,0.059389,0.366741,0.556809,0.056185,0.310103,0.609399,0.039215,0.330418
