Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.298233,0.388084,0.580282,-0.292259,0.337992,0.551869,-0.293107,0.340905,0.611116
0.010000,-0.298215,0.388069,0.580288,-0.292248,0.337989,0.551873,-0.293091,0.340898,0.611117
0.020000,-0.298193,0.388055,0.580291,-0.292234,0.337981,0.551878,-0.293070,0.340859,0.611122
0.030000,-0.298171,0.388031,0.580290,-0.292232,0.337956,0.551876,-0.293056,0.340844,0.611133
0.040000,-0.298149,0.388010,0.580302,-0.292216,0.337941,0.551884,-0.293045,0.340810,0.611129
0.050000,-0.298132,0.387997,0.580310,-0.292210,0.337913,0.551894,-0.293018,0.340799,0.611144
0.060000,-0.298123,0.387971,0.580321,-0.292184,0.337869,0.551910,-0.293004,0.340797,0.611164
0.070000,-0.298102,0.387961,0.580339,-0.292181,0.337850,0.551920,-0.293004,0.340774,0.611173
0.080000,-0.298082,0.387967,0.580369,-0.292169,0.337836,0.551937,-0.292990,0.340761,0.611191
0.090000,-0.298073,0.387925,0.580390,-0.292159,0.337842,0.551955,-0.292989,0.340747,0.611205
0.100000,-0.298059,0.387943,0.580410,-0.292155,0.337825,0.551973,-0.292986,0.340742,0.611223
0.110000,-0.298058,0.387922,0.580436,-0.292146,0.337826,0.551984,-0.292985,0.340721,0.611239
0.120000,-0.298053,0.387931,0.580459,-0.292135,0.337806,0.552012,-0.292985,0.340728,0.611263
0.130000,-0.298056,0.387929,0.580473,-0.292131,0.337797,0.552033,-0.293002,0.340714,0.611267
0.140000,-0.298052,0.387935,0.580493,-0.292134,0.337802,0.552045,-0.292985,0.340734,0.611282
0.150000,-0.298059,0.387946,0.580500,-0.292123,0.337835,0.552043,-0.292993,0.340730,0.611294
0.160000,-0.298060,0.387956,0.580509,-0.292135,0.337815,0.552069,-0.292987,0.340757,0.611311
0.170000,-0.298058,0.387960,0.580515,-0.292132,0.337828,0.552073,-0.292990,0.340755,0.611310
0.180000,-0.298066,0.387970,0.580516,-0.292136,0.337845,0.552067,-0.292987,0.340767,0.611322
0.190000,-0.298076,0.387972,0.580509,-0.292142,0.337848,0.552072,-0.293042,0.340756,0.611326
0.200000,-0.298082,0.387981,0.580507,-0.292143,0.337842,0.552070,-0.292999,0.340775,0.611312
0.210000,-0.298088,0.387989,0.580506,-0.292144,0.337862,0.552060,-0.293003,0.340781,0.611301
0.220000,-0.298094,0.387998,0.580510,-0.292155,0.337910,0.552056,-0.292999,0.340791,0.611296
0.230000,-0.298092,0.388007,0.580494,-0.292156,0.337877,0.552049,-0.293005,0.340785,0.611303
0.240000,-0.298098,0.387987,0.580492,-0.292157,0.337864,0.552046,-0.293002,0.340788,0.611283
0.250000,-0.298094,0.387994,0.580473,-0.292166,0.337861,0.552037,-0.293014,0.340787,0.611280
0.260000,-0.298099,0.387980,0.580457,-0.292171,0.337887,0.552014,-0.293011,0.340773,0.611281
0.270000,-0.298099,0.387970,0.580450,-0.292177,0.337849,0.552018,-0.293019,0.340770,0.611271
0.280000,-0.298100,0.387974,0.580438,-0.292180,0.337835,0.552011,-0.293023,0.340764,0.611265
0.290000,-0.298102,0.387954,0.580435,-0.292182,0.337827,0.552002,-0.293022,0.340761,0.611263
0.300000,-0.298101,0.387948,0.580421,-0.292188,0.337814,0.552000,-0.293027,0.340766,0.611254
0.310000,-0.298119,0.387931,0.580392,-0.292188,0.337808,0.552013,-0.293027,0.340753,0.611239
0.320000,-0.298121,0.387931,0.580379,-0.292195,0.337817,0.551982,-0.293031,0.340757,0.611241
0.330000,-0.298132,0.387933,0.580374,-0.292199,0.337806,0.551986,-0.293039,0.340763,0.611232
0.340000,-0.298137,0.387936,0.580357,-0.292214,0.337856,0.551970,-0.293033,0.340767,0.611229
0.350000,-0.298135,0.387939,0.580353,-0.292206,0.337813,0.551966,-0.293035,0.340768,0.611218
0.360000,-0.298140,0.387939,0.580346,-0.292208,0.337816,0.551961,-0.293037,0.340781,0.611211
0.370000,-0.298144,0.387948,0.580338,-0.292223,0.337861,0.551957,-0.293037,0.340779,0.611218
0.380000,-0.298149,0.387946,0.580346,-0.292217,0.337827,0.551964,-0.293046,0.340777,0.611213
0.390000,-0.298145,0.387957,0.580339,-0.292223,0.337863,0.551958,-0.293026,0.340791,0.611213
0.400000,-0.298149,0.387943,0.580340,-0.292216,0.337829,0.551955,-0.293033,0.340796,0.611219
0.410000,-0.298154,0.387949,0.580335,-0.292214,0.337821,0.551963,-0.293040,0.340799,0.611219
0.420000,-0.298150,0.387948,0.580340,-0.292212,0.337831,0.551962,-0.293032,0.340788,0.611218
0.430000,-0.298137,0.387959,0.580349,-0.292208,0.337834,0.551961,-0.293029,0.340801,0.611213
0.440000,-0.298145,0.387949,0.580355,-0.292207,0.337856,0.551973,-0.293039,0.340787,0.611215
0.450000,-0.298136,0.387954,0.580350,-0.292206,0.337821,0.551975,-0.293039,0.340797,0.611220
0.460000,-0.298145,0.387960,0.580344,-0.292200,0.337819,0.551962,-0.293036,0.340795,0.611218
0.470000,-0.298137,0.387955,0.580342,-0.292192,0.337826,0.551967,-0.293027,0.340803,0.611214
0.480000,-0.298130,0.387951,0.580335,-0.292191,0.337822,0.551966,-0.293033,0.340787,0.611213
0.490000,-0.298131,0.387940,0.580326,-0.292189,0.337822,0.551959,-0.293023,0.340790,0.611208
0.500000,-0.298126,0.387937,0.580311,-0.292187,0.337820,0.551944,-0.293022,0.340788,0.611194
0.510000,-0.298125,0.387938,0.580298,-0.292179,0.337813,0.551938,-0.293008,0.340787,0.611186
0.520000,-0.298112,0.387928,0.580284,-0.292171,0.337813,0.551929,-0.292992,0.340792,0.611173
0.530000,-0.298107,0.387914,0.580271,-0.292168,0.337790,0.551911,-0.292994,0.340768,0.611158
0.540000,-0.298091,0.387904,0.580254,-0.292160,0.337781,0.551900,-0.292981,0.340770,0.611151
0.550000,-0.298085,0.387886,0.580233,-0.292151,0.337773,0.551882,-0.292979,0.340748,0.611136
0.560000,-0.298069,0.387877,0.580224,-0.292145,0.337766,0.551876,-0.292979,0.340727,0.611096
0.570000,-0.298051,0.387883,0.580211,-0.292129,0.337765,0.551853,-0.292940,0.340755,0.611116
0.580000,-0.298046,0.387879,0.580203,-0.292122,0.337782,0.551849,-0.292934,0.340755,0.611108
0.590000,-0.298035,0.387890,0.580206,-0.292119,0.337785,0.551848,-0.292927,0.340739,0.611090
0.600000,-0.298032,0.387889,0.580206,-0.292112,0.337782,0.551833,-0.292908,0.340765,0.611078
0.610000,-0.298029,0.387894,0.580200,-0.292108,0.337771,0.551818,-0.292930,0.340718,0.611053
0.620000,-0.298020,0.387881,0.580193,-0.292102,0.337787,0.551825,-0.292943,0.340693,0.611045
0.630000,-0.298023,0.387873,0.580188,-0.292109,0.337766,0.551811,-0.292933,0.340706,0.611045
0.640000,-0.298027,0.387873,0.580183,-0.292113,0.337757,0.551811,-0.292945,0.340708,0.611031
0.650000,-0.298038,0.387869,0.580174,-0.292126,0.337755,0.551809,-0.292961,0.340697,0.611040
0.660000,-0.298054,0.387861,0.580180,-0.292138,0.337751,0.551809,-0.292977,0.340684,0.611050
0.670000,-0.298078,0.387845,0.580173,-0.292150,0.337758,0.551804,-0.292992,0.340704,0.611036
0.680000,-0.298093,0.387872,0.580169,-0.292177,0.337770,0.551808,-0.293025,0.340703,0.611028
0.690000,-0.298125,0.387886,0.580167,-0.292195,0.337772,0.551813,-0.293046,0.340710,0.611024
0.700000,-0.298151,0.387910,0.580158,-0.292214,0.337796,0.551819,-0.293065,0.340730,0.611023
0.710000,-0.298186,0.387916,0.580159,-0.292247,0.337834,0.551798,-0.293062,0.340788,0.611039
0.720000,-0.298215,0.387942,0.580164,-0.292271,0.337874,0.551802,-0.293109,0.340769,0.611012
0.730000,-0.298248,0.387960,0.580155,-0.292291,0.337890,0.551802,-0.293148,0.340787,0.610997
0.740000,-0.298279,0.387983,0.580148,-0.292323,0.337912,0.551799,-0.293160,0.340835,0.611009
0.750000,-0.298323,0.388011,0.580141,-0.292349,0.337949,0.551784,-0.293191,0.340847,0.611000
0.760000,-0.298358,0.388034,0.580142,-0.292410,0.337973,0.551792,-0.293216,0.340871,0.610999
0.770000,-0.298397,0.388059,0.580142,-0.292426,0.338000,0.551785,-0.293237,0.340899,0.610986
0.780000,-0.298424,0.388080,0.580131,-0.292455,0.338032,0.551778,-0.293320,0.340915,0.610986
