Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.315515,0.404432,0.579253,-0.301877,0.358459,0.548105,-0.303079,0.357246,0.607275
0.010000,-0.315476,0.404442,0.579263,-0.301871,0.358447,0.548114,-0.303073,0.357251,0.607288
0.020000,-0.315472,0.404436,0.579260,-0.301856,0.358434,0.548119,-0.303068,0.357218,0.607287
0.030000,-0.315462,0.404395,0.579291,-0.301835,0.358418,0.548131,-0.303059,0.357203,0.607303
0.040000,-0.315428,0.404410,0.579295,-0.301824,0.358420,0.548136,-0.303048,0.357197,0.607321
0.050000,-0.315413,0.404394,0.579309,-0.301816,0.358391,0.548156,-0.303045,0.357166,0.607334
0.060000,-0.315384,0.404383,0.579322,-0.301983,0.357960,0.547963,-0.302994,0.357141,0.607363
0.070000,-0.315367,0.404383,0.579336,-0.301778,0.358380,0.548191,-0.302997,0.357153,0.607370
0.080000,-0.315356,0.404359,0.579355,-0.301755,0.358364,0.548197,-0.302980,0.357110,0.607383
0.090000,-0.315344,0.404343,0.579361,-0.301735,0.358355,0.548210,-0.302966,0.357097,0.607390
0.100000,-0.315307,0.404350,0.579373,-0.301704,0.358331,0.548220,-0.302948,0.357094,0.607404
0.110000,-0.315284,0.404347,0.579376,-0.301670,0.358321,0.548248,-0.302934,0.357080,0.607393
0.120000,-0.315255,0.404339,0.579381,-0.301654,0.358281,0.548233,-0.302909,0.357079,0.607408
0.130000,-0.315221,0.404338,0.579376,-0.301628,0.358280,0.548233,-0.302896,0.357051,0.607408
0.140000,-0.315191,0.404320,0.579370,-0.301589,0.358277,0.548248,-0.302868,0.357046,0.607406
0.150000,-0.315170,0.404297,0.579365,-0.301593,0.358228,0.548232,-0.302847,0.357022,0.607406
0.160000,-0.315131,0.404271,0.579358,-0.301743,0.357782,0.548026,-0.302823,0.356986,0.607398
0.170000,-0.315087,0.404264,0.579354,-0.301529,0.358192,0.548244,-0.302788,0.356965,0.607400
0.180000,-0.315052,0.404246,0.579351,-0.301692,0.357754,0.548013,-0.302762,0.356949,0.607398
0.190000,-0.315019,0.404229,0.579326,-0.301483,0.358136,0.548215,-0.302736,0.356931,0.607388
0.200000,-0.314977,0.404208,0.579316,-0.301447,0.358119,0.548208,-0.302696,0.356915,0.607374
0.210000,-0.314947,0.404192,0.579313,-0.301405,0.358091,0.548206,-0.302630,0.356894,0.607356
0.220000,-0.314899,0.404162,0.579274,-0.301568,0.357644,0.547982,-0.302593,0.356882,0.607353
0.230000,-0.314882,0.404147,0.579278,-0.301535,0.357617,0.547974,-0.302559,0.356869,0.607339
0.240000,-0.314823,0.404148,0.579247,-0.301497,0.357615,0.547966,-0.302534,0.356844,0.607325
0.250000,-0.314789,0.404138,0.579233,-0.301465,0.357601,0.547963,-0.302488,0.356850,0.607312
0.260000,-0.314746,0.404148,0.579236,-0.301436,0.357598,0.547950,-0.302464,0.356837,0.607310
0.270000,-0.314710,0.404135,0.579227,-0.301405,0.357582,0.547938,-0.302427,0.356825,0.607296
0.280000,-0.314666,0.404126,0.579212,-0.301374,0.357571,0.547933,-0.302381,0.356815,0.607288
0.290000,-0.314619,0.404106,0.579215,-0.301352,0.357539,0.547918,-0.302355,0.356797,0.607281
0.300000,-0.314577,0.404072,0.579202,-0.301324,0.357521,0.547905,-0.302323,0.356753,0.607257
0.310000,-0.314533,0.404061,0.579191,-0.301297,0.357492,0.547898,-0.302284,0.356737,0.607243
0.320000,-0.314493,0.404029,0.579174,-0.301269,0.357465,0.547878,-0.302256,0.356714,0.607238
0.330000,-0.314454,0.404018,0.579164,-0.301256,0.357437,0.547879,-0.302241,0.356688,0.607227
0.340000,-0.314421,0.403990,0.579170,-0.301227,0.357409,0.547872,-0.302213,0.356667,0.607224
0.350000,-0.314400,0.403935,0.579184,-0.301200,0.357407,0.547871,-0.302187,0.356660,0.607218
0.360000,-0.314366,0.403905,0.579178,-0.301174,0.357392,0.547853,-0.302164,0.356638,0.607220
0.370000,-0.314348,0.403886,0.579164,-0.301150,0.357375,0.547854,-0.302146,0.356621,0.607206
0.380000,-0.314320,0.403920,0.579139,-0.301108,0.357367,0.547828,-0.302126,0.356613,0.607197
0.390000,-0.314299,0.403907,0.579134,-0.301105,0.357351,0.547834,-0.302114,0.356593,0.607193
0.400000,-0.314278,0.403867,0.579138,-0.301083,0.357341,0.547814,-0.302099,0.356609,0.607185
0.410000,-0.314255,0.403864,0.579121,-0.301063,0.357331,0.547804,-0.302077,0.356600,0.607179
0.420000,-0.314239,0.403849,0.579108,-0.301044,0.357325,0.547790,-0.302062,0.356595,0.607165
0.430000,-0.314220,0.403861,0.579096,-0.301030,0.357315,0.547778,-0.302048,0.356594,0.607147
0.440000,-0.314193,0.403875,0.579059,-0.301013,0.357311,0.547758,-0.302037,0.356579,0.607126
0.450000,-0.314180,0.403829,0.579051,-0.300998,0.357297,0.547744,-0.302019,0.356569,0.607118
0.460000,-0.314164,0.403863,0.579010,-0.300983,0.357295,0.547723,-0.301987,0.356578,0.607094
0.470000,-0.314146,0.403861,0.578990,-0.300967,0.357284,0.547699,-0.301976,0.356562,0.607070
0.480000,-0.314129,0.403858,0.578974,-0.300953,0.357282,0.547681,-0.301944,0.356548,0.607042
0.490000,-0.314100,0.403853,0.578944,-0.300712,0.357727,0.547833,-0.301921,0.356552,0.607019
0.500000,-0.314061,0.403846,0.578916,-0.300693,0.357726,0.547817,-0.301905,0.356535,0.607002
0.510000,-0.314037,0.403837,0.578897,-0.300673,0.357726,0.547801,-0.301878,0.356527,0.606989
0.520000,-0.314010,0.403812,0.578872,-0.300644,0.357717,0.547786,-0.301859,0.356526,0.606966
0.530000,-0.313969,0.403806,0.578849,-0.300632,0.357692,0.547761,-0.301835,0.356498,0.606950
0.540000,-0.313937,0.403793,0.578830,-0.300601,0.357677,0.547742,-0.301812,0.356485,0.606934
0.550000,-0.313914,0.403767,0.578807,-0.300586,0.357647,0.547729,-0.301786,0.356466,0.606917
0.560000,-0.313874,0.403761,0.578799,-0.300572,0.357623,0.547716,-0.301767,0.356439,0.606905
0.570000,-0.313831,0.403749,0.578778,-0.300531,0.357609,0.547696,-0.301742,0.356429,0.606877
0.580000,-0.313785,0.403730,0.578751,-0.300506,0.357591,0.547679,-0.301728,0.356396,0.606848
0.590000,-0.313757,0.403708,0.578737,-0.300479,0.357570,0.547653,-0.301658,0.356407,0.606842
0.600000,-0.313721,0.403703,0.578717,-0.300457,0.357555,0.547635,-0.301637,0.356386,0.606811
0.610000,-0.313686,0.403684,0.578694,-0.300417,0.357533,0.547619,-0.301605,0.356358,0.606765
0.620000,-0.313647,0.403672,0.578665,-0.300385,0.357516,0.547595,-0.301569,0.356343,0.606753
0.630000,-0.313620,0.403648,0.578640,-0.300349,0.357488,0.547576,-0.301540,0.356307,0.606717
0.640000,-0.313565,0.403633,0.578615,-0.300319,0.357473,0.547554,-0.301503,0.356283,0.606701
0.650000,-0.313533,0.403598,0.578588,-0.300277,0.357432,0.547530,-0.301449,0.356236,0.606674
0.660000,-0.313489,0.403579,0.578565,-0.300220,0.357437,0.547509,-0.301402,0.356223,0.606664
0.670000,-0.313436,0.403555,0.578547,-0.300154,0.357433,0.547479,-0.301359,0.356209,0.606636
0.680000,-0.313384,0.403503,0.578541,-0.300111,0.357398,0.547452,-0.301307,0.356203,0.606624
0.690000,-0.313338,0.403512,0.578496,-0.300082,0.357356,0.547430,-0.301268,0.356158,0.606603
0.700000,-0.313266,0.403467,0.578488,-0.300038,0.357339,0.547408,-0.301226,0.356150,0.606590
0.710000,-0.313217,0.403438,0.578470,-0.299946,0.357310,0.547381,-0.301156,0.356131,0.606542
0.720000,-0.313158,0.403414,0.578451,-0.299899,0.357289,0.547371,-0.301105,0.356129,0.606532
0.730000,-0.313102,0.403410,0.578435,-0.299856,0.357254,0.547348,-0.301062,0.356109,0.606511
0.740000,-0.313021,0.403400,0.578423,-0.299796,0.357241,0.547325,-0.301010,0.356099,0.606492
0.750000,-0.312974,0.403371,0.578399,-0.299752,0.357193,0.547310,-0.300956,0.356080,0.606474
0.760000,-0.312899,0.403365,0.578367,-0.299707,0.357163,0.547287,-0.300927,0.356054,0.606454
0.770000,-0.312816,0.403331,0.578337,-0.299849,0.356694,0.547052,-0.300861,0.356019,0.606432
0.780000,-0.312751,0.403302,0.578309,-0.299805,0.356651,0.547023,-0.300837,0.355941,0.606367
0.790000,-0.312693,0.403267,0.578281,-0.299757,0.356614,0.546996,-0.300790,0.355927,0.606331
0.800000,-0.312629,0.403251,0.578244,-0.299703,0.356564,0.546968,-0.300735,0.355872,0.606305
0.810000,-0.312563,0.403222,0.578206,-0.299642,0.356545,0.546932,-0.300685,0.355837,0.606252
0.820000,-0.312494,0.403166,0.578147,-0.299600,0.356508,0.546899,-0.300612,0.355814,0.606223
0.830000,-0.312427,0.403155,0.578086,-0.299549,0.356449,0.546837,-0.300551,0.355793,0.606181
0.840000,-0.312351,0.403132,0.578027,-0.299488,0.356426,0.546788,-0.300458,0.355754,0.606117
0.850000,-0.312289,0.403106,0.577973,-0.299425,0.356370,0.546728,-0.300397,0.355739,0.606072
0.860000,-0.312201,0.403074,0.577930,-0.299371,0.356337,0.546676,-0.300339,0.355718,0.606014
0.870000,-0.312143,0.403069,0.577852,-0.299304,0.356312,0.546629,-0.300277,0.355696,0.605965
0.880000,-0.312058,0.403056,0.577793,-0.299241,0.356280,0.546572,-0.300174,0.355646,0.605922
0.890000,-0.311967,0.403023,0.577726,-0.299161,0.356251,0.546504,-0.300119,0.355607,0.605866
0.900000,-0.311862,0.402984,0.577673,-0.299086,0.356209,0.546443,-0.300051,0.355578,0.605806
0.910000,-0.311777,0.402931,0.577592,-0.298998,0.356207,0.546365,-0.299972,0.355560,0.605760
0.920000,-0.311666,0.402900,0.577523,-0.298757,0.356564,0.546505,-0.299893,0.355514,0.605706
0.930000,-0.311563,0.402851,0.577456,-0.298698,0.356516,0.546456,-0.299819,0.355466,0.605637
0.940000,-0.311474,0.402810,0.577391,-0.298610,0.356454,0.546395,-0.299742,0.355437,0.605590
0.950000,-0.311388,0.402757,0.577324,-0.298541,0.356416,0.546347,-0.299657,0.355397,0.605538
0.960000,-0.311287,0.402737,0.577274,-0.298472,0.356375,0.546295,-0.299583,0.355354,0.605480
0.970000,-0.311212,0.402696,0.577221,-0.298399,0.356330,0.546248,-0.299509,0.355338,0.605439
0.980000,-0.311116,0.402646,0.577169,-0.298347,0.356260,0.546200,-0.299427,0.355289,0.605401
0.990000,-0.311045,0.402610,0.577123,-0.298299,0.356205,0.546156,-0.299344,0.355264,0.605370
1.000000,-0.310962,0.402559,0.577088,-0.298230,0.356174,0.546128,-0.299273,0.355239,0.605338
1.010000,-0.310878,0.402543,0.577054,-0.298156,0.356120,0.546094,-0.299206,0.355213,0.605310
1.020000,-0.310807,0.402509,0.577021,-0.298107,0.356080,0.546069,-0.299148,0.355167,0.605285
1.030000,-0.310748,0.402475,0.576994,-0.298046,0.356053,0.546045,-0.299079,0.355163,0.605263
1.040000,-0.310674,0.402457,0.576967,-0.297969,0.356041,0.546038,-0.299022,0.355136,0.605235
1.050000,-0.310616,0.402422,0.576949,-0.297885,0.356021,0.546011,-0.298963,0.355125,0.605223
1.060000,-0.310558,0.402404,0.576940,-0.297841,0.355980,0.545992,-0.298868,0.355119,0.605191
1.070000,-0.310456,0.402413,0.576912,-0.297792,0.355959,0.545989,-0.298813,0.355069,0.605186
1.080000,-0.310411,0.402376,0.576904,-0.297736,0.355929,0.545977,-0.298732,0.355049,0.605177
1.090000,-0.310339,0.402359,0.576898,-0.297696,0.355912,0.545971,-0.298676,0.355021,0.605173
1.100000,-0.310285,0.402326,0.576886,-0.297644,0.355877,0.545961,-0.298630,0.354995,0.605172
1.110000,-0.310224,0.402298,0.576894,-0.297601,0.355874,0.545963,-0.298591,0.354980,0.605168
1.120000,-0.310161,0.402285,0.576899,-0.297565,0.355861,0.545960,-0.298538,0.354944,0.605166
1.130000,-0.310088,0.402278,0.576904,-0.297523,0.355811,0.545958,-0.298496,0.354920,0.605156
1.140000,-0.310030,0.402247,0.576899,-0.297477,0.355789,0.545955,-0.298456,0.354905,0.605151
1.150000,-0.309980,0.402222,0.576890,-0.297460,0.355763,0.545944,-0.298420,0.354886,0.605149
1.160000,-0.309936,0.402199,0.576883,-0.297420,0.355740,0.545937,-0.298374,0.354857,0.605156
1.170000,-0.309879,0.402188,0.576886,-0.297391,0.355704,0.545930,-0.298345,0.354836,0.605146
1.180000,-0.309836,0.402149,0.576879,-0.297360,0.355674,0.545924,-0.298262,0.354823,0.605126
1.190000,-0.309795,0.402123,0.576878,-0.297325,0.355660,0.545907,-0.298238,0.354784,0.605106
1.200000,-0.309750,0.402111,0.576868,-0.297489,0.355208,0.545698,-0.298194,0.354781,0.605114
1.210000,-0.309718,0.402091,0.576862,-0.297467,0.355191,0.545693,-0.298170,0.354758,0.605099
1.220000,-0.309652,0.402082,0.576852,-0.297263,0.355598,0.545887,-0.298143,0.354734,0.605083
1.230000,-0.309623,0.402050,0.576840,-0.297244,0.355583,0.545880,-0.298120,0.354719,0.605081
1.240000,-0.309590,0.402046,0.576828,-0.297221,0.355564,0.545865,-0.298086,0.354719,0.605088
1.250000,-0.309564,0.402023,0.576826,-0.297213,0.355532,0.545869,-0.298060,0.354712,0.605076
1.260000,-0.309543,0.402033,0.576824,-0.297389,0.355106,0.545664,-0.298051,0.354696,0.605077
1.270000,-0.309528,0.402018,0.576833,-0.297195,0.355526,0.545861,-0.298037,0.354670,0.605077
1.280000,-0.309510,0.402013,0.576836,-0.297193,0.355515,0.545862,-0.298027,0.354657,0.605082
1.290000,-0.309501,0.401999,0.576842,-0.297187,0.355506,0.545863,-0.298014,0.354659,0.605087
1.300000,-0.309495,0.401993,0.576856,-0.297185,0.355501,0.545880,-0.297998,0.354638,0.605096
1.310000,-0.309482,0.401979,0.576869,-0.297181,0.355489,0.545889,-0.297984,0.354651,0.605125
1.320000,-0.309478,0.401980,0.576885,-0.297184,0.355487,0.545910,-0.297983,0.354639,0.605136
1.330000,-0.309479,0.401965,0.576916,-0.297186,0.355482,0.545931,-0.297987,0.354637,0.605162
1.340000,-0.309480,0.401978,0.576954,-0.297184,0.355495,0.545958,-0.297978,0.354646,0.605186
1.350000,-0.309492,0.401973,0.576988,-0.297197,0.355487,0.546000,-0.297991,0.354633,0.605219
1.360000,-0.309492,0.401971,0.577032,-0.297201,0.355496,0.546027,-0.297995,0.354641,0.605273
1.370000,-0.309505,0.401979,0.577075,-0.297212,0.355506,0.546063,-0.298004,0.354635,0.605301
1.380000,-0.309524,0.401973,0.577133,-0.297406,0.355095,0.545904,-0.298007,0.354642,0.605337
1.390000,-0.309536,0.401984,0.577170,-0.297417,0.355101,0.545944,-0.298030,0.354636,0.605378
1.400000,-0.309555,0.401989,0.577220,-0.297426,0.355099,0.545987,-0.298047,0.354614,0.605446
1.410000,-0.309582,0.401992,0.577272,-0.297439,0.355107,0.546035,-0.298066,0.354617,0.605488
1.420000,-0.309597,0.402012,0.577322,-0.297454,0.355114,0.546079,-0.298087,0.354617,0.605542
1.430000,-0.309623,0.402018,0.577386,-0.297469,0.355122,0.546132,-0.298092,0.354642,0.605587
1.440000,-0.309635,0.402036,0.577442,-0.297476,0.355153,0.546181,-0.298120,0.354639,0.605638
1.450000,-0.309657,0.402042,0.577495,-0.297496,0.355152,0.546234,-0.298146,0.354636,0.605690
1.460000,-0.309674,0.402042,0.577551,-0.297508,0.355159,0.546279,-0.298153,0.354647,0.605743
1.470000,-0.309722,0.402021,0.577640,-0.297512,0.355174,0.546347,-0.298241,0.354624,0.605831
1.480000,-0.309741,0.402030,0.577688,-0.297518,0.355176,0.546411,-0.298277,0.354624,0.605893
1.490000,-0.309767,0.402049,0.577754,-0.297527,0.355208,0.546465,-0.298297,0.354645,0.605951
1.500000,-0.309784,0.402067,0.577815,-0.297534,0.355240,0.546527,-0.298311,0.354639,0.605999
1.510000,-0.309814,0.402087,0.577888,-0.297542,0.355265,0.546585,-0.298339,0.354649,0.606047
1.520000,-0.309836,0.402113,0.577970,-0.297571,0.355260,0.546657,-0.298353,0.354649,0.606112
1.530000,-0.309858,0.402119,0.578028,-0.297579,0.355266,0.546726,-0.298375,0.354663,0.606160
1.540000,-0.309874,0.402120,0.578082,-0.297592,0.355277,0.546774,-0.298403,0.354648,0.606212
1.550000,-0.309894,0.402127,0.578137,-0.297595,0.355286,0.546840,-0.298430,0.354632,0.606254
