Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.143034,0.412609,0.613795,-0.129440,0.359448,0.597902,-0.131245,0.376284,0.654788
0.010000,-0.143044,0.412616,0.613798,-0.129445,0.359456,0.597913,-0.131247,0.376265,0.654811
0.020000,-0.143049,0.412619,0.613807,-0.129449,0.359437,0.597912,-0.131263,0.376283,0.654800
0.030000,-0.143051,0.412629,0.613820,-0.129460,0.359453,0.597930,-0.131267,0.376287,0.654803
0.040000,-0.143055,0.412630,0.613837,-0.129466,0.359450,0.597948,-0.131272,0.376260,0.654843
0.050000,-0.143067,0.412625,0.613862,-0.129470,0.359449,0.597971,-0.131288,0.376240,0.654856
0.060000,-0.143064,0.412649,0.613893,-0.129474,0.359465,0.597990,-0.131302,0.376235,0.654889
0.070000,-0.143072,0.412653,0.613928,-0.129480,0.359466,0.598014,-0.131318,0.376233,0.654915
0.080000,-0.143086,0.412658,0.613957,-0.129488,0.359474,0.598041,-0.131327,0.376229,0.654936
0.090000,-0.143093,0.412671,0.613982,-0.129500,0.359488,0.598061,-0.131350,0.376229,0.654957
0.100000,-0.143110,0.412690,0.614006,-0.129504,0.359526,0.598080,-0.131369,0.376235,0.654976
0.110000,-0.143119,0.412707,0.614031,-0.129520,0.359526,0.598109,-0.131385,0.376229,0.654986
0.120000,-0.143139,0.412725,0.614048,-0.129528,0.359555,0.598135,-0.131402,0.376236,0.655004
0.130000,-0.143163,0.412742,0.614068,-0.129538,0.359577,0.598145,-0.131423,0.376242,0.655011
0.140000,-0.143177,0.412771,0.614087,-0.129551,0.359596,0.598151,-0.131443,0.376265,0.655016
0.150000,-0.143200,0.412767,0.614078,-0.129567,0.359597,0.598150,-0.131449,0.376272,0.655019
0.160000,-0.143223,0.412782,0.614065,-0.129578,0.359619,0.598151,-0.131483,0.376278,0.655005
0.170000,-0.143244,0.412787,0.614054,-0.129600,0.359618,0.598135,-0.131489,0.376287,0.655002
0.180000,-0.143258,0.412796,0.614029,-0.129616,0.359629,0.598116,-0.131521,0.376337,0.654972
0.190000,-0.143286,0.412800,0.614007,-0.129630,0.359623,0.598081,-0.131536,0.376344,0.654951
0.200000,-0.143310,0.412793,0.613963,-0.129648,0.359633,0.598077,-0.131554,0.376357,0.654929
0.210000,-0.143340,0.412793,0.613910,-0.129669,0.359625,0.598030,-0.131584,0.376365,0.654881
0.220000,-0.143386,0.412783,0.613832,-0.129691,0.359635,0.597985,-0.131618,0.376351,0.654831
0.230000,-0.143420,0.412784,0.613789,-0.129729,0.359625,0.597936,-0.131608,0.376397,0.654804
0.240000,-0.143441,0.412786,0.613743,-0.129754,0.359632,0.597897,-0.131629,0.376429,0.654751
0.250000,-0.143475,0.412787,0.613694,-0.129790,0.359634,0.597842,-0.131639,0.376443,0.654706
0.260000,-0.143529,0.412802,0.613632,-0.129810,0.359642,0.597803,-0.131673,0.376430,0.654660
0.270000,-0.143563,0.412825,0.613585,-0.129843,0.359663,0.597764,-0.131679,0.376479,0.654623
0.280000,-0.143606,0.412817,0.613541,-0.129874,0.359677,0.597727,-0.131720,0.376460,0.654571
0.290000,-0.143631,0.412822,0.613505,-0.129907,0.359677,0.597687,-0.131724,0.376514,0.654542
0.300000,-0.143660,0.412817,0.613475,-0.129940,0.359669,0.597654,-0.131761,0.376475,0.654488
0.310000,-0.143696,0.412824,0.613440,-0.129983,0.359695,0.597632,-0.131782,0.376506,0.654452
0.320000,-0.143738,0.412830,0.613426,-0.130009,0.359713,0.597618,-0.131807,0.376534,0.654430
0.330000,-0.143767,0.412870,0.613449,-0.130033,0.359750,0.597601,-0.131825,0.376546,0.654426
0.340000,-0.143803,0.412902,0.613441,-0.130075,0.359774,0.597609,-0.131857,0.376552,0.654434
0.350000,-0.143834,0.412952,0.613477,-0.130097,0.359798,0.597612,-0.131880,0.376556,0.654430
0.360000,-0.143864,0.412962,0.613488,-0.130123,0.359806,0.597617,-0.131899,0.376571,0.654437
0.370000,-0.143886,0.412962,0.613503,-0.130150,0.359813,0.597631,-0.131922,0.376565,0.654446
0.380000,-0.143907,0.412981,0.613517,-0.130170,0.359820,0.597645,-0.131954,0.376569,0.654460
0.390000,-0.143945,0.412996,0.613543,-0.130201,0.359828,0.597662,-0.131984,0.376561,0.654476
0.400000,-0.143981,0.413004,0.613571,-0.130217,0.359848,0.597674,-0.132009,0.376568,0.654508
0.410000,-0.144011,0.413022,0.613601,-0.130247,0.359855,0.597703,-0.132049,0.376575,0.654529
0.420000,-0.144052,0.413025,0.613618,-0.130270,0.359877,0.597721,-0.132080,0.376589,0.654542
0.430000,-0.144086,0.413056,0.613638,-0.130299,0.359900,0.597744,-0.132115,0.376601,0.654559
0.440000,-0.144122,0.413074,0.613655,-0.130327,0.359911,0.597760,-0.132151,0.376605,0.654577
0.450000,-0.144160,0.413088,0.613671,-0.130359,0.359923,0.597774,-0.132187,0.376611,0.654586
0.460000,-0.144193,0.413101,0.613673,-0.130389,0.359932,0.597787,-0.132220,0.376615,0.654590
0.470000,-0.144225,0.413113,0.613675,-0.130424,0.359944,0.597781,-0.132249,0.376634,0.654590
0.480000,-0.144262,0.413124,0.613680,-0.130445,0.359966,0.597780,-0.132269,0.376639,0.654590
0.490000,-0.144297,0.413133,0.613675,-0.130494,0.359983,0.597766,-0.132299,0.376650,0.654580
0.500000,-0.144333,0.413146,0.613669,-0.130512,0.359969,0.597759,-0.132312,0.376648,0.654571
0.510000,-0.144360,0.413143,0.613662,-0.130539,0.360000,0.597750,-0.132330,0.376661,0.654557
0.520000,-0.144380,0.413154,0.613650,-0.130560,0.360007,0.597734,-0.132339,0.376672,0.654555
0.530000,-0.144398,0.413159,0.613642,-0.130575,0.360000,0.597729,-0.132362,0.376663,0.654539
0.540000,-0.144419,0.413164,0.613629,-0.130593,0.360006,0.597716,-0.132368,0.376677,0.654532
0.550000,-0.144440,0.413173,0.613616,-0.130615,0.360018,0.597713,-0.132371,0.376695,0.654521
0.560000,-0.144447,0.413183,0.613616,-0.130623,0.360023,0.597711,-0.132379,0.376687,0.654524
0.570000,-0.144455,0.413206,0.613621,-0.130632,0.360035,0.597709,-0.132384,0.376706,0.654521
0.580000,-0.144461,0.413201,0.613632,-0.130636,0.360045,0.597717,-0.132387,0.376705,0.654533
0.590000,-0.144461,0.413207,0.613644,-0.130635,0.360040,0.597731,-0.132367,0.376722,0.654551
0.600000,-0.144458,0.413201,0.613668,-0.130626,0.360046,0.597750,-0.132370,0.376715,0.654562
0.610000,-0.144440,0.413191,0.613695,-0.130625,0.360038,0.597776,-0.132370,0.376699,0.654584
0.620000,-0.144429,0.413198,0.613727,-0.130612,0.360024,0.597828,-0.132355,0.376685,0.654615
0.630000,-0.144410,0.413175,0.613766,-0.130604,0.359995,0.597867,-0.132354,0.376654,0.654651
0.640000,-0.144389,0.413161,0.613812,-0.130580,0.359989,0.597917,-0.132346,0.376636,0.654695
0.650000,-0.144367,0.413159,0.613864,-0.130562,0.359969,0.597963,-0.132334,0.376609,0.654737
0.660000,-0.144339,0.413149,0.613910,-0.130542,0.359954,0.598022,-0.132318,0.376598,0.654780
0.670000,-0.144318,0.413137,0.613972,-0.130515,0.359937,0.598067,-0.132307,0.376584,0.654834
0.680000,-0.144296,0.413134,0.614025,-0.130492,0.359934,0.598125,-0.132296,0.376543,0.654899
0.690000,-0.144299,0.413336,0.614277,-0.130460,0.359940,0.598169,-0.132303,0.376508,0.654936
0.700000,-0.144277,0.413336,0.614326,-0.130436,0.359947,0.598219,-0.132291,0.376489,0.654980
0.710000,-0.144234,0.413135,0.614206,-0.130406,0.359932,0.598273,-0.132275,0.376482,0.655019
0.720000,-0.144232,0.413349,0.614424,-0.130377,0.359947,0.598315,-0.132267,0.376459,0.655057
0.730000,-0.144188,0.413359,0.614477,-0.130346,0.359935,0.598354,-0.132239,0.376469,0.655088
0.740000,-0.144133,0.413153,0.614339,-0.130318,0.359947,0.598386,-0.132221,0.376452,0.655121
0.750000,-0.144095,0.413133,0.614364,-0.130298,0.359928,0.598402,-0.132211,0.376440,0.655134
0.760000,-0.144062,0.413123,0.614396,-0.130256,0.359923,0.598424,-0.132190,0.376422,0.655157
0.770000,-0.144023,0.413113,0.614410,-0.130226,0.359905,0.598441,-0.132152,0.376435,0.655163
0.780000,-0.143987,0.413098,0.614415,-0.130194,0.359901,0.598443,-0.132133,0.376432,0.655173
0.790000,-0.143948,0.413074,0.614409,-0.130168,0.359883,0.598448,-0.132105,0.376404,0.655200
0.800000,-0.143915,0.413065,0.614396,-0.130148,0.359875,0.598441,-0.132074,0.376397,0.655205
0.810000,-0.143881,0.413047,0.614383,-0.130103,0.359872,0.598437,-0.132042,0.376381,0.655201
0.820000,-0.143833,0.413022,0.614369,-0.130084,0.359843,0.598426,-0.132015,0.376378,0.655190
0.830000,-0.143799,0.413010,0.614356,-0.130053,0.359824,0.598416,-0.131978,0.376358,0.655176
0.840000,-0.143762,0.412981,0.614339,-0.130028,0.359797,0.598399,-0.131945,0.376359,0.655181
0.850000,-0.143728,0.412957,0.614320,-0.129999,0.359777,0.598388,-0.131920,0.376341,0.655163
0.860000,-0.143694,0.412935,0.614312,-0.129982,0.359758,0.598375,-0.131892,0.376338,0.655156
0.870000,-0.143643,0.412913,0.614298,-0.129954,0.359736,0.598360,-0.131855,0.376313,0.655141
0.880000,-0.143618,0.412877,0.614291,-0.129935,0.359721,0.598349,-0.131819,0.376301,0.655137
