Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.133535,0.408861,0.736750,-0.125599,0.362355,0.703232,-0.121771,0.360421,0.763627
0.010000,-0.133485,0.408819,0.736719,-0.125586,0.362318,0.703193,-0.121721,0.360389,0.763593
0.020000,-0.133449,0.408792,0.736682,-0.125579,0.362265,0.703165,-0.121691,0.360366,0.763568
0.030000,-0.133421,0.408757,0.736660,-0.125574,0.362239,0.703135,-0.121660,0.360353,0.763541
0.040000,-0.133394,0.408749,0.736636,-0.125567,0.362216,0.703112,-0.121638,0.360332,0.763530
0.050000,-0.133376,0.408721,0.736621,-0.125580,0.362192,0.703106,-0.121620,0.360319,0.763514
0.060000,-0.133367,0.408708,0.736622,-0.125582,0.362180,0.703104,-0.121603,0.360309,0.763516
0.070000,-0.133376,0.408708,0.736643,-0.125600,0.362175,0.703120,-0.121600,0.360295,0.763526
0.080000,-0.133384,0.408708,0.736668,-0.125607,0.362184,0.703150,-0.121602,0.360313,0.763546
0.090000,-0.133397,0.408732,0.736712,-0.125615,0.362217,0.703178,-0.121598,0.360314,0.763579
0.100000,-0.133432,0.408753,0.736777,-0.125629,0.362263,0.703227,-0.121621,0.360346,0.763620
0.110000,-0.133444,0.408806,0.736836,-0.125645,0.362303,0.703285,-0.121633,0.360358,0.763681
0.120000,-0.133482,0.408823,0.736917,-0.125695,0.361985,0.703616,-0.121656,0.360371,0.763730
0.130000,-0.133514,0.408833,0.736993,-0.125732,0.362032,0.703696,-0.121685,0.360376,0.763792
0.140000,-0.133541,0.408861,0.737068,-0.125747,0.362072,0.703767,-0.122725,0.360058,0.762598
0.150000,-0.133590,0.408890,0.737157,-0.125771,0.362096,0.703851,-0.122744,0.360094,0.762685
0.160000,-0.133619,0.408903,0.737239,-0.125778,0.362467,0.703700,-0.121778,0.360540,0.764172
0.170000,-0.133659,0.408905,0.737316,-0.125806,0.362490,0.703792,-0.121806,0.360526,0.764243
0.180000,-0.133698,0.408935,0.737411,-0.125830,0.362516,0.703871,-0.121872,0.360517,0.764350
0.190000,-0.133740,0.408948,0.737496,-0.125874,0.362530,0.703981,-0.121904,0.360532,0.764440
0.200000,-0.133806,0.408883,0.737482,-0.125908,0.362548,0.704058,-0.121948,0.360507,0.764511
0.210000,-0.133857,0.408889,0.737564,-0.125942,0.362561,0.704143,-0.121997,0.360507,0.764578
0.220000,-0.133922,0.408885,0.737647,-0.125973,0.362588,0.704226,-0.122044,0.360519,0.764666
0.230000,-0.133977,0.408899,0.737724,-0.126024,0.362608,0.704296,-0.122099,0.360506,0.764719
0.240000,-0.134052,0.408924,0.737808,-0.126065,0.362637,0.704379,-0.122154,0.360530,0.764794
0.250000,-0.134112,0.408941,0.737875,-0.126111,0.362688,0.704460,-0.122210,0.360532,0.764843
0.260000,-0.134177,0.408966,0.737936,-0.126155,0.362728,0.704515,-0.122263,0.360551,0.764884
0.270000,-0.134243,0.409027,0.737990,-0.126206,0.362778,0.704571,-0.122317,0.360577,0.764936
0.280000,-0.134333,0.409058,0.738085,-0.126265,0.362818,0.704642,-0.122369,0.360615,0.764979
0.290000,-0.134409,0.409095,0.738150,-0.126312,0.362867,0.704697,-0.122442,0.360658,0.765027
0.300000,-0.134512,0.409238,0.738430,-0.126378,0.362940,0.704754,-0.122579,0.360798,0.765194
0.310000,-0.134559,0.409214,0.738303,-0.126425,0.362991,0.704817,-0.122639,0.360827,0.765228
0.320000,-0.134657,0.409250,0.738391,-0.126496,0.362670,0.705170,-0.122688,0.360872,0.765280
0.330000,-0.134710,0.409321,0.738483,-0.126528,0.363106,0.704962,-0.122748,0.360918,0.765354
0.340000,-0.134774,0.409380,0.738575,-0.126590,0.363116,0.705064,-0.122831,0.360960,0.765428
0.350000,-0.134872,0.409481,0.738834,-0.126639,0.363175,0.705134,-0.122880,0.360971,0.765491
0.360000,-0.134933,0.409489,0.738926,-0.126701,0.362832,0.705483,-0.122937,0.361005,0.765557
0.370000,-0.135005,0.409526,0.738996,-0.126746,0.362861,0.705570,-0.122984,0.360994,0.765627
0.380000,-0.135107,0.409512,0.739153,-0.126778,0.362876,0.705649,-0.123042,0.361005,0.765697
0.390000,-0.135157,0.409535,0.739240,-0.126807,0.362912,0.705744,-0.124033,0.360783,0.764503
0.400000,-0.135200,0.409539,0.739365,-0.126847,0.362931,0.705824,-0.124168,0.360676,0.764646
0.410000,-0.135255,0.409543,0.739453,-0.126904,0.362954,0.705912,-0.123184,0.361165,0.766143
