Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.138015,0.410675,0.634362,-0.126181,0.359085,0.611875,-0.129155,0.368335,0.670254
0.010000,-0.138037,0.410682,0.634357,-0.126195,0.359096,0.611871,-0.129169,0.368320,0.670240
0.020000,-0.138053,0.410684,0.634353,-0.126218,0.359112,0.611867,-0.129188,0.368321,0.670232
0.030000,-0.138077,0.410693,0.634344,-0.126227,0.359114,0.611855,-0.129205,0.368338,0.670217
0.040000,-0.138088,0.410701,0.634331,-0.126243,0.359128,0.611848,-0.129213,0.368347,0.670215
0.050000,-0.138097,0.410710,0.634324,-0.126252,0.359137,0.611833,-0.129217,0.368350,0.670204
0.060000,-0.138111,0.410706,0.634314,-0.126270,0.359147,0.611825,-0.129229,0.368363,0.670200
0.070000,-0.138124,0.410714,0.634307,-0.126279,0.359156,0.611813,-0.129232,0.368367,0.670185
0.080000,-0.138132,0.410715,0.634298,-0.126288,0.359155,0.611791,-0.129243,0.368364,0.670176
0.090000,-0.138130,0.410721,0.634279,-0.126300,0.359153,0.611786,-0.129248,0.368385,0.670167
0.100000,-0.138149,0.410718,0.634256,-0.126300,0.359155,0.611775,-0.129250,0.368390,0.670147
0.110000,-0.138149,0.410717,0.634238,-0.126315,0.359149,0.611755,-0.129256,0.368398,0.670133
0.120000,-0.138159,0.410722,0.634218,-0.126320,0.359150,0.611744,-0.129256,0.368401,0.670120
0.130000,-0.138159,0.410726,0.634201,-0.126323,0.359142,0.611726,-0.129264,0.368414,0.670099
0.140000,-0.138165,0.410720,0.634186,-0.126329,0.359147,0.611706,-0.129267,0.368424,0.670092
0.150000,-0.138174,0.410729,0.634163,-0.126333,0.359142,0.611697,-0.129261,0.368417,0.670073
0.160000,-0.138169,0.410718,0.634144,-0.126342,0.359137,0.611680,-0.129269,0.368430,0.670057
0.170000,-0.138179,0.410732,0.634126,-0.126354,0.359151,0.611668,-0.129271,0.368415,0.670037
