Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.130017,0.409269,0.611761,-0.119257,0.356305,0.592380,-0.117944,0.369978,0.650075
0.010000,-0.130016,0.409271,0.611786,-0.119252,0.356327,0.592400,-0.117969,0.369980,0.650084
0.020000,-0.130029,0.409273,0.611803,-0.119250,0.356329,0.592419,-0.117982,0.369993,0.650106
0.030000,-0.130038,0.409290,0.611813,-0.119252,0.356334,0.592427,-0.117991,0.370002,0.650124
0.040000,-0.130046,0.409308,0.611820,-0.119258,0.356346,0.592447,-0.117999,0.370005,0.650137
0.050000,-0.130060,0.409309,0.611836,-0.119258,0.356369,0.592460,-0.118009,0.370003,0.650144
0.060000,-0.130064,0.409302,0.611849,-0.119261,0.356369,0.592467,-0.118025,0.370020,0.650162
0.070000,-0.130065,0.409309,0.611850,-0.119266,0.356375,0.592472,-0.118032,0.370018,0.650175
0.080000,-0.130074,0.409308,0.611863,-0.119272,0.356374,0.592488,-0.118035,0.370015,0.650176
0.090000,-0.130059,0.409288,0.611856,-0.119258,0.356363,0.592485,-0.118042,0.370004,0.650173
0.100000,-0.130064,0.409291,0.611850,-0.119280,0.356361,0.592485,-0.118036,0.370009,0.650170
0.110000,-0.130060,0.409288,0.611841,-0.119268,0.356336,0.592478,-0.118046,0.369999,0.650174
0.120000,-0.130064,0.409281,0.611840,-0.119287,0.356335,0.592485,-0.118051,0.369986,0.650163
0.130000,-0.130061,0.409272,0.611836,-0.119272,0.356323,0.592464,-0.118061,0.369978,0.650164
0.140000,-0.130060,0.409251,0.611821,-0.119281,0.356313,0.592456,-0.118067,0.369966,0.650151
0.150000,-0.130073,0.409251,0.611804,-0.119288,0.356304,0.592448,-0.118070,0.369975,0.650144
0.160000,-0.130089,0.409256,0.611793,-0.119322,0.356306,0.592441,-0.118082,0.369972,0.650128
0.170000,-0.130100,0.409256,0.611773,-0.119333,0.356297,0.592433,-0.118098,0.369975,0.650112
0.180000,-0.130122,0.409261,0.611762,-0.119336,0.356304,0.592406,-0.118114,0.369967,0.650096
0.190000,-0.130135,0.409253,0.611743,-0.119355,0.356290,0.592388,-0.118132,0.369969,0.650076
0.200000,-0.130162,0.409256,0.611720,-0.119377,0.356303,0.592372,-0.118145,0.369979,0.650048
0.210000,-0.130199,0.409240,0.611689,-0.119408,0.356311,0.592350,-0.118170,0.369975,0.650034
0.220000,-0.130228,0.409252,0.611674,-0.119446,0.356339,0.592334,-0.118190,0.369994,0.650011
0.230000,-0.130258,0.409284,0.611655,-0.119473,0.356346,0.592314,-0.118212,0.370002,0.649995
0.240000,-0.130294,0.409282,0.611630,-0.119504,0.356358,0.592297,-0.118241,0.370015,0.649971
0.250000,-0.130324,0.409294,0.611616,-0.119534,0.356377,0.592278,-0.118279,0.370022,0.649953
0.260000,-0.130357,0.409318,0.611599,-0.119561,0.356379,0.592266,-0.118307,0.370042,0.649926
