Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.095166,0.016264,0.521006,0.125495,-0.032258,0.511166,0.065574,-0.033041,0.520466
0.010000,0.095168,0.016279,0.521008,0.125493,-0.032270,0.511160,0.065565,-0.033026,0.520465
0.020000,0.095170,0.016251,0.521003,0.125504,-0.032255,0.511154,0.065582,-0.033041,0.520460
0.030000,0.095162,0.016266,0.520992,0.125496,-0.032286,0.511135,0.065582,-0.033045,0.520460
0.040000,0.095177,0.016291,0.521006,0.125498,-0.032271,0.511135,0.065587,-0.033068,0.520455
0.050000,0.095168,0.016286,0.520996,0.125486,-0.032297,0.511136,0.065579,-0.033066,0.520442
0.060000,0.095152,0.016250,0.520989,0.125492,-0.032274,0.511140,0.065560,-0.033034,0.520456
0.070000,0.095155,0.016262,0.520995,0.125467,-0.032273,0.511140,0.065562,-0.033075,0.520441
0.080000,0.095147,0.016260,0.520985,0.125474,-0.032267,0.511151,0.065544,-0.033023,0.520452
0.090000,0.095155,0.016270,0.520988,0.125469,-0.032255,0.511150,0.065554,-0.033069,0.520429
0.100000,0.095152,0.016272,0.520975,0.125478,-0.032254,0.511144,0.065557,-0.033038,0.520447
0.110000,0.095163,0.016309,0.520975,0.125467,-0.032282,0.511146,0.065560,-0.033029,0.520441
0.120000,0.095156,0.016274,0.520944,0.125479,-0.032264,0.511145,0.065584,-0.033038,0.520446
0.130000,0.095184,0.016322,0.520960,0.125493,-0.032256,0.511139,0.065589,-0.033008,0.520436
0.140000,0.095097,0.016776,0.520714,0.125521,-0.032252,0.511114,0.065628,-0.033016,0.520461
0.150000,0.095235,0.016298,0.520928,0.125567,-0.032238,0.511102,0.065654,-0.033027,0.520456
0.160000,0.095170,0.016772,0.520700,0.125594,-0.032260,0.511075,0.065679,-0.032991,0.520446
0.170000,0.095176,0.016779,0.520694,0.125607,-0.032242,0.511060,0.065738,-0.033002,0.520401
0.180000,0.095197,0.016787,0.520675,0.125623,-0.032248,0.511061,0.065725,-0.032985,0.520461
0.190000,0.095207,0.016805,0.520680,0.125629,-0.032247,0.511056,0.065728,-0.032959,0.520465
0.200000,0.095212,0.016803,0.520696,0.125622,-0.032235,0.511069,0.065722,-0.032925,0.520472
0.210000,0.095198,0.016791,0.520695,0.125613,-0.032235,0.511078,0.065721,-0.032948,0.520466
0.220000,0.095286,0.016343,0.520953,0.125593,-0.032226,0.511082,0.065703,-0.032936,0.520463
0.230000,0.095272,0.016350,0.520951,0.125577,-0.032244,0.511101,0.065697,-0.032922,0.520472
0.240000,0.095266,0.016318,0.520966,0.125560,-0.032240,0.511112,0.065666,-0.032938,0.520465
0.250000,0.095250,0.016341,0.520955,0.125571,-0.032208,0.511141,0.065658,-0.032928,0.520456
0.260000,0.095273,0.016376,0.520989,0.125561,-0.032234,0.511126,0.065650,-0.032937,0.520447
0.270000,0.095249,0.016354,0.520948,0.125565,-0.032232,0.511118,0.065667,-0.032936,0.520437
0.280000,0.095267,0.016346,0.520953,0.125575,-0.032225,0.511111,0.065672,-0.032938,0.520431
0.290000,0.095286,0.016355,0.520961,0.125611,-0.032218,0.511109,0.065733,-0.032935,0.520379
0.300000,0.095307,0.016354,0.521016,0.125597,-0.032221,0.511133,0.065713,-0.032943,0.520456
0.310000,0.095348,0.016389,0.521033,0.125618,-0.032228,0.511145,0.065713,-0.032901,0.520501
0.320000,0.095337,0.016355,0.521028,0.125622,-0.032223,0.511165,0.065727,-0.032892,0.520497
0.330000,0.095326,0.016359,0.521046,0.125624,-0.032215,0.511182,0.065714,-0.032906,0.520499
0.340000,0.095333,0.016371,0.521047,0.125606,-0.032244,0.511196,0.065728,-0.032914,0.520491
0.350000,0.095332,0.016391,0.521052,0.125591,-0.032198,0.511200,0.065740,-0.032924,0.520414
0.360000,0.095318,0.016392,0.521036,0.125597,-0.032188,0.511206,0.065697,-0.032881,0.520464
0.370000,0.095325,0.016415,0.521038,0.125612,-0.032163,0.511201,0.065686,-0.032871,0.520464
0.380000,0.095315,0.016418,0.521041,0.125619,-0.032147,0.511210,0.065732,-0.032885,0.520403
0.390000,0.095329,0.016444,0.521057,0.125619,-0.032114,0.511216,0.065710,-0.032844,0.520461
0.400000,0.095333,0.016469,0.521071,0.125630,-0.032110,0.511232,0.065767,-0.032817,0.520414
0.410000,0.095328,0.016470,0.521069,0.125630,-0.032091,0.511256,0.065722,-0.032802,0.520493
0.420000,0.095332,0.016490,0.521101,0.125625,-0.032073,0.511298,0.065720,-0.032792,0.520500
0.430000,0.095325,0.016517,0.521111,0.125632,-0.032041,0.511315,0.065713,-0.032782,0.520514
0.440000,0.095324,0.016531,0.521138,0.125605,-0.032057,0.511335,0.065714,-0.032767,0.520513
0.450000,0.095316,0.016536,0.521151,0.125612,-0.032032,0.511362,0.065700,-0.032760,0.520560
0.460000,0.095320,0.016536,0.521173,0.125600,-0.032007,0.511374,0.065692,-0.032708,0.520555
0.470000,0.095305,0.016552,0.521179,0.125611,-0.032018,0.511400,0.065698,-0.032690,0.520570
0.480000,0.095322,0.016577,0.521189,0.125624,-0.031986,0.511417,0.065721,-0.032685,0.520590
0.490000,0.095329,0.016592,0.521196,0.125643,-0.031940,0.511445,0.065743,-0.032651,0.520589
0.500000,0.095337,0.016612,0.521212,0.125652,-0.031939,0.511461,0.065755,-0.032635,0.520590
0.510000,0.095347,0.016634,0.521233,0.125679,-0.031898,0.511483,0.065776,-0.032626,0.520628
0.520000,0.095369,0.016699,0.521313,0.125693,-0.031886,0.511506,0.065786,-0.032583,0.520675
0.530000,0.095391,0.016725,0.521342,0.125709,-0.031837,0.511527,0.065823,-0.032538,0.520688
0.540000,0.095398,0.016767,0.521344,0.125727,-0.031803,0.511574,0.065826,-0.032474,0.520715
0.550000,0.095404,0.016766,0.521357,0.125743,-0.031796,0.511600,0.065847,-0.032457,0.520755
0.560000,0.095448,0.016804,0.521390,0.125770,-0.031775,0.511617,0.065863,-0.032440,0.520753
0.570000,0.095477,0.016788,0.521425,0.125751,-0.031763,0.511629,0.065893,-0.032432,0.520771
0.580000,0.095500,0.016853,0.521447,0.125798,-0.031742,0.511635,0.065940,-0.032427,0.520714
0.590000,0.095526,0.016874,0.521448,0.125835,-0.031722,0.511646,0.065977,-0.032403,0.520733
0.600000,0.096264,0.018955,0.521648,0.125860,-0.031710,0.511660,0.065964,-0.032339,0.520813
0.610000,0.096262,0.018898,0.521657,0.125885,-0.031692,0.511685,0.066039,-0.032342,0.520758
0.620000,0.096286,0.018950,0.521696,0.125913,-0.031653,0.511708,0.066037,-0.032312,0.520858
0.630000,0.096334,0.018991,0.521701,0.125938,-0.031618,0.511737,0.066064,-0.032265,0.520873
0.640000,0.096360,0.019021,0.521724,0.125962,-0.031615,0.511756,0.066080,-0.032230,0.520896
0.650000,0.096464,0.019140,0.521760,0.126008,-0.031561,0.511779,0.066110,-0.032208,0.520930
0.660000,0.096493,0.019153,0.521776,0.126024,-0.031562,0.511789,0.066148,-0.032180,0.520944
0.670000,0.096517,0.019209,0.521793,0.126081,-0.031519,0.511807,0.066224,-0.032195,0.520881
0.680000,0.096541,0.019207,0.521817,0.126064,-0.031517,0.511790,0.066197,-0.032127,0.520992
0.690000,0.096541,0.019199,0.521815,0.126126,-0.031425,0.511817,0.066224,-0.032092,0.520964
0.700000,0.096558,0.019215,0.521838,0.126146,-0.031397,0.511837,0.066232,-0.032070,0.520979
0.710000,0.096572,0.019267,0.521854,0.126139,-0.031378,0.511873,0.066235,-0.032029,0.520988
0.720000,0.096561,0.019275,0.521857,0.126150,-0.031335,0.511908,0.066281,-0.032047,0.520918
0.730000,0.096572,0.019303,0.521869,0.126253,-0.031266,0.511999,0.066286,-0.031993,0.520963
0.740000,0.096589,0.019338,0.521870,0.126272,-0.031228,0.512016,0.066294,-0.031957,0.520960
0.750000,0.096607,0.019378,0.521889,0.126289,-0.031180,0.512028,0.066331,-0.031919,0.520951
0.760000,0.096629,0.019410,0.521908,0.126320,-0.031144,0.512044,0.066355,-0.031894,0.520960
0.770000,0.096661,0.019439,0.521910,0.126340,-0.031133,0.512045,0.066372,-0.031847,0.520971
0.780000,0.096672,0.019420,0.521911,0.126358,-0.031105,0.512064,0.066399,-0.031841,0.520979
0.790000,0.096714,0.019494,0.521945,0.126408,-0.031073,0.512078,0.066431,-0.031826,0.520963
0.800000,0.096727,0.019509,0.521952,0.126417,-0.031026,0.512101,0.066440,-0.031775,0.521000
0.810000,0.096754,0.019549,0.521969,0.126445,-0.031031,0.512112,0.066464,-0.031726,0.521019
0.820000,0.096777,0.019572,0.521976,0.126478,-0.030976,0.512139,0.066506,-0.031665,0.521034
0.830000,0.096786,0.019555,0.521976,0.126515,-0.030958,0.512149,0.066532,-0.031654,0.521047
0.840000,0.096815,0.019582,0.521996,0.126554,-0.030906,0.512167,0.066574,-0.031640,0.521059
0.850000,0.096838,0.019609,0.521998,0.126581,-0.030857,0.512203,0.066587,-0.031598,0.521078
0.860000,0.096868,0.019655,0.522024,0.126614,-0.030836,0.512213,0.066638,-0.031544,0.521100
0.870000,0.096897,0.019682,0.522038,0.126656,-0.030792,0.512227,0.066642,-0.031492,0.521120
0.880000,0.096898,0.019699,0.522051,0.126663,-0.030773,0.512250,0.066666,-0.031456,0.521127
0.890000,0.096929,0.019728,0.522073,0.126681,-0.030747,0.512265,0.066692,-0.031424,0.521140
0.900000,0.096970,0.019780,0.522113,0.126738,-0.030728,0.512302,0.066719,-0.031395,0.521155
0.910000,0.096989,0.019790,0.522122,0.126752,-0.030699,0.512322,0.066735,-0.031333,0.521156
