Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.123002,0.006883,0.644701,-0.079505,-0.031680,0.637308,-0.132848,-0.047961,0.657339
0.010000,-0.123018,0.006913,0.644721,-0.079071,-0.030942,0.637261,-0.132806,-0.047833,0.657422
0.020000,-0.123025,0.006920,0.644737,-0.079085,-0.030934,0.637277,-0.132829,-0.047886,0.657391
0.030000,-0.123005,0.006914,0.644753,-0.079084,-0.030948,0.637260,-0.132841,-0.047899,0.657373
0.040000,-0.122996,0.006940,0.644754,-0.079073,-0.030945,0.637254,-0.132835,-0.047855,0.657402
0.050000,-0.122985,0.006931,0.644749,-0.079076,-0.030936,0.637250,-0.132841,-0.047893,0.657395
0.060000,-0.122971,0.006942,0.644757,-0.079055,-0.030922,0.637242,-0.132819,-0.047809,0.657421
0.070000,-0.122975,0.006954,0.644759,-0.078897,-0.030167,0.636987,-0.132830,-0.047871,0.657380
0.080000,-0.122961,0.006971,0.644775,-0.079044,-0.030900,0.637255,-0.132820,-0.047809,0.657447
0.090000,-0.122973,0.006974,0.644793,-0.078873,-0.030168,0.637049,-0.132815,-0.047827,0.657428
0.100000,-0.122984,0.006982,0.644805,-0.078895,-0.030099,0.637082,-0.132847,-0.047786,0.657475
0.110000,-0.122989,0.007017,0.644827,-0.079072,-0.030845,0.637360,-0.132843,-0.047778,0.657447
0.120000,-0.123001,0.007009,0.644852,-0.078895,-0.030065,0.637122,-0.132861,-0.047794,0.657450
0.130000,-0.123001,0.007021,0.644854,-0.079076,-0.030850,0.637381,-0.132857,-0.047823,0.657458
0.140000,-0.122997,0.007005,0.644852,-0.079071,-0.030840,0.637365,-0.132880,-0.047806,0.657426
0.150000,-0.123018,0.006992,0.644852,-0.078917,-0.030094,0.637108,-0.132882,-0.047806,0.657431
0.160000,-0.123015,0.006976,0.644847,-0.078921,-0.030093,0.637093,-0.132913,-0.047852,0.657404
0.170000,-0.123015,0.006977,0.644848,-0.078887,-0.030104,0.637098,-0.132898,-0.047794,0.657428
0.180000,-0.123025,0.006986,0.644857,-0.078906,-0.030054,0.637097,-0.132899,-0.047812,0.657433
0.190000,-0.123044,0.006982,0.644879,-0.078920,-0.030059,0.637133,-0.132922,-0.047838,0.657423
0.200000,-0.123044,0.007003,0.644909,-0.078932,-0.030047,0.637181,-0.132909,-0.047788,0.657463
0.210000,-0.123046,0.007002,0.644923,-0.078922,-0.030071,0.637257,-0.132924,-0.047836,0.657461
0.220000,-0.123040,0.007035,0.644953,-0.079078,-0.030775,0.637519,-0.132914,-0.047833,0.657481
