Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.381498,-0.021437,0.490814,0.341513,-0.012577,0.451525,0.396958,-0.024834,0.437529
0.010000,0.381449,-0.021491,0.490832,0.341478,-0.012613,0.451540,0.396936,-0.024879,0.437546
0.020000,0.381400,-0.021541,0.490863,0.341454,-0.012625,0.451545,0.396910,-0.024910,0.437566
0.030000,0.381361,-0.021577,0.490867,0.341419,-0.012664,0.451558,0.396866,-0.024942,0.437577
0.040000,0.381320,-0.021583,0.490881,0.341373,-0.012702,0.451569,0.396836,-0.024977,0.437575
0.050000,0.381285,-0.021617,0.490874,0.341347,-0.012740,0.451567,0.396755,-0.025039,0.437549
0.060000,0.381256,-0.021639,0.490867,0.341322,-0.012768,0.451569,0.396724,-0.025065,0.437535
0.070000,0.381238,-0.021661,0.490851,0.341287,-0.012785,0.451563,0.396688,-0.025090,0.437528
0.080000,0.381217,-0.021666,0.490846,0.341263,-0.012815,0.451548,0.396649,-0.025119,0.437502
0.090000,0.381221,-0.021688,0.490833,0.341248,-0.012831,0.451549,0.396642,-0.025144,0.437480
0.100000,0.381215,-0.021703,0.490817,0.341233,-0.012843,0.451536,0.396620,-0.025179,0.437454
0.110000,0.381196,-0.021699,0.490782,0.341223,-0.012880,0.451505,0.396608,-0.025198,0.437434
0.120000,0.381198,-0.021738,0.490754,0.341215,-0.012888,0.451488,0.396600,-0.025234,0.437403
0.130000,0.381213,-0.021764,0.490731,0.341216,-0.012908,0.451461,0.396594,-0.025251,0.437386
0.140000,0.381175,-0.021745,0.490712,0.341206,-0.012918,0.451437,0.396583,-0.025280,0.437344
0.150000,0.381169,-0.021799,0.490678,0.341194,-0.012950,0.451409,0.396579,-0.025292,0.437323
0.160000,0.381130,-0.021821,0.490644,0.341182,-0.012962,0.451383,0.396569,-0.025299,0.437303
0.170000,0.381127,-0.021824,0.490620,0.341189,-0.012950,0.451354,0.396557,-0.025303,0.437279
0.180000,0.381130,-0.021819,0.490591,0.341175,-0.012965,0.451327,0.396558,-0.025308,0.437244
0.190000,0.381120,-0.021791,0.490551,0.341166,-0.012957,0.451293,0.396553,-0.025299,0.437210
0.200000,0.381123,-0.021790,0.490523,0.341170,-0.012950,0.451274,0.396554,-0.025290,0.437192
0.210000,0.381128,-0.021743,0.490484,0.341154,-0.012911,0.451251,0.396536,-0.025271,0.437153
0.220000,0.381137,-0.021735,0.490458,0.341162,-0.012896,0.451225,0.396534,-0.025243,0.437125
0.230000,0.381119,-0.021709,0.490438,0.341152,-0.012879,0.451200,0.396511,-0.025214,0.437089
0.240000,0.381134,-0.021690,0.490405,0.341154,-0.012835,0.451188,0.396497,-0.025164,0.437058
0.250000,0.381136,-0.021657,0.490375,0.341148,-0.012788,0.451160,0.396493,-0.025129,0.437023
0.260000,0.381155,-0.021590,0.490360,0.341134,-0.012760,0.451123,0.396485,-0.025121,0.436988
0.270000,0.381154,-0.021506,0.490311,0.341144,-0.012758,0.451088,0.396482,-0.025084,0.436957
0.280000,0.381145,-0.021473,0.490273,0.341135,-0.012707,0.451075,0.396490,-0.025043,0.436918
0.290000,0.381172,-0.021414,0.490261,0.341139,-0.012693,0.451040,0.396486,-0.025006,0.436885
0.300000,0.381184,-0.021387,0.490230,0.341154,-0.012664,0.451019,0.396480,-0.024989,0.436836
0.310000,0.381200,-0.021340,0.490208,0.341172,-0.012620,0.450996,0.396481,-0.024944,0.436806
0.320000,0.381211,-0.021318,0.490185,0.341181,-0.012582,0.450974,0.396501,-0.024938,0.436788
0.330000,0.381232,-0.021289,0.490152,0.341197,-0.012542,0.450967,0.396513,-0.024897,0.436763
0.340000,0.381241,-0.021244,0.490147,0.341205,-0.012513,0.450961,0.396526,-0.024869,0.436751
0.350000,0.381261,-0.021240,0.490105,0.341226,-0.012476,0.450939,0.396540,-0.024827,0.436736
0.360000,0.381275,-0.021182,0.490117,0.341232,-0.012466,0.450936,0.396546,-0.024792,0.436733
0.370000,0.381294,-0.021177,0.490080,0.341246,-0.012417,0.450908,0.396576,-0.024756,0.436709
0.380000,0.381307,-0.021132,0.490066,0.341274,-0.012402,0.450901,0.396584,-0.024738,0.436693
0.390000,0.381322,-0.021111,0.490054,0.341285,-0.012361,0.450888,0.396609,-0.024686,0.436690
0.400000,0.381336,-0.021079,0.490039,0.341302,-0.012318,0.450863,0.396619,-0.024673,0.436676
0.410000,0.381355,-0.021046,0.490022,0.341330,-0.012275,0.450851,0.396644,-0.024616,0.436654
0.420000,0.381386,-0.021002,0.490012,0.341351,-0.012248,0.450833,0.396663,-0.024584,0.436635
0.430000,0.381406,-0.020970,0.489983,0.341369,-0.012200,0.450822,0.396680,-0.024564,0.436619
0.440000,0.381424,-0.020881,0.489956,0.341389,-0.012185,0.450802,0.396748,-0.024496,0.436609
0.450000,0.381436,-0.020845,0.489936,0.341411,-0.012148,0.450782,0.396779,-0.024461,0.436585
0.460000,0.381457,-0.020812,0.489916,0.341417,-0.012122,0.450768,0.396796,-0.024321,0.436539
0.470000,0.381483,-0.020741,0.489887,0.341441,-0.012064,0.450750,0.396804,-0.024383,0.436531
0.480000,0.381484,-0.020702,0.489873,0.341433,-0.012039,0.450711,0.396824,-0.024252,0.436472
0.490000,0.381505,-0.020675,0.489850,0.341444,-0.012015,0.450692,0.396834,-0.024217,0.436457
0.500000,0.381507,-0.020628,0.489828,0.341455,-0.011986,0.450674,0.396841,-0.024176,0.436426
0.510000,0.381522,-0.020601,0.489807,0.341459,-0.011942,0.450647,0.396849,-0.024139,0.436402
0.520000,0.381535,-0.020550,0.489768,0.341472,-0.011907,0.450626,0.396858,-0.024088,0.436377
0.530000,0.381548,-0.020492,0.489745,0.341499,-0.011823,0.450592,0.396866,-0.024054,0.436342
0.540000,0.381568,-0.020440,0.489709,0.341516,-0.011782,0.450561,0.396880,-0.024007,0.436311
0.550000,0.381591,-0.020379,0.489679,0.341623,-0.012260,0.450687,0.396903,-0.023941,0.436278
0.560000,0.381626,-0.020342,0.489651,0.341578,-0.011660,0.450509,0.396917,-0.023905,0.436246
0.570000,0.381657,-0.020253,0.489615,0.341663,-0.012152,0.450642,0.396929,-0.023852,0.436209
0.580000,0.381691,-0.020201,0.489579,0.341635,-0.011572,0.450458,0.396940,-0.023756,0.436163
0.590000,0.381708,-0.020131,0.489546,0.341650,-0.011516,0.450418,0.396965,-0.023705,0.436128
0.600000,0.381748,-0.020083,0.489507,0.341676,-0.011462,0.450383,0.397002,-0.023645,0.436081
0.610000,0.381784,-0.020027,0.489470,0.341707,-0.011426,0.450348,0.397026,-0.023592,0.436044
0.620000,0.381808,-0.019980,0.489425,0.341738,-0.011370,0.450308,0.397265,-0.023747,0.435925
0.630000,0.381850,-0.019920,0.489375,0.341755,-0.011330,0.450270,0.397299,-0.023648,0.435951
0.640000,0.381875,-0.019883,0.489341,0.341783,-0.011262,0.450238,0.397335,-0.023590,0.435841
0.650000,0.381889,-0.019830,0.489304,0.341807,-0.011216,0.450198,0.397359,-0.023545,0.435807
0.660000,0.381905,-0.019804,0.489276,0.341860,-0.011731,0.450328,0.397373,-0.023513,0.435775
0.670000,0.381930,-0.019780,0.489244,0.341875,-0.011691,0.450283,0.397389,-0.023467,0.435732
0.680000,0.381933,-0.019752,0.489199,0.341897,-0.011633,0.450256,0.397398,-0.023446,0.435709
0.690000,0.381939,-0.019733,0.489174,0.341904,-0.011610,0.450229,0.397406,-0.023410,0.435673
0.700000,0.381943,-0.019716,0.489151,0.341904,-0.011576,0.450203,0.397397,-0.023389,0.435649
0.710000,0.381943,-0.019674,0.489098,0.341896,-0.011586,0.450167,0.397399,-0.023355,0.435618
0.720000,0.381940,-0.019679,0.489066,0.341889,-0.011538,0.450146,0.397403,-0.023346,0.435584
0.730000,0.381953,-0.019689,0.489031,0.341891,-0.011564,0.450109,0.397397,-0.023349,0.435547
0.740000,0.381934,-0.019679,0.489005,0.341877,-0.011581,0.450077,0.397390,-0.023354,0.435516
0.750000,0.381937,-0.019683,0.488962,0.341871,-0.011566,0.450047,0.397376,-0.023341,0.435480
0.760000,0.381912,-0.019673,0.488924,0.341846,-0.011555,0.450005,0.397150,-0.023192,0.435494
0.770000,0.381870,-0.019674,0.488875,0.341830,-0.011544,0.449975,0.397105,-0.023170,0.435464
0.780000,0.381843,-0.019663,0.488851,0.341782,-0.011574,0.449949,0.397034,-0.023205,0.435405
0.790000,0.381835,-0.019648,0.488825,0.341763,-0.011556,0.449928,0.397003,-0.023178,0.435381
0.800000,0.381821,-0.019635,0.488791,0.341707,-0.011005,0.449732,0.396963,-0.023203,0.435329
0.810000,0.381801,-0.019635,0.488764,0.341733,-0.011564,0.449872,0.396940,-0.023197,0.435296
0.820000,0.381804,-0.019642,0.488703,0.341706,-0.011560,0.449847,0.396923,-0.023192,0.435259
0.830000,0.381796,-0.019652,0.488655,0.341661,-0.010966,0.449660,0.396904,-0.023167,0.435223
0.840000,0.381800,-0.019631,0.488620,0.341647,-0.010969,0.449643,0.396891,-0.023171,0.435200
0.850000,0.381816,-0.019611,0.488602,0.341681,-0.011530,0.449777,0.396865,-0.023124,0.435167
0.860000,0.381831,-0.019618,0.488570,0.341692,-0.011491,0.449751,0.396872,-0.023112,0.435143
0.870000,0.381836,-0.019583,0.488547,0.341684,-0.011488,0.449739,0.396891,-0.023125,0.435115
0.880000,0.381835,-0.019565,0.488523,0.341689,-0.011504,0.449683,0.396859,-0.023080,0.435089
0.890000,0.381841,-0.019568,0.488508,0.341653,-0.010925,0.449498,0.396854,-0.023060,0.435059
0.900000,0.381831,-0.019533,0.488485,0.341641,-0.010889,0.449516,0.396855,-0.023027,0.435049
0.910000,0.381833,-0.019532,0.488472,0.341641,-0.010921,0.449470,0.396847,-0.023024,0.435027
