Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.398180,0.001410,0.480802,0.357927,0.008786,0.441892,0.413921,0.002315,0.427443
0.010000,0.398163,0.001396,0.480778,0.357911,0.008773,0.441887,0.413890,0.002304,0.427432
0.020000,0.398166,0.001379,0.480770,0.357865,0.008678,0.441857,0.413878,0.002289,0.427416
0.030000,0.398158,0.001370,0.480753,0.357889,0.008753,0.441879,0.413865,0.002293,0.427399
0.040000,0.398168,0.001364,0.480738,0.357861,0.008665,0.441833,0.413873,0.002288,0.427377
0.050000,0.398184,0.001391,0.480713,0.357085,0.006818,0.441708,0.413877,0.002299,0.427347
0.060000,0.398218,0.001415,0.480699,0.357105,0.006831,0.441688,0.413906,0.002309,0.427330
0.070000,0.398248,0.001455,0.480669,0.357136,0.006850,0.441668,0.413968,0.002298,0.427275
0.080000,0.398288,0.001481,0.480649,0.357170,0.006861,0.441654,0.414002,0.002328,0.427254
0.090000,0.398311,0.001522,0.480647,0.357201,0.006910,0.441648,0.414032,0.002375,0.427252
0.100000,0.398341,0.001563,0.480637,0.357223,0.006938,0.441640,0.414073,0.002402,0.427229
0.110000,0.398346,0.001618,0.480644,0.357255,0.006981,0.441635,0.414094,0.002449,0.427238
0.120000,0.398379,0.001691,0.480643,0.358094,0.008971,0.441728,0.414105,0.002487,0.427254
0.130000,0.398390,0.001715,0.480665,0.357265,0.007031,0.441665,0.414124,0.002554,0.427272
0.140000,0.398396,0.001765,0.480679,0.357287,0.007096,0.441681,0.414116,0.002563,0.427298
0.150000,0.398399,0.001800,0.480699,0.357287,0.007122,0.441695,0.414131,0.002627,0.427307
0.160000,0.398393,0.001827,0.480709,0.357279,0.007153,0.441702,0.414126,0.002662,0.427321
0.170000,0.398385,0.001853,0.480724,0.357280,0.007185,0.441722,0.414125,0.002716,0.427337
0.180000,0.398380,0.001884,0.480741,0.357274,0.007209,0.441737,0.414122,0.002736,0.427354
0.190000,0.398373,0.001890,0.480751,0.357268,0.007246,0.441749,0.414113,0.002766,0.427365
0.200000,0.398375,0.001923,0.480749,0.357265,0.007271,0.441752,0.414089,0.002783,0.427394
0.210000,0.398368,0.001931,0.480744,0.357263,0.007290,0.441750,0.414112,0.002834,0.427366
0.220000,0.398372,0.001970,0.480733,0.357252,0.007319,0.441736,0.414086,0.002857,0.427368
0.230000,0.398370,0.001974,0.480717,0.357254,0.007337,0.441728,0.414107,0.002919,0.427336
0.240000,0.398362,0.002067,0.480685,0.357251,0.007365,0.441712,0.414104,0.002952,0.427311
0.250000,0.398366,0.002109,0.480652,0.357259,0.007372,0.441692,0.414105,0.002984,0.427290
0.260000,0.398382,0.002133,0.480621,0.357267,0.007409,0.441664,0.414104,0.003004,0.427243
0.270000,0.398430,0.002202,0.480559,0.357279,0.007441,0.441633,0.414120,0.003024,0.427207
0.280000,0.398453,0.002270,0.480516,0.357281,0.007472,0.441588,0.414123,0.003098,0.427163
0.290000,0.398473,0.002314,0.480468,0.357310,0.007510,0.441555,0.414131,0.003114,0.427108
0.300000,0.398493,0.002367,0.480421,0.357338,0.007620,0.441517,0.414137,0.003135,0.427062
0.310000,0.398504,0.002406,0.480387,0.357320,0.007580,0.441484,0.414143,0.003160,0.427011
0.320000,0.398524,0.002466,0.480350,0.357343,0.007663,0.441450,0.414143,0.003194,0.426978
0.330000,0.398532,0.002503,0.480309,0.357342,0.007696,0.441426,0.414156,0.003220,0.426929
0.340000,0.398523,0.002529,0.480283,0.357327,0.007714,0.441385,0.414136,0.003271,0.426879
0.350000,0.398506,0.002574,0.480243,0.357318,0.007744,0.441361,0.414118,0.003293,0.426851
0.360000,0.398494,0.002582,0.480217,0.357295,0.007745,0.441335,0.414092,0.003319,0.426823
0.370000,0.398479,0.002597,0.480186,0.357287,0.007791,0.441306,0.414074,0.003346,0.426785
0.380000,0.398453,0.002615,0.480178,0.357260,0.007796,0.441288,0.414044,0.003370,0.426771
0.390000,0.398440,0.002610,0.480138,0.357228,0.007810,0.441253,0.414011,0.003407,0.426749
0.400000,0.398426,0.002616,0.480121,0.357224,0.007834,0.441247,0.413976,0.003422,0.426715
