Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.182237,0.442373,0.423705,0.208093,0.401020,0.395432,0.192755,0.403561,0.454897
0.010000,0.182356,0.442406,0.423618,0.208212,0.401021,0.395365,0.192859,0.403588,0.454823
0.020000,0.182520,0.442566,0.423416,0.208367,0.400998,0.395310,0.192971,0.403599,0.454755
0.030000,0.182645,0.442563,0.423365,0.208498,0.401018,0.395240,0.193083,0.403611,0.454697
0.040000,0.182776,0.442562,0.423313,0.208633,0.401003,0.395191,0.193220,0.403587,0.454653
0.050000,0.182929,0.442544,0.423262,0.208788,0.400996,0.395135,0.193375,0.403557,0.454589
0.060000,0.183099,0.442506,0.423217,0.208920,0.400982,0.395098,0.193525,0.403542,0.454540
0.070000,0.183243,0.442481,0.423189,0.209093,0.400951,0.395072,0.193677,0.403514,0.454502
0.080000,0.183384,0.442452,0.423172,0.209240,0.400941,0.395036,0.193839,0.403480,0.454477
0.090000,0.183517,0.442423,0.423190,0.209396,0.400970,0.395028,0.193986,0.403464,0.454468
0.100000,0.183661,0.442405,0.423216,0.209556,0.400955,0.395033,0.194140,0.403442,0.454473
0.110000,0.183834,0.442383,0.423268,0.209702,0.400986,0.395044,0.194304,0.403441,0.454495
0.120000,0.184003,0.442353,0.423314,0.209864,0.400980,0.395067,0.194462,0.403401,0.454530
0.130000,0.184164,0.442331,0.423382,0.210020,0.401006,0.395085,0.194623,0.403369,0.454577
0.140000,0.184317,0.442236,0.423561,0.210173,0.401007,0.395133,0.194775,0.403312,0.454635
0.150000,0.184464,0.442211,0.423618,0.210323,0.400995,0.395186,0.194937,0.403269,0.454687
0.160000,0.184620,0.442181,0.423685,0.210472,0.400987,0.395229,0.195082,0.403209,0.454741
0.170000,0.184761,0.442155,0.423760,0.210619,0.400955,0.395295,0.195221,0.403162,0.454801
0.180000,0.184901,0.442108,0.423847,0.210763,0.400926,0.395360,0.195362,0.403095,0.454867
0.190000,0.185039,0.442044,0.423918,0.210910,0.400893,0.395435,0.195476,0.403017,0.454939
0.200000,0.185186,0.442002,0.423993,0.211104,0.400793,0.395528,0.195580,0.402950,0.454995
0.210000,0.185344,0.441962,0.424055,0.211252,0.400745,0.395609,0.195701,0.402872,0.455052
0.220000,0.185479,0.441902,0.424122,0.211394,0.400693,0.395668,0.195810,0.402806,0.455104
0.230000,0.185614,0.441827,0.424190,0.211542,0.400630,0.395724,0.195906,0.402728,0.455161
0.240000,0.185775,0.441723,0.424250,0.211679,0.400538,0.395797,0.196019,0.402665,0.455199
0.250000,0.185911,0.441628,0.424302,0.211811,0.400445,0.395855,0.196106,0.402592,0.455245
0.260000,0.186083,0.441699,0.424238,0.211935,0.400374,0.395910,0.196193,0.402512,0.455293
0.270000,0.186230,0.441631,0.424289,0.212051,0.400303,0.395938,0.196283,0.402434,0.455327
0.280000,0.186352,0.441566,0.424321,0.212168,0.400218,0.395974,0.196382,0.402335,0.455353
0.290000,0.186458,0.441498,0.424347,0.212263,0.400165,0.395986,0.196465,0.402266,0.455369
0.300000,0.186566,0.441459,0.424352,0.212352,0.400108,0.395987,0.196568,0.402175,0.455381
0.310000,0.186661,0.441399,0.424340,0.212429,0.400043,0.395970,0.196644,0.402102,0.455375
0.320000,0.186758,0.441346,0.424307,0.212510,0.399958,0.395952,0.196734,0.402024,0.455354
0.330000,0.186864,0.441289,0.424258,0.212581,0.399881,0.395911,0.196830,0.401957,0.455323
0.340000,0.186956,0.441238,0.424205,0.212663,0.399814,0.395860,0.196921,0.401918,0.455283
0.350000,0.187063,0.441193,0.424147,0.212716,0.399744,0.395791,0.197004,0.401878,0.455222
0.360000,0.187160,0.441143,0.424086,0.212762,0.399668,0.395732,0.197085,0.401836,0.455172
0.370000,0.187245,0.441093,0.424033,0.212829,0.399597,0.395679,0.197169,0.401792,0.455121
0.380000,0.187338,0.441058,0.423969,0.212878,0.399533,0.395620,0.197252,0.401768,0.455069
0.390000,0.187413,0.441026,0.423920,0.212924,0.399462,0.395569,0.197329,0.401733,0.455018
