Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.252930,0.472503,0.280275,0.276125,0.427618,0.253137,0.265039,0.437570,0.312651
0.010000,0.252960,0.472468,0.280304,0.276150,0.427604,0.253173,0.265064,0.437542,0.312662
0.020000,0.252984,0.472457,0.280330,0.276168,0.427595,0.253194,0.265082,0.437530,0.312691
0.030000,0.253010,0.472424,0.280352,0.276193,0.427570,0.253209,0.265100,0.437515,0.312722
0.040000,0.253035,0.472424,0.280377,0.276210,0.427548,0.253228,0.265133,0.437472,0.312737
0.050000,0.253064,0.472379,0.280402,0.276242,0.427523,0.253251,0.265155,0.437452,0.312762
0.060000,0.253090,0.472348,0.280425,0.276266,0.427505,0.253285,0.265188,0.437429,0.312790
0.070000,0.253121,0.472319,0.280451,0.276299,0.427462,0.253303,0.265223,0.437380,0.312816
0.080000,0.253181,0.472287,0.280491,0.276330,0.427432,0.253334,0.265265,0.437334,0.312838
0.090000,0.253224,0.472273,0.280519,0.276373,0.427407,0.253352,0.265308,0.437309,0.312867
0.100000,0.253264,0.472238,0.280542,0.276412,0.427369,0.253376,0.265335,0.437277,0.312892
0.110000,0.253299,0.472221,0.280566,0.276423,0.427369,0.253425,0.265370,0.437257,0.312915
0.120000,0.253343,0.472162,0.280608,0.276478,0.427327,0.253448,0.265397,0.437235,0.312933
0.130000,0.253378,0.472158,0.280648,0.276502,0.427305,0.253467,0.265420,0.437214,0.312963
0.140000,0.253410,0.472130,0.280671,0.276529,0.427300,0.253487,0.265463,0.437160,0.312974
0.150000,0.253454,0.472092,0.280684,0.276566,0.427281,0.253503,0.265498,0.437161,0.312995
0.160000,0.253490,0.472093,0.280706,0.276583,0.427264,0.253521,0.265516,0.437155,0.313010
0.170000,0.253511,0.472075,0.280715,0.276611,0.427260,0.253531,0.265544,0.437145,0.313019
0.180000,0.253542,0.472054,0.280722,0.276631,0.427238,0.253542,0.265568,0.437123,0.313029
0.190000,0.253567,0.472044,0.280732,0.276662,0.427219,0.253547,0.265612,0.437107,0.313029
0.200000,0.253589,0.472031,0.280739,0.276691,0.427198,0.253557,0.265630,0.437111,0.313042
0.210000,0.253616,0.472019,0.280747,0.276705,0.427204,0.253566,0.265649,0.437102,0.313048
0.220000,0.253629,0.472032,0.280750,0.276728,0.427202,0.253570,0.265671,0.437112,0.313058
0.230000,0.253658,0.472026,0.280757,0.276757,0.427188,0.253575,0.265700,0.437113,0.313063
0.240000,0.253681,0.472016,0.280756,0.276781,0.427179,0.253558,0.265719,0.437121,0.313070
0.250000,0.253707,0.472024,0.280773,0.276799,0.427203,0.253590,0.265740,0.437112,0.313071
0.260000,0.253724,0.472015,0.280772,0.276822,0.427195,0.253592,0.265767,0.437105,0.313086
0.270000,0.253751,0.472008,0.280776,0.276832,0.427192,0.253602,0.265787,0.437105,0.313088
0.280000,0.253782,0.472014,0.280786,0.276856,0.427170,0.253576,0.265811,0.437102,0.313103
0.290000,0.253817,0.471993,0.280797,0.276876,0.427158,0.253580,0.265858,0.437121,0.313117
0.300000,0.253853,0.471976,0.280799,0.276936,0.427155,0.253569,0.265883,0.437095,0.313103
0.310000,0.253888,0.471971,0.280793,0.276951,0.427143,0.253576,0.265915,0.437090,0.313113
0.320000,0.253909,0.471953,0.280808,0.276975,0.427123,0.253576,0.265930,0.437058,0.313113
0.330000,0.253965,0.471943,0.280800,0.276988,0.427098,0.253580,0.265956,0.437059,0.313127
0.340000,0.253991,0.471924,0.280809,0.277007,0.427072,0.253584,0.265973,0.437047,0.313131
0.350000,0.254023,0.471907,0.280819,0.277026,0.427069,0.253614,0.265995,0.437032,0.313164
0.360000,0.254056,0.471884,0.280819,0.277036,0.427041,0.253602,0.266016,0.436998,0.313173
0.370000,0.254071,0.471865,0.280839,0.277061,0.427023,0.253637,0.266040,0.436987,0.313188
0.380000,0.254101,0.471853,0.280850,0.277076,0.427012,0.253648,0.266050,0.436936,0.313206
0.390000,0.254111,0.471841,0.280865,0.277084,0.427000,0.253661,0.266070,0.436946,0.313215
0.400000,0.254122,0.471824,0.280892,0.277096,0.426973,0.253674,0.266077,0.436896,0.313241
0.410000,0.254133,0.471802,0.280906,0.277106,0.426963,0.253692,0.266084,0.436883,0.313253
0.420000,0.254157,0.471782,0.280938,0.277119,0.426939,0.253712,0.266090,0.436870,0.313274
0.430000,0.254167,0.471780,0.280966,0.277120,0.426923,0.253730,0.266098,0.436850,0.313299
0.440000,0.254174,0.471761,0.280988,0.277117,0.426915,0.253752,0.266108,0.436819,0.313318
0.450000,0.254171,0.471728,0.281011,0.277125,0.426900,0.253765,0.266109,0.436787,0.313344
0.460000,0.254176,0.471716,0.281035,0.277124,0.426883,0.253796,0.266110,0.436772,0.313366
0.470000,0.254177,0.471713,0.281051,0.277089,0.426834,0.253829,0.266102,0.436765,0.313382
0.480000,0.254168,0.471702,0.281075,0.277086,0.426836,0.253843,0.266093,0.436740,0.313399
0.490000,0.254151,0.471717,0.281103,0.277075,0.426834,0.253860,0.266078,0.436727,0.313422
0.500000,0.254123,0.471699,0.281126,0.277058,0.426846,0.253877,0.266060,0.436720,0.313455
0.510000,0.254101,0.471700,0.281152,0.277044,0.426853,0.253903,0.266044,0.436727,0.313461
0.520000,0.254077,0.471704,0.281171,0.277012,0.426865,0.253912,0.266016,0.436721,0.313483
0.530000,0.254033,0.471715,0.281190,0.276994,0.426874,0.253926,0.265991,0.436737,0.313494
0.540000,0.253998,0.471720,0.281201,0.276929,0.426880,0.253952,0.265966,0.436748,0.313502
0.550000,0.253968,0.471736,0.281209,0.276902,0.426897,0.253960,0.265945,0.436763,0.313505
0.560000,0.253936,0.471744,0.281214,0.276872,0.426920,0.253974,0.265909,0.436786,0.313515
0.570000,0.253894,0.471759,0.281232,0.276832,0.426930,0.253987,0.265882,0.436797,0.313525
0.580000,0.253853,0.471788,0.281246,0.276802,0.426954,0.254004,0.265838,0.436823,0.313541
0.590000,0.253800,0.471785,0.281264,0.276757,0.426993,0.254017,0.265815,0.436851,0.313549
0.600000,0.253733,0.471819,0.281299,0.276732,0.427022,0.254033,0.265765,0.436887,0.313570
