Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.178632,0.081181,0.464875,0.212487,0.042516,0.468306,0.151118,0.040467,0.465927
0.010000,0.178631,0.081199,0.464878,0.212485,0.042525,0.468305,0.151119,0.040473,0.465931
0.020000,0.178616,0.081202,0.464882,0.212470,0.042535,0.468319,0.151106,0.040481,0.465942
0.030000,0.178605,0.081215,0.464894,0.212456,0.042536,0.468327,0.151089,0.040486,0.465960
0.040000,0.178584,0.081221,0.464905,0.212430,0.042538,0.468336,0.151073,0.040480,0.465952
0.050000,0.178550,0.081230,0.464915,0.212401,0.042547,0.468341,0.151037,0.040497,0.465954
0.060000,0.178533,0.081240,0.464909,0.212370,0.042541,0.468348,0.151015,0.040485,0.465952
0.070000,0.178492,0.081276,0.464905,0.212352,0.042555,0.468349,0.150990,0.040501,0.465954
0.080000,0.178470,0.081275,0.464902,0.212321,0.042575,0.468351,0.150967,0.040502,0.465956
0.090000,0.178450,0.081277,0.464905,0.212304,0.042576,0.468353,0.150940,0.040508,0.465956
0.100000,0.178418,0.081290,0.464903,0.212271,0.042591,0.468355,0.150916,0.040521,0.465959
0.110000,0.178392,0.081314,0.464905,0.212242,0.042607,0.468357,0.150886,0.040527,0.465950
0.120000,0.178365,0.081315,0.464895,0.212201,0.042597,0.468351,0.150847,0.040529,0.465948
0.130000,0.178324,0.081348,0.464897,0.212170,0.042589,0.468353,0.150806,0.040544,0.465930
0.140000,0.178265,0.081303,0.464879,0.212133,0.042581,0.468342,0.150769,0.040528,0.465896
0.150000,0.178200,0.081291,0.464837,0.212087,0.042581,0.468337,0.150738,0.040499,0.465865
0.160000,0.178170,0.081292,0.464810,0.212059,0.042566,0.468319,0.150712,0.040498,0.465831
0.170000,0.178151,0.081261,0.464779,0.212033,0.042579,0.468296,0.150682,0.040516,0.465807
0.180000,0.178158,0.081297,0.464767,0.212022,0.042566,0.468273,0.150671,0.040510,0.465777
0.190000,0.178152,0.081301,0.464732,0.212020,0.042573,0.468249,0.150659,0.040521,0.465750
0.200000,0.178140,0.081276,0.464701,0.212008,0.042551,0.468219,0.150646,0.040518,0.465735
0.210000,0.178164,0.081315,0.464680,0.212030,0.042578,0.468192,0.150654,0.040525,0.465704
0.220000,0.178183,0.081324,0.464656,0.212038,0.042565,0.468149,0.150668,0.040537,0.465687
0.230000,0.178192,0.081339,0.464623,0.212058,0.042567,0.468130,0.150684,0.040541,0.465668
0.240000,0.178210,0.081349,0.464603,0.212081,0.042597,0.468098,0.150714,0.040564,0.465641
0.250000,0.178226,0.081347,0.464581,0.212100,0.042623,0.468075,0.150730,0.040575,0.465629
0.260000,0.178254,0.081374,0.464573,0.212118,0.042627,0.468050,0.150750,0.040586,0.465612
0.270000,0.178263,0.081372,0.464561,0.212147,0.042631,0.468028,0.150766,0.040594,0.465604
0.280000,0.178285,0.081386,0.464550,0.212162,0.042641,0.468020,0.150791,0.040619,0.465598
0.290000,0.178305,0.081401,0.464534,0.212189,0.042669,0.468005,0.150806,0.040623,0.465588
0.300000,0.178329,0.081403,0.464529,0.212218,0.042682,0.468000,0.150832,0.040637,0.465595
0.310000,0.178355,0.081411,0.464533,0.212248,0.042669,0.467987,0.150965,0.040573,0.465453
0.320000,0.178379,0.081405,0.464534,0.212276,0.042670,0.467981,0.150886,0.040650,0.465613
0.330000,0.178379,0.081402,0.464542,0.212293,0.042654,0.467978,0.150999,0.040565,0.465463
0.340000,0.178393,0.081408,0.464541,0.212298,0.042639,0.467984,0.151012,0.040549,0.465451
0.350000,0.178404,0.081407,0.464539,0.212314,0.042648,0.467990,0.151030,0.040560,0.465449
0.360000,0.178453,0.081439,0.464541,0.212341,0.042653,0.467983,0.151053,0.040571,0.465452
0.370000,0.178480,0.081452,0.464530,0.212382,0.042684,0.467975,0.151080,0.040600,0.465466
0.380000,0.178538,0.081479,0.464529,0.212426,0.042706,0.467968,0.151130,0.040637,0.465471
0.390000,0.178621,0.081516,0.464540,0.212482,0.042760,0.467953,0.151170,0.040677,0.465491
0.400000,0.178673,0.081545,0.464538,0.212527,0.042785,0.467940,0.151220,0.040714,0.465510
0.410000,0.178711,0.081570,0.464536,0.212575,0.042819,0.467912,0.151477,0.040501,0.465300
0.420000,0.178751,0.081592,0.464536,0.212617,0.042830,0.467913,0.151332,0.040758,0.465522
0.430000,0.178778,0.081611,0.464540,0.212637,0.042866,0.467903,0.151556,0.040534,0.465327
0.440000,0.178803,0.081622,0.464554,0.212661,0.042872,0.467897,0.151571,0.040544,0.465336
0.450000,0.178802,0.081627,0.464556,0.212678,0.042873,0.467909,0.151576,0.040569,0.465350
0.460000,0.178797,0.081604,0.464560,0.212675,0.042862,0.467921,0.151392,0.040769,0.465579
0.470000,0.178801,0.081600,0.464567,0.212673,0.042827,0.467928,0.151576,0.040517,0.465360
0.480000,0.178793,0.081580,0.464579,0.212663,0.042800,0.467931,0.151560,0.040519,0.465377
0.490000,0.178794,0.081556,0.464584,0.212661,0.042776,0.467948,0.151556,0.040488,0.465387
0.500000,0.178772,0.081553,0.464592,0.212652,0.042773,0.467958,0.151367,0.040699,0.465605
0.510000,0.178775,0.081562,0.464604,0.212643,0.042777,0.467968,0.151550,0.040471,0.465388
0.520000,0.178769,0.081570,0.464607,0.212640,0.042779,0.467964,0.151362,0.040711,0.465622
0.530000,0.178760,0.081570,0.464611,0.212639,0.042795,0.467969,0.151539,0.040487,0.465404
0.540000,0.178760,0.081596,0.464611,0.212634,0.042817,0.467966,0.151540,0.040507,0.465407
0.550000,0.178755,0.081602,0.464608,0.212629,0.042835,0.467960,0.151534,0.040508,0.465406
0.560000,0.178741,0.081622,0.464628,0.212619,0.042847,0.467976,0.151521,0.040525,0.465411
0.570000,0.178726,0.081634,0.464635,0.212603,0.042851,0.467969,0.151519,0.040515,0.465397
0.580000,0.178700,0.081613,0.464625,0.212577,0.042845,0.467977,0.151496,0.040519,0.465404
0.590000,0.178681,0.081625,0.464620,0.212565,0.042851,0.467979,0.151471,0.040525,0.465397
0.600000,0.178666,0.081625,0.464625,0.212549,0.042837,0.467985,0.151236,0.040773,0.465637
0.610000,0.178652,0.081606,0.464615,0.212532,0.042834,0.467991,0.151230,0.040730,0.465632
0.620000,0.178651,0.081594,0.464622,0.212518,0.042825,0.467999,0.151429,0.040479,0.465379
0.630000,0.178622,0.081589,0.464630,0.212511,0.042819,0.468005,0.151208,0.040709,0.465624
0.640000,0.178620,0.081595,0.464634,0.212502,0.042793,0.468003,0.151205,0.040714,0.465616
0.650000,0.178618,0.081597,0.464641,0.212508,0.042798,0.468006,0.151203,0.040699,0.465616
0.660000,0.178621,0.081538,0.464616,0.212504,0.042791,0.468003,0.151197,0.040682,0.465614
0.670000,0.178621,0.081576,0.464626,0.212505,0.042799,0.467995,0.151206,0.040684,0.465615
0.680000,0.178636,0.081563,0.464626,0.212530,0.042790,0.467995,0.151222,0.040685,0.465608
0.690000,0.178652,0.081587,0.464634,0.212546,0.042799,0.467987,0.151237,0.040701,0.465617
0.700000,0.178672,0.081571,0.464619,0.212557,0.042790,0.467977,0.151461,0.040454,0.465376
0.710000,0.178689,0.081574,0.464609,0.212578,0.042810,0.467977,0.151485,0.040460,0.465383
0.720000,0.178707,0.081566,0.464613,0.212602,0.042800,0.467961,0.151284,0.040711,0.465633
0.730000,0.178727,0.081592,0.464611,0.212606,0.042816,0.467960,0.151522,0.040476,0.465403
0.740000,0.178737,0.081608,0.464610,0.212628,0.042842,0.467961,0.151534,0.040496,0.465394
0.750000,0.178737,0.081603,0.464604,0.212620,0.042848,0.467952,0.151541,0.040486,0.465392
0.760000,0.178743,0.081611,0.464594,0.212630,0.042877,0.467928,0.151538,0.040519,0.465401
0.770000,0.178749,0.081629,0.464588,0.212639,0.042898,0.467924,0.151554,0.040502,0.465383
0.780000,0.178757,0.081636,0.464576,0.212641,0.042900,0.467928,0.151550,0.040526,0.465375
0.790000,0.178756,0.081642,0.464573,0.212645,0.042914,0.467906,0.151551,0.040517,0.465365
0.800000,0.178770,0.081664,0.464570,0.212655,0.042904,0.467904,0.151565,0.040541,0.465369
0.810000,0.178780,0.081676,0.464563,0.212669,0.042938,0.467893,0.151578,0.040558,0.465374
0.820000,0.178800,0.081691,0.464551,0.212689,0.042946,0.467887,0.151594,0.040585,0.465384
0.830000,0.178824,0.081704,0.464553,0.212710,0.042952,0.467876,0.151610,0.040614,0.465380
0.840000,0.178839,0.081714,0.464547,0.212716,0.042947,0.467863,0.151614,0.040601,0.465381
0.850000,0.178836,0.081720,0.464549,0.212717,0.042943,0.467855,0.151621,0.040591,0.465370
0.860000,0.178833,0.081691,0.464530,0.212707,0.042955,0.467847,0.151618,0.040572,0.465350
0.870000,0.178829,0.081696,0.464507,0.212716,0.042930,0.467834,0.151426,0.040794,0.465550
0.880000,0.178830,0.081697,0.464484,0.212713,0.042941,0.467817,0.151427,0.040814,0.465536
0.890000,0.178833,0.081717,0.464455,0.212710,0.042936,0.467789,0.151433,0.040835,0.465508
0.900000,0.178840,0.081719,0.464440,0.212714,0.042934,0.467773,0.151425,0.040854,0.465497
0.910000,0.178850,0.081728,0.464417,0.212724,0.042964,0.467763,0.151443,0.040865,0.465473
0.920000,0.178849,0.081744,0.464405,0.212721,0.042970,0.467743,0.151441,0.040890,0.465463
0.930000,0.178856,0.081764,0.464389,0.212735,0.042979,0.467713,0.151442,0.040891,0.465437
0.940000,0.178868,0.081776,0.464396,0.212737,0.042987,0.467700,0.151440,0.040918,0.465431
0.950000,0.178866,0.081757,0.464368,0.212735,0.042987,0.467691,0.151447,0.040902,0.465413
