Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.459374,0.012315,0.425557,0.448491,0.035265,0.381086,0.486632,-0.011492,0.394886
0.010000,0.459408,0.012315,0.425572,0.448509,0.035271,0.381102,0.486674,-0.011467,0.394890
0.020000,0.459458,0.012330,0.425590,0.448530,0.035255,0.381097,0.486713,-0.011463,0.394907
0.030000,0.459498,0.012347,0.425602,0.448569,0.035241,0.381105,0.486765,-0.011472,0.394924
0.040000,0.459556,0.012366,0.425606,0.448613,0.035271,0.381119,0.486837,-0.011410,0.394928
0.050000,0.459605,0.012383,0.425619,0.448637,0.035258,0.381125,0.486877,-0.011418,0.394953
0.060000,0.459650,0.012401,0.425624,0.448668,0.035260,0.381120,0.486929,-0.011386,0.394969
0.070000,0.459689,0.012405,0.425640,0.448702,0.035262,0.381121,0.486972,-0.011390,0.394982
0.080000,0.459748,0.012462,0.425633,0.448731,0.035251,0.381108,0.487012,-0.011402,0.394976
0.090000,0.459804,0.012484,0.425638,0.448779,0.035258,0.381098,0.487060,-0.011364,0.394981
0.100000,0.459847,0.012535,0.425636,0.448807,0.035251,0.381087,0.487101,-0.011342,0.394991
0.110000,0.459932,0.012539,0.425630,0.448832,0.035262,0.381080,0.487140,-0.011305,0.394996
0.120000,0.459977,0.012597,0.425650,0.448861,0.035285,0.381086,0.487168,-0.011285,0.395003
0.130000,0.460029,0.012645,0.425657,0.448881,0.035291,0.381086,0.487208,-0.011258,0.395021
0.140000,0.460062,0.012685,0.425676,0.448896,0.035317,0.381093,0.487248,-0.011187,0.395041
0.150000,0.460112,0.012728,0.425679,0.448911,0.035312,0.381083,0.487277,-0.011163,0.395052
0.160000,0.460162,0.012800,0.425690,0.448927,0.035312,0.381081,0.487316,-0.011131,0.395066
0.170000,0.460205,0.012823,0.425694,0.448952,0.035330,0.381070,0.487331,-0.011118,0.395063
0.180000,0.460255,0.012879,0.425684,0.448988,0.035304,0.381054,0.487359,-0.011099,0.395058
0.190000,0.460307,0.012913,0.425659,0.449050,0.035374,0.381037,0.487405,-0.011085,0.395041
0.200000,0.460365,0.012938,0.425644,0.449096,0.035331,0.380988,0.487449,-0.011088,0.395015
0.210000,0.460441,0.013008,0.425621,0.449135,0.035342,0.380955,0.487506,-0.011049,0.395000
0.220000,0.460528,0.013038,0.425584,0.449177,0.035340,0.380904,0.487558,-0.011036,0.394970
0.230000,0.460625,0.013070,0.425551,0.449234,0.035337,0.380856,0.487618,-0.011030,0.394931
0.240000,0.460703,0.013128,0.425524,0.449269,0.035359,0.380817,0.487674,-0.010991,0.394897
0.250000,0.460775,0.013168,0.425496,0.449312,0.035373,0.380786,0.487730,-0.010952,0.394870
0.260000,0.460835,0.013229,0.425475,0.449334,0.035398,0.380756,0.487768,-0.010918,0.394845
0.270000,0.460878,0.013278,0.425458,0.449342,0.035407,0.380729,0.487783,-0.010891,0.394826
0.280000,0.460913,0.013323,0.425446,0.449351,0.035434,0.380719,0.487817,-0.010824,0.394820
0.290000,0.460935,0.013363,0.425436,0.449365,0.035444,0.380689,0.487837,-0.010812,0.394810
0.300000,0.460945,0.013416,0.425431,0.449354,0.035462,0.380679,0.487850,-0.010784,0.394805
0.310000,0.460956,0.013446,0.425421,0.449358,0.035481,0.380669,0.487846,-0.010768,0.394796
0.320000,0.460959,0.013481,0.425411,0.449369,0.035505,0.380651,0.487863,-0.010702,0.394789
0.330000,0.460962,0.013502,0.425394,0.449375,0.035539,0.380644,0.487860,-0.010712,0.394792
