Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.061321,0.468658,0.558112,0.079339,0.423148,0.526065,0.074874,0.433103,0.587804
0.010000,0.061421,0.468633,0.557994,0.079407,0.423105,0.525963,0.074931,0.433094,0.587712
0.020000,0.061507,0.468602,0.557887,0.079456,0.423051,0.525866,0.074981,0.433066,0.587608
0.030000,0.061603,0.468581,0.557776,0.079524,0.422996,0.525780,0.075038,0.433035,0.587495
0.040000,0.061679,0.468545,0.557642,0.079575,0.422947,0.525690,0.075084,0.433038,0.587397
0.050000,0.061733,0.468532,0.557554,0.079622,0.422940,0.525608,0.075141,0.433038,0.587304
0.060000,0.061802,0.468538,0.557465,0.079681,0.422900,0.525521,0.075185,0.433028,0.587226
0.070000,0.061846,0.468513,0.557361,0.079716,0.422883,0.525448,0.075240,0.433011,0.587146
0.080000,0.061893,0.468496,0.557297,0.079767,0.422867,0.525370,0.075284,0.433001,0.587076
0.090000,0.061964,0.468535,0.557203,0.079815,0.422858,0.525280,0.075324,0.432989,0.586982
0.100000,0.062009,0.468532,0.557127,0.079848,0.422849,0.525189,0.075364,0.432995,0.586905
0.110000,0.062056,0.468524,0.557048,0.079879,0.422832,0.525087,0.075420,0.432986,0.586818
0.120000,0.062093,0.468513,0.556955,0.079912,0.422814,0.524995,0.075460,0.432977,0.586725
0.130000,0.062121,0.468495,0.556864,0.079945,0.422805,0.524900,0.075491,0.432975,0.586636
0.140000,0.062145,0.468492,0.556783,0.079968,0.422771,0.524791,0.075526,0.432974,0.586542
0.150000,0.062192,0.468504,0.556670,0.079996,0.422764,0.524683,0.075563,0.432943,0.586434
0.160000,0.062216,0.468488,0.556565,0.079958,0.422548,0.524790,0.075586,0.432939,0.586344
0.170000,0.062232,0.468481,0.556485,0.080062,0.422779,0.524490,0.075606,0.432940,0.586258
0.180000,0.062245,0.468461,0.556384,0.080013,0.422572,0.524595,0.075625,0.432938,0.586171
0.190000,0.062260,0.468451,0.556285,0.080022,0.422561,0.524501,0.075635,0.432933,0.586077
0.200000,0.062272,0.468435,0.556207,0.080036,0.422557,0.524407,0.075666,0.432906,0.585962
0.210000,0.062290,0.468422,0.556099,0.080039,0.422544,0.524320,0.075676,0.432893,0.585855
0.220000,0.062282,0.468394,0.555994,0.080044,0.422531,0.524233,0.075685,0.432907,0.585741
0.230000,0.062291,0.468387,0.555895,0.080054,0.422512,0.524139,0.075692,0.432913,0.585648
0.240000,0.062296,0.468365,0.555799,0.080060,0.422505,0.524044,0.075707,0.432899,0.585559
0.250000,0.062309,0.468358,0.555709,0.080058,0.422487,0.523944,0.075702,0.432899,0.585452
0.260000,0.062325,0.468334,0.555593,0.080073,0.422467,0.523856,0.075724,0.432890,0.585361
0.270000,0.062346,0.468316,0.555497,0.080066,0.422442,0.523761,0.075746,0.432868,0.585265
0.280000,0.062373,0.468295,0.555379,0.080078,0.422423,0.523667,0.075750,0.432877,0.585170
0.290000,0.062390,0.468298,0.555262,0.080154,0.422628,0.523364,0.075748,0.432877,0.585061
0.300000,0.062407,0.468286,0.555156,0.080157,0.422612,0.523264,0.075750,0.432881,0.584967
0.310000,0.062412,0.468296,0.555075,0.080149,0.422594,0.523170,0.075771,0.432865,0.584862
0.320000,0.062416,0.468292,0.554988,0.080140,0.422639,0.523055,0.075772,0.432852,0.584776
