Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.222616,0.480007,0.673694,-0.197919,0.432624,0.651223,-0.202198,0.439936,0.709637
0.010000,-0.222576,0.480020,0.673644,-0.197883,0.432643,0.651170,-0.202152,0.439951,0.709576
0.020000,-0.222540,0.480015,0.673590,-0.197844,0.432690,0.651109,-0.202083,0.439960,0.709516
0.030000,-0.222512,0.480013,0.673533,-0.197787,0.432702,0.651017,-0.202050,0.439972,0.709463
0.040000,-0.222490,0.480015,0.673460,-0.197749,0.432686,0.650971,-0.202015,0.439991,0.709415
0.050000,-0.222464,0.480021,0.673399,-0.197720,0.432691,0.650921,-0.201978,0.440005,0.709353
0.060000,-0.222421,0.480032,0.673350,-0.197693,0.432699,0.650867,-0.201939,0.440009,0.709308
0.070000,-0.222372,0.480036,0.673311,-0.197660,0.432684,0.650826,-0.201904,0.439992,0.709259
0.080000,-0.222328,0.480028,0.673279,-0.197624,0.432672,0.650789,-0.201872,0.439978,0.709228
0.090000,-0.222283,0.480017,0.673234,-0.197562,0.432662,0.650738,-0.201839,0.439955,0.709190
0.100000,-0.222231,0.480000,0.673180,-0.197530,0.432640,0.650699,-0.201796,0.439944,0.709157
0.110000,-0.222190,0.479972,0.673128,-0.197496,0.432606,0.650655,-0.201759,0.439946,0.709106
0.120000,-0.222150,0.479966,0.673074,-0.197462,0.432582,0.650610,-0.201726,0.439936,0.709063
0.130000,-0.222108,0.479916,0.673020,-0.197438,0.432553,0.650566,-0.201686,0.439919,0.709012
0.140000,-0.222070,0.479892,0.672961,-0.197407,0.432520,0.650529,-0.201662,0.439862,0.708946
0.150000,-0.222026,0.479865,0.672915,-0.197376,0.432487,0.650487,-0.201633,0.439840,0.708902
0.160000,-0.221980,0.479845,0.672861,-0.197351,0.432466,0.650434,-0.201595,0.439843,0.708840
0.170000,-0.221941,0.479821,0.672817,-0.197328,0.432422,0.650400,-0.201569,0.439808,0.708790
0.180000,-0.221920,0.479794,0.672760,-0.197314,0.432394,0.650352,-0.201546,0.439791,0.708745
0.190000,-0.221883,0.479776,0.672708,-0.197304,0.432345,0.650308,-0.201536,0.439748,0.708699
0.200000,-0.221866,0.479739,0.672655,-0.197293,0.432320,0.650261,-0.201515,0.439728,0.708648
0.210000,-0.221847,0.479709,0.672601,-0.197297,0.432280,0.650192,-0.201505,0.439689,0.708596
0.220000,-0.221831,0.479688,0.672548,-0.197306,0.432244,0.650140,-0.201502,0.439673,0.708537
0.230000,-0.221827,0.479664,0.672497,-0.197324,0.432204,0.650091,-0.201504,0.439638,0.708483
0.240000,-0.221830,0.479641,0.672445,-0.197337,0.432181,0.650041,-0.201498,0.439601,0.708439
0.250000,-0.221825,0.479617,0.672408,-0.197363,0.432150,0.649994,-0.201511,0.439569,0.708387
0.260000,-0.221849,0.479607,0.672365,-0.197392,0.432127,0.649948,-0.201526,0.439543,0.708343
0.270000,-0.221871,0.479598,0.672318,-0.197434,0.432113,0.649899,-0.201548,0.439559,0.708284
0.280000,-0.221908,0.479605,0.672266,-0.197448,0.432144,0.649817,-0.201565,0.439539,0.708235
0.290000,-0.221940,0.479607,0.672233,-0.197505,0.432132,0.649791,-0.201596,0.439549,0.708192
0.300000,-0.221984,0.479612,0.672202,-0.197537,0.432163,0.649730,-0.201618,0.439552,0.708167
0.310000,-0.222029,0.479618,0.672172,-0.197583,0.432172,0.649688,-0.201646,0.439559,0.708133
0.320000,-0.222073,0.479630,0.672140,-0.197629,0.432200,0.649653,-0.201670,0.439570,0.708099
0.330000,-0.222120,0.479660,0.672110,-0.197678,0.432209,0.649612,-0.201696,0.439588,0.708069
0.340000,-0.222152,0.479670,0.672081,-0.197717,0.432229,0.649569,-0.201726,0.439586,0.708029
0.350000,-0.222197,0.479679,0.672046,-0.197761,0.432251,0.649542,-0.201755,0.439591,0.707973
0.360000,-0.222231,0.479695,0.672011,-0.197806,0.432264,0.649493,-0.201784,0.439595,0.707928
0.370000,-0.222268,0.479700,0.671988,-0.197838,0.432278,0.649451,-0.201794,0.439591,0.707884
0.380000,-0.222288,0.479704,0.671961,-0.197870,0.432286,0.649418,-0.201807,0.439595,0.707849
0.390000,-0.222297,0.479714,0.671932,-0.197897,0.432292,0.649380,-0.201816,0.439590,0.707813
0.400000,-0.222309,0.479708,0.671914,-0.197925,0.432296,0.649340,-0.201819,0.439568,0.707780
0.410000,-0.222314,0.479700,0.671893,-0.197941,0.432280,0.649305,-0.201808,0.439566,0.707738
