Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.234307,0.482875,0.655743,-0.211118,0.433893,0.635624,-0.213640,0.444770,0.693624
0.010000,-0.234363,0.482901,0.655750,-0.211162,0.433910,0.635632,-0.213683,0.444795,0.693622
0.020000,-0.234418,0.482918,0.655753,-0.211218,0.433916,0.635647,-0.213747,0.444817,0.693621
0.030000,-0.234487,0.482947,0.655751,-0.211264,0.433958,0.635645,-0.213806,0.444841,0.693618
0.040000,-0.234556,0.482982,0.655756,-0.211316,0.433993,0.635648,-0.213862,0.444886,0.693628
0.050000,-0.234646,0.483014,0.655757,-0.211389,0.434080,0.635632,-0.213921,0.444917,0.693624
0.060000,-0.234729,0.483061,0.655759,-0.211449,0.434089,0.635651,-0.214024,0.444956,0.693642
0.070000,-0.234821,0.483089,0.655746,-0.211515,0.434157,0.635630,-0.214071,0.444995,0.693629
0.080000,-0.234893,0.483119,0.655729,-0.211573,0.434192,0.635615,-0.214139,0.445014,0.693623
0.090000,-0.234950,0.483151,0.655715,-0.211633,0.434228,0.635593,-0.214196,0.445036,0.693601
0.100000,-0.235008,0.483161,0.655689,-0.211684,0.434249,0.635569,-0.214241,0.445061,0.693577
0.110000,-0.235056,0.483171,0.655661,-0.211741,0.434279,0.635540,-0.214276,0.445093,0.693548
0.120000,-0.235098,0.483189,0.655631,-0.211784,0.434285,0.635510,-0.214311,0.445094,0.693520
0.130000,-0.235129,0.483188,0.655604,-0.211819,0.434283,0.635488,-0.214339,0.445094,0.693489
0.140000,-0.235156,0.483173,0.655565,-0.211841,0.434270,0.635454,-0.214355,0.445090,0.693464
0.150000,-0.235170,0.483166,0.655538,-0.211861,0.434256,0.635428,-0.214378,0.445065,0.693422
0.160000,-0.235177,0.483163,0.655511,-0.211882,0.434240,0.635412,-0.214388,0.445066,0.693398
0.170000,-0.235189,0.483156,0.655496,-0.211892,0.434228,0.635390,-0.214406,0.445049,0.693385
0.180000,-0.235191,0.483122,0.655480,-0.211894,0.434191,0.635370,-0.214407,0.445020,0.693368
0.190000,-0.235170,0.483095,0.655472,-0.211889,0.434156,0.635358,-0.214390,0.444992,0.693354
