Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.242294,0.485515,0.659224,-0.218005,0.437987,0.636924,-0.219546,0.446845,0.695296
0.010000,-0.242282,0.485513,0.659187,-0.217991,0.437979,0.636896,-0.219538,0.446845,0.695264
0.020000,-0.242269,0.485505,0.659160,-0.217984,0.437966,0.636865,-0.219533,0.446841,0.695245
0.030000,-0.242241,0.485503,0.659110,-0.217973,0.437951,0.636834,-0.219523,0.446833,0.695213
0.040000,-0.242237,0.485500,0.659086,-0.217967,0.437940,0.636800,-0.219501,0.446821,0.695169
0.050000,-0.242195,0.485500,0.659037,-0.217947,0.437934,0.636763,-0.219496,0.446818,0.695144
0.060000,-0.242181,0.485490,0.659003,-0.217942,0.437925,0.636734,-0.219477,0.446816,0.695118
0.070000,-0.242157,0.485485,0.658970,-0.217925,0.437907,0.636705,-0.219445,0.446823,0.695074
0.080000,-0.242136,0.485469,0.658939,-0.217905,0.437891,0.636677,-0.219425,0.446824,0.695037
0.090000,-0.242111,0.485471,0.658906,-0.217881,0.437892,0.636645,-0.219409,0.446808,0.695009
0.100000,-0.242086,0.485456,0.658875,-0.217876,0.437870,0.636605,-0.219392,0.446793,0.694990
0.110000,-0.242060,0.485443,0.658841,-0.217859,0.437859,0.636574,-0.219374,0.446792,0.694962
0.120000,-0.242040,0.485432,0.658811,-0.217804,0.437848,0.636536,-0.219362,0.446790,0.694932
0.130000,-0.242014,0.485425,0.658779,-0.217796,0.437838,0.636508,-0.219341,0.446781,0.694911
0.140000,-0.241995,0.485423,0.658752,-0.217768,0.437841,0.636460,-0.219316,0.446766,0.694883
0.150000,-0.241971,0.485416,0.658725,-0.217747,0.437833,0.636430,-0.219302,0.446747,0.694852
0.160000,-0.241956,0.485409,0.658693,-0.217741,0.437822,0.636402,-0.219296,0.446745,0.694827
0.170000,-0.241937,0.485397,0.658658,-0.217737,0.437809,0.636369,-0.219293,0.446723,0.694794
0.180000,-0.241926,0.485383,0.658623,-0.217732,0.437803,0.636340,-0.219280,0.446718,0.694776
0.190000,-0.241920,0.485376,0.658589,-0.217728,0.437785,0.636308,-0.219286,0.446716,0.694741
0.200000,-0.241915,0.485367,0.658551,-0.217727,0.437775,0.636268,-0.219281,0.446699,0.694713
0.210000,-0.241911,0.485350,0.658514,-0.217726,0.437763,0.636243,-0.219277,0.446692,0.694677
0.220000,-0.241913,0.485350,0.658479,-0.217735,0.437757,0.636202,-0.219278,0.446683,0.694641
0.230000,-0.241929,0.485349,0.658431,-0.217738,0.437758,0.636166,-0.219292,0.446702,0.694602
0.240000,-0.241927,0.485350,0.658391,-0.217743,0.437740,0.636133,-0.219298,0.446701,0.694570
0.250000,-0.241935,0.485375,0.658345,-0.217759,0.437746,0.636099,-0.219306,0.446713,0.694525
0.260000,-0.241948,0.485392,0.658310,-0.217769,0.437731,0.636063,-0.219316,0.446762,0.694470
0.270000,-0.241958,0.485395,0.658279,-0.217772,0.437727,0.636034,-0.219326,0.446751,0.694441
0.280000,-0.241972,0.485387,0.658249,-0.217774,0.437745,0.635980,-0.219339,0.446760,0.694406
0.290000,-0.241988,0.485392,0.658202,-0.217803,0.437756,0.635967,-0.219345,0.446780,0.694375
0.300000,-0.242027,0.485408,0.658153,-0.217797,0.437764,0.635915,-0.219352,0.446804,0.694340
0.310000,-0.242051,0.485417,0.658117,-0.217812,0.437794,0.635892,-0.219361,0.446820,0.694316
0.320000,-0.242050,0.485436,0.658115,-0.217818,0.437820,0.635869,-0.219355,0.446843,0.694291
0.330000,-0.242041,0.485461,0.658095,-0.217800,0.437836,0.635844,-0.219351,0.446855,0.694273
0.340000,-0.242038,0.485479,0.658075,-0.217795,0.437857,0.635829,-0.219350,0.446892,0.694254
0.350000,-0.242027,0.485501,0.658053,-0.217806,0.437873,0.635809,-0.219345,0.446893,0.694222
