Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.610883,0.046646,0.368995,0.581517,0.057505,0.320150,0.639638,0.052340,0.320244
0.010000,0.610880,0.046654,0.368979,0.581527,0.057500,0.320137,0.639637,0.052357,0.320242
0.020000,0.610876,0.046685,0.368985,0.581535,0.057509,0.320122,0.639648,0.052379,0.320223
0.030000,0.610881,0.046689,0.368961,0.581538,0.057537,0.320111,0.639659,0.052386,0.320213
0.040000,0.610887,0.046715,0.368958,0.581552,0.057554,0.320100,0.639669,0.052387,0.320195
0.050000,0.610907,0.046730,0.368939,0.581566,0.057572,0.320071,0.639692,0.052405,0.320192
0.060000,0.610923,0.046742,0.368923,0.581598,0.057585,0.320061,0.639710,0.052408,0.320181
0.070000,0.610961,0.046735,0.368910,0.581621,0.057607,0.320050,0.639726,0.052417,0.320171
0.080000,0.610959,0.046754,0.368900,0.581640,0.057610,0.320038,0.639736,0.052423,0.320153
0.090000,0.610976,0.046740,0.368900,0.581654,0.057606,0.320033,0.640054,0.052048,0.320117
0.100000,0.610977,0.046742,0.368900,0.581645,0.057613,0.320031,0.639761,0.052427,0.320159
0.110000,0.610969,0.046747,0.368900,0.581647,0.057613,0.320033,0.640053,0.052077,0.320124
0.120000,0.610959,0.046746,0.368916,0.581640,0.057622,0.320038,0.639748,0.052466,0.320180
0.130000,0.610974,0.046739,0.368917,0.581643,0.057626,0.320050,0.640072,0.052105,0.320131
0.140000,0.610967,0.046724,0.368932,0.581650,0.057633,0.320072,0.639764,0.052493,0.320197
0.150000,0.610971,0.046714,0.368950,0.581656,0.057624,0.320097,0.639757,0.052447,0.320219
0.160000,0.610981,0.046706,0.368974,0.581648,0.057630,0.320111,0.639760,0.052446,0.320256
0.170000,0.610968,0.046690,0.368986,0.581653,0.057632,0.320132,0.640054,0.052089,0.320226
0.180000,0.610967,0.046681,0.369007,0.581649,0.057632,0.320145,0.640063,0.052071,0.320244
0.190000,0.610953,0.046669,0.369007,0.581647,0.057639,0.320158,0.639738,0.052450,0.320309
0.200000,0.610942,0.046654,0.369016,0.581643,0.057634,0.320164,0.639740,0.052446,0.320318
0.210000,0.610935,0.046661,0.369021,0.581637,0.057661,0.320179,0.640052,0.052069,0.320276
0.220000,0.610933,0.046677,0.369031,0.581640,0.057651,0.320160,0.640030,0.052089,0.320290
0.230000,0.610936,0.046672,0.369034,0.581674,0.057689,0.320171,0.639753,0.052456,0.320327
0.240000,0.610953,0.046681,0.369031,0.581674,0.057672,0.320158,0.639765,0.052469,0.320336
0.250000,0.610956,0.046701,0.369028,0.581691,0.057695,0.320166,0.640082,0.052113,0.320302
0.260000,0.610972,0.046702,0.369044,0.581711,0.057779,0.320202,0.640088,0.052114,0.320312
0.270000,0.610972,0.046712,0.369042,0.581721,0.057778,0.320205,0.640124,0.052135,0.320296
0.280000,0.610974,0.046736,0.369046,0.581732,0.057811,0.320211,0.640115,0.052164,0.320299
0.290000,0.610978,0.046721,0.369036,0.581741,0.057826,0.320203,0.640133,0.052194,0.320306
0.300000,0.610982,0.046752,0.369045,0.581759,0.057850,0.320199,0.640147,0.052191,0.320310
0.310000,0.610980,0.046751,0.369043,0.581763,0.057857,0.320201,0.640157,0.052197,0.320321
0.320000,0.610971,0.046770,0.369045,0.581760,0.057855,0.320196,0.640146,0.052215,0.320315
0.330000,0.610963,0.046786,0.369050,0.581747,0.057861,0.320194,0.640164,0.052214,0.320314
0.340000,0.610968,0.046787,0.369054,0.581747,0.057874,0.320199,0.640150,0.052229,0.320320
0.350000,0.610968,0.046761,0.369040,0.581748,0.057899,0.320188,0.640142,0.052241,0.320306
0.360000,0.610967,0.046777,0.369032,0.581749,0.057902,0.320181,0.640171,0.052253,0.320318
0.370000,0.610963,0.046781,0.369022,0.581759,0.057919,0.320180,0.640176,0.052236,0.320302
0.380000,0.610970,0.046797,0.369022,0.581767,0.057936,0.320183,0.640172,0.052265,0.320300
0.390000,0.610972,0.046809,0.369024,0.581773,0.057961,0.320176,0.640208,0.052267,0.320310
0.400000,0.610965,0.046798,0.369004,0.581766,0.057989,0.320168,0.640188,0.052292,0.320303
0.410000,0.610962,0.046825,0.369011,0.581776,0.057982,0.320156,0.640191,0.052297,0.320292
0.420000,0.610955,0.046823,0.368992,0.581762,0.057994,0.320157,0.640179,0.052328,0.320292
0.430000,0.610962,0.046815,0.368981,0.581751,0.058009,0.320138,0.640181,0.052317,0.320289
0.440000,0.610928,0.046832,0.368975,0.581754,0.058021,0.320131,0.640154,0.052316,0.320264
0.450000,0.610916,0.046816,0.368960,0.581734,0.058014,0.320110,0.640141,0.052320,0.320262
0.460000,0.610882,0.046821,0.368954,0.581704,0.058034,0.320105,0.639866,0.053035,0.320273
0.470000,0.610835,0.046804,0.368949,0.581676,0.058012,0.320088,0.639769,0.052690,0.320303
0.480000,0.610796,0.046793,0.368934,0.581649,0.058006,0.320081,0.639735,0.052658,0.320296
0.490000,0.610758,0.046813,0.368937,0.581613,0.058020,0.320066,0.639718,0.052643,0.320286
0.500000,0.610739,0.046794,0.368916,0.581598,0.057993,0.320037,0.639705,0.052643,0.320268
0.510000,0.610718,0.046802,0.368902,0.581586,0.058028,0.320045,0.639693,0.052625,0.320258
