Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.420571,0.491423,0.649604,-0.392945,0.451285,0.619335,-0.385941,0.455477,0.677039
0.010000,-0.420579,0.491422,0.649595,-0.392971,0.451276,0.619310,-0.385969,0.455475,0.677024
0.020000,-0.420622,0.491396,0.649578,-0.392992,0.451275,0.619309,-0.385982,0.455476,0.677017
0.030000,-0.420654,0.491400,0.649583,-0.393046,0.451255,0.619301,-0.385989,0.455490,0.677017
0.040000,-0.420695,0.491400,0.649585,-0.393085,0.451248,0.619300,-0.386049,0.455470,0.677016
0.050000,-0.420739,0.491389,0.649589,-0.393094,0.451283,0.619308,-0.386093,0.455460,0.677014
0.060000,-0.420786,0.491400,0.649590,-0.393127,0.451286,0.619306,-0.386109,0.455484,0.677024
0.070000,-0.420820,0.491403,0.649592,-0.393144,0.451320,0.619319,-0.386141,0.455502,0.677022
0.080000,-0.420888,0.491424,0.649619,-0.393174,0.451347,0.619324,-0.386200,0.455502,0.677029
0.090000,-0.420923,0.491423,0.649627,-0.393215,0.451360,0.619338,-0.386270,0.455504,0.677047
0.100000,-0.420975,0.491434,0.649665,-0.393211,0.451402,0.619353,-0.386294,0.455515,0.677071
0.110000,-0.421006,0.491451,0.649684,-0.393223,0.451425,0.619375,-0.386295,0.455552,0.677098
0.120000,-0.421009,0.491472,0.649706,-0.393248,0.451464,0.619379,-0.386329,0.455547,0.677115
0.130000,-0.421020,0.491489,0.649723,-0.393247,0.451452,0.619406,-0.386328,0.455588,0.677146
0.140000,-0.421035,0.491495,0.649741,-0.393260,0.451487,0.619422,-0.386310,0.455623,0.677158
0.150000,-0.421034,0.491504,0.649750,-0.393234,0.451509,0.619442,-0.386345,0.455591,0.677170
0.160000,-0.421046,0.491488,0.649763,-0.393237,0.451515,0.619454,-0.386334,0.455621,0.677196
0.170000,-0.421036,0.491490,0.649782,-0.393212,0.451491,0.619476,-0.386324,0.455615,0.677213
0.180000,-0.421013,0.491494,0.649799,-0.393192,0.451483,0.619497,-0.386314,0.455607,0.677243
0.190000,-0.421002,0.491475,0.649823,-0.393174,0.451471,0.619510,-0.386328,0.455566,0.677268
0.200000,-0.420967,0.491472,0.649845,-0.393156,0.451454,0.619534,-0.386285,0.455576,0.677293
0.210000,-0.420941,0.491445,0.649867,-0.393110,0.451455,0.619563,-0.386268,0.455551,0.677307
0.220000,-0.420904,0.491436,0.649894,-0.393076,0.451431,0.619589,-0.386244,0.455525,0.677327
0.230000,-0.420871,0.491420,0.649924,-0.393065,0.451407,0.619612,-0.386176,0.455525,0.677359
0.240000,-0.420827,0.491407,0.649958,-0.393022,0.451384,0.619652,-0.386160,0.455505,0.677403
0.250000,-0.420790,0.491387,0.649989,-0.392991,0.451379,0.619667,-0.386123,0.455492,0.677427
0.260000,-0.420746,0.491368,0.650032,-0.392954,0.451359,0.619711,-0.386038,0.455448,0.677469
0.270000,-0.420709,0.491355,0.650072,-0.392918,0.451345,0.619735,-0.385916,0.455474,0.677556
0.280000,-0.420636,0.491367,0.650128,-0.392887,0.451346,0.619779,-0.385882,0.455449,0.677582
0.290000,-0.420591,0.491363,0.650164,-0.391843,0.452347,0.619785,-0.385848,0.455429,0.677630
0.300000,-0.420549,0.491338,0.650213,-0.391820,0.452322,0.619837,-0.385788,0.455440,0.677668
0.310000,-0.420501,0.491341,0.650267,-0.391782,0.452325,0.619875,-0.385735,0.455436,0.677731
0.320000,-0.420456,0.491334,0.650320,-0.391737,0.452321,0.619927,-0.385717,0.455423,0.677759
0.330000,-0.420426,0.491323,0.650367,-0.391708,0.452308,0.619958,-0.385640,0.455416,0.677832
0.340000,-0.420381,0.491314,0.650419,-0.391681,0.452299,0.620007,-0.385598,0.455426,0.677888
0.350000,-0.420352,0.491314,0.650464,-0.391648,0.452301,0.620050,-0.385567,0.455433,0.677925
0.360000,-0.420326,0.491307,0.650498,-0.392764,0.451165,0.620175,-0.385546,0.455410,0.677964
0.370000,-0.420306,0.491298,0.650534,-0.391592,0.452317,0.620137,-0.385529,0.455401,0.678000
0.380000,-0.420281,0.491299,0.650584,-0.392734,0.451150,0.620241,-0.385530,0.455395,0.678038
0.390000,-0.420263,0.491279,0.650610,-0.392720,0.451152,0.620287,-0.385508,0.455403,0.678061
0.400000,-0.420264,0.491275,0.650643,-0.392697,0.451176,0.620310,-0.385506,0.455391,0.678098
0.410000,-0.420266,0.491276,0.650671,-0.392685,0.451168,0.620351,-0.385508,0.455387,0.678133
0.420000,-0.420259,0.491266,0.650701,-0.391591,0.452260,0.620334,-0.385508,0.455357,0.678167
0.430000,-0.420260,0.491268,0.650728,-0.391585,0.452270,0.620353,-0.385629,0.455239,0.678206
0.440000,-0.420267,0.491261,0.650748,-0.391584,0.452266,0.620369,-0.385520,0.455344,0.678202
0.450000,-0.420250,0.491271,0.650773,-0.391582,0.452283,0.620388,-0.385651,0.455236,0.678243
0.460000,-0.420267,0.491283,0.650791,-0.391594,0.452273,0.620406,-0.385614,0.455263,0.678264
0.470000,-0.420273,0.491276,0.650811,-0.391588,0.452293,0.620417,-0.385637,0.455258,0.678274
0.480000,-0.420296,0.491268,0.650820,-0.391617,0.452276,0.620424,-0.385652,0.455249,0.678285
0.490000,-0.420305,0.491270,0.650828,-0.391613,0.452286,0.620440,-0.385682,0.455211,0.678310
0.500000,-0.420321,0.491276,0.650831,-0.391624,0.452284,0.620441,-0.385679,0.455251,0.678299
0.510000,-0.420326,0.491288,0.650842,-0.391628,0.452297,0.620446,-0.385719,0.455207,0.678320
0.520000,-0.420338,0.491284,0.650837,-0.391645,0.452299,0.620456,-0.385703,0.455263,0.678303
