Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.436138,0.493086,0.628704,-0.407098,0.453625,0.599201,-0.396006,0.462242,0.656500
0.010000,-0.436137,0.493087,0.628701,-0.407092,0.453636,0.599193,-0.396011,0.462241,0.656482
0.020000,-0.436139,0.493098,0.628689,-0.407099,0.453639,0.599182,-0.396003,0.462248,0.656478
0.030000,-0.436125,0.493099,0.628676,-0.407096,0.453635,0.599175,-0.395995,0.462244,0.656469
0.040000,-0.436096,0.493087,0.628658,-0.407073,0.453641,0.599164,-0.395995,0.462244,0.656461
0.050000,-0.436086,0.493081,0.628642,-0.407073,0.453627,0.599158,-0.395983,0.462237,0.656453
0.060000,-0.436070,0.493066,0.628626,-0.407050,0.453626,0.599148,-0.395978,0.462214,0.656432
0.070000,-0.436065,0.493056,0.628628,-0.407045,0.453611,0.599147,-0.395970,0.462213,0.656437
0.080000,-0.436036,0.493052,0.628618,-0.407049,0.453588,0.599142,-0.395965,0.462186,0.656421
0.090000,-0.436021,0.493036,0.628609,-0.407020,0.453585,0.599150,-0.395941,0.462204,0.656436
0.100000,-0.436007,0.493017,0.628606,-0.407007,0.453565,0.599140,-0.395932,0.462172,0.656414
0.110000,-0.435984,0.493011,0.628599,-0.406983,0.453559,0.599132,-0.395907,0.462172,0.656429
0.120000,-0.435953,0.493006,0.628611,-0.406953,0.453552,0.599133,-0.395892,0.462159,0.656403
0.130000,-0.435931,0.492988,0.628599,-0.406941,0.453534,0.599132,-0.395867,0.462147,0.656419
0.140000,-0.435899,0.492982,0.628600,-0.406887,0.453546,0.599145,-0.395851,0.462133,0.656422
0.150000,-0.435862,0.492967,0.628604,-0.406884,0.453525,0.599146,-0.395814,0.462125,0.656429
0.160000,-0.435821,0.492956,0.628613,-0.406843,0.453519,0.599138,-0.395780,0.462113,0.656422
0.170000,-0.435788,0.492961,0.628613,-0.406838,0.453489,0.599151,-0.395716,0.462141,0.656452
0.180000,-0.435751,0.492943,0.628625,-0.406779,0.453510,0.599149,-0.396736,0.461673,0.655949
0.190000,-0.435708,0.492931,0.628618,-0.406754,0.453475,0.599156,-0.395676,0.462071,0.656428
0.200000,-0.435652,0.492920,0.628630,-0.406700,0.453475,0.599159,-0.396662,0.461648,0.655956
0.210000,-0.435590,0.492923,0.628631,-0.406664,0.453467,0.599160,-0.396623,0.461623,0.655959
0.220000,-0.435552,0.492909,0.628633,-0.406631,0.453446,0.599163,-0.396555,0.461642,0.655966
0.230000,-0.435491,0.492910,0.628641,-0.406585,0.453429,0.599168,-0.396504,0.461623,0.655979
0.240000,-0.435444,0.492897,0.628646,-0.406539,0.453391,0.599177,-0.396481,0.461600,0.655976
0.250000,-0.435402,0.492884,0.628645,-0.406506,0.453373,0.599175,-0.396419,0.461617,0.655978
0.260000,-0.435335,0.492863,0.628654,-0.406464,0.453370,0.599184,-0.396415,0.461562,0.655981
0.270000,-0.435292,0.492854,0.628652,-0.406389,0.453359,0.599175,-0.396398,0.461522,0.655995
0.280000,-0.435262,0.492846,0.628658,-0.406350,0.453338,0.599195,-0.396360,0.461526,0.655994
