Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.431959,0.487574,0.608464,-0.415877,0.440607,0.579584,-0.406440,0.445017,0.637619
0.010000,-0.431944,0.487551,0.608446,-0.415851,0.440597,0.579583,-0.406414,0.445013,0.637620
0.020000,-0.431925,0.487548,0.608443,-0.415816,0.440606,0.579580,-0.406396,0.445010,0.637598
0.030000,-0.431899,0.487524,0.608426,-0.415828,0.440569,0.579563,-0.406374,0.445001,0.637597
0.040000,-0.431863,0.487513,0.608418,-0.415796,0.440561,0.579559,-0.406337,0.444998,0.637594
0.050000,-0.431823,0.487514,0.608420,-0.415744,0.440574,0.579562,-0.406308,0.444982,0.637600
0.060000,-0.431792,0.487494,0.608412,-0.415723,0.440535,0.579566,-0.406269,0.444961,0.637595
0.070000,-0.431747,0.487478,0.608404,-0.415689,0.440515,0.579554,-0.406233,0.444922,0.637604
0.080000,-0.431694,0.487458,0.608412,-0.415646,0.440503,0.579570,-0.406192,0.444902,0.637608
0.090000,-0.431650,0.487452,0.608414,-0.415624,0.440484,0.579560,-0.406168,0.444887,0.637611
0.100000,-0.431621,0.487426,0.608416,-0.415619,0.440433,0.579562,-0.406125,0.444857,0.637619
0.110000,-0.431587,0.487413,0.608421,-0.415580,0.440421,0.579569,-0.406090,0.444822,0.637615
0.120000,-0.431547,0.487370,0.608413,-0.415572,0.440378,0.579572,-0.406064,0.444812,0.637634
0.130000,-0.431509,0.487346,0.608429,-0.415538,0.440354,0.579575,-0.406022,0.444792,0.637628
0.140000,-0.431486,0.487329,0.608429,-0.415506,0.440343,0.579571,-0.406006,0.444752,0.637623
0.150000,-0.431433,0.487340,0.608415,-0.415463,0.440354,0.579568,-0.405987,0.444747,0.637620
0.160000,-0.431434,0.487311,0.608408,-0.415467,0.440326,0.579572,-0.405974,0.444729,0.637620
0.170000,-0.431419,0.487313,0.608404,-0.415449,0.440328,0.579563,-0.405968,0.444710,0.637619
0.180000,-0.431416,0.487315,0.608405,-0.415459,0.440317,0.579559,-0.405951,0.444733,0.637613
0.190000,-0.431426,0.487312,0.608394,-0.415452,0.440329,0.579558,-0.405955,0.444741,0.637607
0.200000,-0.431418,0.487321,0.608381,-0.415461,0.440324,0.579544,-0.405948,0.444750,0.637594
0.210000,-0.431436,0.487321,0.608361,-0.415457,0.440336,0.579538,-0.405955,0.444751,0.637593
0.220000,-0.431439,0.487363,0.608353,-0.415477,0.440327,0.579527,-0.405959,0.444773,0.637572
0.230000,-0.431451,0.487360,0.608331,-0.415480,0.440329,0.579509,-0.405952,0.444779,0.637560
0.240000,-0.431452,0.487370,0.608320,-0.415512,0.440323,0.579503,-0.405958,0.444802,0.637548
0.250000,-0.431471,0.487375,0.608307,-0.415507,0.440343,0.579490,-0.405972,0.444798,0.637529
0.260000,-0.431484,0.487375,0.608283,-0.415533,0.440334,0.579476,-0.405976,0.444812,0.637515
0.270000,-0.431501,0.487380,0.608264,-0.415525,0.440352,0.579466,-0.405982,0.444829,0.637501
0.280000,-0.431526,0.487379,0.608238,-0.415533,0.440347,0.579453,-0.405989,0.444838,0.637487
0.290000,-0.431536,0.487371,0.608228,-0.415521,0.440368,0.579448,-0.406003,0.444850,0.637470
0.300000,-0.431538,0.487400,0.608220,-0.415552,0.440350,0.579437,-0.406002,0.444856,0.637463
0.310000,-0.431559,0.487383,0.608210,-0.415563,0.440351,0.579427,-0.406012,0.444857,0.637457
0.320000,-0.431557,0.487389,0.608198,-0.415552,0.440365,0.579421,-0.406014,0.444874,0.637453
