Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.428807,0.487756,0.604579,-0.414626,0.440228,0.575947,-0.404151,0.444616,0.633787
0.010000,-0.428795,0.487748,0.604573,-0.414681,0.440169,0.575912,-0.404145,0.444606,0.633783
0.020000,-0.428791,0.487744,0.604576,-0.414626,0.440197,0.575936,-0.404151,0.444594,0.633774
0.030000,-0.428781,0.487739,0.604565,-0.414632,0.440189,0.575938,-0.404134,0.444610,0.633786
0.040000,-0.428777,0.487729,0.604565,-0.414644,0.440161,0.575908,-0.404139,0.444593,0.633778
0.050000,-0.428776,0.487729,0.604565,-0.414637,0.440161,0.575906,-0.404145,0.444579,0.633782
0.060000,-0.428780,0.487741,0.604562,-0.414669,0.440129,0.575909,-0.404159,0.444581,0.633782
0.070000,-0.428795,0.487732,0.604555,-0.414653,0.440155,0.575914,-0.404165,0.444581,0.633782
0.080000,-0.428803,0.487734,0.604559,-0.414651,0.440163,0.575935,-0.404163,0.444583,0.633783
0.090000,-0.428821,0.487726,0.604555,-0.414671,0.440153,0.575913,-0.404174,0.444586,0.633784
0.100000,-0.428828,0.487730,0.604560,-0.414687,0.440145,0.575913,-0.404200,0.444599,0.633799
0.110000,-0.428831,0.487717,0.604560,-0.414686,0.440164,0.575915,-0.404201,0.444600,0.633805
0.120000,-0.428848,0.487735,0.604556,-0.414710,0.440138,0.575909,-0.404217,0.444596,0.633775
0.130000,-0.428864,0.487740,0.604553,-0.414709,0.440171,0.575904,-0.404229,0.444611,0.633782
0.140000,-0.428880,0.487741,0.604560,-0.414720,0.440183,0.575929,-0.404228,0.444620,0.633801
0.150000,-0.428886,0.487762,0.604569,-0.414717,0.440199,0.575906,-0.404229,0.444634,0.633799
0.160000,-0.428883,0.487769,0.604594,-0.414706,0.440223,0.575955,-0.404236,0.444634,0.633807
0.170000,-0.428884,0.487778,0.604603,-0.414710,0.440247,0.575957,-0.404231,0.444649,0.633819
0.180000,-0.428885,0.487801,0.604620,-0.414693,0.440265,0.575964,-0.404240,0.444645,0.633822
0.190000,-0.428887,0.487812,0.604614,-0.414707,0.440266,0.575966,-0.404235,0.444655,0.633823
0.200000,-0.428886,0.487818,0.604626,-0.414707,0.440266,0.575961,-0.404236,0.444647,0.633826
0.210000,-0.428885,0.487808,0.604611,-0.414707,0.440264,0.575962,-0.404234,0.444669,0.633824
0.220000,-0.428887,0.487795,0.604612,-0.414697,0.440268,0.575963,-0.404247,0.444660,0.633830
0.230000,-0.428882,0.487803,0.604624,-0.414696,0.440260,0.575973,-0.404245,0.444654,0.633839
0.240000,-0.428885,0.487785,0.604616,-0.414699,0.440253,0.575979,-0.404247,0.444643,0.633841
0.250000,-0.428874,0.487798,0.604627,-0.414713,0.440248,0.575980,-0.404267,0.444625,0.633842
0.260000,-0.428890,0.487791,0.604622,-0.414707,0.440248,0.575986,-0.404276,0.444621,0.633846
0.270000,-0.428903,0.487792,0.604617,-0.414741,0.440234,0.575978,-0.404305,0.444633,0.633837
0.280000,-0.428934,0.487793,0.604600,-0.414753,0.440243,0.575967,-0.404323,0.444628,0.633828
0.290000,-0.428952,0.487793,0.604594,-0.414772,0.440249,0.575953,-0.404338,0.444633,0.633813
0.300000,-0.428980,0.487794,0.604576,-0.414802,0.440244,0.575947,-0.404361,0.444637,0.633797
0.310000,-0.429008,0.487794,0.604573,-0.414825,0.440252,0.575934,-0.404378,0.444652,0.633787
0.320000,-0.429052,0.487776,0.604569,-0.414867,0.440245,0.575919,-0.404412,0.444655,0.633785
0.330000,-0.429074,0.487777,0.604556,-0.414883,0.440244,0.575916,-0.404424,0.444653,0.633776
0.340000,-0.429093,0.487773,0.604553,-0.414870,0.440272,0.575904,-0.404436,0.444656,0.633767
0.350000,-0.429099,0.487776,0.604540,-0.414926,0.440220,0.575873,-0.404447,0.444655,0.633753
0.360000,-0.429133,0.487761,0.604535,-0.414934,0.440264,0.575899,-0.404466,0.444644,0.633749
0.370000,-0.429167,0.487735,0.604529,-0.414949,0.440238,0.575902,-0.404473,0.444643,0.633758
0.380000,-0.429154,0.487746,0.604536,-0.414955,0.440238,0.575911,-0.404472,0.444641,0.633758
0.390000,-0.429151,0.487752,0.604554,-0.414912,0.440262,0.575920,-0.404485,0.444644,0.633768
0.400000,-0.429156,0.487746,0.604566,-0.414958,0.440229,0.575943,-0.404482,0.444646,0.633792
0.410000,-0.429155,0.487751,0.604587,-0.414930,0.440265,0.575960,-0.404470,0.444648,0.633811
0.420000,-0.429151,0.487751,0.604598,-0.414919,0.440264,0.575967,-0.404475,0.444650,0.633819
0.430000,-0.429108,0.487789,0.604619,-0.414925,0.440262,0.575996,-0.404465,0.444658,0.633837
0.440000,-0.429111,0.487786,0.604629,-0.414899,0.440279,0.575998,-0.404472,0.444653,0.633845
0.450000,-0.429100,0.487777,0.604636,-0.414884,0.440281,0.576010,-0.404445,0.444677,0.633870
0.460000,-0.429077,0.487797,0.604652,-0.414878,0.440288,0.576018,-0.404435,0.444673,0.633865
0.470000,-0.429060,0.487800,0.604660,-0.414862,0.440268,0.576016,-0.404416,0.444664,0.633883
0.480000,-0.429045,0.487797,0.604669,-0.414812,0.440281,0.576020,-0.404395,0.444670,0.633888
0.490000,-0.429013,0.487779,0.604667,-0.414781,0.440265,0.576024,-0.404361,0.444663,0.633891
0.500000,-0.428984,0.487773,0.604670,-0.414768,0.440243,0.576023,-0.404339,0.444642,0.633886
0.510000,-0.428967,0.487754,0.604670,-0.414729,0.440244,0.576026,-0.404298,0.444620,0.633891
0.520000,-0.428895,0.487758,0.604671,-0.414710,0.440219,0.576020,-0.404260,0.444604,0.633875
0.530000,-0.428859,0.487731,0.604658,-0.414680,0.440194,0.576016,-0.404223,0.444592,0.633877
0.540000,-0.428805,0.487712,0.604659,-0.414621,0.440167,0.576017,-0.404193,0.444566,0.633872
0.550000,-0.428765,0.487675,0.604650,-0.414584,0.440144,0.576021,-0.404135,0.444543,0.633855
0.560000,-0.428712,0.487651,0.604650,-0.414562,0.440101,0.576016,-0.404089,0.444518,0.633857
0.570000,-0.428646,0.487634,0.604661,-0.414505,0.440089,0.576017,-0.404043,0.444502,0.633856
0.580000,-0.428590,0.487601,0.604659,-0.414457,0.440072,0.576029,-0.403987,0.444457,0.633868
0.590000,-0.428533,0.487575,0.604668,-0.414395,0.440050,0.576028,-0.403950,0.444426,0.633871
0.600000,-0.428471,0.487548,0.604667,-0.414377,0.439998,0.575998,-0.403901,0.444406,0.633872
