Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.425884,0.489292,0.609269,-0.411342,0.441920,0.580385,-0.401465,0.446062,0.638404
0.010000,-0.425891,0.489301,0.609279,-0.411338,0.441923,0.580389,-0.401467,0.446071,0.638406
0.020000,-0.425871,0.489286,0.609275,-0.411340,0.441925,0.580394,-0.401456,0.446058,0.638410
0.030000,-0.425875,0.489291,0.609302,-0.411322,0.441930,0.580405,-0.401449,0.446067,0.638430
0.040000,-0.425843,0.489299,0.609322,-0.411306,0.441925,0.580412,-0.401416,0.446055,0.638432
0.050000,-0.425799,0.489285,0.609324,-0.411278,0.441931,0.580422,-0.401402,0.446036,0.638451
0.060000,-0.425765,0.489273,0.609336,-0.411255,0.441933,0.580443,-0.401386,0.446009,0.638458
0.070000,-0.425726,0.489267,0.609351,-0.411233,0.441917,0.580453,-0.401358,0.445998,0.638466
0.080000,-0.425694,0.489251,0.609372,-0.411191,0.441912,0.580462,-0.401323,0.445957,0.638485
0.090000,-0.425653,0.489236,0.609383,-0.411175,0.441891,0.580478,-0.401299,0.445947,0.638500
0.100000,-0.425621,0.489227,0.609389,-0.411148,0.441873,0.580474,-0.401277,0.445913,0.638512
0.110000,-0.425576,0.489226,0.609399,-0.411136,0.441846,0.580497,-0.401242,0.445907,0.638521
0.120000,-0.425536,0.489217,0.609404,-0.411087,0.441854,0.580501,-0.401228,0.445897,0.638527
0.130000,-0.425510,0.489205,0.609409,-0.411077,0.441840,0.580495,-0.401197,0.445877,0.638528
0.140000,-0.425482,0.489186,0.609399,-0.411062,0.441815,0.580495,-0.401175,0.445873,0.638525
0.150000,-0.425464,0.489188,0.609402,-0.411054,0.441816,0.580493,-0.401175,0.445848,0.638521
0.160000,-0.425454,0.489182,0.609388,-0.411023,0.441803,0.580486,-0.401157,0.445827,0.638506
0.170000,-0.425429,0.489182,0.609371,-0.411022,0.441798,0.580469,-0.401142,0.445839,0.638499
0.180000,-0.425417,0.489170,0.609350,-0.411022,0.441777,0.580458,-0.401125,0.445837,0.638475
0.190000,-0.425406,0.489165,0.609326,-0.411008,0.441773,0.580446,-0.401122,0.445826,0.638447
0.200000,-0.425392,0.489161,0.609305,-0.410991,0.441791,0.580420,-0.401104,0.445824,0.638426
0.210000,-0.425382,0.489163,0.609280,-0.410998,0.441772,0.580397,-0.401094,0.445823,0.638409
