Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.600884,0.026219,0.490975,0.581716,0.033313,0.437107,0.639021,0.025606,0.448276
0.010000,0.600888,0.026237,0.491011,0.581703,0.033300,0.437118,0.639013,0.025563,0.448274
0.020000,0.600890,0.026212,0.490995,0.581700,0.033300,0.437136,0.639027,0.025583,0.448300
0.030000,0.600872,0.026241,0.491025,0.581700,0.033300,0.437150,0.639012,0.025558,0.448290
0.040000,0.600884,0.026271,0.491053,0.581714,0.033310,0.437160,0.639015,0.025582,0.448330
0.050000,0.600885,0.026280,0.491060,0.581716,0.033304,0.437166,0.639030,0.025583,0.448330
0.060000,0.600890,0.026282,0.491074,0.581730,0.033306,0.437176,0.639049,0.025587,0.448344
0.070000,0.600888,0.026301,0.491080,0.581742,0.033315,0.437181,0.639052,0.025579,0.448352
0.080000,0.600904,0.026301,0.491094,0.581743,0.033301,0.437193,0.639052,0.025606,0.448387
0.090000,0.600910,0.026307,0.491109,0.581751,0.033312,0.437200,0.639069,0.025590,0.448395
0.100000,0.600914,0.026295,0.491106,0.581753,0.033315,0.437217,0.639068,0.025594,0.448402
0.110000,0.600931,0.026277,0.491119,0.581760,0.033315,0.437224,0.639076,0.025584,0.448426
0.120000,0.600922,0.026323,0.491136,0.581759,0.033320,0.437242,0.639089,0.025581,0.448440
0.130000,0.600918,0.026317,0.491152,0.581760,0.033324,0.437245,0.639084,0.025595,0.448447
0.140000,0.600911,0.026348,0.491160,0.581749,0.033321,0.437257,0.639077,0.025605,0.448464
0.150000,0.600913,0.026318,0.491176,0.581750,0.033340,0.437271,0.639081,0.025576,0.448448
0.160000,0.600903,0.026344,0.491186,0.581733,0.033357,0.437279,0.639059,0.025623,0.448470
0.170000,0.600902,0.026356,0.491186,0.581723,0.033345,0.437285,0.639065,0.025626,0.448476
0.180000,0.600900,0.026348,0.491168,0.581723,0.033357,0.437291,0.639057,0.025647,0.448468
0.190000,0.600885,0.026374,0.491180,0.581718,0.033369,0.437289,0.639049,0.025653,0.448458
0.200000,0.600894,0.026390,0.491183,0.581714,0.033372,0.437294,0.639054,0.025778,0.448498
0.210000,0.600884,0.026392,0.491186,0.581714,0.033390,0.437299,0.639030,0.025709,0.448476
0.220000,0.600871,0.026381,0.491173,0.581699,0.033386,0.437297,0.639014,0.025707,0.448475
0.230000,0.600873,0.026379,0.491188,0.581692,0.033376,0.437289,0.638996,0.025704,0.448473
0.240000,0.600859,0.026370,0.491193,0.581686,0.033373,0.437297,0.638996,0.025684,0.448475
