Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.222494,0.477340,0.666109,-0.201429,0.428708,0.642727,-0.200304,0.437363,0.701179
0.010000,-0.222545,0.477396,0.666105,-0.201458,0.428742,0.642739,-0.200337,0.437413,0.701192
0.020000,-0.222596,0.477422,0.666125,-0.201521,0.428787,0.642767,-0.200378,0.437442,0.701204
0.030000,-0.222638,0.477462,0.666159,-0.201539,0.428832,0.642790,-0.200403,0.437476,0.701232
0.040000,-0.222650,0.477506,0.666212,-0.201555,0.428874,0.642822,-0.200432,0.437507,0.701264
0.050000,-0.222688,0.477552,0.666241,-0.201572,0.428918,0.642855,-0.200445,0.437549,0.701302
0.060000,-0.222711,0.477579,0.666277,-0.201583,0.428965,0.642874,-0.200472,0.437572,0.701329
0.070000,-0.222726,0.477608,0.666292,-0.201606,0.428988,0.642904,-0.200495,0.437606,0.701334
0.080000,-0.222724,0.477621,0.666312,-0.201611,0.428993,0.642921,-0.200506,0.437622,0.701354
0.090000,-0.222736,0.477627,0.666326,-0.201627,0.428992,0.642936,-0.200516,0.437613,0.701369
0.100000,-0.222728,0.477587,0.666355,-0.201630,0.428990,0.642951,-0.200538,0.437601,0.701383
0.110000,-0.222732,0.477577,0.666366,-0.201638,0.428989,0.642967,-0.200545,0.437585,0.701397
0.120000,-0.222727,0.477573,0.666388,-0.201642,0.428976,0.642977,-0.200555,0.437560,0.701416
0.130000,-0.222733,0.477560,0.666400,-0.201658,0.428953,0.642983,-0.200564,0.437572,0.701453
0.140000,-0.222737,0.477548,0.666407,-0.201671,0.428938,0.642989,-0.200590,0.437544,0.701433
0.150000,-0.222753,0.477525,0.666405,-0.201695,0.428927,0.642988,-0.200597,0.437538,0.701453
0.160000,-0.222777,0.477513,0.666410,-0.201719,0.428913,0.642988,-0.200626,0.437520,0.701430
0.170000,-0.222811,0.477522,0.666386,-0.201745,0.428907,0.642975,-0.200643,0.437523,0.701438
0.180000,-0.222845,0.477504,0.666376,-0.201780,0.428895,0.642969,-0.200673,0.437515,0.701421
0.190000,-0.222885,0.477520,0.666364,-0.201822,0.428891,0.642956,-0.200700,0.437516,0.701420
0.200000,-0.222935,0.477547,0.666350,-0.201862,0.428900,0.642947,-0.200730,0.437517,0.701390
0.210000,-0.222974,0.477559,0.666334,-0.201899,0.428919,0.642934,-0.200759,0.437538,0.701388
0.220000,-0.223019,0.477583,0.666327,-0.201930,0.428944,0.642925,-0.200782,0.437558,0.701375
0.230000,-0.223054,0.477587,0.666321,-0.201965,0.428976,0.642920,-0.200811,0.437591,0.701360
0.240000,-0.223088,0.477631,0.666323,-0.201995,0.429023,0.642913,-0.200824,0.437645,0.701376
0.250000,-0.223118,0.477658,0.666327,-0.202012,0.429044,0.642922,-0.200842,0.437658,0.701383
0.260000,-0.223146,0.477677,0.666335,-0.202033,0.429073,0.642926,-0.200858,0.437679,0.701380
0.270000,-0.223153,0.477699,0.666345,-0.202036,0.429112,0.642929,-0.200869,0.437708,0.701396
0.280000,-0.223167,0.477708,0.666353,-0.202039,0.429116,0.642942,-0.200876,0.437721,0.701405
0.290000,-0.223161,0.477729,0.666353,-0.202040,0.429126,0.642947,-0.200875,0.437733,0.701407
0.300000,-0.223156,0.477737,0.666355,-0.202039,0.429135,0.642950,-0.200877,0.437753,0.701409
