Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.059894,0.049008,0.772288,-0.020801,0.006646,0.761392,-0.067867,0.001722,0.791993
0.010000,-0.059886,0.048932,0.772283,-0.020647,0.007361,0.761122,-0.067868,0.001699,0.791972
0.020000,-0.059886,0.048954,0.772260,-0.020663,0.007334,0.761098,-0.067880,0.001667,0.791938
0.030000,-0.059854,0.048906,0.772240,-0.020657,0.007333,0.761072,-0.067862,0.001667,0.791936
0.040000,-0.059838,0.048897,0.772234,-0.020626,0.007305,0.761042,-0.067895,0.001574,0.791897
0.050000,-0.059830,0.048885,0.772221,-0.020634,0.007287,0.761019,-0.067872,0.001585,0.791896
0.060000,-0.059795,0.048908,0.772199,-0.020765,0.006621,0.761197,-0.067804,0.001669,0.791898
0.070000,-0.059793,0.048887,0.772186,-0.020649,0.007257,0.760962,-0.067820,0.001657,0.791862
0.080000,-0.059818,0.048891,0.772125,-0.020766,0.006605,0.761155,-0.067822,0.001652,0.791831
0.090000,-0.059834,0.048858,0.772119,-0.020756,0.006642,0.761119,-0.067892,0.001543,0.791776
0.100000,-0.059830,0.048860,0.772099,-0.020754,0.006641,0.761105,-0.067849,0.001604,0.791772
0.110000,-0.059802,0.048909,0.772091,-0.020743,0.006653,0.761082,-0.067902,0.001528,0.791732
0.120000,-0.059817,0.048892,0.772075,-0.020744,0.006658,0.761071,-0.067890,0.001535,0.791727
0.130000,-0.059816,0.048913,0.772079,-0.020757,0.006647,0.761070,-0.067818,0.001648,0.791763
0.140000,-0.059814,0.048923,0.772088,-0.020731,0.006690,0.761058,-0.067872,0.001562,0.791745
0.150000,-0.059816,0.048907,0.772098,-0.020754,0.006678,0.761070,-0.067842,0.001633,0.791761
0.160000,-0.059819,0.048927,0.772097,-0.020755,0.006680,0.761089,-0.067824,0.001669,0.791804
0.170000,-0.059786,0.048952,0.772118,-0.020768,0.006676,0.761094,-0.067889,0.001579,0.791783
0.180000,-0.059784,0.048964,0.772113,-0.020773,0.006661,0.761095,-0.067840,0.001642,0.791810
0.190000,-0.059810,0.048925,0.772121,-0.020762,0.006675,0.761101,-0.067842,0.001663,0.791828
0.200000,-0.059784,0.048941,0.772145,-0.020780,0.006636,0.761102,-0.067852,0.001637,0.791827
0.210000,-0.059820,0.048922,0.772126,-0.020772,0.006654,0.761104,-0.067858,0.001646,0.791823
0.220000,-0.059772,0.048979,0.772160,-0.020773,0.006660,0.761107,-0.067829,0.001741,0.791849
0.230000,-0.059773,0.048984,0.772178,-0.020789,0.006659,0.761131,-0.067878,0.001648,0.791844
0.240000,-0.059815,0.048963,0.772150,-0.020773,0.006687,0.761142,-0.067856,0.001705,0.791872
0.250000,-0.059776,0.049003,0.772182,-0.020782,0.006702,0.761155,-0.067876,0.001711,0.791868
0.260000,-0.059801,0.048995,0.772151,-0.020780,0.006709,0.761162,-0.067941,0.001591,0.791833
0.270000,-0.059796,0.049009,0.772157,-0.020771,0.006733,0.761166,-0.067863,0.001730,0.791888
0.280000,-0.059744,0.049059,0.772192,-0.020735,0.006767,0.761162,-0.067889,0.001678,0.791867
0.290000,-0.059728,0.049056,0.772186,-0.020762,0.006712,0.761156,-0.067822,0.001795,0.791914
0.300000,-0.059731,0.049027,0.772170,-0.020760,0.006710,0.761139,-0.067847,0.001709,0.791878
0.310000,-0.059741,0.049000,0.772172,-0.020752,0.006717,0.761109,-0.067835,0.001760,0.791897
0.320000,-0.059716,0.049041,0.772148,-0.020762,0.006704,0.761100,-0.067863,0.001699,0.791865
0.330000,-0.059763,0.049015,0.772103,-0.020771,0.006714,0.761085,-0.067858,0.001728,0.791856
0.340000,-0.059774,0.049001,0.772099,-0.020805,0.006675,0.761077,-0.067906,0.001698,0.791820
