Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.062211,0.058384,0.778398,-0.033285,0.009486,0.762576,-0.076958,0.011243,0.800820
0.010000,-0.062210,0.058425,0.778393,-0.033289,0.009515,0.762571,-0.076948,0.011269,0.800825
0.020000,-0.062224,0.058449,0.778401,-0.033303,0.009537,0.762574,-0.076929,0.011360,0.800856
0.030000,-0.062249,0.058432,0.778417,-0.033314,0.009528,0.762584,-0.076967,0.011303,0.800866
0.040000,-0.062284,0.058416,0.778428,-0.033321,0.009547,0.762616,-0.076986,0.011310,0.800890
0.050000,-0.062307,0.058414,0.778454,-0.033356,0.009528,0.762653,-0.077051,0.011256,0.800897
0.060000,-0.062333,0.058416,0.778479,-0.033387,0.009530,0.762681,-0.077061,0.011279,0.800958
0.070000,-0.062359,0.058394,0.778491,-0.033405,0.009513,0.762707,-0.077080,0.011290,0.800969
0.080000,-0.062375,0.058385,0.778502,-0.033430,0.009502,0.762728,-0.077128,0.011234,0.800966
0.090000,-0.062375,0.058374,0.778505,-0.033433,0.009487,0.762723,-0.080027,0.005396,0.800191
0.100000,-0.062369,0.058348,0.778513,-0.033446,0.009437,0.762715,-0.077123,0.011212,0.800992
0.110000,-0.062366,0.058340,0.778503,-0.033442,0.009435,0.762701,-0.077098,0.011221,0.800996
0.120000,-0.062316,0.058374,0.778497,-0.033416,0.009434,0.762706,-0.079984,0.005358,0.800204
0.130000,-0.062314,0.058359,0.778498,-0.033414,0.009415,0.762700,-0.077063,0.011185,0.801002
0.140000,-0.062302,0.058344,0.778507,-0.033392,0.009427,0.762711,-0.079945,0.005344,0.800215
0.150000,-0.062270,0.058354,0.778522,-0.033387,0.009405,0.762717,-0.079943,0.005342,0.800216
0.160000,-0.062217,0.058386,0.778556,-0.033367,0.009414,0.762735,-0.079930,0.005350,0.800231
0.170000,-0.062248,0.058345,0.778522,-0.033336,0.009441,0.762740,-0.079899,0.005385,0.800231
0.180000,-0.062207,0.058376,0.778513,-0.033341,0.009407,0.762751,-0.079884,0.005357,0.800253
0.190000,-0.062250,0.057713,0.778915,-0.033334,0.009410,0.762744,-0.079875,0.005379,0.800243
0.200000,-0.062256,0.057675,0.778907,-0.033339,0.009393,0.762738,-0.079876,0.005361,0.800246
0.210000,-0.062244,0.057679,0.778907,-0.033320,0.009398,0.762757,-0.079876,0.005354,0.800246
0.220000,-0.062291,0.057619,0.778917,-0.033332,0.009369,0.762759,-0.079890,0.005331,0.800248
0.230000,-0.062294,0.057608,0.778907,-0.033327,0.009383,0.762760,-0.079905,0.005315,0.800257
0.240000,-0.062315,0.057584,0.778919,-0.033393,0.009321,0.762751,-0.079941,0.005293,0.800257
0.250000,-0.062241,0.058265,0.778567,-0.033421,0.009301,0.762768,-0.079983,0.005295,0.800266
0.260000,-0.062273,0.058260,0.778573,-0.033464,0.009268,0.762787,-0.080034,0.005246,0.800280
0.270000,-0.062339,0.058232,0.778535,-0.033505,0.009228,0.762816,-0.080069,0.005249,0.800286
0.280000,-0.062378,0.058215,0.778547,-0.033518,0.009244,0.762828,-0.080119,0.005225,0.800293
0.290000,-0.062414,0.058185,0.778550,-0.033565,0.009220,0.762844,-0.080159,0.005198,0.800291
0.300000,-0.062436,0.058180,0.778557,-0.033603,0.009193,0.762844,-0.080212,0.005207,0.800274
0.310000,-0.062509,0.058126,0.778564,-0.033651,0.009159,0.762853,-0.080249,0.005171,0.800289
0.320000,-0.062506,0.058153,0.778570,-0.033678,0.009136,0.762847,-0.080285,0.005179,0.800272
0.330000,-0.062533,0.058123,0.778560,-0.033706,0.009132,0.762847,-0.080307,0.005161,0.800266
0.340000,-0.062535,0.058109,0.778551,-0.033732,0.009075,0.762847,-0.080341,0.005133,0.800273
0.350000,-0.062610,0.058001,0.778564,-0.033748,0.009064,0.762847,-0.080358,0.005129,0.800266
0.360000,-0.062567,0.058061,0.778557,-0.033768,0.009025,0.762870,-0.080392,0.005103,0.800279
0.370000,-0.062574,0.058043,0.778558,-0.033872,0.008891,0.762900,-0.080418,0.005083,0.800281
