Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.622057,0.081974,0.413653,0.599502,0.100000,0.363617,0.657583,0.098060,0.371740
0.010000,0.622079,0.081981,0.413661,0.599525,0.100007,0.363623,0.657594,0.098087,0.371749
0.020000,0.622098,0.082030,0.413673,0.599544,0.100034,0.363625,0.657627,0.098162,0.371745
0.030000,0.622120,0.082075,0.413686,0.599569,0.100054,0.363629,0.657638,0.098205,0.371748
0.040000,0.622141,0.082113,0.413692,0.599592,0.100096,0.363630,0.657870,0.098429,0.371747
0.050000,0.622152,0.082189,0.413694,0.599608,0.100111,0.363618,0.657875,0.098447,0.371740
0.060000,0.622145,0.082222,0.413688,0.599610,0.100134,0.363605,0.657672,0.098289,0.371731
0.070000,0.622141,0.082236,0.413682,0.599605,0.100178,0.363596,0.657869,0.098506,0.371724
0.080000,0.622138,0.082248,0.413673,0.599573,0.100184,0.363586,0.657657,0.098323,0.371721
0.090000,0.622135,0.082288,0.413665,0.599570,0.100207,0.363577,0.657847,0.098564,0.371723
0.100000,0.622130,0.082324,0.413678,0.599573,0.100247,0.363580,0.657644,0.098381,0.371709
0.110000,0.622143,0.082378,0.413672,0.599571,0.100288,0.363574,0.657654,0.098430,0.371692
0.120000,0.622184,0.082399,0.413661,0.599588,0.100317,0.363572,0.657902,0.098640,0.371674
0.130000,0.622200,0.082454,0.413669,0.599608,0.100359,0.363577,0.657915,0.098674,0.371667
0.140000,0.622210,0.082506,0.413676,0.599611,0.100390,0.363585,0.657905,0.098718,0.371671
0.150000,0.622226,0.082550,0.413694,0.599630,0.100434,0.363610,0.657915,0.098756,0.371662
0.160000,0.622229,0.082570,0.413697,0.599615,0.100475,0.363639,0.657693,0.098604,0.371674
0.170000,0.622235,0.082601,0.413721,0.599610,0.100503,0.363655,0.657679,0.098652,0.371694
0.180000,0.622227,0.082637,0.413731,0.599595,0.100537,0.363686,0.657867,0.098898,0.371703
