Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.428418,0.494211,0.634450,-0.399366,0.454317,0.605464,-0.392127,0.460790,0.662863
0.010000,-0.428392,0.494212,0.634518,-0.399472,0.454240,0.605527,-0.392095,0.460789,0.662929
0.020000,-0.428370,0.494213,0.634580,-0.399451,0.454246,0.605592,-0.391949,0.460879,0.663040
0.030000,-0.428351,0.494211,0.634653,-0.399514,0.454142,0.605669,-0.391945,0.460850,0.663089
0.040000,-0.428321,0.494207,0.634717,-0.399501,0.454138,0.605733,-0.391907,0.460860,0.663150
0.050000,-0.428294,0.494197,0.634782,-0.399450,0.454155,0.605785,-0.391895,0.460847,0.663213
0.060000,-0.428262,0.494191,0.634840,-0.399445,0.454148,0.605834,-0.391861,0.460835,0.663269
0.070000,-0.428234,0.494194,0.634896,-0.399368,0.454178,0.605907,-0.391853,0.460823,0.663317
0.080000,-0.428205,0.494195,0.634959,-0.399328,0.454191,0.605965,-0.391860,0.460768,0.663384
0.090000,-0.428175,0.494197,0.635019,-0.399319,0.454169,0.606005,-0.391865,0.460724,0.663442
0.100000,-0.428155,0.494184,0.635070,-0.399249,0.454208,0.606069,-0.391836,0.460744,0.663506
0.110000,-0.428146,0.494171,0.635123,-0.399210,0.454208,0.606120,-0.391847,0.460698,0.663558
0.120000,-0.428122,0.494172,0.635176,-0.399194,0.454189,0.606173,-0.391847,0.460680,0.663609
0.130000,-0.428118,0.494156,0.635231,-0.399170,0.454173,0.606209,-0.391850,0.460658,0.663660
0.140000,-0.428106,0.494156,0.635290,-0.399136,0.454202,0.606269,-0.391836,0.460665,0.663714
0.150000,-0.428087,0.494147,0.635335,-0.399136,0.454187,0.606304,-0.391839,0.460633,0.663765
0.160000,-0.428092,0.494139,0.635382,-0.399130,0.454197,0.606350,-0.391837,0.460637,0.663822
0.170000,-0.428094,0.494140,0.635426,-0.399135,0.454179,0.606384,-0.391840,0.460638,0.663863
0.180000,-0.428102,0.494128,0.635460,-0.399208,0.454149,0.606452,-0.391862,0.460609,0.663894
0.190000,-0.428125,0.494115,0.635504,-0.399271,0.454089,0.606500,-0.391853,0.460644,0.663955
0.200000,-0.428143,0.494123,0.635537,-0.399265,0.454108,0.606546,-0.391872,0.460635,0.663997
0.210000,-0.428151,0.494115,0.635575,-0.399284,0.454110,0.606580,-0.391883,0.460656,0.664031
0.220000,-0.428161,0.494140,0.635628,-0.399298,0.454110,0.606617,-0.391894,0.460655,0.664078
0.230000,-0.428184,0.494127,0.635664,-0.399268,0.454170,0.606672,-0.391881,0.460681,0.664103
0.240000,-0.428206,0.494134,0.635694,-0.399309,0.454149,0.606697,-0.391904,0.460678,0.664149
0.250000,-0.428238,0.494142,0.635715,-0.399283,0.454199,0.606726,-0.391906,0.460701,0.664174
0.260000,-0.428273,0.494146,0.635727,-0.399307,0.454216,0.606739,-0.391924,0.460730,0.664199
0.270000,-0.428302,0.494151,0.635758,-0.399319,0.454233,0.606761,-0.391950,0.460741,0.664217
0.280000,-0.428321,0.494160,0.635796,-0.399369,0.454242,0.606792,-0.391947,0.460763,0.664244
0.290000,-0.428338,0.494182,0.635846,-0.399374,0.454293,0.606828,-0.391969,0.460753,0.664275
0.300000,-0.428344,0.494206,0.635885,-0.399391,0.454304,0.606862,-0.391955,0.460798,0.664304
0.310000,-0.428356,0.494221,0.635919,-0.399389,0.454332,0.606881,-0.391975,0.460796,0.664339
0.320000,-0.428366,0.494220,0.635934,-0.399418,0.454358,0.606904,-0.391968,0.460809,0.664344
0.330000,-0.428366,0.494215,0.635948,-0.399395,0.454369,0.606916,-0.391975,0.460802,0.664371
0.340000,-0.428352,0.494216,0.635960,-0.399391,0.454358,0.606927,-0.391955,0.460812,0.664386
0.350000,-0.428323,0.494217,0.635977,-0.399371,0.454316,0.606940,-0.391932,0.460807,0.664400
0.360000,-0.428285,0.494200,0.635987,-0.399356,0.454321,0.606962,-0.391937,0.460767,0.664401
0.370000,-0.428257,0.494202,0.636006,-0.399325,0.454274,0.606973,-0.391873,0.460795,0.664448
0.380000,-0.428238,0.494178,0.636014,-0.399311,0.454260,0.606989,-0.391856,0.460771,0.664459
0.390000,-0.428207,0.494171,0.636028,-0.399281,0.454243,0.607004,-0.391834,0.460763,0.664466
0.400000,-0.428204,0.494148,0.636033,-0.399278,0.454212,0.607020,-0.391829,0.460739,0.664481
0.410000,-0.428188,0.494123,0.636045,-0.399276,0.454185,0.607031,-0.391815,0.460728,0.664487
0.420000,-0.428182,0.494106,0.636054,-0.399246,0.454183,0.607042,-0.391827,0.460700,0.664504
0.430000,-0.428180,0.494081,0.636063,-0.399278,0.454134,0.607056,-0.391823,0.460683,0.664501
