Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.432385,0.494167,0.645992,-0.401806,0.455899,0.616578,-0.396875,0.459958,0.674384
0.010000,-0.432358,0.494160,0.646020,-0.401783,0.455889,0.616599,-0.396860,0.459939,0.674412
0.020000,-0.432312,0.494159,0.646057,-0.401755,0.455867,0.616627,-0.396782,0.459951,0.674451
0.030000,-0.432281,0.494144,0.646081,-0.401715,0.455876,0.616654,-0.396789,0.459934,0.674482
0.040000,-0.432243,0.494126,0.646116,-0.401671,0.455856,0.616669,-0.396731,0.459926,0.674508
0.050000,-0.432203,0.494117,0.646136,-0.401632,0.455849,0.616691,-0.396715,0.459911,0.674532
0.060000,-0.432159,0.494126,0.646164,-0.401617,0.455780,0.616741,-0.396671,0.459894,0.674557
0.070000,-0.432122,0.494119,0.646187,-0.401578,0.455784,0.616760,-0.396640,0.459889,0.674571
0.080000,-0.432099,0.494082,0.646210,-0.401553,0.455754,0.616769,-0.396606,0.459890,0.674578
0.090000,-0.432062,0.494063,0.646217,-0.401525,0.455745,0.616783,-0.396563,0.459853,0.674598
0.100000,-0.432029,0.494051,0.646227,-0.401506,0.455737,0.616795,-0.396541,0.459837,0.674609
0.110000,-0.432011,0.494043,0.646234,-0.401483,0.455732,0.616798,-0.396513,0.459835,0.674619
0.120000,-0.431987,0.494035,0.646230,-0.401417,0.455765,0.616805,-0.396474,0.459788,0.674631
0.130000,-0.431972,0.494026,0.646231,-0.401440,0.455715,0.616803,-0.396462,0.459795,0.674627
0.140000,-0.431965,0.494000,0.646236,-0.401396,0.455734,0.616803,-0.396457,0.459770,0.674620
0.150000,-0.431949,0.494011,0.646220,-0.401386,0.455728,0.616796,-0.396450,0.459762,0.674628
0.160000,-0.431923,0.494000,0.646221,-0.401373,0.455732,0.616794,-0.396425,0.459762,0.674611
0.170000,-0.431926,0.493992,0.646206,-0.401359,0.455730,0.616785,-0.396411,0.459767,0.674617
0.180000,-0.431908,0.493983,0.646215,-0.401342,0.455730,0.616788,-0.396371,0.459782,0.674621
0.190000,-0.431909,0.493956,0.646194,-0.401350,0.455714,0.616779,-0.396412,0.459743,0.674600
0.200000,-0.431901,0.493950,0.646193,-0.401340,0.455711,0.616778,-0.396378,0.459762,0.674614
0.210000,-0.431895,0.493956,0.646182,-0.401333,0.455707,0.616776,-0.396369,0.459777,0.674608
0.220000,-0.431906,0.493944,0.646176,-0.401342,0.455699,0.616777,-0.396429,0.459731,0.674590
0.230000,-0.431916,0.493942,0.646163,-0.401342,0.455703,0.616772,-0.396376,0.459773,0.674601
0.240000,-0.431922,0.493942,0.646158,-0.401356,0.455694,0.616771,-0.396439,0.459736,0.674585
0.250000,-0.431940,0.493957,0.646157,-0.401356,0.455701,0.616768,-0.396465,0.459728,0.674576
0.260000,-0.431958,0.493968,0.646160,-0.401359,0.455706,0.616769,-0.396465,0.459736,0.674579
0.270000,-0.431966,0.493957,0.646168,-0.401373,0.455705,0.616780,-0.396438,0.459768,0.674586
0.280000,-0.431984,0.493955,0.646165,-0.401388,0.455705,0.616780,-0.396448,0.459763,0.674580
0.290000,-0.431993,0.493964,0.646166,-0.401418,0.455682,0.616776,-0.396478,0.459756,0.674598
0.300000,-0.432022,0.493963,0.646164,-0.401390,0.455713,0.616775,-0.396476,0.459778,0.674579
0.310000,-0.432029,0.493950,0.646164,-0.401412,0.455707,0.616780,-0.396493,0.459780,0.674587
0.320000,-0.432042,0.493958,0.646184,-0.401461,0.455665,0.616784,-0.396497,0.459778,0.674605
0.330000,-0.432029,0.493974,0.646225,-0.401446,0.455703,0.616814,-0.396485,0.459844,0.674621
0.340000,-0.432025,0.493989,0.646272,-0.401441,0.455710,0.616840,-0.396469,0.459803,0.674658
0.350000,-0.432017,0.494001,0.646300,-0.401435,0.455719,0.616862,-0.396452,0.459809,0.674684
0.360000,-0.431989,0.494005,0.646328,-0.401419,0.455721,0.616885,-0.396445,0.459813,0.674718
0.370000,-0.431971,0.494002,0.646339,-0.401402,0.455720,0.616896,-0.396310,0.459926,0.674786
0.380000,-0.431944,0.494000,0.646346,-0.401338,0.455745,0.616918,-0.396381,0.459827,0.674754
0.390000,-0.431918,0.493979,0.646362,-0.401310,0.455752,0.616935,-0.396265,0.459917,0.674817
0.400000,-0.431886,0.493982,0.646376,-0.401303,0.455724,0.616950,-0.396257,0.459913,0.674831
0.410000,-0.431860,0.493962,0.646390,-0.401283,0.455716,0.616973,-0.396231,0.459899,0.674860
0.420000,-0.431814,0.493977,0.646410,-0.401252,0.455708,0.617002,-0.396215,0.459895,0.674873
0.430000,-0.431801,0.493955,0.646430,-0.401249,0.455686,0.617017,-0.396231,0.459823,0.674904
0.440000,-0.431792,0.493938,0.646441,-0.401279,0.455641,0.617025,-0.396239,0.459808,0.674920
0.450000,-0.431799,0.493934,0.646447,-0.401290,0.455614,0.617028,-0.396335,0.459712,0.674945
0.460000,-0.431804,0.493922,0.646447,-0.401311,0.455594,0.617046,-0.396260,0.459782,0.674931
0.470000,-0.431832,0.493904,0.646451,-0.402473,0.454473,0.617101,-0.396386,0.459665,0.674957
0.480000,-0.431857,0.493916,0.646466,-0.401370,0.455574,0.617046,-0.396375,0.459693,0.674970
0.490000,-0.431911,0.493899,0.646481,-0.401449,0.455543,0.617088,-0.396400,0.459702,0.674975
0.500000,-0.431946,0.493902,0.646501,-0.401485,0.455539,0.617100,-0.396464,0.459669,0.674979
0.510000,-0.431991,0.493907,0.646526,-0.401524,0.455547,0.617101,-0.396464,0.459701,0.674993
0.520000,-0.432031,0.493906,0.646531,-0.401565,0.455556,0.617110,-0.396519,0.459690,0.675003
0.530000,-0.432082,0.493917,0.646536,-0.401593,0.455561,0.617128,-0.396531,0.459728,0.675005
0.540000,-0.432129,0.493933,0.646560,-0.401632,0.455566,0.617129,-0.396590,0.459737,0.675014
0.550000,-0.432200,0.493931,0.646599,-0.401654,0.455595,0.617147,-0.396592,0.459779,0.675043
0.560000,-0.432252,0.493949,0.646625,-0.401694,0.455607,0.617180,-0.396617,0.459807,0.675063
0.570000,-0.432279,0.493961,0.646665,-0.401694,0.455647,0.617237,-0.396634,0.459836,0.675097
0.580000,-0.432302,0.493976,0.646701,-0.401734,0.455645,0.617256,-0.396658,0.459832,0.675136
0.590000,-0.432321,0.493978,0.646728,-0.401735,0.455669,0.617281,-0.396659,0.459905,0.675166
0.600000,-0.432341,0.494007,0.646759,-0.401740,0.455693,0.617307,-0.396689,0.459920,0.675182
0.610000,-0.432353,0.494007,0.646773,-0.401750,0.455696,0.617335,-0.396695,0.459936,0.675207
0.620000,-0.432352,0.494010,0.646808,-0.401729,0.455708,0.617369,-0.396742,0.459870,0.675250
0.630000,-0.432351,0.494012,0.646832,-0.401709,0.455730,0.617400,-0.396724,0.459825,0.675282
0.640000,-0.432345,0.494008,0.646852,-0.401724,0.455713,0.617417,-0.396738,0.459803,0.675294
0.650000,-0.432354,0.493996,0.646872,-0.401718,0.455709,0.617439,-0.396717,0.459816,0.675309
0.660000,-0.432354,0.493977,0.646891,-0.401710,0.455710,0.617458,-0.396705,0.459813,0.675324
0.670000,-0.432335,0.493974,0.646909,-0.401697,0.455697,0.617467,-0.396687,0.459812,0.675364
0.680000,-0.432310,0.493973,0.646923,-0.401687,0.455687,0.617476,-0.396672,0.459783,0.675370
