Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.418711,0.501499,0.637245,-0.393122,0.460265,0.606809,-0.383701,0.465306,0.664161
0.010000,-0.418664,0.501485,0.637253,-0.393081,0.460259,0.606801,-0.383646,0.465277,0.664155
0.020000,-0.418604,0.501468,0.637261,-0.393043,0.460221,0.606802,-0.383607,0.465241,0.664161
0.030000,-0.418532,0.501446,0.637271,-0.392980,0.460214,0.606808,-0.382600,0.465480,0.664627
0.040000,-0.418475,0.501439,0.637274,-0.392941,0.460187,0.606806,-0.382552,0.465438,0.664626
0.050000,-0.418414,0.501410,0.637268,-0.392922,0.460120,0.606787,-0.382485,0.465425,0.664632
0.060000,-0.418375,0.501371,0.637265,-0.392881,0.460096,0.606783,-0.382455,0.465386,0.664637
0.070000,-0.418314,0.501355,0.637258,-0.392857,0.460069,0.606768,-0.382405,0.465341,0.664610
0.080000,-0.418262,0.501308,0.637249,-0.392699,0.460092,0.606755,-0.382360,0.465314,0.664592
0.090000,-0.418233,0.501291,0.637241,-0.392674,0.460056,0.606747,-0.383201,0.465003,0.664139
0.100000,-0.418189,0.501274,0.637237,-0.392653,0.460035,0.606738,-0.382307,0.465222,0.664574
0.110000,-0.418182,0.501246,0.637225,-0.392627,0.459999,0.606730,-0.383150,0.464970,0.664117
0.120000,-0.418138,0.501265,0.637215,-0.392664,0.459933,0.606693,-0.383128,0.464959,0.664111
0.130000,-0.418119,0.501251,0.637209,-0.392593,0.459969,0.606718,-0.383114,0.464935,0.664105
0.140000,-0.418102,0.501239,0.637210,-0.392589,0.459955,0.606703,-0.383090,0.464945,0.664110
0.150000,-0.418088,0.501256,0.637218,-0.392557,0.459981,0.606717,-0.383091,0.464932,0.664115
0.160000,-0.418074,0.501253,0.637228,-0.392570,0.459965,0.606726,-0.383080,0.464943,0.664113
0.170000,-0.418078,0.501261,0.637231,-0.392537,0.459998,0.606727,-0.383065,0.464961,0.664115
0.180000,-0.418062,0.501284,0.637229,-0.392545,0.460002,0.606724,-0.383067,0.464969,0.664124
0.190000,-0.418061,0.501284,0.637231,-0.392542,0.459991,0.606722,-0.383076,0.464958,0.664106
0.200000,-0.418060,0.501293,0.637230,-0.392557,0.459994,0.606731,-0.383056,0.464995,0.664122
0.210000,-0.418071,0.501321,0.637231,-0.392541,0.460050,0.606730,-0.383041,0.465033,0.664122
0.220000,-0.418103,0.501337,0.637229,-0.392543,0.460098,0.606732,-0.383083,0.465040,0.664117
0.230000,-0.418131,0.501364,0.637226,-0.392555,0.460141,0.606725,-0.383053,0.465113,0.664116
0.240000,-0.418145,0.501375,0.637216,-0.392581,0.460150,0.606712,-0.383113,0.465106,0.664096
0.250000,-0.418176,0.501396,0.637214,-0.392584,0.460185,0.606721,-0.383108,0.465157,0.664109
0.260000,-0.418212,0.501434,0.637202,-0.392590,0.460231,0.606724,-0.382265,0.465469,0.664556
0.270000,-0.418279,0.501471,0.637209,-0.392619,0.460268,0.606720,-0.382301,0.465531,0.664569
0.280000,-0.418347,0.501464,0.637212,-0.392666,0.460295,0.606731,-0.382369,0.465543,0.664564
0.290000,-0.418387,0.501493,0.637215,-0.392817,0.460236,0.606743,-0.382407,0.465566,0.664568
0.300000,-0.418438,0.501500,0.637223,-0.392827,0.460263,0.606754,-0.382435,0.465597,0.664597
0.310000,-0.418469,0.501511,0.637230,-0.392831,0.460303,0.606786,-0.383405,0.465363,0.664147
0.320000,-0.418506,0.501526,0.637247,-0.392846,0.460335,0.606792,-0.383439,0.465395,0.664155
0.330000,-0.418553,0.501547,0.637264,-0.392864,0.460386,0.606823,-0.383467,0.465429,0.664174
0.340000,-0.418601,0.501565,0.637296,-0.392900,0.460408,0.606846,-0.383516,0.465453,0.664190
0.350000,-0.418632,0.501587,0.637315,-0.392930,0.460430,0.606854,-0.383543,0.465480,0.664203
0.360000,-0.418659,0.501615,0.637336,-0.392921,0.460476,0.606882,-0.383559,0.465487,0.664218
0.370000,-0.418674,0.501625,0.637346,-0.392943,0.460497,0.606891,-0.383596,0.465497,0.664234
0.380000,-0.418690,0.501632,0.637355,-0.392947,0.460510,0.606895,-0.383583,0.465533,0.664249
0.390000,-0.418702,0.501668,0.637366,-0.392946,0.460536,0.606900,-0.383580,0.465575,0.664240
0.400000,-0.418721,0.501679,0.637365,-0.392947,0.460569,0.606906,-0.383622,0.465568,0.664255
0.410000,-0.418736,0.501691,0.637367,-0.392994,0.460556,0.606893,-0.383623,0.465587,0.664243
0.420000,-0.418738,0.501689,0.637371,-0.392990,0.460570,0.606897,-0.383623,0.465592,0.664243
0.430000,-0.418742,0.501677,0.637358,-0.392970,0.460596,0.606892,-0.383622,0.465590,0.664240
0.440000,-0.418735,0.501692,0.637346,-0.392983,0.460570,0.606878,-0.383622,0.465592,0.664230
0.450000,-0.418732,0.501669,0.637328,-0.392979,0.460564,0.606868,-0.383593,0.465609,0.664221
0.460000,-0.418734,0.501664,0.637308,-0.392977,0.460543,0.606852,-0.383581,0.465599,0.664198
0.470000,-0.418707,0.501666,0.637295,-0.392944,0.460550,0.606841,-0.383586,0.465582,0.664182
0.480000,-0.418695,0.501652,0.637263,-0.392957,0.460514,0.606816,-0.383585,0.465545,0.664171
0.490000,-0.418680,0.501628,0.637243,-0.392950,0.460506,0.606801,-0.383574,0.465532,0.664139
0.500000,-0.418666,0.501618,0.637218,-0.392945,0.460479,0.606769,-0.382608,0.465864,0.664595
0.510000,-0.418655,0.501609,0.637203,-0.392945,0.460466,0.606748,-0.383544,0.465525,0.664088
0.520000,-0.418659,0.501614,0.637179,-0.392951,0.460473,0.606732,-0.383543,0.465522,0.664072
0.530000,-0.418677,0.501596,0.637149,-0.392972,0.460452,0.606713,-0.383541,0.465518,0.664038
0.540000,-0.418678,0.501591,0.637125,-0.393058,0.460363,0.606643,-0.382622,0.465831,0.664487
0.550000,-0.418707,0.501590,0.637106,-0.393022,0.460413,0.606663,-0.383560,0.465528,0.663996
0.560000,-0.418734,0.501585,0.637091,-0.393071,0.460386,0.606623,-0.383554,0.465552,0.663984
0.570000,-0.418747,0.501604,0.637084,-0.392938,0.460560,0.606615,-0.382661,0.465862,0.664444
0.580000,-0.418783,0.501603,0.637083,-0.393145,0.460403,0.606616,-0.383600,0.465573,0.663967
0.590000,-0.418824,0.501615,0.637084,-0.393119,0.460474,0.606626,-0.382709,0.465884,0.664429
0.600000,-0.418861,0.501624,0.637080,-0.393156,0.460486,0.606624,-0.382732,0.465918,0.664429
0.610000,-0.418886,0.501659,0.637080,-0.393166,0.460522,0.606635,-0.383715,0.465618,0.663969
0.620000,-0.418937,0.501667,0.637092,-0.393195,0.460539,0.606640,-0.382787,0.465970,0.664440
0.630000,-0.418960,0.501680,0.637111,-0.393205,0.460572,0.606662,-0.382808,0.465988,0.664457
0.640000,-0.418964,0.501713,0.637148,-0.393216,0.460616,0.606679,-0.382828,0.466011,0.664501
0.650000,-0.418981,0.501732,0.637190,-0.393253,0.460646,0.606724,-0.382827,0.466026,0.664532
0.660000,-0.418996,0.501771,0.637220,-0.393236,0.460712,0.606756,-0.382859,0.466053,0.664552
0.670000,-0.419009,0.501798,0.637235,-0.393248,0.460738,0.606779,-0.382870,0.466079,0.664583
0.680000,-0.419021,0.501816,0.637240,-0.393270,0.460746,0.606787,-0.382883,0.466103,0.664599
0.690000,-0.419036,0.501832,0.637240,-0.393268,0.460767,0.606801,-0.382915,0.466116,0.664599
