Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.332907,0.482363,0.568692,-0.316589,0.438104,0.538925,-0.317488,0.433045,0.598344
0.010000,-0.332909,0.482354,0.568722,-0.316574,0.438087,0.538957,-0.317488,0.433038,0.598369
0.020000,-0.332914,0.482307,0.568774,-0.316566,0.438096,0.538993,-0.317486,0.433022,0.598404
0.030000,-0.332907,0.482304,0.568799,-0.316558,0.438080,0.539023,-0.317496,0.433015,0.598438
0.040000,-0.332899,0.482293,0.568830,-0.316544,0.438092,0.539056,-0.317485,0.433006,0.598457
0.050000,-0.332903,0.482283,0.568869,-0.316540,0.438097,0.539080,-0.317487,0.433020,0.598509
0.060000,-0.332891,0.482287,0.568906,-0.316547,0.438085,0.539112,-0.317498,0.432995,0.598525
0.070000,-0.332892,0.482277,0.568942,-0.316552,0.438074,0.539145,-0.317505,0.433001,0.598562
0.080000,-0.332903,0.482279,0.568984,-0.316548,0.438093,0.539182,-0.317516,0.432993,0.598578
0.090000,-0.332912,0.482271,0.569017,-0.316556,0.438106,0.539204,-0.317524,0.433001,0.598611
0.100000,-0.332921,0.482290,0.569040,-0.316577,0.438099,0.539232,-0.317525,0.433002,0.598635
0.110000,-0.332929,0.482315,0.569080,-0.316582,0.438114,0.539256,-0.317565,0.432988,0.598667
0.120000,-0.332938,0.482322,0.569112,-0.316597,0.438121,0.539276,-0.317579,0.432996,0.598682
0.130000,-0.332960,0.482344,0.569143,-0.316606,0.438140,0.539301,-0.317582,0.433007,0.598716
0.140000,-0.332969,0.482355,0.569177,-0.316619,0.438156,0.539320,-0.317609,0.433015,0.598735
0.150000,-0.332997,0.482362,0.569187,-0.316639,0.438155,0.539347,-0.317663,0.433024,0.598772
0.160000,-0.333023,0.482362,0.569208,-0.316658,0.438167,0.539368,-0.317686,0.433027,0.598783
0.170000,-0.333050,0.482385,0.569231,-0.316668,0.438181,0.539388,-0.317712,0.433037,0.598809
0.180000,-0.333059,0.482407,0.569265,-0.316702,0.438188,0.539406,-0.317746,0.433046,0.598827
0.190000,-0.333092,0.482415,0.569288,-0.316725,0.438210,0.539424,-0.317760,0.433063,0.598852
0.200000,-0.333127,0.482439,0.569299,-0.316774,0.438202,0.539468,-0.317804,0.433071,0.598869
0.210000,-0.333147,0.482454,0.569320,-0.316804,0.438230,0.539478,-0.317819,0.433088,0.598886
0.220000,-0.333170,0.482471,0.569335,-0.316832,0.438229,0.539495,-0.317859,0.433095,0.598895
0.230000,-0.333204,0.482501,0.569356,-0.316856,0.438271,0.539520,-0.317877,0.433108,0.598918
0.240000,-0.333226,0.482528,0.569381,-0.316880,0.438286,0.539550,-0.317878,0.433133,0.598950
0.250000,-0.333257,0.482553,0.569427,-0.316893,0.438324,0.539576,-0.317910,0.433153,0.598980
0.260000,-0.333294,0.482552,0.569467,-0.316913,0.438355,0.539612,-0.317939,0.433174,0.599016
0.270000,-0.333317,0.482577,0.569512,-0.316915,0.438382,0.539639,-0.317948,0.433201,0.599055
0.280000,-0.333330,0.482580,0.569552,-0.316925,0.438398,0.539677,-0.317978,0.433187,0.599088
0.290000,-0.333362,0.482567,0.569592,-0.316916,0.438417,0.539713,-0.317990,0.433200,0.599134
0.300000,-0.333364,0.482576,0.569603,-0.316917,0.438420,0.539743,-0.317990,0.433212,0.599156
0.310000,-0.333378,0.482576,0.569644,-0.316932,0.438421,0.539769,-0.318015,0.433206,0.599189
0.320000,-0.333391,0.482564,0.569670,-0.316931,0.438422,0.539786,-0.318020,0.433204,0.599205
0.330000,-0.333400,0.482569,0.569678,-0.316947,0.438410,0.539802,-0.318027,0.433219,0.599236
0.340000,-0.333409,0.482566,0.569689,-0.316948,0.438414,0.539808,-0.318047,0.433195,0.599217
0.350000,-0.333429,0.482562,0.569676,-0.316966,0.438425,0.539814,-0.318069,0.433192,0.599232
0.360000,-0.333437,0.482559,0.569682,-0.316982,0.438408,0.539805,-0.318087,0.433191,0.599235
0.370000,-0.333454,0.482561,0.569674,-0.317015,0.438409,0.539799,-0.318092,0.433185,0.599210
0.380000,-0.333486,0.482557,0.569660,-0.317032,0.438409,0.539782,-0.318118,0.433187,0.599202
0.390000,-0.333506,0.482563,0.569643,-0.317072,0.438396,0.539762,-0.318137,0.433197,0.599191
0.400000,-0.333547,0.482550,0.569620,-0.317086,0.438401,0.539756,-0.318172,0.433182,0.599157
0.410000,-0.333575,0.482567,0.569604,-0.317133,0.438401,0.539729,-0.318189,0.433186,0.599148
0.420000,-0.333617,0.482568,0.569592,-0.317163,0.438422,0.539710,-0.318211,0.433204,0.599127
0.430000,-0.333648,0.482578,0.569584,-0.317196,0.438430,0.539694,-0.318245,0.433220,0.599133
0.440000,-0.333676,0.482597,0.569579,-0.317219,0.438453,0.539693,-0.318283,0.433216,0.599106
0.450000,-0.333710,0.482605,0.569572,-0.317256,0.438450,0.539694,-0.318323,0.433259,0.599116
0.460000,-0.333743,0.482641,0.569573,-0.317292,0.438459,0.539678,-0.318351,0.433277,0.599105
0.470000,-0.333774,0.482659,0.569551,-0.317310,0.438491,0.539674,-0.318377,0.433299,0.599095
0.480000,-0.333801,0.482681,0.569562,-0.317336,0.438515,0.539666,-0.318397,0.433327,0.599088
0.490000,-0.333845,0.482678,0.569550,-0.317367,0.438528,0.539667,-0.318417,0.433350,0.599101
0.500000,-0.333889,0.482689,0.569561,-0.317376,0.438559,0.539674,-0.318455,0.433361,0.599088
0.510000,-0.333914,0.482713,0.569564,-0.317390,0.438579,0.539680,-0.318457,0.433394,0.599106
0.520000,-0.333913,0.482738,0.569572,-0.317412,0.438587,0.539675,-0.318468,0.433417,0.599112
0.530000,-0.333938,0.482745,0.569565,-0.317420,0.438604,0.539674,-0.318500,0.433397,0.599097
0.540000,-0.333948,0.482756,0.569568,-0.317417,0.438616,0.539673,-0.318496,0.433421,0.599097
0.550000,-0.333998,0.482715,0.569544,-0.317421,0.438618,0.539659,-0.318500,0.433428,0.599102
0.560000,-0.333946,0.482754,0.569538,-0.317408,0.438617,0.539662,-0.318497,0.433428,0.599080
0.570000,-0.333933,0.482746,0.569524,-0.317397,0.438613,0.539658,-0.318466,0.433431,0.599081
0.580000,-0.333907,0.482745,0.569514,-0.317380,0.438600,0.539645,-0.318460,0.433412,0.599064
0.590000,-0.333859,0.482741,0.569512,-0.317361,0.438588,0.539643,-0.318425,0.433396,0.599069
0.600000,-0.333817,0.482740,0.569521,-0.317337,0.438580,0.539640,-0.318409,0.433386,0.599060
0.610000,-0.333782,0.482717,0.569520,-0.317306,0.438565,0.539633,-0.318366,0.433371,0.599070
0.620000,-0.333748,0.482700,0.569514,-0.317272,0.438541,0.539636,-0.318336,0.433340,0.599058
0.630000,-0.333708,0.482689,0.569508,-0.317239,0.438508,0.539628,-0.318311,0.433317,0.599046
0.640000,-0.333671,0.482644,0.569513,-0.317211,0.438484,0.539625,-0.318283,0.433282,0.599039
0.650000,-0.333616,0.482649,0.569504,-0.317169,0.438472,0.539627,-0.318220,0.433258,0.599043
0.660000,-0.333586,0.482619,0.569515,-0.317139,0.438443,0.539628,-0.318210,0.433218,0.599030
