Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.340528,0.467587,0.456511,-0.330459,0.420563,0.428815,-0.335185,0.420268,0.488496
0.010000,-0.340488,0.467602,0.456489,-0.330414,0.420566,0.428821,-0.335154,0.420300,0.488497
0.020000,-0.340454,0.467595,0.456479,-0.330366,0.420581,0.428812,-0.335137,0.420286,0.488494
0.030000,-0.340422,0.467594,0.456478,-0.330337,0.420574,0.428806,-0.335115,0.420293,0.488485
0.040000,-0.340405,0.467593,0.456477,-0.330311,0.420575,0.428810,-0.335094,0.420294,0.488495
0.050000,-0.340392,0.467605,0.456474,-0.330296,0.420582,0.428812,-0.335071,0.420310,0.488499
0.060000,-0.340380,0.467604,0.456471,-0.330279,0.420600,0.428807,-0.335068,0.420337,0.488500
0.070000,-0.340383,0.467626,0.456458,-0.330282,0.420603,0.428805,-0.335052,0.420352,0.488486
0.080000,-0.340381,0.467638,0.456449,-0.330278,0.420619,0.428791,-0.335049,0.420362,0.488473
0.090000,-0.340391,0.467657,0.456441,-0.330266,0.420631,0.428781,-0.335044,0.420368,0.488463
0.100000,-0.340387,0.467646,0.456425,-0.330280,0.420636,0.428763,-0.335034,0.420394,0.488450
0.110000,-0.340399,0.467663,0.456418,-0.330285,0.420637,0.428761,-0.335030,0.420379,0.488434
0.120000,-0.340405,0.467661,0.456401,-0.330299,0.420651,0.428731,-0.335026,0.420409,0.488428
0.130000,-0.340413,0.467686,0.456385,-0.330296,0.420653,0.428726,-0.335033,0.420393,0.488412
0.140000,-0.340423,0.467687,0.456387,-0.330294,0.420661,0.428720,-0.335044,0.420417,0.488396
0.150000,-0.340428,0.467712,0.456388,-0.330303,0.420694,0.428716,-0.335032,0.420422,0.488408
0.160000,-0.340428,0.467726,0.456397,-0.330302,0.420712,0.428721,-0.335037,0.420437,0.488411
0.170000,-0.340435,0.467721,0.456410,-0.330311,0.420730,0.428729,-0.335018,0.420439,0.488418
0.180000,-0.340440,0.467734,0.456432,-0.330316,0.420725,0.428738,-0.335031,0.420438,0.488429
0.190000,-0.340440,0.467737,0.456451,-0.330321,0.420722,0.428764,-0.335041,0.420425,0.488439
0.200000,-0.340445,0.467734,0.456473,-0.330335,0.420714,0.428781,-0.335049,0.420426,0.488457
0.210000,-0.340446,0.467724,0.456497,-0.330342,0.420721,0.428798,-0.335066,0.420420,0.488476
0.220000,-0.340470,0.467714,0.456525,-0.330111,0.421157,0.429061,-0.335075,0.420416,0.488503
0.230000,-0.340482,0.467719,0.456572,-0.330382,0.420696,0.428840,-0.335095,0.420408,0.488532
0.240000,-0.340506,0.467710,0.456596,-0.330153,0.421151,0.429108,-0.335127,0.420383,0.488543
0.250000,-0.340518,0.467710,0.456628,-0.330425,0.420696,0.428887,-0.335143,0.420384,0.488570
0.260000,-0.340554,0.467697,0.456654,-0.330217,0.421135,0.429176,-0.335184,0.420399,0.488604
0.270000,-0.340586,0.467699,0.456701,-0.330240,0.421158,0.429203,-0.335222,0.420382,0.488619
0.280000,-0.340636,0.467706,0.456715,-0.330276,0.421148,0.429233,-0.335265,0.420361,0.488639
0.290000,-0.340680,0.467723,0.456737,-0.330312,0.421165,0.429251,-0.335307,0.420375,0.488669
0.300000,-0.340734,0.467721,0.456785,-0.330377,0.421149,0.429278,-0.335348,0.420382,0.488688
0.310000,-0.340784,0.467734,0.456782,-0.330421,0.421163,0.429300,-0.335399,0.420365,0.488704
0.320000,-0.340828,0.467757,0.456810,-0.330474,0.421176,0.429322,-0.335447,0.420393,0.488726
0.330000,-0.340917,0.467746,0.456872,-0.330513,0.421206,0.429337,-0.335506,0.420399,0.488732
0.340000,-0.340966,0.467759,0.456886,-0.330572,0.421220,0.429353,-0.335556,0.420428,0.488756
0.350000,-0.341018,0.467780,0.456903,-0.330618,0.421229,0.429368,-0.335598,0.420428,0.488767
0.360000,-0.341067,0.467784,0.456911,-0.330668,0.421255,0.429381,-0.335655,0.420455,0.488774
0.370000,-0.341121,0.467785,0.456928,-0.330757,0.421262,0.429401,-0.335712,0.420478,0.488808
0.380000,-0.341174,0.467788,0.456944,-0.330809,0.421266,0.429430,-0.335743,0.420473,0.488814
0.390000,-0.341234,0.467803,0.456984,-0.330860,0.421296,0.429448,-0.335787,0.420475,0.488849
0.400000,-0.341280,0.467818,0.457020,-0.330899,0.421308,0.429476,-0.335833,0.420473,0.488875
0.410000,-0.341341,0.467804,0.457059,-0.330934,0.421337,0.429531,-0.335882,0.420485,0.488906
0.420000,-0.341387,0.467828,0.457105,-0.330973,0.421345,0.429565,-0.335918,0.420491,0.488934
0.430000,-0.341458,0.467851,0.457152,-0.331029,0.421372,0.429620,-0.335959,0.420516,0.488979
0.440000,-0.341499,0.467882,0.457197,-0.331035,0.421398,0.429646,-0.335981,0.420527,0.489008
0.450000,-0.341549,0.467915,0.457230,-0.331047,0.421432,0.429672,-0.336016,0.420538,0.489038
0.460000,-0.341569,0.467931,0.457262,-0.331086,0.421444,0.429689,-0.336027,0.420584,0.489072
0.470000,-0.341598,0.467945,0.457273,-0.331092,0.421480,0.429712,-0.336048,0.420579,0.489079
0.480000,-0.341604,0.467949,0.457269,-0.331105,0.421482,0.429711,-0.336051,0.420593,0.489078
0.490000,-0.341623,0.467985,0.457271,-0.331101,0.421502,0.429719,-0.336065,0.420603,0.489074
0.500000,-0.341631,0.468007,0.457262,-0.331115,0.421525,0.429705,-0.336064,0.420638,0.489072
0.510000,-0.341633,0.468021,0.457248,-0.331119,0.421546,0.429693,-0.336066,0.420675,0.489066
0.520000,-0.341645,0.468043,0.457228,-0.331108,0.421561,0.429692,-0.336057,0.420685,0.489054
0.530000,-0.341638,0.468039,0.457242,-0.331102,0.421568,0.429691,-0.336044,0.420704,0.489056
0.540000,-0.341629,0.468054,0.457253,-0.331108,0.421574,0.429710,-0.336041,0.420718,0.489072
0.550000,-0.341610,0.468065,0.457260,-0.331081,0.421589,0.429724,-0.336024,0.420706,0.489077
0.560000,-0.341588,0.468049,0.457285,-0.331061,0.421588,0.429728,-0.336008,0.420678,0.489100
0.570000,-0.341557,0.468042,0.457308,-0.331025,0.421576,0.429753,-0.335978,0.420678,0.489113
0.580000,-0.341522,0.468038,0.457338,-0.330994,0.421579,0.429791,-0.335965,0.420659,0.489157
0.590000,-0.341504,0.468000,0.457366,-0.330980,0.421564,0.429827,-0.335954,0.420634,0.489172
0.600000,-0.341458,0.468006,0.457403,-0.330963,0.421545,0.429856,-0.335940,0.420628,0.489209
0.610000,-0.341454,0.468004,0.457437,-0.330956,0.421518,0.429884,-0.335926,0.420617,0.489245
0.620000,-0.341438,0.467996,0.457494,-0.330933,0.421529,0.429930,-0.335929,0.420612,0.489291
0.630000,-0.341434,0.467997,0.457543,-0.330926,0.421527,0.429964,-0.335923,0.420600,0.489320
0.640000,-0.341436,0.468019,0.457592,-0.331164,0.421094,0.429765,-0.335916,0.420633,0.489369
0.650000,-0.341446,0.468018,0.457648,-0.331148,0.421129,0.429820,-0.335945,0.420610,0.489417
0.660000,-0.341441,0.468020,0.457702,-0.331141,0.421140,0.429854,-0.335978,0.420610,0.489491
0.670000,-0.341443,0.468040,0.457767,-0.331143,0.421144,0.429899,-0.335943,0.420605,0.489519
0.680000,-0.341449,0.468047,0.457817,-0.331129,0.421176,0.429944,-0.335982,0.420622,0.489599
0.690000,-0.341449,0.468061,0.457865,-0.331120,0.421176,0.429986,-0.335946,0.420586,0.489624
0.700000,-0.341446,0.468075,0.457922,-0.331120,0.421191,0.430036,-0.335963,0.420600,0.489665
0.710000,-0.341458,0.468067,0.457953,-0.331115,0.421202,0.430079,-0.336023,0.420615,0.489728
0.720000,-0.341492,0.468073,0.457996,-0.331126,0.421198,0.430134,-0.336052,0.420617,0.489770
0.730000,-0.341506,0.468081,0.458052,-0.331142,0.421199,0.430187,-0.336062,0.420644,0.489827
0.740000,-0.341538,0.468104,0.458082,-0.331155,0.421233,0.430226,-0.336072,0.420663,0.489875
0.750000,-0.341543,0.468112,0.458132,-0.331171,0.421235,0.430275,-0.336095,0.420672,0.489909
0.760000,-0.341568,0.468126,0.458166,-0.331180,0.421261,0.430304,-0.336113,0.420696,0.489955
0.770000,-0.341581,0.468138,0.458231,-0.331181,0.421288,0.430347,-0.336136,0.420683,0.489996
0.780000,-0.341594,0.468144,0.458285,-0.331186,0.421303,0.430396,-0.336150,0.420685,0.490045
0.790000,-0.341622,0.468145,0.458352,-0.331192,0.421311,0.430440,-0.336156,0.420695,0.490088
0.800000,-0.341633,0.468154,0.458422,-0.331213,0.421310,0.430499,-0.336192,0.420683,0.490133
0.810000,-0.341653,0.468172,0.458476,-0.330982,0.421770,0.430773,-0.336214,0.420696,0.490181
0.820000,-0.341683,0.468190,0.458517,-0.331005,0.421794,0.430823,-0.336243,0.420686,0.490225
0.830000,-0.341711,0.468185,0.458552,-0.331267,0.421370,0.430605,-0.336266,0.420673,0.490255
0.840000,-0.341736,0.468190,0.458607,-0.331267,0.421390,0.430655,-0.336280,0.420711,0.490300
0.850000,-0.341757,0.468217,0.458636,-0.331062,0.421814,0.430950,-0.336295,0.420718,0.490349
0.860000,-0.341767,0.468224,0.458681,-0.331068,0.421811,0.430984,-0.336307,0.420709,0.490390
0.870000,-0.341777,0.468217,0.458737,-0.331062,0.421830,0.431027,-0.336292,0.420736,0.490416
0.880000,-0.341772,0.468241,0.458776,-0.331069,0.421841,0.431063,-0.336306,0.420737,0.490448
0.890000,-0.341791,0.468228,0.458830,-0.331283,0.421435,0.430856,-0.336309,0.420745,0.490492
0.900000,-0.341771,0.468264,0.458869,-0.331040,0.421879,0.431142,-0.336297,0.420762,0.490536
0.910000,-0.341801,0.468228,0.458919,-0.331274,0.421454,0.430937,-0.336323,0.420738,0.490564
0.920000,-0.341809,0.468228,0.458942,-0.331280,0.421475,0.430961,-0.336322,0.420744,0.490579
0.930000,-0.341807,0.468273,0.458956,-0.331279,0.421479,0.430978,-0.336324,0.420765,0.490604
0.940000,-0.341807,0.468264,0.458994,-0.331034,0.421934,0.431240,-0.336324,0.420775,0.490620
0.950000,-0.341824,0.468262,0.459025,-0.331042,0.421945,0.431252,-0.336339,0.420775,0.490625
0.960000,-0.341830,0.468268,0.459045,-0.331069,0.421942,0.431270,-0.336358,0.420770,0.490637
0.970000,-0.341845,0.468272,0.459059,-0.331307,0.421512,0.431034,-0.336372,0.420771,0.490641
0.980000,-0.341856,0.468278,0.459075,-0.331092,0.421955,0.431276,-0.336380,0.420775,0.490643
0.990000,-0.341875,0.468293,0.459076,-0.331315,0.421535,0.431026,-0.336377,0.420779,0.490650
1.000000,-0.341896,0.468309,0.459063,-0.331104,0.421984,0.431274,-0.336408,0.420783,0.490649
1.010000,-0.341915,0.468318,0.459043,-0.331128,0.421979,0.431263,-0.336412,0.420809,0.490630
1.020000,-0.341934,0.468328,0.459027,-0.331130,0.421991,0.431256,-0.336422,0.420801,0.490615
1.030000,-0.341960,0.468319,0.459002,-0.331379,0.421595,0.430971,-0.336429,0.420832,0.490598
1.040000,-0.341970,0.468327,0.458983,-0.331404,0.421575,0.430972,-0.336443,0.420817,0.490579
1.050000,-0.341986,0.468346,0.458941,-0.331200,0.422048,0.431188,-0.336451,0.420830,0.490561
1.060000,-0.342002,0.468368,0.458944,-0.331221,0.422057,0.431172,-0.336491,0.420853,0.490551
1.070000,-0.342045,0.468369,0.458909,-0.331236,0.422070,0.431140,-0.336503,0.420860,0.490540
1.080000,-0.342060,0.468393,0.458889,-0.331260,0.422094,0.431120,-0.336518,0.420876,0.490521
1.090000,-0.342077,0.468390,0.458857,-0.331285,0.422083,0.431109,-0.336536,0.420884,0.490501
1.100000,-0.342097,0.468394,0.458845,-0.331304,0.422075,0.431078,-0.336549,0.420886,0.490490
1.110000,-0.342125,0.468402,0.458829,-0.331559,0.421658,0.430832,-0.336561,0.420890,0.490467
1.120000,-0.342129,0.468403,0.458837,-0.331328,0.422113,0.431055,-0.336567,0.420882,0.490455
1.130000,-0.342138,0.468401,0.458816,-0.331340,0.422121,0.431053,-0.336586,0.420876,0.490447
1.140000,-0.342145,0.468396,0.458816,-0.331585,0.421657,0.430800,-0.336595,0.420867,0.490441
1.150000,-0.342154,0.468380,0.458826,-0.331345,0.422118,0.431046,-0.336617,0.420853,0.490432
1.160000,-0.342164,0.468390,0.458818,-0.331589,0.421664,0.430796,-0.336618,0.420840,0.490435
1.170000,-0.342168,0.468392,0.458803,-0.331600,0.421658,0.430783,-0.336621,0.420861,0.490440
1.180000,-0.342183,0.468402,0.458798,-0.331611,0.421680,0.430778,-0.336630,0.420875,0.490422
1.190000,-0.342199,0.468407,0.458779,-0.331614,0.421663,0.430789,-0.336639,0.420874,0.490405
1.200000,-0.342221,0.468417,0.458768,-0.331626,0.421688,0.430776,-0.336653,0.420876,0.490384
1.210000,-0.342231,0.468418,0.458758,-0.331626,0.421717,0.430752,-0.336653,0.420896,0.490385
1.220000,-0.342220,0.468434,0.458740,-0.331623,0.421709,0.430734,-0.336659,0.420889,0.490366
1.230000,-0.342220,0.468426,0.458730,-0.331632,0.421697,0.430712,-0.336655,0.420880,0.490349
1.240000,-0.342218,0.468427,0.458710,-0.331634,0.421690,0.430704,-0.336650,0.420885,0.490349
1.250000,-0.342196,0.468414,0.458700,-0.331366,0.422125,0.430933,-0.336629,0.420892,0.490324
1.260000,-0.342201,0.468406,0.458691,-0.331373,0.422101,0.430918,-0.336630,0.420874,0.490322
1.270000,-0.342191,0.468404,0.458677,-0.331360,0.422111,0.430900,-0.336625,0.420858,0.490293
1.280000,-0.342173,0.468391,0.458661,-0.331362,0.422116,0.430894,-0.336617,0.420854,0.490303
1.290000,-0.342175,0.468373,0.458658,-0.331370,0.422083,0.430888,-0.336637,0.420822,0.490263
1.300000,-0.342157,0.468379,0.458644,-0.331343,0.422095,0.430885,-0.336628,0.420814,0.490257
1.310000,-0.342172,0.468349,0.458645,-0.331578,0.421621,0.430643,-0.336618,0.420805,0.490264
1.320000,-0.342173,0.468359,0.458648,-0.331353,0.422041,0.430876,-0.336619,0.420820,0.490257
1.330000,-0.342170,0.468358,0.458636,-0.331342,0.422060,0.430875,-0.336621,0.420810,0.490246
1.340000,-0.342166,0.468359,0.458627,-0.331576,0.421630,0.430620,-0.336622,0.420810,0.490237
1.350000,-0.342161,0.468350,0.458615,-0.331336,0.422059,0.430856,-0.336619,0.420822,0.490231
1.360000,-0.342166,0.468378,0.458593,-0.331566,0.421613,0.430604,-0.336620,0.420819,0.490215
1.370000,-0.342167,0.468391,0.458582,-0.331574,0.421655,0.430581,-0.336626,0.420831,0.490205
1.380000,-0.342185,0.468377,0.458577,-0.331587,0.421659,0.430570,-0.336618,0.420849,0.490199
1.390000,-0.342177,0.468387,0.458560,-0.331359,0.422084,0.430791,-0.336611,0.420861,0.490192
1.400000,-0.342186,0.468376,0.458558,-0.331315,0.422157,0.430761,-0.336608,0.420851,0.490163
1.410000,-0.342168,0.468384,0.458539,-0.331567,0.421678,0.430510,-0.336602,0.420839,0.490150
1.420000,-0.342166,0.468376,0.458525,-0.331310,0.422141,0.430728,-0.336594,0.420833,0.490150
1.430000,-0.342161,0.468358,0.458526,-0.331333,0.422103,0.430731,-0.336598,0.420816,0.490131
1.440000,-0.342155,0.468350,0.458512,-0.331312,0.422118,0.430720,-0.336595,0.420803,0.490124
1.450000,-0.342143,0.468331,0.458502,-0.331334,0.422033,0.430732,-0.336584,0.420786,0.490116
1.460000,-0.342135,0.468308,0.458492,-0.331292,0.422094,0.430705,-0.336575,0.420767,0.490103
1.470000,-0.342134,0.468318,0.458489,-0.331306,0.422035,0.430712,-0.336579,0.420771,0.490109
1.480000,-0.342139,0.468334,0.458489,-0.331286,0.422096,0.430694,-0.336589,0.420777,0.490101
1.490000,-0.342152,0.468328,0.458481,-0.331306,0.422066,0.430686,-0.336594,0.420781,0.490091
1.500000,-0.342168,0.468319,0.458462,-0.331347,0.422065,0.430693,-0.336594,0.420782,0.490076
1.510000,-0.342171,0.468343,0.458438,-0.331328,0.422116,0.430661,-0.336601,0.420801,0.490069
1.520000,-0.342186,0.468342,0.458418,-0.331346,0.422103,0.430649,-0.336598,0.420806,0.490048
1.530000,-0.342190,0.468330,0.458401,-0.331335,0.422135,0.430642,-0.336590,0.420815,0.490038
1.540000,-0.342207,0.468318,0.458362,-0.331362,0.422096,0.430612,-0.336595,0.420812,0.490027
1.550000,-0.342210,0.468315,0.458357,-0.331362,0.422113,0.430596,-0.336595,0.420825,0.490008
1.560000,-0.342209,0.468319,0.458341,-0.331378,0.422104,0.430570,-0.336590,0.420829,0.490001
1.570000,-0.342218,0.468328,0.458332,-0.331356,0.422126,0.430586,-0.336590,0.420820,0.489989
1.580000,-0.342220,0.468332,0.458322,-0.331366,0.422105,0.430577,-0.336590,0.420834,0.489989
1.590000,-0.342222,0.468339,0.458317,-0.331359,0.422126,0.430577,-0.336579,0.420844,0.489979
1.600000,-0.342219,0.468340,0.458320,-0.331345,0.422133,0.430578,-0.336574,0.420844,0.489983
1.610000,-0.342202,0.468365,0.458344,-0.331341,0.422135,0.430578,-0.336569,0.420844,0.489990
1.620000,-0.342198,0.468352,0.458333,-0.331325,0.422139,0.430589,-0.336559,0.420860,0.490000
1.630000,-0.342192,0.468360,0.458366,-0.331347,0.422139,0.430586,-0.336557,0.420843,0.490017
1.640000,-0.342182,0.468365,0.458380,-0.331320,0.422135,0.430617,-0.336556,0.420855,0.490016
1.650000,-0.342169,0.468368,0.458400,-0.331317,0.422141,0.430621,-0.336554,0.420839,0.490028
1.660000,-0.342155,0.468382,0.458427,-0.331291,0.422180,0.430649,-0.336545,0.420843,0.490051
1.670000,-0.342152,0.468370,0.458444,-0.331296,0.422148,0.430671,-0.336549,0.420838,0.490068
1.680000,-0.342144,0.468372,0.458474,-0.331286,0.422159,0.430688,-0.336555,0.420825,0.490084
1.690000,-0.342158,0.468368,0.458501,-0.331281,0.422147,0.430697,-0.336560,0.420827,0.490103
1.700000,-0.342160,0.468360,0.458528,-0.331280,0.422154,0.430743,-0.336568,0.420825,0.490131
1.710000,-0.342163,0.468372,0.458540,-0.331342,0.422068,0.430771,-0.336579,0.420821,0.490151
1.720000,-0.342182,0.468369,0.458559,-0.331295,0.422157,0.430761,-0.336604,0.420819,0.490168
1.730000,-0.342197,0.468372,0.458564,-0.331364,0.422090,0.430796,-0.336616,0.420822,0.490179
1.740000,-0.342216,0.468363,0.458566,-0.331378,0.422089,0.430796,-0.336628,0.420818,0.490170
1.750000,-0.342226,0.468375,0.458566,-0.331389,0.422133,0.430789,-0.336643,0.420815,0.490184
1.760000,-0.342261,0.468372,0.458588,-0.331408,0.422135,0.430797,-0.336659,0.420832,0.490165
1.770000,-0.342263,0.468398,0.458572,-0.331414,0.422140,0.430797,-0.336659,0.420855,0.490172
1.780000,-0.342298,0.468394,0.458580,-0.331425,0.422175,0.430781,-0.336674,0.420839,0.490152
1.790000,-0.342322,0.468407,0.458565,-0.331454,0.422182,0.430780,-0.336694,0.420863,0.490163
1.800000,-0.342327,0.468431,0.458555,-0.331466,0.422203,0.430763,-0.336716,0.420882,0.490159
1.810000,-0.342362,0.468415,0.458561,-0.331493,0.422198,0.430762,-0.336741,0.420883,0.490163
1.820000,-0.342375,0.468404,0.458549,-0.331516,0.422191,0.430753,-0.336754,0.420867,0.490144
1.830000,-0.342398,0.468412,0.458545,-0.331512,0.422205,0.430751,-0.336770,0.420864,0.490143
1.840000,-0.342414,0.468419,0.458547,-0.331547,0.422182,0.430761,-0.336791,0.420865,0.490144
1.850000,-0.342438,0.468394,0.458559,-0.331574,0.422189,0.430760,-0.336820,0.420869,0.490151
1.860000,-0.342452,0.468400,0.458568,-0.331577,0.422185,0.430771,-0.336829,0.420878,0.490158
1.870000,-0.342470,0.468403,0.458573,-0.331838,0.421745,0.430536,-0.336843,0.420886,0.490186
1.880000,-0.342493,0.468419,0.458586,-0.331601,0.422227,0.430796,-0.336868,0.420876,0.490179
1.890000,-0.342505,0.468436,0.458588,-0.331593,0.422243,0.430796,-0.336862,0.420894,0.490185
1.900000,-0.342520,0.468477,0.458608,-0.331636,0.422242,0.430801,-0.336880,0.420908,0.490196
1.910000,-0.342529,0.468480,0.458615,-0.331625,0.422288,0.430812,-0.336887,0.420917,0.490199
1.920000,-0.342530,0.468497,0.458623,-0.331628,0.422291,0.430821,-0.336890,0.420926,0.490210
