Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.344708,0.486520,0.580688,-0.328186,0.443066,0.549993,-0.329237,0.436593,0.609219
0.010000,-0.344658,0.486510,0.580681,-0.328164,0.443055,0.549979,-0.329228,0.436550,0.609196
0.020000,-0.344638,0.486481,0.580672,-0.328140,0.443017,0.549973,-0.329179,0.436541,0.609190
0.030000,-0.344630,0.486445,0.580656,-0.328117,0.443009,0.549955,-0.329165,0.436525,0.609167
0.040000,-0.344595,0.486445,0.580648,-0.328092,0.442996,0.549948,-0.329141,0.436494,0.609152
0.050000,-0.344551,0.486439,0.580645,-0.328060,0.442984,0.549933,-0.329119,0.436478,0.609145
0.060000,-0.344528,0.486421,0.580652,-0.328026,0.442983,0.549921,-0.329076,0.436465,0.609133
0.070000,-0.344493,0.486408,0.580652,-0.327998,0.442971,0.549928,-0.329044,0.436445,0.609137
0.080000,-0.344440,0.486409,0.580657,-0.327963,0.442972,0.549929,-0.329003,0.436438,0.609134
0.090000,-0.344406,0.486392,0.580646,-0.327920,0.442961,0.549920,-0.328931,0.436424,0.609116
0.100000,-0.344308,0.486434,0.580653,-0.327886,0.442942,0.549901,-0.328903,0.436413,0.609108
0.110000,-0.344268,0.486402,0.580638,-0.327862,0.442904,0.549889,-0.328869,0.436385,0.609100
0.120000,-0.344233,0.486374,0.580620,-0.327839,0.442873,0.549880,-0.328870,0.436325,0.609093
0.130000,-0.344200,0.486332,0.580610,-0.327814,0.442826,0.549879,-0.328850,0.436300,0.609084
0.140000,-0.344172,0.486310,0.580600,-0.327805,0.442798,0.549866,-0.328832,0.436269,0.609084
0.150000,-0.344153,0.486280,0.580596,-0.327792,0.442766,0.549861,-0.328837,0.436241,0.609069
0.160000,-0.344143,0.486261,0.580592,-0.327795,0.442729,0.549855,-0.328851,0.436181,0.609082
0.170000,-0.344132,0.486233,0.580593,-0.327789,0.442716,0.549847,-0.328831,0.436198,0.609058
0.180000,-0.344142,0.486206,0.580577,-0.327799,0.442697,0.549839,-0.328842,0.436181,0.609045
0.190000,-0.344153,0.486207,0.580576,-0.327812,0.442686,0.549831,-0.328839,0.436165,0.609037
0.200000,-0.344155,0.486189,0.580568,-0.327822,0.442684,0.549835,-0.328838,0.436162,0.609026
0.210000,-0.344172,0.486202,0.580561,-0.327824,0.442681,0.549819,-0.328878,0.436148,0.609020
0.220000,-0.344187,0.486214,0.580559,-0.327849,0.442691,0.549822,-0.328859,0.436175,0.609026
0.230000,-0.344211,0.486223,0.580559,-0.327856,0.442711,0.549815,-0.328892,0.436164,0.609008
0.240000,-0.344220,0.486233,0.580556,-0.327864,0.442703,0.549810,-0.328914,0.436177,0.609008
0.250000,-0.344236,0.486247,0.580554,-0.327877,0.442708,0.549808,-0.328914,0.436189,0.609019
0.260000,-0.344238,0.486243,0.580561,-0.327881,0.442709,0.549815,-0.328927,0.436188,0.609013
0.270000,-0.344253,0.486239,0.580554,-0.327885,0.442709,0.549815,-0.328930,0.436186,0.609021
0.280000,-0.344252,0.486242,0.580571,-0.327891,0.442707,0.549826,-0.328937,0.436191,0.609036
0.290000,-0.344244,0.486239,0.580584,-0.327896,0.442709,0.549845,-0.328946,0.436174,0.609046
0.300000,-0.344249,0.486226,0.580606,-0.327884,0.442708,0.549858,-0.328956,0.436155,0.609065
0.310000,-0.344242,0.486229,0.580638,-0.327884,0.442708,0.549884,-0.328960,0.436127,0.609101
0.320000,-0.344245,0.486208,0.580659,-0.327869,0.442696,0.549911,-0.328954,0.436112,0.609127
0.330000,-0.344231,0.486204,0.580684,-0.327866,0.442688,0.549931,-0.328957,0.436107,0.609137
0.340000,-0.344222,0.486213,0.580698,-0.327852,0.442675,0.549956,-0.328964,0.436080,0.609162
0.350000,-0.344201,0.486190,0.580728,-0.327849,0.442629,0.549994,-0.328946,0.436093,0.609185
0.360000,-0.344187,0.486185,0.580752,-0.327830,0.442612,0.550026,-0.328929,0.436082,0.609206
0.370000,-0.344167,0.486181,0.580778,-0.327800,0.442619,0.550052,-0.328926,0.436072,0.609236
0.380000,-0.344148,0.486154,0.580801,-0.327779,0.442615,0.550074,-0.328905,0.436058,0.609254
0.390000,-0.344121,0.486151,0.580824,-0.327744,0.442595,0.550097,-0.328883,0.436049,0.609276
0.400000,-0.344084,0.486138,0.580850,-0.327720,0.442581,0.550121,-0.328856,0.436045,0.609300
0.410000,-0.344060,0.486116,0.580853,-0.327679,0.442573,0.550132,-0.328821,0.436016,0.609307
0.420000,-0.344013,0.486110,0.580868,-0.327653,0.442557,0.550138,-0.328797,0.435996,0.609331
0.430000,-0.343979,0.486106,0.580886,-0.327627,0.442524,0.550154,-0.328780,0.435963,0.609336
0.440000,-0.343936,0.486073,0.580896,-0.327588,0.442490,0.550175,-0.328739,0.435956,0.609349
0.450000,-0.343891,0.486058,0.580907,-0.327556,0.442471,0.550182,-0.328721,0.435925,0.609356
0.460000,-0.343842,0.486029,0.580939,-0.327511,0.442436,0.550191,-0.328690,0.435887,0.609371
0.470000,-0.343807,0.486012,0.580953,-0.327486,0.442412,0.550218,-0.328674,0.435857,0.609374
0.480000,-0.343776,0.485988,0.580979,-0.327462,0.442371,0.550224,-0.328629,0.435838,0.609399
0.490000,-0.343744,0.485971,0.581001,-0.327429,0.442354,0.550240,-0.328608,0.435831,0.609425
0.500000,-0.343721,0.485956,0.581013,-0.327398,0.442344,0.550268,-0.328585,0.435801,0.609448
0.510000,-0.343702,0.485935,0.581029,-0.327371,0.442344,0.550289,-0.328553,0.435792,0.609468
0.520000,-0.343680,0.485927,0.581052,-0.327359,0.442319,0.550329,-0.328514,0.435781,0.609481
0.530000,-0.343660,0.485911,0.581056,-0.327324,0.442327,0.550321,-0.328512,0.435756,0.609496
0.540000,-0.343644,0.485896,0.581067,-0.327314,0.442290,0.550351,-0.328498,0.435728,0.609493
0.550000,-0.343623,0.485879,0.581090,-0.327280,0.442285,0.550339,-0.328482,0.435727,0.609497
0.560000,-0.343595,0.485886,0.581104,-0.327271,0.442276,0.550344,-0.328474,0.435712,0.609517
0.570000,-0.343587,0.485876,0.581113,-0.327266,0.442254,0.550373,-0.328455,0.435700,0.609518
0.580000,-0.343589,0.485847,0.581109,-0.327251,0.442255,0.550371,-0.328436,0.435697,0.609540
0.590000,-0.343565,0.485835,0.581120,-0.327255,0.442242,0.550389,-0.328439,0.435685,0.609555
0.600000,-0.343559,0.485848,0.581145,-0.327246,0.442238,0.550398,-0.328433,0.435693,0.609559
0.610000,-0.343556,0.485843,0.581149,-0.327238,0.442236,0.550418,-0.328423,0.435683,0.609570
0.620000,-0.343557,0.485856,0.581151,-0.327237,0.442227,0.550432,-0.328431,0.435697,0.609579
0.630000,-0.343554,0.485853,0.581161,-0.327230,0.442239,0.550431,-0.328417,0.435693,0.609581
0.640000,-0.343550,0.485851,0.581167,-0.327228,0.442240,0.550434,-0.328412,0.435699,0.609596
