Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.077325,0.082180,0.645764,0.107946,0.035598,0.638030,0.055425,0.029463,0.667693
0.010000,0.077358,0.082151,0.645772,0.107941,0.035580,0.638025,0.055431,0.029448,0.667679
0.020000,0.077347,0.082136,0.645773,0.107924,0.035548,0.638030,0.055408,0.029439,0.667688
0.030000,0.077338,0.082124,0.645783,0.107898,0.035546,0.638036,0.055394,0.029418,0.667705
0.040000,0.077283,0.082141,0.645778,0.107863,0.035520,0.638053,0.055355,0.029420,0.667713
0.050000,0.077259,0.082146,0.645795,0.107918,0.035132,0.638157,0.055332,0.029420,0.667743
0.060000,0.077226,0.082156,0.645810,0.107857,0.035078,0.638163,0.055292,0.029407,0.667747
0.070000,0.077189,0.082163,0.645821,0.107829,0.035076,0.638173,0.055249,0.029420,0.667762
0.080000,0.077143,0.082130,0.645815,0.107791,0.035063,0.638190,0.055185,0.029443,0.667744
0.090000,0.077107,0.082111,0.645815,0.107760,0.035057,0.638188,0.055137,0.029409,0.667728
0.100000,0.077071,0.082107,0.645811,0.107709,0.035011,0.638182,0.055100,0.029371,0.667716
0.110000,0.076907,0.082017,0.645710,0.107665,0.034984,0.638174,0.055041,0.029335,0.667690
0.120000,0.076871,0.081992,0.645705,0.107624,0.034960,0.638172,0.054992,0.029258,0.667638
0.130000,0.076833,0.081963,0.645707,0.107582,0.034930,0.638173,0.054953,0.029243,0.667641
0.140000,0.076800,0.081957,0.645713,0.107571,0.034910,0.638175,0.054921,0.029203,0.667636
0.150000,0.076785,0.081924,0.645707,0.107550,0.034900,0.638173,0.054914,0.029177,0.667641
0.160000,0.076766,0.081928,0.645722,0.107534,0.034882,0.638179,0.054892,0.029165,0.667651
0.170000,0.076743,0.081901,0.645725,0.107509,0.034872,0.638184,0.054884,0.029163,0.667650
0.180000,0.076737,0.081891,0.645731,0.107508,0.034854,0.638184,0.054866,0.029148,0.667654
0.190000,0.076726,0.081865,0.645734,0.107502,0.034848,0.638182,0.054863,0.029115,0.667633
0.200000,0.076720,0.081848,0.645728,0.107494,0.034838,0.638168,0.054869,0.029075,0.667629
0.210000,0.076725,0.081830,0.645715,0.107506,0.034819,0.638148,0.054872,0.029070,0.667622
0.220000,0.076745,0.081793,0.645703,0.107511,0.034796,0.638124,0.054896,0.029041,0.667613
0.230000,0.076756,0.081780,0.645705,0.107531,0.034768,0.638096,0.054922,0.028994,0.667614
0.240000,0.076777,0.081745,0.645691,0.107549,0.034742,0.638088,0.054958,0.028983,0.667596
0.250000,0.076807,0.081720,0.645685,0.107565,0.034703,0.638073,0.054999,0.028906,0.667592
0.260000,0.076844,0.081660,0.645674,0.107601,0.034672,0.638035,0.055037,0.028854,0.667586
0.270000,0.076854,0.081605,0.645663,0.107633,0.034629,0.637998,0.055063,0.028820,0.667563
0.280000,0.076888,0.081585,0.645642,0.107644,0.034605,0.637962,0.055113,0.028766,0.667543
0.290000,0.076932,0.081514,0.645635,0.107665,0.034572,0.637928,0.055132,0.028716,0.667513
0.300000,0.076948,0.081495,0.645629,0.107674,0.034547,0.637900,0.055149,0.028670,0.667488
0.310000,0.076955,0.081465,0.645610,0.107695,0.034528,0.637876,0.055173,0.028670,0.667483
0.320000,0.076972,0.081449,0.645592,0.107704,0.034502,0.637852,0.055184,0.028632,0.667453
0.330000,0.076981,0.081456,0.645582,0.107720,0.034519,0.637814,0.055209,0.028617,0.667452
0.340000,0.076997,0.081462,0.645562,0.107739,0.034555,0.637791,0.055244,0.028591,0.667400
0.350000,0.077006,0.081461,0.645547,0.107669,0.034933,0.637667,0.055271,0.028606,0.667389
0.360000,0.077005,0.081486,0.645523,0.107761,0.034562,0.637714,0.055292,0.028637,0.667370
0.370000,0.077013,0.081509,0.645496,0.107692,0.034994,0.637590,0.055305,0.028671,0.667353
0.380000,0.077013,0.081526,0.645467,0.107691,0.035026,0.637546,0.055317,0.028686,0.667319
0.390000,0.077006,0.081549,0.645439,0.107688,0.035046,0.637512,0.055323,0.028668,0.667280
0.400000,0.077011,0.081571,0.645411,0.107686,0.035062,0.637474,0.055329,0.028680,0.667253
0.410000,0.076992,0.081598,0.645379,0.107689,0.035087,0.637450,0.055337,0.028718,0.667229
0.420000,0.076988,0.081611,0.645359,0.107689,0.035101,0.637428,0.055336,0.028723,0.667208
0.430000,0.076989,0.081606,0.645336,0.107692,0.035096,0.637397,0.055353,0.028715,0.667195
0.440000,0.076989,0.081609,0.645313,0.107695,0.035103,0.637375,0.055364,0.028736,0.667196
0.450000,0.077031,0.081578,0.645296,0.107700,0.035115,0.637330,0.055386,0.028719,0.667170
0.460000,0.077027,0.081590,0.645270,0.107700,0.035117,0.637304,0.055401,0.028730,0.667148
0.470000,0.077009,0.081646,0.645228,0.107711,0.035150,0.637260,0.055413,0.028747,0.667132
0.480000,0.076998,0.081664,0.645200,0.107710,0.035190,0.637241,0.055404,0.028820,0.667084
0.490000,0.076991,0.081715,0.645181,0.107717,0.035246,0.637219,0.055401,0.028838,0.667069
0.500000,0.077003,0.081742,0.645164,0.107717,0.035273,0.637208,0.055420,0.028921,0.667071
0.510000,0.077005,0.081764,0.645146,0.107723,0.035300,0.637201,0.055428,0.028946,0.667069
0.520000,0.077000,0.081817,0.645148,0.107731,0.035352,0.637204,0.055449,0.028974,0.667082
0.530000,0.077024,0.081824,0.645143,0.107745,0.035382,0.637202,0.055459,0.029028,0.667093
0.540000,0.077045,0.081845,0.645117,0.107757,0.035386,0.637205,0.055484,0.029047,0.667106
0.550000,0.077198,0.081933,0.645232,0.107765,0.035408,0.637176,0.055507,0.029096,0.667102
0.560000,0.077232,0.081932,0.645197,0.107794,0.035409,0.637147,0.055554,0.029098,0.667099
0.570000,0.077264,0.081916,0.645179,0.107825,0.035399,0.637119,0.055604,0.029111,0.667076
0.580000,0.077304,0.081923,0.645137,0.107888,0.035423,0.637073,0.055645,0.029110,0.667061
0.590000,0.077330,0.081914,0.645103,0.107912,0.035423,0.637045,0.055700,0.029121,0.667042
0.600000,0.077355,0.081929,0.645086,0.107963,0.035465,0.637023,0.055740,0.029140,0.667055
0.610000,0.077415,0.081906,0.645105,0.107983,0.035467,0.637022,0.055761,0.029175,0.667066
0.620000,0.077423,0.081938,0.645090,0.107991,0.035517,0.637005,0.055780,0.029202,0.667072
0.630000,0.077415,0.081992,0.645089,0.107979,0.035560,0.637013,0.055768,0.029247,0.667086
0.640000,0.077398,0.082033,0.645092,0.107955,0.035590,0.637047,0.055750,0.029303,0.667099
0.650000,0.077351,0.082124,0.645065,0.107946,0.035655,0.637065,0.055738,0.029361,0.667119
0.660000,0.077328,0.082184,0.645072,0.107914,0.035714,0.637073,0.055729,0.029400,0.667123
0.670000,0.077301,0.082195,0.645067,0.107916,0.035762,0.637077,0.055705,0.029430,0.667133
0.680000,0.077307,0.082233,0.645063,0.107912,0.035811,0.637080,0.055695,0.029450,0.667146
0.690000,0.077300,0.082244,0.645049,0.107915,0.035818,0.637073,0.055687,0.029485,0.667131
