Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.132990,0.457722,0.630390,-0.122162,0.409575,0.600594,-0.130123,0.409597,0.659662
0.010000,-0.133014,0.457747,0.630388,-0.122185,0.409590,0.600594,-0.130150,0.409596,0.659670
0.020000,-0.133048,0.457748,0.630397,-0.122213,0.409593,0.600604,-0.130171,0.409607,0.659673
0.030000,-0.133074,0.457774,0.630407,-0.122244,0.409608,0.600605,-0.130194,0.409619,0.659679
0.040000,-0.133115,0.457777,0.630415,-0.122280,0.409621,0.600614,-0.130229,0.409630,0.659694
0.050000,-0.133143,0.457808,0.630423,-0.122312,0.409642,0.600618,-0.130257,0.409648,0.659699
0.060000,-0.133191,0.457819,0.630437,-0.122350,0.409648,0.600638,-0.130300,0.409671,0.659710
0.070000,-0.133227,0.457843,0.630462,-0.122383,0.409672,0.600648,-0.130329,0.409695,0.659727
0.080000,-0.133281,0.457872,0.630487,-0.122421,0.409722,0.600661,-0.130388,0.409698,0.659762
0.090000,-0.133319,0.457888,0.630526,-0.122455,0.409736,0.600694,-0.130433,0.409699,0.659803
0.100000,-0.133378,0.457924,0.630571,-0.122489,0.409760,0.600724,-0.130475,0.409723,0.659834
0.110000,-0.133412,0.457953,0.630613,-0.122526,0.409791,0.600760,-0.130500,0.409736,0.659870
0.120000,-0.133454,0.457986,0.630650,-0.122557,0.409825,0.600785,-0.130537,0.409791,0.659909
0.130000,-0.133508,0.457995,0.630688,-0.122577,0.409843,0.600814,-0.130572,0.409793,0.659943
0.140000,-0.133543,0.458014,0.630722,-0.122596,0.409876,0.600846,-0.130596,0.409829,0.659985
0.150000,-0.133571,0.458024,0.630771,-0.122607,0.409895,0.600880,-0.130629,0.409838,0.660019
0.160000,-0.133616,0.458025,0.630799,-0.122619,0.409909,0.600924,-0.130644,0.409844,0.660054
0.170000,-0.133628,0.458028,0.630840,-0.122622,0.409925,0.600955,-0.130653,0.409851,0.660095
0.180000,-0.133616,0.458044,0.630882,-0.122637,0.409906,0.601008,-0.130663,0.409852,0.660128
0.190000,-0.133616,0.458045,0.630911,-0.122623,0.409926,0.601023,-0.130662,0.409856,0.660160
0.200000,-0.133617,0.458041,0.630946,-0.122626,0.409924,0.601059,-0.130663,0.409857,0.660185
0.210000,-0.133600,0.458041,0.630980,-0.122612,0.409919,0.601081,-0.130659,0.409843,0.660204
0.220000,-0.133592,0.458042,0.630988,-0.122583,0.409927,0.601090,-0.130650,0.409836,0.660226
0.230000,-0.133575,0.458027,0.631012,-0.122566,0.409925,0.601099,-0.130632,0.409831,0.660236
0.240000,-0.133531,0.458018,0.631027,-0.122559,0.409893,0.601118,-0.130615,0.409813,0.660246
0.250000,-0.133513,0.457980,0.631043,-0.122534,0.409884,0.601124,-0.130590,0.409792,0.660251
0.260000,-0.133479,0.457973,0.631035,-0.122507,0.409872,0.601123,-0.130571,0.409761,0.660250
0.270000,-0.133449,0.457948,0.631035,-0.122476,0.409845,0.601108,-0.130539,0.409759,0.660248
0.280000,-0.133414,0.457927,0.631036,-0.122454,0.409818,0.601099,-0.130518,0.409732,0.660245
0.290000,-0.133370,0.457918,0.631028,-0.122423,0.409812,0.601106,-0.130489,0.409713,0.660237
0.300000,-0.133341,0.457896,0.631024,-0.122402,0.409788,0.601098,-0.130473,0.409699,0.660239
0.310000,-0.133319,0.457883,0.631029,-0.122372,0.409772,0.601100,-0.130458,0.409685,0.660228
0.320000,-0.133289,0.457898,0.631012,-0.122354,0.409778,0.601097,-0.130432,0.409687,0.660232
0.330000,-0.133264,0.457902,0.631003,-0.122340,0.409773,0.601088,-0.130407,0.409675,0.660224
0.340000,-0.133242,0.457899,0.630999,-0.122321,0.409760,0.601085,-0.130390,0.409679,0.660221
