Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.129276,0.456049,0.621302,-0.119810,0.407471,0.591828,-0.124583,0.408526,0.651253
0.010000,-0.129311,0.456067,0.621320,-0.119842,0.407468,0.591856,-0.124599,0.408544,0.651273
0.020000,-0.129339,0.456080,0.621328,-0.119873,0.407499,0.591865,-0.124628,0.408564,0.651293
0.030000,-0.129371,0.456094,0.621348,-0.119899,0.407491,0.591881,-0.124660,0.408576,0.651307
0.040000,-0.129398,0.456109,0.621355,-0.119918,0.407506,0.591893,-0.124676,0.408590,0.651316
0.050000,-0.129425,0.456120,0.621374,-0.119947,0.407518,0.591908,-0.124698,0.408604,0.651331
0.060000,-0.129439,0.456135,0.621384,-0.119975,0.407534,0.591926,-0.124714,0.408610,0.651349
0.070000,-0.129459,0.456146,0.621412,-0.119994,0.407555,0.591942,-0.124717,0.408626,0.651371
0.080000,-0.129477,0.456161,0.621444,-0.120012,0.407548,0.591973,-0.124736,0.408635,0.651386
0.090000,-0.129494,0.456180,0.621464,-0.120028,0.407562,0.591994,-0.124747,0.408630,0.651414
0.100000,-0.129510,0.456176,0.621492,-0.120035,0.407575,0.592018,-0.124754,0.408650,0.651422
0.110000,-0.129516,0.456181,0.621511,-0.120036,0.407569,0.592037,-0.124761,0.408641,0.651449
0.120000,-0.129520,0.456190,0.621536,-0.120038,0.407579,0.592057,-0.124759,0.408647,0.651470
0.130000,-0.129520,0.456194,0.621556,-0.120039,0.407583,0.592079,-0.124762,0.408656,0.651491
0.140000,-0.129519,0.456201,0.621572,-0.120033,0.407584,0.592099,-0.124755,0.408651,0.651510
0.150000,-0.129506,0.456205,0.621585,-0.120029,0.407586,0.592115,-0.124758,0.408653,0.651526
0.160000,-0.129497,0.456201,0.621601,-0.120022,0.407567,0.592132,-0.124742,0.408650,0.651557
0.170000,-0.129482,0.456190,0.621617,-0.120015,0.407569,0.592139,-0.124731,0.408630,0.651551
0.180000,-0.129467,0.456197,0.621623,-0.120012,0.407557,0.592153,-0.124716,0.408642,0.651565
0.190000,-0.129442,0.456186,0.621633,-0.119987,0.407563,0.592154,-0.124700,0.408636,0.651586
0.200000,-0.129428,0.456187,0.621628,-0.119975,0.407555,0.592159,-0.124688,0.408629,0.651576
0.210000,-0.129420,0.456187,0.621646,-0.119961,0.407554,0.592162,-0.124669,0.408616,0.651591
